freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.150969786e+11,0.6965876911
1,1163848716,0.726740516
2,702408480.6,0.7631363114
3,795825872.4,0.8146816665
4,432541440.5,0.8483003304
5,211206830.1,0.875659911
6,164051530.5,0.8947859164
7,64803702.6,0.9048594664
8,63968954.86,0.9164605556
9,48338237.43,0.9252269362
10,30395663.18,0.9319205712
11,12506594.99,0.9345127237
12,14197447.53,0.9381909779
13,10409631.91,0.9412924272
14,12065607.08,0.9447309613
15,9322782.448,0.947629361
16,14063317.29,0.9520015658
17,11761527.71,0.9564199473
18,10160735.13,0.9603685902
19,7109808.969,0.9631315888
20,5655036.605,0.9654024918
21,3443023.963,0.9670081165
22,4155744.591,0.9688384458
23,3022510.708,0.9702088143
24,3007553.48,0.9716892803
25,2734882,0.9731772338
26,2632284.606,0.9746775645
27,2404998.57,0.9759548858
28,2245329.338,0.9771764909
29,2308606.871,0.9786119562
30,1822322.211,0.979721449
31,1636358.899,0.9808237073
32,1468712.37,0.981774987
33,970237.744,0.9824285433
34,967131.4747,0.9831426479
35,775860.128,0.9836652706
36,728076.7019,0.9842122949
37,714779.6103,0.9847400695
38,703466.472,0.9853232793
39,776178.3004,0.9859466619
40,708118.6461,0.9864878641
41,816284.1006,0.9872069019
42,576970.9375,0.9877001885
43,606492.7519,0.9882658539
44,517091.3113,0.988728041
45,449305.3833,0.9891238193
46,381819.1622,0.9894898276
47,352714.185,0.9898233671
48,378520.7515,0.9902058269
49,393402.0491,0.9905931306
50,323348.0883,0.9909449754
51,347259.3841,0.9913093436
52,393890.8861,0.9917073334
53,408395.1902,0.9921623011
54,297186.8744,0.9924741298
55,293401.3364,0.9928313956
56,303476.1653,0.9931694795
57,200222.8395,0.99340291
58,186097.8369,0.9936222836
59,199340.2458,0.9938598496
60,172118.2405,0.9940783511
61,164956.2008,0.9942856237
62,181187.4473,0.9945156384
63,191596.6022,0.9947638313
64,164905.294,0.9949710399
65,156338.2345,0.9951897609
66,137043.958,0.9953672866
67,105281.423,0.9955118503
68,107457.2245,0.9956691455
69,101770.3103,0.9958062513
70,95687.84187,0.995945079
71,112919.5423,0.9961015935
72,104363.8443,0.9962638241
73,137005.0196,0.9964696954
74,124085.5812,0.9966561533
75,113017.6931,0.9968303721
76,110297.8872,0.997001827
77,92377.29176,0.9971502114
78,70736.97862,0.9972592537
79,69771.67557,0.9973713271
80,57536.14122,0.9974682185
81,56522.07741,0.9975597414
82,49969.76261,0.9976464802
83,52744.45928,0.9977325695
84,51038.92044,0.9978211642
85,49188.49887,0.9979084584
86,54230.16452,0.9980039976
87,45916.33202,0.9980860795
88,39576.35331,0.9981532392
