freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.012791982e+11,0.9301943504
1,1171388738,0.9475837684
2,327044996.9,0.9572938193
3,82889448,0.9603700809
4,107712903.5,0.965167117
5,68294942.82,0.9702363535
6,63096347.84,0.9744513841
7,38100139.84,0.9778449933
8,19413514.81,0.9798623663
9,9601547.119,0.9808601198
10,12853260.74,0.9824819906
11,8788777.351,0.9835257549
12,6758157.967,0.9845290122
13,5179230.344,0.9854132052
14,5244316.769,0.9862695834
15,4212345.826,0.9870199773
16,2849170.635,0.987527533
17,3326804.816,0.9882436423
18,2423396.682,0.9887832769
19,1578554.816,0.9891347846
20,1543930.547,0.9894900423
21,1662416.574,0.9899342605
22,2155515.798,0.990478242
23,1150444.584,0.9907771158
24,1138543.224,0.9910982504
25,1244251.133,0.9914861429
26,1108385.355,0.9918481336
27,933184.5208,0.9921321251
28,773755.6638,0.9923733417
29,754533.1558,0.9926421691
30,829573.9188,0.9929315747
31,808349.4326,0.9932435761
32,558590.6377,0.9934508849
33,590650.944,0.9936788604
34,574576.2654,0.9939219557
35,561382.1038,0.9941386342
36,514765.8259,0.9943602454
37,462747.695,0.9945560276
38,433252.5438,0.9947618417
39,397677.2794,0.9949448524
40,299273.1,0.9950759135
41,382382.5251,0.9952689151
42,333306.1268,0.9954321982
43,388791.4996,0.9956399779
44,256548.2724,0.9957713709
45,300746.0908,0.9959231678
46,248523.6444,0.9960596744
47,237483.8076,0.9961883543
48,255540.8176,0.9963363022
49,226818.1932,0.9964642538
50,227790.5779,0.9966062802
51,242425.2867,0.996752033
52,206063.7642,0.9968713357
53,182493.5641,0.9969878287
54,159159.5498,0.9970835199
55,199000.9856,0.997222367
56,169950.4707,0.9973308533
57,165456.4138,0.9974413833
58,196169.3224,0.9975738866
59,153113.8932,0.9976784444
60,154988.4374,0.9977911847
61,119317.1382,0.9978770917
62,110220.9772,0.9979572677
63,103571.4405,0.9980341443
64,98433.91218,0.9981050156
65,108090.0796,0.9981916646
66,111797.3263,0.9982746469
67,121778.7132,0.9983704614
68,98355.67036,0.9984529572
69,92469.13916,0.9985243384
70,106182.7114,0.998612611
71,99899.78601,0.9986919529
72,73557.18269,0.9987574708
73,68615.20357,0.9988165497
74,59181.92488,0.9988675064
75,53435.22914,0.998914705
76,51757.29469,0.9989608056
77,56495.04744,0.9990128035
78,60111.44476,0.9990658991
79,45885.04696,0.9991081316
80,47058.82489,0.9991535402
81,43089.6479,0.9991935197
82,41028.48474,0.9992343276
83,41942.8147,0.9992735543
84,39482.00403,0.999312824
85,35277.70846,0.9993486976
86,30572.03305,0.9993795592
87,27250.34942,0.9994074721
88,31130.52214,0.999437742
89,30079.5091,0.9994712321
90,29552.21916,0.9995015028
91,27267.25077,0.9995306474
92,20943.12032,0.9995531879
93,22627.05348,0.9995777087
94,19391.44004,0.9995995867
95,16480.14776,0.9996173238
96,16468.67084,0.9996356598
97,18075.01948,0.9996568576
98,19586.86941,0.9996789561
99,16321.7463,0.9996984611
100,13296.85043,0.999713463
101,10505.19553,0.9997264069
102,11728.89867,0.9997404233
103,11059.50854,0.9997532294
104,11480.934,0.999767546
105,10602.4782,0.9997802163
106,9520.340281,0.9997925121
107,6758.162408,0.9998009394
108,7588.390333,0.9998102894
109,7626.541701,0.9998199695
110,7108.950727,0.9998290454
111,7175.508964,0.9998386323
112,6937.698116,0.999847644
113,7162.162153,0.9998571068
114,5478.809599,0.9998646708
115,4465.497608,0.999870637
116,4339.55591,0.9998764027
117,3828.061345,0.9998816309
118,4957.421092,0.9998885487
119,3610.784896,0.9998936141
120,3717.920177,0.9998988022
121,3847.323067,0.9999040567
122,2990.278242,0.9999083405
123,2740.447208,0.9999125307
124,2770.418105,0.9999163967
125,2194.305566,0.9999196867
126,2502.452823,0.9999231974
127,2357.775551,0.9999267675
128,1968.234079,0.999929777
129,1917.98433,0.9999325816
130,1919.153911,0.9999355731
131,1496.485961,0.9999378168
132,1449.873146,0.9999401414
133,1496.613322,0.9999424853
134,1420.327481,0.9999445938
135,1397.825534,0.9999468764
136,1163.857208,0.9999487165
137,1121.036477,0.9999505304
138,1125.17576,0.9999523344
139,895.674104,0.9999537505
140,747.4679888,0.9999550154
141,853.9534706,0.9999563972
142,784.6323294,0.9999577018
143,812.5699545,0.9999590589
144,719.961457,0.9999602773
145,647.0026879,0.9999614011
146,593.0015856,0.9999624002
147,585.2279281,0.9999633906
148,556.1468573,0.9999643731
149,529.3181477,0.9999653003
150,501.0168522,0.9999661817
151,470.1191028,0.9999669843
152,394.8064366,0.9999676993
153,387.3561825,0.9999683807
154,424.0973932,0.9999691677
155,401.3692032,0.9999698827
156,342.7539221,0.9999705035
157,374.2262219,0.9999712118
158,344.3800463,0.9999718253
159,352.028896,0.9999724785
160,318.1789559,0.9999730713
161,297.1546754,0.9999736536
162,306.1599868,0.9999742353
163,284.3646288,0.9999747609
164,216.6764765,0.9999751791
165,245.2518598,0.9999756487
166,240.6837066,0.9999761311
167,209.1037585,0.99997653
168,202.7600065,0.9999769152
169,214.1421028,0.9999773508
170,164.492446,0.9999776792
171,209.5115062,0.9999780991
172,191.7741659,0.9999784777
173,172.4231183,0.9999788335
174,244.9988381,0.9999793372
175,162.595338,0.9999796631
176,152.4261709,0.9999799776
177,173.2184344,0.999980326
178,144.9607342,0.9999806359
179,158.0180165,0.999980969
180,160.747801,0.9999812995
181,126.212301,0.9999815675
182,119.8171823,0.9999818272
183,124.2602224,0.9999820983
184,104.2784631,0.9999823143
185,86.60676434,0.999982502
186,104.2394682,0.9999827341
187,88.421087,0.9999829264
188,84.96852875,0.9999831131
189,82.09125395,0.999983291
190,80.98227553,0.9999834701
191,69.71291843,0.999983629
192,65.98196901,0.999983773
193,71.14129905,0.9999839377
