freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.014771855e+11,0.9009692856
1,579166902.6,0.9113671185
2,187261539.2,0.9180909634
3,376775626.7,0.9350016762
4,174575866.6,0.9444042026
5,29497134.18,0.9470520255
6,50469160.04,0.9511293726
7,41042321.78,0.9555503905
8,25974042.1,0.95881459
9,24573530.92,0.9619027849
10,15851115.2,0.9643216845
11,9087380.043,0.9656268566
12,13036310.97,0.9679672767
13,15205037.1,0.971106516
14,5217919.753,0.9721369714
15,8544068.625,0.9739776801
16,6179411.069,0.9753089541
17,3674362.477,0.9762654632
18,5108553.473,0.9776411776
19,5042332.542,0.9789990591
20,3183679.407,0.9798849905
21,3154305.521,0.9809043218
22,2555284.583,0.981684201
23,2846460.814,0.9825784992
24,2797152.394,0.983532632
25,2246157.336,0.9843794665
26,2137872.092,0.9852238574
27,1713058.894,0.9858543286
28,1932433.908,0.9865828847
29,1087821.694,0.9870515989
30,1544312.36,0.9877031404
31,986786.4272,0.9881637528
32,840177.4832,0.9885408473
33,655303.1132,0.9888467298
34,726827.5446,0.9892186205
35,917978.0672,0.9896471145
36,815126.6695,0.9900715017
37,645703.4855,0.9904018842
38,803507.8274,0.9908634984
39,638027.2209,0.9912185897
40,604855.6703,0.991538931
41,643995.1909,0.9919320288
42,538711.7505,0.9922511896
43,561128.1766,0.9926138529
44,522059.4927,0.9929372069
45,468109.5204,0.9932229432
46,451330.1747,0.9935227457
47,485548.2636,0.9938409195
48,354483.2003,0.9940891181
49,320272.1274,0.9943076133
50,291350.7502,0.9945273004
51,297589.8346,0.9947436779
52,269498.818,0.994932373
53,284389.4336,0.9951519167
54,315209.5407,0.9953811056
55,229406.6377,0.9955746777
56,182195.7686,0.9957153297
57,226461.2568,0.9958982852
58,201601.7101,0.9960629667
59,186305.2248,0.9962168254
60,153354.5033,0.9963517315
61,183679.7049,0.996511666
62,159725.4,0.9966521766
63,135281.8356,0.9967736129
64,142631.2697,0.9968978055
65,137689.3746,0.9970312907
66,129757.46,0.9971477681
67,121944.8357,0.9972638002
68,113118.9349,0.9973785423
69,107891.6226,0.9974792657
70,121823.636,0.9976017439
71,82614.74425,0.9976810945
72,97650.91197,0.9977862826
73,95558.00782,0.9978857852
74,85612.26891,0.9979749314
75,86851.5365,0.998067707
76,90605.33731,0.9981653057
77,80035.30241,0.9982543923
78,60807.87091,0.9983193478
79,78724.96963,0.9984069759
80,57636.24109,0.9984742345
81,46818.95401,0.9985267685
82,50262.23288,0.9985872268
83,56682.82318,0.9986513376
84,53904.38909,0.9987161769
85,42345.39393,0.9987682526
86,46045.87285,0.9988244659
87,39429.66799,0.9988733099
88,37980.80822,0.9989179726
89,35964.62761,0.9989663983
90,35377.04302,0.999010222
91,33491.13924,0.9990535134
92,36703.12485,0.9991012862
93,29813.66993,0.9991403592
94,26754.85953,0.9991768645
95,24639.12466,0.9992089347
96,25915.45707,0.9992438294
97,23796.06456,0.9992775792
98,28892.91188,0.9993170017
99,20240.15056,0.9993462533
100,27857.48941,0.999384263
101,17589.17194,0.9994104727
102,23287.75225,0.9994441287
103,19522.50781,0.9994714669
104,15629.48194,0.9994950371
105,19640.42199,0.9995234219
106,12991.79061,0.999543714
107,18042.21266,0.9995709227
108,11948.36153,0.999588727
109,14672.81202,0.9996112496
110,12221.79527,0.9996301197
111,14294.14048,0.9996532158
112,11757.25733,0.9996716852
113,9874.566504,0.999687463
114,11001.68317,0.9997058319
115,9289.112073,0.999720841
116,10287.65472,0.9997373712
117,7794.732463,0.9997502457
118,11186.83233,0.9997691244
119,6317.668752,0.9997798428
120,9150.176242,0.9997952845
121,6515.653178,0.9998060463
122,7422.753901,0.999818906
123,5803.090936,0.9998296369
124,7210.827496,0.9998418059
125,4991.374129,0.9998508565
126,5548.970977,0.9998602707
127,5090.385332,0.9998695923
128,3838.198274,0.9998766898
129,4003.903521,0.9998837702
