freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.589589525e+11,0.8120309442
1,4210249187,0.888225787
2,291214311.2,0.8987662694
3,249794324.8,0.9100678804
4,120440983.5,0.9166069103
5,70787768.16,0.9230123065
6,97012428.14,0.9309128627
7,38959880.21,0.9351433134
8,35287492.06,0.9396136128
9,18366264.5,0.9419402928
10,32733334.11,0.9469756113
11,19373880.62,0.9497805565
12,13051297.58,0.9521425107
13,18613953.24,0.9560164627
14,20743038.85,0.9601458236
15,9715421.199,0.9622557177
16,10350291.35,0.9645034863
17,6537250.043,0.9662189474
18,4981226.578,0.9675711611
19,3379052.228,0.9684884454
20,4104428.975,0.9696397817
21,3670584.964,0.9708354909
22,3551867.258,0.9719282475
23,3095949.913,0.9729087524
24,3352136.35,0.9740613907
25,3026462.658,0.9752115881
26,2284811.474,0.9761212727
27,1864793.272,0.9768131074
28,2251202.849,0.9776686698
29,2119808.421,0.9785893857
30,2795501.555,0.9797782858
31,2997751.842,0.9811888303
32,1603658.097,0.981914384
33,1671922.51,0.9827010806
34,1292194.416,0.9833675658
35,1098150.324,0.983884283
36,896379.6201,0.9843547268
37,1031949.306,0.9848869833
38,1183651.903,0.9855724586
39,1052317.367,0.9861628312
40,728159.3976,0.9865515775
41,925678.3563,0.9871211602
42,847729.8431,0.9876274383
43,817024.6194,0.9881597371
44,720486.7395,0.988609582
45,1050621.071,0.9892560437
46,659834.36,0.9896978729
47,607314.9036,0.9900990394
48,568130.2325,0.9905000264
49,444920.7765,0.990806
50,487573.3088,0.9911766014
51,555219.549,0.9915835481
52,476748.5596,0.9919200378
53,358089.4315,0.9921986998
54,374947.0883,0.9924735163
55,389357.3794,0.9928046962
56,422847.433,0.9931337523
57,359652.0117,0.9934266479
58,300237.7043,0.993673874
59,393090.0811,0.994001115
60,353311.2939,0.9943144229
61,288974.1583,0.9945680634
62,262508.1842,0.9948008493
63,250921.6465,0.9950279016
64,302654.6803,0.9952935498
65,236761.4291,0.9955249281
66,230001.692,0.9957330505
67,208272.7679,0.9959328185
68,184059.0125,0.9961210201
69,163291.0448,0.9962746882
70,141206.7814,0.9964177953
71,181851.4793,0.9965938666
72,134671.395,0.9967400992
73,129085.5988,0.9968755943
74,113595.1153,0.9969948298
