freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.348791514e+11,0.7726616003
1,785281052.6,0.7933277688
2,400517387.5,0.8144085265
3,271289121.4,0.832257253
4,306414216.2,0.8564488764
5,112356114.9,0.8712332036
6,87354402.82,0.8815782432
7,62188664.76,0.8913979231
8,39502732.1,0.8986750512
9,35580782.43,0.9052296842
10,23425807.37,0.91046989
11,16616888.5,0.9139683309
12,15781640.29,0.9181215705
13,15801867.82,0.9229039178
14,13786032.57,0.9268947809
15,12682599.83,0.9308999825
16,10711474.31,0.934282697
17,8076779.245,0.9373647568
18,6681940.188,0.9400024768
19,7610888.774,0.9430069026
20,5860593.299,0.9453975093
21,5241383.869,0.9478803755
22,5545806.873,0.9503614997
23,3600137.599,0.9520195282
24,3950624.402,0.9539949243
25,3349960.061,0.9558462967
26,2664043.81,0.9573887033
27,2371851.13,0.9586683089
28,2691932.14,0.9601560188
29,2936398.917,0.9620106653
30,2603890.195,0.9636210342
31,2299721.651,0.9651945948
32,1644766.945,0.9662767243
33,1807999.933,0.9675138294
34,1655761.414,0.9687557032
35,1488015.56,0.9697738624
36,1345279.946,0.970800567
37,1461980.961,0.9718970993
38,1275255.834,0.9729710445
39,1034943.337,0.9738153762
40,1163115.188,0.9747183593
41,1030938.871,0.9756408174
42,1179349.075,0.9766650325
43,1195351.995,0.9777975193
44,894387.5505,0.9786095636
45,714892.9173,0.9792492318
46,849029.5399,0.9800759535
47,692945.4057,0.9807415741
48,766887.6462,0.9815286764
49,682435.0542,0.9822111405
50,488981.7512,0.9827516169
51,589570.8541,0.983380002
52,528005.6379,0.9839219256
53,476745.5588,0.9844614237
54,477166.0217,0.9849700038
55,505442.9382,0.9855951835
56,418723.7083,0.9860690225
57,425004.042,0.9865723382
58,381435.1266,0.9870290759
59,427821.614,0.9875469873
60,416443.8063,0.9880840034
61,338222.8118,0.9885157008
62,350317.4169,0.9889674451
63,293331.0852,0.9893534235
64,274256.579,0.9897034763
65,273723.1424,0.9900924678
66,308527.8339,0.9904984428
67,288433.2705,0.9909007484
68,222617.6458,0.9912317597
69,211929.0071,0.9915217801
70,239551.2021,0.991874818
71,252547.9796,0.992230394
72,207800.0279,0.9925585133
73,183886.2603,0.9928391937
74,153781.1082,0.9930739222
75,146875.3565,0.9933039078
76,144572.9994,0.9935321907
77,163192.9685,0.9937984642
78,144200.4109,0.9940242613
79,143903.0288,0.9942590604
80,154218.5181,0.9945228664
81,131289.7936,0.9947388128
82,133328.0079,0.9949739011
