freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.974947031e+11,0.7510486821
1,4010504971,0.8320473538
2,583460818.6,0.8556152344
3,384815262.6,0.8750451599
4,213037233.1,0.8879530603
5,85035412.21,0.8965402027
6,60390165.83,0.9020287521
7,45939556.67,0.9075956965
8,28212832.16,0.9115843248
9,31740349.68,0.9160716607
10,22060562.94,0.9198588268
11,27233584.13,0.9242590391
12,8311668.825,0.9259377158
13,13620554.86,0.9291012423
14,16461280.25,0.932758328
15,10368355.57,0.9352711977
16,9522816.31,0.9375791429
17,7621459.286,0.9398110955
18,6219487.026,0.9416952854
19,5382531.328,0.94332592
20,6599274.964,0.9453918079
21,4844785.882,0.9471530779
22,4718339.861,0.9487730852
23,4327447.311,0.9503025824
24,4200595.584,0.9519145017
25,5363360.98,0.9541892595
26,3407281.335,0.9557032025
27,3575191.647,0.9571834421
28,3487003.688,0.9586623821
29,2279390.502,0.959767246
30,2563654.215,0.9609840095
31,2450587.16,0.9622708429
32,2141402.198,0.9633520704
33,2589312.601,0.9647117503
34,2423730.577,0.966106859
35,2335231.24,0.9673331176
36,1849898.219,0.968416607
37,2037605.77,0.9695894608
38,1505889.072,0.9705627049
39,1790081.024,0.9716834665
40,1565033.041,0.9726159139
41,1370278.165,0.9735568638
42,1357622.196,0.9744617036
43,1062135.722,0.9752339597
44,1134820.607,0.9760246841
45,1467982.352,0.9770327261
46,1236446.746,0.977956692
47,1055678.369,0.9787349137
48,834152.6419,0.9793919494
49,845858.2349,0.9800411218
50,761077.1538,0.9806867118
51,845111.4036,0.981377982
52,636558.9093,0.9818793793
53,750220.0481,0.9825309117
54,692867.2533,0.9830976517
55,631940.3352,0.9836975157
56,661180.0247,0.9842717207
57,556206.217,0.9847772277
58,500298.0828,0.9852369749
59,543554.4263,0.9857419613
60,509089.9279,0.9862457744
61,473673.8912,0.9867097552
62,472218.0102,0.9871770786
63,551014.5252,0.9877335103
64,468201.763,0.988192131
65,456998.7134,0.9886905419
66,412682.8074,0.9891072819
67,364649.2459,0.9894976102
68,313235.2949,0.989855046
69,362550.4153,0.9902358053
70,308028.8937,0.9905841894
71,305166.8976,0.9909139282
72,303648.3597,0.9912818886
73,353007.6612,0.9916954033
74,308508.9011,0.9920567919
75,283457.0662,0.9923974221
76,268774.6412,0.9927231226
77,236405.3288,0.9930191472
78,214614.3099,0.993277049
79,202222.0363,0.9935302696
80,181337.1359,0.9937683255
81,218783.0153,0.9940444929
82,193649.6934,0.9943065347
83,180235.8395,0.9945358645
84,179119.0103,0.9947782437
85,209837.1984,0.9950685469
86,175971.1896,0.9953102206
87,160530.8331,0.9955339311
88,157774.0491,0.9957426471
89,137560.6113,0.9959510166
90,111197.2273,0.9961059774
91,127496.256,0.996291377
92,148340.0418,0.9965085847
93,120406.8857,0.9966861071
94,106842.8221,0.9968501048
95,105350.7224,0.9970043651
96,108795.4879,0.9971691628
97,107231.5381,0.9973402543
98,86023.69636,0.9974722958
99,85394.73021,0.997611133
100,78453.08558,0.997731554
101,82973.31303,0.9978706439
102,65897.60671,0.9979777821
103,64910.78485,0.9980800384
104,65927.24076,0.9981918851
105,59068.56105,0.9982879204
106,53675.12078,0.9983822333
107,47782.13735,0.9984632965
108,57091.9068,0.9985590008
109,49340.93695,0.9986442033
110,49313.6345,0.9987298567
111,41260.6005,0.9988048559
112,31671.63576,0.9988608262
113,31348.78901,0.9989171756
114,37064.04091,0.9989867925
115,31418.33737,0.9990439015
116,26134.09427,0.9990911415
117,24381.93328,0.9991364453
118,26296.22214,0.9991863682
119,22106.80495,0.9992285608
120,21222.05724,0.9992688505
121,20984.58363,0.9993078418
122,20086.62535,0.9993469901
123,17600.56925,0.9993836037
124,14640.69506,0.9994113988
125,15731.74525,0.9994434894
126,14865.25541,0.9994718609
127,13484.22332,0.9994996392
128,12567.04806,0.9995257818
129,14063.0255,0.9995537584
130,11514.66057,0.9995781769
131,10349.56394,0.9995992885
132,9589.455274,0.9996202054
133,9641.659135,0.9996407493
134,9148.947444,0.9996592271
