freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.846580046e+11,0.6645561219
1,3369026553,0.7615530422
2,536729221.7,0.7924587539
3,425607411,0.8230926829
4,150562433.5,0.836097115
5,109508775.7,0.8518613333
6,73096198.89,0.8613315697
7,45045554.01,0.869112951
8,38331993.28,0.8768382083
9,31228684.77,0.8831318968
10,20957318.18,0.8882606068
11,18368153.13,0.8924912753
12,16948292.03,0.8973708216
13,15647185.35,0.9025515113
14,12378814.98,0.9064718652
15,8992225.815,0.9095785841
16,9787017.681,0.9129598952
17,10730187.45,0.9174393878
18,10401740.48,0.921931502
19,7938180.97,0.9253596989
20,5690877.318,0.9278992938
21,5044695.078,0.9305136269
22,5424210.642,0.9331684708
23,6883070.659,0.9366364285
24,4367923.701,0.9390257916
25,4629501.67,0.9418248183
26,3483956.652,0.944031547
27,3572368.477,0.9461399985
28,3687686.846,0.9483695979
29,3578853.373,0.9508425099
30,3206332.028,0.9530118611
31,2711046.593,0.9550412433
32,2617161.009,0.9569249963
33,2462669.901,0.9587684535
34,2413509.595,0.9607488284
35,2683946.217,0.9627579243
36,1830086.594,0.9642859236
37,1603306.677,0.9656014966
38,1480334.273,0.9669653362
39,1721275.854,0.9685015996
40,1289748.963,0.9695970197
41,1095833.319,0.9706697164
42,1182656.665,0.9717933536
43,968275.3953,0.9727969404
44,1026803.311,0.9738168457
45,733892.7043,0.9745352435
46,824898.4818,0.9754139741
47,781487.6401,0.9762352111
48,907222.8376,0.9772538777
49,710199.1705,0.978030871
50,667236.9688,0.9788377026
51,584068.2378,0.9795187418
52,540936.4958,0.9801261273
53,583180.9677,0.9808481076
54,488369.3147,0.9814175593
55,486220.3686,0.9820754966
56,441629.688,0.9826222358
57,489322.8206,0.9832561953
58,483217.5678,0.983889201
59,408721.6905,0.9844305022
60,394013.9546,0.9849863568
61,382671.1665,0.9855207009
62,375803.8493,0.9860508656
63,382236.5977,0.9866011102
64,315875.1833,0.9870421835
65,303557.4055,0.9875141249
66,296765.7652,0.9879413309
67,312353.56,0.9884179548
68,234924.663,0.9888001019
69,270374.2187,0.9892048848
70,230646.6151,0.9895767526
71,242983.6901,0.9899510221
72,233299.9954,0.9903540355
73,218108.1198,0.9907182468
74,243596.2082,0.9911250197
