freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.64777477e+11,0.8994292732
1,468213907.8,0.9066779083
2,539477987.6,0.9233817227
3,222962338.9,0.9320111793
4,213969402,0.9419488559
5,75799140.04,0.9478162629
6,66926994.16,0.9524788372
7,28118773.67,0.9550907553
8,28979981.56,0.9582313224
9,28056495.68,0.9612718111
10,21483017.5,0.9640988133
11,15665908.74,0.9660390625
12,9932379.159,0.9675767398
13,8760414.091,0.9691364159
14,9118498.007,0.9706892603
15,7325917.53,0.9720502511
16,5319150.658,0.9730384297
17,4669254.979,0.9740865896
18,5122161.479,0.9752760677
19,5495326.165,0.9765522029
20,3210828.859,0.9773226818
21,3007858.11,0.9781608705
22,2678399.278,0.9788657845
23,2818213.366,0.9796293106
24,3344864.632,0.980613195
25,2134355.332,0.9813070967
26,2091456.537,0.9820194303
27,2024439.006,0.9826619264
28,1586507.392,0.9831777169
29,1392817.129,0.9836952251
30,1215393.628,0.9841374027
31,1408877.313,0.9847045012
32,1454182.214,0.9852673228
33,1240671.974,0.9857667156
34,1099968.735,0.9862520456
35,1069716.65,0.9866826257
36,1054467.697,0.987156042
37,976137.6736,0.9875867351
38,883740.1473,0.9880245459
39,817471.2904,0.9884168711
40,790792.4684,0.9887780284
41,676199.557,0.9891339594
42,609834.4094,0.9894455166
43,625838.4741,0.9897943167
44,640418.7693,0.990136371
45,592366.9157,0.990448175
46,465576.996,0.9907148641
47,481837.748,0.9909871377
48,481133.8014,0.9912776352
49,561573.6456,0.9916080065
50,489095.6288,0.9919260269
51,435298.8746,0.9921989589
52,379799.9935,0.9924282734
53,405229.215,0.9926980356
54,369787.9514,0.9929298924
55,312774.5914,0.9931574761
56,367465.2765,0.9934020988
57,314246.2925,0.9936210234
58,326585.3269,0.9938510722
59,322787.8507,0.9940809447
60,305332.6274,0.9943125674
61,368382.0838,0.9945891674
62,345616.122,0.9948513489
63,301375.3325,0.9950846354
64,239375.499,0.9952643707
65,192649.071,0.9954254251
66,202573.7747,0.995582232
67,207690.7696,0.9957526459
68,201848.3989,0.9959292032
69,190056.1667,0.9960822052
70,174958.0641,0.9962338872
71,179754.6548,0.9963827705
72,175934.901,0.9965461942
73,139508.7713,0.9966714626
74,135834.4745,0.9967934317
75,127744.6558,0.9969111033
76,137561.6499,0.9970388826
77,126053.4896,0.9971598751
78,106758.1613,0.9972582151
79,120116.8763,0.9973735093
80,109941.4735,0.9974841429
81,113062.6784,0.9975935414
82,90624.70523,0.9976875425
83,97202.19433,0.997782347
84,87285.42641,0.9978728844
85,84551.3585,0.9979625495
86,82960.89216,0.9980498857
87,81216.15474,0.9981366425
88,80501.9771,0.9982182743
89,61742.50032,0.9982899641
90,66857.52493,0.9983613827
91,67905.60427,0.9984370747
92,64429.52453,0.9985093908
93,54200.52571,0.9985706454
94,59258.73006,0.9986403687
95,49471.80418,0.9986958961
96,52340.13108,0.9987566687
97,43906.95654,0.9988103685
98,44194.70361,0.9988623676
99,37249.7328,0.9989087903
100,44464.72865,0.9989611071
101,41679.94771,0.9990146643
102,39862.53309,0.9990643432
103,32366.0156,0.9991034269
104,31797.97564,0.9991447784
105,30332.04251,0.9991825799
106,28179.86868,0.999220535
107,27704.64318,0.9992565633
108,21921.22333,0.9992847313
109,26748.37323,0.9993201371
110,23750.20675,0.9993517583
111,22342.87684,0.9993828893
112,20683.52561,0.9994109078
113,20686.98647,0.9994394114
114,17252.05855,0.9994642505
115,19631.03106,0.999491603
116,17926.32883,0.9995164416
117,15878.15328,0.9995390567
118,13418.79196,0.9995585845
119,15466.90955,0.9995812126
120,13046.89753,0.9996001992
121,13617.51093,0.9996195945
122,11667.5258,0.9996370253
123,12028.88145,0.9996562065
124,10810.5498,0.9996719386
125,10401.98634,0.9996882034
126,9371.561259,0.999701914
127,8675.820549,0.9997156141
128,8117.37753,0.999728558
129,7287.983838,0.9997396716
130,7324.137801,0.9997515774
131,6575.791642,0.9997618595
132,6799.319295,0.9997732279
133,6104.975079,0.9997831991
134,5349.470674,0.9997914809
135,4470.628268,0.9997990942
136,5041.254996,0.9998074061
137,4876.627222,0.9998156353
138,3980.868013,0.9998222913
139,4009.78863,0.9998289025
140,3752.668619,0.9998355256
141,3541.594349,0.9998415019
142,2994.154203,0.9998466936
143,3532.22468,0.9998528455
144,2420.423764,0.9998571173
145,2540.85071,0.9998617196
146,2720.961567,0.9998665007
147,2150.837316,0.9998702967
148,2011.306664,0.9998740021
149,2153.798869,0.9998779367
150,1994.391639,0.9998815955
151,1920.945715,0.9998850155
152,1741.095967,0.999888304
153,1962.390783,0.9998919041
154,1575.213077,0.9998949524
155,1646.763006,0.9998980118
156,1510.171875,0.9999008641
157,1266.040146,0.9999033631
158,1301.432158,0.9999057809
159,1190.586937,0.9999080849
160,1331.969046,0.9999106728
161,1144.424514,0.9999130115
162,1118.030747,0.999915227
163,1034.178,0.9999172203
164,1016.231577,0.9999192656
165,910.3346137,0.9999210836
166,957.9617522,0.9999230857
167,947.8453346,0.9999249714
168,813.8160407,0.999926584
169,761.7661784,0.9999281997
170,750.5738077,0.9999297626
171,738.292751,0.9999313056
172,631.0321799,0.999932605
173,705.9815004,0.9999341242
174,597.2789335,0.9999354048
175,585.0501659,0.9999366276
176,593.6165468,0.999937905
177,494.8552225,0.9999389431
178,489.8760205,0.9999400352
179,452.7216746,0.9999410304
180,418.557213,0.9999419279
181,370.8469277,0.9999427489
182,418.3369364,0.9999436945
183,358.4660197,0.9999445102
184,342.6906608,0.9999452503
185,325.6520019,0.9999459864
186,307.4107783,0.9999467003
187,309.3156728,0.9999474018
188,293.6877205,0.9999480747
189,260.0537315,0.9999486625
190,263.285185,0.9999492699
191,236.2194568,0.9999498312
192,255.0684286,0.9999504117
193,218.0005551,0.9999509382
194,202.8224347,0.9999514076
195,207.5136859,0.9999519088
196,184.4146634,0.9999523542
197,184.636914,0.9999527915
198,183.2959208,0.9999532385
199,172.4098551,0.9999536495
200,165.659076,0.999954065
201,149.6959368,0.999954423
202,153.8197715,0.9999547921
203,137.7415002,0.9999551461
204,143.5093615,0.9999554983
205,123.6219358,0.9999558141
206,138.2353291,0.9999561522
207,130.1802348,0.9999564807
208,108.6418607,0.9999567591
209,109.3101392,0.9999570349
210,116.543735,0.9999573308
211,109.9465532,0.9999576176
212,106.719968,0.9999578935
213,103.8322515,0.9999581636
214,109.6950673,0.9999584489
215,99.08380366,0.9999587028
216,102.5404197,0.9999589774
217,103.3797487,0.9999592527
218,101.7997508,0.9999595198
219,100.3294005,0.9999597885
220,91.07477527,0.9999600324
221,99.27866902,0.9999603006
222,91.12963,0.9999605518
223,91.14541236,0.9999607945
224,95.44550582,0.999961059
225,94.03741609,0.999961313
226,91.31326592,0.9999615646
227,94.59101718,0.9999618238
228,88.91793898,0.9999620737
229,86.93134358,0.9999623254
230,91.07445007,0.9999625721
231,85.88041693,0.9999628114
232,82.4121181,0.999963043
233,81.89726817,0.9999632763
234,80.86638666,0.9999635129
235,82.74182497,0.9999637441
236,78.59589645,0.9999639692
237,75.13560851,0.9999641902
238,81.18088671,0.9999644183
239,73.91616337,0.999964638
240,77.29636975,0.999964857
241,73.04831689,0.9999650787
242,71.64403865,0.9999652933
243,74.40879572,0.999965511
244,72.55074005,0.9999657289
245,71.78250031,0.9999659362
246,67.78587208,0.9999661482
247,69.74197832,0.9999663566
248,68.4413735,0.9999665589
249,67.4264133,0.999966763
250,64.97537968,0.9999669582
251,64.15284821,0.9999671568
252,68.46768189,0.9999673661
253,63.92462832,0.9999675631
254,62.32503069,0.999967758
255,64.78672914,0.9999679616
256,62.18922056,0.9999681537
257,63.0795963,0.999968348
258,59.23062785,0.9999685378
259,63.61831056,0.9999687373
260,61.32119752,0.9999689319
261,59.41648411,0.9999691204
262,59.56815143,0.99996931
263,58.97003515,0.9999694989
264,60.22992715,0.9999696901
265,57.329517,0.9999698791
266,58.05913317,0.9999700665
267,57.22399711,0.9999702508
268,57.84094451,0.9999704424
269,58.49971668,0.9999706322
270,56.25829874,0.9999708159
271,58.31801404,0.999971011
272,50.80523686,0.9999711809
273,57.6621116,0.9999713714
274,58.56344129,0.9999715627
275,51.69297092,0.9999717396
276,50.34113065,0.9999719076
277,56.18110489,0.9999720989
278,57.6843312,0.9999722927
279,51.65375425,0.9999724674
280,49.59101077,0.9999726386
281,45.04185914,0.9999727906
282,57.14359694,0.999972987
283,56.79203067,0.9999731818
284,53.86078288,0.9999733711
285,44.75181491,0.999973527
286,45.16673465,0.9999736811
287,47.81077779,0.9999738492
288,61.43280829,0.9999740641
289,45.31074116,0.9999742247
290,45.86425954,0.9999743898
291,54.31010657,0.999974574
292,46.37332025,0.9999747448
293,37.24884798,0.9999748772
294,48.46530083,0.9999750505
295,50.25476141,0.9999752294
296,46.2240677,0.9999753983
297,41.1568381,0.999975549
298,41.84630204,0.9999756974
299,43.27552445,0.9999758541
300,44.5846473,0.9999760167
301,45.76302856,0.9999761839
302,43.44756826,0.999976348
303,41.80058423,0.9999764991
304,40.25450804,0.9999766468
305,45.82796297,0.9999768206
306,46.70816668,0.999976992
307,40.6598822,0.9999771447
308,39.21192221,0.9999772885
309,38.12607268,0.9999774379
310,43.05275177,0.9999775982
311,42.80696533,0.9999777605
312,40.08837368,0.9999779107
313,40.39161324,0.9999780646
314,37.69188166,0.9999782125
315,38.20963091,0.9999783586
316,41.05081333,0.9999785149
317,38.25588755,0.9999786627
318,37.70851488,0.9999788098
319,39.25492387,0.9999789611
320,37.8427223,0.9999791067
321,36.53160212,0.9999792492
322,38.13081532,0.999979401
323,36.29354184,0.9999795442
324,36.28988262,0.9999796844
325,37.41345971,0.9999798339
326,34.59058476,0.999979972
327,35.37345486,0.9999801147
328,34.13039671,0.9999802521
329,34.89318018,0.9999803893
330,33.89054883,0.9999805262
331,32.64603834,0.9999806558
332,33.23821387,0.9999807886
333,32.52270752,0.9999809245
334,34.23738253,0.9999810621
335,33.25571931,0.9999811985
336,33.24812573,0.9999813329
337,32.32510223,0.9999814625
338,31.66359756,0.9999815975
339,33.01849133,0.999981733
340,31.29297344,0.9999818648
341,32.59565736,0.9999819987
342,31.94062567,0.9999821293
343,30.34073626,0.9999822599
344,32.65632813,0.9999823931
345,30.54345387,0.9999825241
346,31.06269526,0.9999826534
347,31.48560776,0.999982787
348,29.88460939,0.9999829131
349,30.65609716,0.9999830407
350,30.95851166,0.999983174
351,29.91319466,0.999983303
352,29.43758073,0.9999834296
353,30.12953394,0.9999835598
354,30.35229079,0.9999836881
355,28.41383477,0.9999838132
356,28.6994014,0.9999839354
357,28.04098422,0.99998406
358,28.850697,0.9999841844
359,28.24493932,0.9999843059
360,27.46028869,0.9999844288
361,29.41432285,0.9999845556
362,27.87128151,0.9999846799
363,28.26957633,0.9999848024
364,28.09391245,0.9999849294
365,28.68256095,0.9999850575
366,27.70895622,0.9999851811
367,27.68198972,0.9999853037
368,27.30382993,0.999985426
369,26.58893996,0.9999855471
370,27.46763424,0.9999856704
371,27.66765752,0.9999857942
372,27.26395381,0.9999859172
373,26.09339918,0.9999860356
374,26.20094113,0.9999861573
375,28.45801442,0.9999862857
376,26.48924788,0.9999864058
377,25.88998252,0.9999865261
378,26.22068476,0.9999866456
379,26.46462302,0.9999867685
380,26.34128242,0.9999868876
381,24.62081873,0.9999870039
382,26.62910526,0.9999871286
383,25.51856632,0.9999872471
384,24.77379779,0.9999873629
385,25.45018147,0.9999874817
386,24.70395132,0.9999875995
387,24.57858098,0.9999877137
388,24.64030802,0.9999878304
389,25.03033277,0.9999879496
390,23.86623726,0.9999880619
391,24.63548567,0.9999881805
392,24.67007039,0.999988296
393,23.96113531,0.9999884114
394,23.67789577,0.9999885272
395,24.42320237,0.9999886426
396,24.65931635,0.9999887622
397,24.07286535,0.9999888759
398,23.50266272,0.9999889931
399,24.20678962,0.9999891102
400,23.35936046,0.999989223
401,22.8655128,0.9999893363
402,23.66640961,0.9999894504
403,23.22816409,0.9999895658
404,23.26312786,0.9999896789
405,23.31152384,0.999989793
406,22.9902067,0.9999899088
407,23.27784047,0.9999900223
408,22.12546742,0.9999901337
409,23.28933877,0.9999902474
410,22.92102386,0.999990362
411,22.48818978,0.9999904759
412,19.04963036,0.999990569
413,15.43564626,0.9999906422
414,15.18815865,0.9999907129
415,14.59126469,0.9999907825
416,14.36245626,0.9999908477
417,14.90119643,0.9999909149
418,14.83167246,0.9999909807
419,14.4581417,0.9999910467
420,14.16953598,0.9999911103
421,14.67338367,0.9999911752
422,14.09606507,0.9999912378
423,14.82710036,0.9999913023
424,14.13495221,0.9999913639
425,14.1632527,0.9999914257
426,14.23672824,0.9999914866
427,13.41496881,0.9999915451
428,13.8763805,0.9999916046
429,13.90815749,0.9999916637
430,15.06189442,0.9999917265
431,14.74202575,0.9999917881
432,14.16183313,0.9999918502
433,13.99861462,0.9999919084
434,14.44796688,0.9999919699
435,14.44781494,0.9999920292
436,13.88191709,0.9999920871
437,14.20957342,0.999992147
438,14.516271,0.9999922065
439,14.10807345,0.9999922657
440,13.85108427,0.9999923226
441,13.56057275,0.9999923785
442,13.71228465,0.9999924346
443,14.62835085,0.9999924926
444,13.51042673,0.9999925494
445,13.73886843,0.999992605
446,13.80947609,0.9999926617
447,13.82192288,0.9999927174
448,14.61492941,0.999992774
449,13.85593149,0.9999928322
450,14.04196804,0.9999928889
451,13.64096207,0.999992944
452,14.32723457,0.9999930008
453,14.14381413,0.9999930573
454,14.22338608,0.9999931146
455,14.7494387,0.9999931721
456,13.88743303,0.9999932283
457,13.90119335,0.9999932839
458,14.40149167,0.9999933407
459,14.06431844,0.9999933964
460,13.93310198,0.9999934502
461,13.96952205,0.9999935063
462,14.76445466,0.9999935636
463,13.9419229,0.9999936189
464,14.03833954,0.999993674
465,14.49690735,0.9999937307
466,14.13136737,0.9999937866
467,13.90366938,0.9999938397
468,13.76034546,0.9999938936
469,13.94852035,0.9999939481
470,14.23666833,0.9999940039
471,14.02926573,0.9999940585
472,14.77589745,0.9999941146
473,14.39708056,0.9999941705
474,13.89999843,0.9999942246
475,13.43430196,0.999994277
476,14.29110986,0.9999943313
477,14.28538951,0.9999943852
478,13.72281038,0.9999944392
479,14.50364122,0.9999944941
480,13.37501662,0.999994546
481,14.00377058,0.9999945992
482,13.33500897,0.9999946507
483,13.70066691,0.9999947032
484,14.43936299,0.9999947569
485,13.79852267,0.9999948106
486,14.41930926,0.999994864
487,13.97040606,0.9999949189
488,13.97776853,0.9999949723
489,14.29327324,0.999995025
490,14.15558832,0.9999950789
491,14.3648122,0.9999951325
492,14.21814417,0.9999951869
493,13.87509889,0.9999952395
494,14.21808879,0.9999952923
495,14.17761264,0.9999953469
496,14.06316365,0.9999953986
497,13.74101265,0.9999954511
498,13.86290261,0.9999955029
499,13.73941176,0.9999955543
500,13.47767009,0.9999956052
501,13.7167641,0.9999956555
502,14.29310158,0.9999957093
503,14.27439938,0.9999957621
504,13.66849622,0.9999958137
505,14.01550631,0.9999958662
506,14.09698574,0.9999959181
507,13.67214097,0.9999959701
508,14.26957188,0.9999960224
509,13.53271904,0.9999960729
510,14.06613478,0.9999961244
511,13.74412919,0.9999961759
512,13.79730268,0.9999962275
513,14.10819381,0.9999962793
514,14.61905794,0.9999963339
515,14.08418163,0.9999963851
516,14.27822003,0.9999964383
517,13.92722939,0.9999964897
518,14.20536411,0.9999965414
519,13.81513393,0.9999965931
520,14.42587175,0.9999966456
521,13.7335381,0.9999966969
522,14.04370098,0.9999967478
523,13.86874394,0.999996799
524,14.21027566,0.9999968511
525,13.81478272,0.9999969017
526,13.97481363,0.9999969529
527,13.96609168,0.9999970035
528,13.95129689,0.9999970549
529,13.96471917,0.9999971059
530,14.59522784,0.9999971589
531,13.57773647,0.9999972095
532,14.3777657,0.9999972605
533,13.32261109,0.9999973101
534,13.80627466,0.99999736
535,13.69068397,0.9999974094
536,13.41236693,0.9999974591
537,14.02227578,0.9999975085
538,13.25056233,0.9999975583
539,13.90265232,0.9999976079
540,13.6640291,0.9999976575
541,14.22341942,0.9999977084
542,13.87191075,0.9999977586
543,13.52993035,0.9999978085
544,13.96348778,0.9999978581
545,13.6482939,0.9999979081
546,13.60935657,0.9999979577
547,14.11744373,0.9999980074
548,13.39184658,0.9999980569
549,13.69678083,0.9999981053
550,13.73808778,0.9999981557
551,13.80645152,0.9999982053
552,14.27072411,0.999998256
553,13.74716474,0.9999983063
554,13.75048742,0.9999983543
555,13.21559344,0.9999984033
556,13.08973035,0.9999984498
557,13.94764625,0.9999985
558,13.88643881,0.9999985494
559,14.33450091,0.9999985999
560,12.71201328,0.9999986469
561,14.21000848,0.9999986968
562,13.83237197,0.9999987466
563,13.5860372,0.9999987957
564,14.27325607,0.999998846
565,13.65914401,0.9999988954
566,13.47836426,0.9999989427
567,13.9146741,0.9999989929
568,13.52606495,0.9999990412
569,13.92187223,0.9999990914
570,13.54857406,0.9999991391
571,13.65429503,0.9999991874
572,13.96844542,0.9999992374
573,14.3242636,0.9999992881
574,14.13841149,0.9999993384
575,13.54832038,0.999999386
576,13.12391481,0.9999994329
577,13.94655611,0.9999994828
578,14.15465364,0.9999995329
579,13.39617532,0.9999995809
580,13.14767645,0.9999996278
581,13.99249048,0.9999996776
582,14.14479503,0.9999997274
583,13.93613525,0.999999776
584,8.102797312,0.9999998039
585,1.578681715,0.999999809
586,1.492313103,0.9999998136
587,1.363271106,0.9999998177
588,1.277958339,0.9999998216
589,1.373742647,0.9999998256
590,1.266364751,0.9999998291
591,1.146670092,0.9999998323
592,1.217214412,0.9999998357
593,1.148672487,0.9999998388
594,1.181429404,0.999999842
595,1.301370565,0.9999998453
596,1.190860274,0.9999998483
597,1.161344999,0.9999998514
598,1.254440099,0.9999998545
599,1.252477451,0.9999998575
600,1.223740857,0.9999998605
601,1.16152883,0.9999998633
602,1.263060502,0.9999998663
603,1.209552816,0.999999869
604,1.232342302,0.9999998719
605,1.22135816,0.9999998746
606,1.107540303,0.9999998771
607,1.183217878,0.9999998797
608,1.26824324,0.9999998824
609,1.189854349,0.9999998849
610,1.184958202,0.9999998875
611,1.23271019,0.99999989
612,1.178691002,0.9999998925
613,1.188306373,0.9999998948
614,1.188553102,0.9999998972
615,1.106491833,0.9999998994
616,1.200219319,0.9999999017
617,1.118452783,0.9999999038
618,1.176632536,0.9999999061
619,1.242382833,0.9999999084
620,1.162269013,0.9999999105
621,1.154460858,0.9999999125
622,1.170068241,0.9999999147
623,1.194157028,0.9999999168
624,1.164991004,0.9999999188
625,1.249704073,0.9999999209
626,1.16369502,0.9999999229
627,1.196811683,0.9999999249
628,1.009770476,0.9999999265
629,1.164914931,0.9999999284
630,1.213886198,0.9999999303
631,1.147604774,0.9999999321
632,1.056255994,0.9999999338
633,1.096189547,0.9999999354
634,1.077325898,0.999999937
635,1.125563763,0.9999999387
636,1.189082064,0.9999999404
637,1.159579062,0.9999999421
638,1.109802725,0.9999999436
639,1.172116265,0.9999999453
640,1.203852724,0.999999947
641,1.118291741,0.9999999484
642,1.083063923,0.9999999499
643,1.12914103,0.9999999513
644,1.238401953,0.9999999529
645,1.085731324,0.9999999543
646,1.238898517,0.9999999558
647,1.00486512,0.999999957
648,1.106681587,0.9999999584
649,1.124729465,0.9999999597
650,1.108828575,0.999999961
651,1.157880561,0.9999999623
652,1.083955228,0.9999999635
653,1.148419393,0.9999999647
654,1.116386661,0.999999966
655,1.112731395,0.9999999671
656,1.11498765,0.9999999683
657,1.014730725,0.9999999693
658,1.189456008,0.9999999705
659,1.141388879,0.9999999716
660,1.1026963,0.9999999727
661,1.145273966,0.9999999737
662,1.198447167,0.9999999749
663,1.010082111,0.9999999758
664,1.058293298,0.9999999767
665,0.9806924336,0.9999999776
666,1.153216865,0.9999999785
667,1.023261068,0.9999999794
668,1.019834914,0.9999999802
669,1.076318869,0.999999981
670,1.02510044,0.9999999818
671,1.19027875,0.9999999827
672,1.048767893,0.9999999835
673,1.145919689,0.9999999843
674,1.077667629,0.999999985
675,1.182945789,0.9999999859
676,1.218219433,0.9999999866
677,1.087971098,0.9999999874
678,1.230833944,0.9999999881
679,1.152629585,0.9999999888
680,1.166552107,0.9999999895
681,1.14867853,0.9999999901
682,1.038605782,0.9999999907
683,0.9950251174,0.9999999912
684,1.026888146,0.9999999918
685,1.204830917,0.9999999924
686,0.995439885,0.9999999928
687,1.048574213,0.9999999933
688,1.079905007,0.9999999938
689,1.08251456,0.9999999943
690,1.114096548,0.9999999947
691,1.179552532,0.9999999952
692,1.164965064,0.9999999956
693,1.123710032,0.9999999961
694,0.9640014614,0.9999999964
695,1.073160459,0.9999999967
696,1.121281027,0.999999997
697,1.15907545,0.9999999974
698,0.9474976126,0.9999999977
699,1.165325609,0.9999999979
700,0.9881668779,0.9999999982
701,1.2781308,0.9999999985
702,1.202039527,0.9999999987
703,1.407378093,0.999999999
704,0.9987567142,0.9999999991
705,1.085975666,0.9999999993
706,1.115991319,0.9999999994
707,1.206632158,0.9999999996
708,1.131400098,0.9999999997
709,1.069393181,0.9999999998
710,0.8035897139,0.9999999999
711,1.354269351,0.9999999999
712,1.108270975,1
713,1.214622527,1
714,0.2762718871,1
