freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.499291147e+11,0.8559348084
1,205714215.7,0.8653300727
2,126080059.5,0.8768465883
3,42311850.77,0.8816776961
4,49477517.38,0.8884568244
5,31039776.98,0.8955449809
6,27514179.91,0.9011997358
7,23618082.51,0.9076717667
8,18412486.83,0.9135582401
9,13444766.34,0.9178565329
10,6164628.972,0.9202496865
11,7297454.903,0.9229159687
12,6721221.771,0.9259856474
13,7964852.983,0.9301689598
14,5091357.452,0.9327267857
15,6084608.335,0.9360614995
16,5864495.252,0.9392755788
17,3671451.581,0.9417069457
18,3335217.9,0.9439918088
19,2413665.778,0.9456453426
20,1769572.756,0.9468980361
21,2153677.624,0.9486685441
22,2965369.78,0.9509709001
23,2159304.813,0.9526967249
24,2705770.282,0.955044677
25,2066151.025,0.9570263229
26,1720270.23,0.9587548017
27,1514321.008,0.9601726067
28,1489900.645,0.9616015707
29,1284770.058,0.9630098259
30,970592.6522,0.9640515424
31,904215.4228,0.9651252597
32,1004099.547,0.9662717265
33,1143902.482,0.967630062
34,1069614.687,0.969022311
35,897426.2306,0.9700879664
36,677512.0679,0.970985312
37,842178.9371,0.9720815225
38,698207.3144,0.9731019427
39,703762.6225,0.9740983401
40,677586.5149,0.9750112575
41,461822.1689,0.9757283883
42,448033.9764,0.9764036461
43,370269.3149,0.9770124325
44,462352.6371,0.9777409452
45,415837.094,0.9783866691
46,398511.5319,0.9790600911
47,337012.636,0.9796218937
48,293240.1115,0.9801442089
49,318435.5987,0.9806968586
50,362532.1926,0.981392268
51,363873.9984,0.9820653233
52,304095.7091,0.9826069743
53,223969.13,0.983046821
54,255127.0671,0.9835187278
55,202135.567,0.9839526235
56,231941.9596,0.9844081278
57,225098.8608,0.9848707543
58,208379.7017,0.9853037778
59,182670.8921,0.9856875486
60,193872.869,0.9861214168
61,205885.4116,0.9865774663
62,192470.7338,0.9870081967
63,172496.2211,0.9874021042
64,196228.3733,0.9878367628
65,193475.9177,0.9883139242
66,182950.0206,0.9887317038
67,152520.4051,0.9891008926
68,169636.0063,0.9895386275
69,163533.999,0.9899270068
70,174445.6888,0.9903731692
71,165205.5291,0.990776836
72,151142.7973,0.9911910106
73,146778.9113,0.9915798196
74,97874.84962,0.9918390846
75,92084.65678,0.9920893201
76,95990.76432,0.9923523623
77,104235.6762,0.9926475191
78,89112.65548,0.9928896783
79,79104.44119,0.9931136727
80,75010.92809,0.9933363535
81,60399.41236,0.9935087615
82,58593.48687,0.9936880567
83,68452.95766,0.9938850165
84,96842.95749,0.9941813546
85,66322.06881,0.9943888428
86,64884.03725,0.9945903504
87,53294.60922,0.9947582993
88,48161.034,0.994902372
89,44985.2733,0.9950564627
90,45761.21781,0.9952006713
91,42473.84895,0.9953403399
92,49673.19896,0.9955048168
93,73835.56721,0.9957509857
94,266842.1515,0.9966772027
95,74373.40202,0.9969234663
96,41510.15214,0.9970656535
97,36203.37621,0.9971962768
98,36291.68337,0.9973222463
99,35816.2892,0.9974539267
100,30116.30409,0.9975584613
101,25435.75061,0.9976548814
102,23895.31501,0.9977427337
103,19715.94418,0.9978129692
104,25943.62587,0.9979124994
105,20214.8052,0.9979868201
106,18830.68597,0.9980616423
107,17968.41835,0.9981305763
108,19228.78916,0.9982034675
109,17287.98332,0.9982709755
110,17969.56696,0.9983415553
111,17827.68749,0.9984148348
112,15542.15299,0.9984769451
113,19065.25057,0.9985544407
114,17294.28489,0.9986278972
115,16790.33851,0.9986969127
116,18316.53042,0.9987717833
117,26132.07527,0.9988815843
118,18602.58186,0.9989614473
119,15419.41247,0.9990279968
120,10997.02747,0.9990752083
121,9699.209759,0.9991159622
122,9660.020338,0.9991585367
123,7089.337836,0.9991918861
124,6946.367542,0.9992217076
125,6709.495648,0.9992526573
126,7029.404889,0.9992829959
127,5716.704714,0.9993096271
128,5927.947669,0.9993375131
129,6122.462125,0.9993650558
130,6121.655784,0.9993944122
131,5284.526722,0.9994187887
132,5853.868426,0.999447663
133,5542.030233,0.9994743664
134,3567.181562,0.9994906582
135,3693.739837,0.9995092151
136,4324.660093,0.9995302502
137,4119.334952,0.9995507571
138,3743.508422,0.999569222
139,2953.496167,0.9995835878
140,3177.828948,0.9996001333
141,2925.642168,0.9996146977
142,2695.700584,0.9996284868
143,2682.453566,0.9996422693
144,2194.101539,0.999653693
145,2275.331252,0.9996658514
146,2615.365024,0.9996794086
147,2275.195738,0.9996912546
148,1865.230298,0.9997013919
149,1656.3693,0.9997103185
150,1487.633732,0.9997183696
151,1454.856996,0.9997260108
152,1468.28116,0.999734192
153,1406.29546,0.9997418029
154,1607.875918,0.9997509822
155,1418.315143,0.9997587554
156,1223.104928,0.9997655704
157,1056.23051,0.999771721
158,993.8707363,0.9997771679
159,1371.735996,0.9997849991
160,1307.532364,0.9997924936
161,979.5416824,0.9997983988
162,1132.372053,0.9998050186
163,904.1462735,0.9998101597
164,851.3670438,0.9998152145
165,770.1632862,0.999819752
166,659.2858794,0.9998238169
167,581.5247788,0.9998272298
168,530.1707118,0.9998303291
169,497.4383666,0.9998334416
170,565.9078425,0.9998369178
171,484.4840117,0.999839905
172,517.0351316,0.9998430456
173,505.2946086,0.9998462534
174,459.9125095,0.9998491626
175,472.0108231,0.9998520728
176,416.7515582,0.9998547185
177,383.4421698,0.9998570914
178,345.1670376,0.9998593615
179,345.9209913,0.9998616049
180,333.9375052,0.9998637172
181,317.7998711,0.9998657928
182,281.271034,0.9998676683
183,259.8129139,0.9998694126
184,290.8192082,0.9998712655
185,249.1663703,0.9998729269
186,212.5811468,0.9998743833
187,201.5728924,0.999875732
188,224.4241552,0.9998772489
189,201.7321321,0.9998785941
190,196.7512414,0.999879933
191,171.903096,0.9998811381
192,155.8437908,0.9998821844
193,175.392694,0.999883434
194,153.5800892,0.9998844827
195,139.5087796,0.9998854766
196,145.4162985,0.9998865127
197,167.0050531,0.9998876797
198,291.2847852,0.9998897749
199,152.8160049,0.9998908498
200,131.2900994,0.9998918211
201,124.7804765,0.9998927016
202,115.56884,0.9998935197
203,117.7097784,0.9998944122
204,110.1001449,0.9998952092
205,100.9369272,0.9998959698
206,98.39848786,0.9998966799
207,97.1838199,0.9998974033
208,93.08900455,0.999898107
209,92.09521379,0.9998987926
210,101.0104884,0.9998995491
211,94.94318654,0.9999002798
212,86.9051878,0.9999009426
213,86.3470273,0.9999016051
214,90.56677225,0.9999023
215,89.09882709,0.9999029735
216,82.07802985,0.999903622
217,79.74991188,0.9999042485
218,79.19075075,0.9999048615
219,90.98402635,0.9999055804
220,88.42295241,0.9999062791
221,80.31658963,0.9999069192
222,77.03063407,0.9999075454
223,77.11347308,0.9999081511
224,80.74145726,0.9999088112
225,77.52981836,0.9999094291
226,73.63410666,0.9999100277
227,74.17126386,0.9999106273
228,76.08249809,0.999911258
229,74.62156719,0.9999118953
230,85.77142462,0.9999125808
231,69.0424445,0.9999131484
232,71.24435225,0.999913739
233,73.4409561,0.9999143561
234,66.54644391,0.9999149306
235,71.75869468,0.9999155221
236,69.12148309,0.9999161061
237,64.93591377,0.9999166696
238,66.73209919,0.9999172228
239,64.16275444,0.9999177854
240,68.25111694,0.9999183559
241,64.36860533,0.9999189321
242,65.68205057,0.9999195125
243,63.2551369,0.9999200585
244,60.62425165,0.9999205957
245,62.83872611,0.9999211309
246,58.14590474,0.9999216674
247,59.63409098,0.999922193
248,59.6017312,0.9999227129
249,55.3016693,0.9999232067
250,56.29010147,0.9999237055
251,53.25562071,0.9999241919
252,54.1222786,0.9999246801
253,55.04093625,0.9999251803
254,59.47268419,0.999925729
255,51.10735197,0.9999262029
256,52.74421286,0.9999266834
257,53.30384328,0.9999271679
258,49.95930685,0.9999276402
259,51.04625599,0.9999281123
260,50.29242929,0.9999285832
261,49.88110119,0.9999290502
262,49.14617437,0.9999295114
263,49.09777876,0.9999299756
264,49.30847008,0.9999304373
265,49.93713982,0.9999309231
266,49.04375095,0.9999313901
267,51.24273481,0.9999318769
268,51.81158413,0.9999323833
269,49.17742167,0.9999328538
270,47.35299824,0.9999333101
271,45.97476754,0.9999337637
272,45.85656697,0.999934216
273,46.139488,0.9999346659
274,45.15690963,0.9999351011
275,44.00879269,0.9999355453
276,43.67243669,0.9999359751
277,42.07484393,0.9999363979
278,42.4316227,0.9999368184
279,43.41848266,0.9999372517
280,41.65296681,0.9999376759
281,44.37638229,0.9999381178
282,42.75009658,0.9999385512
283,43.23851938,0.9999389886
284,44.02082832,0.999939445
285,41.42711391,0.9999398707
286,41.51861633,0.9999402888
287,40.28776043,0.9999407065
288,39.43904417,0.9999411136
289,38.44004564,0.9999415156
290,38.33914723,0.9999419227
291,39.15006405,0.9999423143
292,36.92954555,0.9999427157
293,37.20914651,0.9999431057
294,37.61447643,0.9999435026
295,38.01839559,0.9999439019
296,35.66297072,0.9999442863
297,36.17352508,0.999944677
298,38.01462777,0.9999450746
299,37.62036827,0.9999454767
300,36.57821143,0.9999458701
301,36.75768278,0.9999462663
302,39.32579674,0.9999467045
303,36.34747927,0.9999470922
304,34.09512731,0.9999474612
305,35.59482913,0.9999478595
306,35.51348082,0.9999482439
307,34.68041781,0.999948628
308,34.17146352,0.9999489979
309,33.12562305,0.9999493806
310,33.99107809,0.999949754
311,34.31835009,0.999950138
312,34.75536863,0.9999505221
313,34.41277727,0.9999509088
314,32.82401328,0.9999512888
315,34.8068927,0.9999516814
316,34.37937541,0.9999520677
317,36.18432082,0.99995248
