freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.33261041e+11,0.8363152736
1,765154508.8,0.8516764548
2,343957999.5,0.8654870017
3,250500611.6,0.8780595777
4,134830509.2,0.8861801175
5,64175572.4,0.8926220359
6,88213233.4,0.9005913643
7,66462348.82,0.9085971214
8,28955266.48,0.9126662468
9,29179174.24,0.9167668383
10,19752096.84,0.9201374412
11,30419763.73,0.9250230793
12,13714746.82,0.927776441
13,20193902.8,0.9324386697
14,11989430.6,0.9350863571
15,11126808.35,0.9377669281
16,10359924.22,0.9402627483
17,9224932.389,0.942948134
18,8503651.309,0.9455089134
19,7679825.593,0.9478216069
20,7853682.762,0.9502654906
21,5042310.752,0.9520876131
22,4999977.197,0.9537940586
23,4201273.596,0.9552700862
24,4617110.464,0.9570312483
25,4126413.343,0.9587709208
26,3432714.978,0.9602870489
27,2942062.88,0.9614978736
28,2783162.461,0.9626712391
29,2374525.625,0.963815338
30,3040576.428,0.9652498337
31,2139169.068,0.9663664242
32,2107915.078,0.9674243826
33,2457668.579,0.9687072216
34,1905953.289,0.9697977389
35,1637339.612,0.9706523875
36,1810730.462,0.9717065979
37,1638747.476,0.9726442297
38,1637625.831,0.9736962888
39,1694732.291,0.9747510115
40,1324620.951,0.9755355045
41,1190353.103,0.9763480173
42,1158897.629,0.9771157932
43,1169065.534,0.9779607156
44,1161409.038,0.9787651299
45,1095922.019,0.9795131857
46,961891.8501,0.9802276877
47,1003344.043,0.9809629092
48,840657.6085,0.9816211113
49,803666.9184,0.9822342167
50,780236.5901,0.9828921034
51,707090.3372,0.9834670207
52,626582.7973,0.9839576105
53,679594.913,0.9845442807
54,589828.4075,0.9850238553
55,539821.2946,0.9855332136
56,586995.2308,0.9860399458
57,563951.7772,0.9865494291
58,503420.485,0.9870092807
59,476037.9709,0.9874488981
60,458255.2536,0.9878996931
61,402627.9355,0.9882917247
62,444598.7234,0.9887290854
63,369908.9546,0.9891003985
64,400733.8672,0.9894905859
65,374437.7961,0.9898965139
66,346300.1456,0.9902441286
67,365009.8482,0.9906325077
68,343238.1714,0.9910218392
69,296035.6384,0.991330885
70,288962.0253,0.991655751
71,255777.9911,0.9919304723
72,288993.6172,0.9922785811
73,273709.4187,0.9925972893
74,271254.7332,0.9929131392
75,211319.9329,0.9931655645
76,204337.5258,0.9934117003
77,239291.8159,0.9937095486
78,202353.2335,0.993951263
79,174929.7255,0.9941689993
80,162438.5182,0.9943809709
81,171628.3585,0.9945963208
82,165034.973,0.9948183071
83,166102.503,0.9950283907
84,153055.9477,0.9952342643
85,177583.5852,0.9954784773
86,143584.7929,0.9956744939
87,133072.9462,0.9958588317
88,113444.386,0.9960080079
89,133668.9739,0.9962092725
90,120415.4021,0.9963760766
91,113151.0061,0.9965396325
92,89451.06658,0.9966698289
93,91006.3403,0.9968032026
94,92629.005,0.9969445331
95,87910.89499,0.9970724878
96,96359.13871,0.9972175752
97,79129.38078,0.9973430742
98,84178.285,0.9974715109
99,70124.92821,0.9975848406
100,66729.22347,0.9976866541
101,64113.42618,0.9977934864
102,55774.05078,0.9978836235
103,60098.6238,0.9979777332
104,56012.73446,0.9980721918
105,60537.34361,0.9981700269
106,47729.03709,0.9982533907
107,50346.00497,0.998338293
108,50720.81165,0.9984228092
109,39715.34202,0.9984909802
110,46705.54368,0.9985716187
111,38414.77364,0.9986410278
112,39766.82771,0.9987108839
113,36355.14525,0.9987758417
114,35229.87286,0.998841618
115,30965.58477,0.9988975677
116,29972.68805,0.9989514224
117,27661.73939,0.9990025133
118,27145.34961,0.9990537402
119,24774.0059,0.9991007408
120,26558.35012,0.9991508601
121,22777.94207,0.9991929306
122,23589.66579,0.9992386315
123,19228.79357,0.9992783932
124,18677.40603,0.99931364
125,17548.79726,0.9993492231
126,15900.82897,0.9993793897
127,15630.85852,0.9994113977
128,14368.97044,0.9994411102
129,14669.82428,0.9994701194
130,14530.02192,0.9995007483
131,12670.87825,0.9995264407
132,11949.741,0.9995523501
133,11297.29778,0.9995762779
134,10596.16074,0.9995975506
135,9279.45847,0.9996180429
136,8871.289895,0.9996370105
137,7846.536896,0.9996541809
138,8196.438352,0.9996719524
139,7334.441176,0.9996876341
140,6972.344877,0.9997035914
141,6587.244788,0.9997180061
142,5579.616603,0.9997305518
143,5768.550756,0.9997435804
144,5256.585701,0.9997556109
145,5599.838799,0.9997687642
146,4589.256056,0.9997792214
147,4278.374816,0.9997890131
148,4159.649122,0.9997989507
149,4141.0157,0.9998087606
150,4294.92311,0.9998189782
151,3659.613762,0.9998274272
152,3012.058421,0.9998348045
153,3060.27596,0.9998420849
154,2851.158984,0.9998492399
155,3025.250338,0.999856528
156,2741.732719,0.9998632433
157,2337.965071,0.9998692277
158,2473.499365,0.9998751866
159,2004.777029,0.9998802176
160,2083.440436,0.9998854669
161,1906.259902,0.9998905185
162,2023.075859,0.9998957173
163,1886.65441,0.9999004329
164,1769.719367,0.9999050516
165,1668.579315,0.9999093729
166,1353.02818,0.9999130399
167,1556.915792,0.9999170564
168,1564.433375,0.9999210765
169,1267.454203,0.9999245625
170,1222.016994,0.9999278623
171,1266.91588,0.9999312959
172,1207.260927,0.9999345194
173,1029.072826,0.9999373911
174,997.7491401,0.9999401654
175,881.3478291,0.999942554
176,838.1705695,0.999944893
177,751.6136713,0.9999469376
178,702.8863497,0.9999489696
179,703.5914124,0.9999509754
180,666.2852447,0.999952828
181,576.4103524,0.9999544828
182,566.6516724,0.9999561437
183,513.1072392,0.9999576579
184,521.0220353,0.9999591171
185,454.076622,0.999960448
186,390.9727698,0.9999616254
187,419.1735896,0.9999628583
188,366.5343646,0.9999639473
189,309.8111507,0.9999648554
190,313.3032263,0.9999657926
191,269.2644339,0.9999666224
192,262.2619,0.9999673963
193,241.2216578,0.9999681518
194,257.8151837,0.9999689256
195,214.2409942,0.9999695966
196,190.5048463,0.9999701932
197,169.8616604,0.999970715
198,153.8684675,0.9999712015
199,160.0113716,0.9999716962
200,144.761557,0.999972167
201,116.2658727,0.9999725276
202,109.4670615,0.9999728683
203,93.23891779,0.999973179
204,93.73538592,0.9999734773
205,73.19890774,0.9999737197
206,93.62165657,0.9999740167
207,71.94650934,0.9999742521
208,63.48207133,0.9999744631
209,57.65061479,0.9999746517
210,62.41044429,0.9999748572
211,60.78901044,0.9999750628
212,59.34876453,0.9999752618
213,58.93172507,0.9999754606
214,56.64850672,0.9999756516
215,56.54757395,0.9999758395
216,52.59646482,0.9999760222
217,47.16551544,0.9999761851
218,54.06127531,0.999976369
219,58.45200339,0.999976572
220,54.4462779,0.9999767611
221,52.06369902,0.9999769435
222,47.59148601,0.9999771136
223,58.26632468,0.9999773148
224,46.48643612,0.9999774818
225,50.69177112,0.9999776594
226,47.4414755,0.999977829
227,47.91357207,0.9999779992
228,47.28790405,0.9999781715
229,46.68167754,0.9999783468
230,46.78656866,0.9999785112
231,45.54656013,0.9999786757
232,46.20161647,0.9999788441
233,43.97829856,0.9999790065
234,43.02829122,0.9999791698
