freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.744376656e+11,0.8775221936
1,3750122301,0.9330121479
2,254985548.6,0.9405581079
3,202566062.2,0.9480514512
4,104209049.6,0.9526773446
5,51011850.94,0.9564514152
6,45907528.21,0.9595082035
7,40613087.72,0.9631138753
8,35411810.83,0.9667817553
9,26202471.08,0.9694957514
10,18598773.16,0.9718349773
11,16185802.2,0.9737509669
12,9761298.916,0.9751953305
13,9818965.229,0.9768661614
14,6344925.969,0.9778988947
15,9868651.315,0.9796511928
16,7889017.81,0.9810519831
17,3644067.341,0.9818338329
18,4428889.764,0.9828168364
19,3609012.066,0.9836178659
20,2969915.382,0.984299019
21,2814221.487,0.9850485675
22,2784683.502,0.9857490442
23,2530109.928,0.9864042027
24,2058389.493,0.9869828981
25,2271342.075,0.9876886805
26,1904797.403,0.98830875
27,1507719.542,0.9887660944
28,1586766.247,0.989259156
29,1141063.362,0.9896643751
30,1218020.909,0.9900879123
31,1239271.063,0.990564682
32,1052490.984,0.9909540204
33,789144.4475,0.9912576184
34,947116.9589,0.991657027
35,801531.4538,0.9919653904
36,725318.2863,0.9922766305
37,740188.2645,0.9925887752
38,626488.9175,0.992885417
39,577747.2138,0.9931504308
40,562235.8338,0.9933958505
41,551446.7427,0.9936732792
42,549259.6776,0.9939414804
43,477508.3852,0.9941958425
44,361937.3888,0.9943806082
45,469714.6982,0.9946169182
46,382936.135,0.9948265692
47,399322.3422,0.9950422371
48,306420.8882,0.9952190654
49,293074.6305,0.9953838554
50,282289.1867,0.9955592889
51,263293.1532,0.9957170731
52,244593.9823,0.9958582226
53,282392.4982,0.9960378988
54,270822.5201,0.9962001951
55,196951.9336,0.9963371656
56,207117.5213,0.996468947
57,191965.4239,0.9965967687
58,175105.669,0.9967146597
59,181600.4522,0.9968382668
60,173056.4754,0.9969637406
61,169548.5413,0.9970854165
62,142498.6868,0.9971887345
63,121761.7403,0.997278819
64,132299.2769,0.9973737631
65,137799.759,0.9974838691
66,119183.6037,0.9975720462
67,122931.1711,0.9976684528
68,121934.3171,0.9977703925
69,103614.895,0.9978501175
70,104163.1476,0.9979364294
71,94125.22035,0.9980109419
72,101170.7969,0.9981007623
73,83100.23639,0.9981720803
74,83718.52172,0.998243929
75,68323.85023,0.9983040821
76,72058.04612,0.998368056
77,75448.71012,0.9984372729
78,64241.4867,0.9984938319
79,66314.80347,0.9985546694
80,61800.6927,0.9986141089
81,64150.04654,0.998673435
82,57112.82137,0.998730056
83,61320.64901,0.9987872192
84,51776.6409,0.9988385499
85,47940.99604,0.9988871421
86,41442.93052,0.9989288414
87,43366.71606,0.998973118
88,36300.15399,0.9990082999
