freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.804559042e+11,0.8584583342
1,1611215310,0.8875426237
2,247972115,0.8964949875
3,149871228.7,0.9032583577
4,217944669.6,0.9150608136
5,139323581.6,0.9276355681
6,107806450.6,0.936392705
7,70384886.11,0.9440158739
8,36211210.01,0.9485914519
9,39642657.08,0.9536006208
10,35371706.66,0.9590278707
11,24242465.94,0.9625287058
12,13617711.34,0.9649868594
13,10323885.63,0.9671299765
14,11315383.93,0.9693767891
15,10125667.51,0.9715701485
16,7452298.487,0.9731844192
17,5443249.167,0.9746091443
18,4848730.559,0.9759220218
19,4120050.054,0.9770375964
20,6176970.891,0.9787658686
21,4500462.476,0.980228162
22,3083136.485,0.9811742827
23,2911734.684,0.9820940855
24,2900669.753,0.9830889336
25,2541873.625,0.9840524922
26,2451467.647,0.9850260321
27,1730295.99,0.9856663256
28,1573425.837,0.9862627707
29,1395768.486,0.9868674561
30,1244921.096,0.9873955542
31,1592819.849,0.9881431122
32,1105447.642,0.9886419772
33,920169.1016,0.9890738401
34,913111.3673,0.9895435973
35,775333.2343,0.9899074844
36,602457.5437,0.9902228609
37,647239.814,0.9905558385
38,603820.7637,0.9909046276
39,517628.5215,0.9911942851
40,542411.7441,0.9914831242
41,415476.1139,0.9917381181
42,418416.4453,0.9919873637
43,352770.5311,0.9922166086
44,403479.9754,0.9924678817
45,297018.882,0.9926501738
46,313250.8766,0.9928593917
47,226334.3064,0.9930085159
48,188205.0232,0.9931410113
49,177391.4582,0.9932626919
50,122187.5015,0.9933553281
51,152858.6081,0.9934670787
52,138221.3967,0.9935643859
53,97184.00512,0.99363982
54,109540.1656,0.9937199017
55,80420.58698,0.9937881309
56,76292.56047,0.9938473491
57,73561.00497,0.9939071029
58,81048.21733,0.99397367
59,92355.38849,0.9940503575
60,75574.49761,0.9941172037
61,74331.6279,0.9941822796
62,75351.86612,0.9942489288
63,70473.26273,0.994312535
64,62989.53168,0.9943676811
65,52704.2584,0.9944190552
66,62783.50567,0.9944757209
67,52842.89045,0.9945262763
68,48116.88848,0.9945753502
69,42341.23687,0.9946150942
70,41877.72955,0.9946574269
71,40766.37915,0.9946967965
72,41138.56196,0.9947413524
73,34686.95043,0.9947776685
74,36020.97216,0.9948153813
75,35670.25504,0.9948536927
76,35279.62784,0.9948919029
77,30243.22885,0.9949257503
78,31807.43503,0.9949599129
79,32566.68071,0.9949963606
80,29537.26327,0.9950310174
81,33615.61096,0.9950689424
82,29830.3738,0.9951050201
83,31412.13793,0.9951407426
84,42439.85114,0.9951920705
85,32113.76176,0.9952317793
86,30829.61311,0.995269622
87,32662.04514,0.9953103035
88,33840.01445,0.9953503143
89,31081.3251,0.9953923933
90,34270.24196,0.9954350779
91,39311.8535,0.9954861709
92,35128.0715,0.9955321433
93,40152.87807,0.9955850541
94,40343.99314,0.9956404015
95,39999.05785,0.9956927486
96,52570.82492,0.9957639209
97,49866.12061,0.995835032
98,69814.44796,0.9959308096
99,371972.5861,0.9964713295
100,386751.2695,0.9970019087
101,77441.24936,0.9971179347
102,34564.23737,0.9971681606
103,25872.2383,0.9972045884
104,20607.04424,0.9972358348
105,18987.59876,0.997263426
106,21635.43431,0.9972974034
107,17649.4214,0.9973241652
108,15904.86367,0.9973479945
109,14536.90383,0.9973704304
110,15649.72348,0.997394725
111,18245.51708,0.9974243668
112,13403.97004,0.997445538
113,11608.38991,0.9974641875
114,12366.33418,0.9974849476
115,11697.64799,0.9975039516
116,12832.18967,0.997524683
117,14027.33152,0.9975479783
118,12845.68516,0.9975697749
119,15466.2988,0.9975961579
120,16985.7238,0.9976249794
121,30382.42817,0.9976754357
122,113908.7997,0.9978738575
123,22186.79373,0.9979151087
124,15967.19874,0.997942202
125,16226.28127,0.9979717852
126,19925.23807,0.9980057743
127,20056.64652,0.998042703
128,18910.37174,0.9980778624
129,28576.72612,0.9981286729
130,33097.19793,0.9981914044
131,41069.85543,0.9982662816
132,510835.1476,0.9992621671
133,56233.63519,0.9993692582
134,32303.6884,0.9994275701
135,22117.54042,0.9994714872
136,18651.88076,0.9995073445
137,10454.96532,0.9995279154
138,6644.533987,0.9995408691
139,6363.556536,0.9995531027
140,5034.674522,0.9995634632
141,4572.313342,0.9995724596
142,3761.074002,0.9995800635
143,3153.320272,0.9995864671
144,2968.78244,0.9995925763
145,2525.960837,0.9995979111
146,2258.070084,0.9996025375
147,2082.411027,0.9996068227
148,2157.296991,0.9996114568
149,2125.089791,0.9996159833
150,1612.601704,0.9996194328
151,1600.300699,0.9996227548
152,1458.477821,0.9996259667
153,1560.659296,0.9996293051
154,1838.344521,0.9996334531
155,1895.20691,0.9996375584
156,2931.012466,0.9996440132
157,2600.954069,0.9996499993
158,1764.492662,0.9996538215
159,1693.375654,0.9996576424
160,1792.856012,0.999661704
161,2438.067161,0.9996675133
162,2881.365308,0.9996741708
163,5643.163833,0.9996868531
164,8619.151667,0.9997070792
165,78582.50372,0.9998900663
166,6489.600828,0.9999058808
167,3722.702735,0.9999145159
168,2573.015357,0.999920461
169,1799.742696,0.9999249117
