freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.830613557e+11,0.8488785596
1,553836427.1,0.8694242337
2,242235245,0.887396639
3,209507389.7,0.906826882
4,77786943.62,0.9154838705
5,41909722.67,0.923257497
6,27569070.53,0.927859782
7,24834869.33,0.933387578
8,22233362.61,0.9391611166
9,17616521.91,0.9437357583
10,11594996.15,0.9473919454
11,7881354.555,0.9497309427
12,9819767.997,0.9533737828
13,5437961.016,0.9556937017
14,5141574.347,0.957791809
15,4448165.091,0.9597719723
16,4200539.925,0.9616419019
17,4236249.22,0.9639206083
18,3573408.437,0.9659090497
19,2976728.509,0.9675654655
20,2271682.266,0.968871691
21,2566182.217,0.9705852493
22,2147951.601,0.9719398531
23,2002778.571,0.9732400522
24,2376470.06,0.9749150908
25,1710177.666,0.9762473827
26,1231282.696,0.9772522746
27,1204015.851,0.978167915
28,1112108.842,0.9790342891
29,893861.194,0.9798301189
30,936630.9173,0.9806466547
31,901892.7329,0.9815165503
32,915459.7706,0.9823655707
33,662480.3103,0.9830045477
34,604089.8487,0.9836432306
35,610089.8945,0.9842316758
36,506011.7091,0.9847760499
37,569929.0338,0.9853786157
38,468601.7052,0.9859348948
39,497358.3239,0.9865068605
40,444827.3013,0.9869936625
41,421701.1727,0.9875255534
42,451308.4298,0.9880780458
43,294523.6512,0.9884713798
44,281351.6269,0.9888314668
45,306533.9143,0.9892180975
46,254584.9051,0.989567538
47,241482.581,0.9898945152
48,278490.462,0.9902974306
49,211102.0354,0.9905950182
50,222609.9413,0.9909418611
51,192209.534,0.9912306422
52,192448.012,0.9915090728
53,200740.1059,0.9918292876
54,198446.7389,0.9921274397
55,205583.7915,0.9924858873
56,160512.7713,0.9927419326
57,167850.9102,0.9930221371
58,152219.0697,0.9932790698
59,140675.4022,0.9935191271
60,154581.5819,0.9938001183
61,137247.5676,0.9940470548
62,134526.3063,0.9942915904
63,122716.2178,0.9945192106
64,108446.3109,0.9947143278
65,107941.2079,0.9949305597
66,100514.7382,0.9951169995
67,101729.7832,0.9953170147
68,84487.27803,0.9954940984
69,77623.55315,0.9956438377
70,71728.26894,0.9957928483
71,82604.0668,0.9959567918
72,69034.38997,0.9961104499
73,64308.69356,0.9962488182
74,60578.41169,0.9963791603
75,58141.18321,0.9965074937
76,60467.67551,0.9966420839
77,59722.3208,0.9967794461
78,56337.1783,0.9969037976
79,47416.65077,0.9970128566
80,45990.55586,0.9971237538
