freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.000487441e+11,0.9067206255
1,174294845.5,0.9092489667
2,285317352,0.9175266598
3,491980991.7,0.935368493
4,113748712.3,0.940318649
5,87521359.64,0.9466666239
6,99454584.83,0.9531587726
7,41901799.85,0.9568057668
8,34246894.52,0.9602832927
9,23687950.6,0.9626886338
10,18404814.51,0.964957984
11,13336394.66,0.9665056583
12,22014440.5,0.9696990985
13,13269408.77,0.9719127057
14,8553346.97,0.9732775399
15,5048825.529,0.9741564061
16,7783550.653,0.9755113152
17,7847823.757,0.9771620161
18,4883346.505,0.9782245919
19,3517280.33,0.978989923
20,3212118.056,0.9797121511
21,2833267.187,0.9804519457
22,3373337.113,0.981283824
23,4199072.023,0.982349788
24,2346820.996,0.9829966099
25,1784707.014,0.9835402824
26,1650552.333,0.9840670306
27,1569539.735,0.9845337731
28,1392476.516,0.984957961
29,1195069.852,0.9853740208
30,1633056.913,0.9859307196
31,1881622.387,0.9866403904
32,1600438.397,0.9872207941
33,1355916.176,0.9877321901
34,1130213.121,0.9881994476
35,1423724.915,0.9887364183
36,929524.2711,0.9891274481
37,1187177.094,0.989618256
38,989259.6755,0.9900774661
39,758913.3427,0.9904187415
40,828255.115,0.9907731771
41,657404.8528,0.9910974144
42,584912.4973,0.991377413
43,667058.5036,0.9917257645
44,537040.305,0.9919945322
45,496022.2653,0.9922391743
46,571383.8443,0.992545851
47,394853.3395,0.9927549153
48,488911.4443,0.9930315113
49,428929.4188,0.9932679511
50,291761.2332,0.9934457087
51,308895.9357,0.9936271843
52,308184.6159,0.9938015362
53,314943.7965,0.9939979865
54,344242.6014,0.9942002282
55,274261.3929,0.9943872162
56,574215.1249,0.9947453903
57,268381.5425,0.9949205832
58,500205.6983,0.9952507331
59,283911.9268,0.9954401822
60,249392.0685,0.99561745
61,181890.8964,0.9957454187
62,207071.6101,0.9958926052
63,279208.0563,0.9960951164
64,297749.8002,0.9963045972
65,216766.5937,0.9964743971
66,318150.6839,0.9967051536
67,200147.3907,0.9968590317
68,147691.5724,0.9969800791
69,151544.8958,0.9970943921
70,164091.7644,0.9972276909
71,131720.1668,0.9973299159
72,117783.82,0.997432431
73,124174.6015,0.9975369059
74,109957.6883,0.9976294193
75,96680.2698,0.9977128654
76,81645.01906,0.9977839265
77,96350.07909,0.9978705818
78,80755.06135,0.9979402826
79,109353.1105,0.9980386325
80,68334.00922,0.9981030645
81,102013.1278,0.9981955529
82,71142.67212,0.9982646971
83,66005.90963,0.998325019
84,79040.14378,0.9984018389
85,57674.70962,0.9984591484
86,50464.44675,0.9985089274
87,54521.11029,0.9985634987
88,46623.15433,0.9986077978
89,51757.61494,0.9986641079
90,37142.43001,0.9987012846
91,44214.35109,0.9987474638
92,37167.68992,0.9987865528
93,42282.93314,0.9988313282
94,28830.6961,0.998863113
95,28712.01061,0.9988933093
96,31488.89722,0.9989275679
97,25611.82968,0.9989569186
98,36236.29736,0.9989968678
99,24458.97109,0.9990254296
100,43153.68812,0.999073005
101,36528.45532,0.9991169856
102,21932.81216,0.9991425975
103,32684.15542,0.9991795788
104,25744.06985,0.9992109483
105,17263.61419,0.9992311078
106,33408.35343,0.9992732702
107,18772.48382,0.9992961447
108,19176.49062,0.9993192334
109,18068.76003,0.9993416436
110,16867.10257,0.9993626857
111,15616.83319,0.9993830743
112,14095.83693,0.9994009659
113,14735.7914,0.9994199905
114,14860.40793,0.9994400382
115,13598.30405,0.9994577915
116,13467.45306,0.9994752762
117,11450.73904,0.9994905579
118,10678.63609,0.9995051191
119,13218.69079,0.9995232396
120,11957.75402,0.9995395449
121,11634.01678,0.9995550712
122,12980.10712,0.9995732413
123,11483.13604,0.9995903986
124,8178.019675,0.9996015499
125,7551.018987,0.9996126131
126,8077.986673,0.9996236866
127,10509.14971,0.9996392362
128,8329.286991,0.9996516812
129,8928.744024,0.9996644391
130,6352.878557,0.9996741154
131,5919.263955,0.9996827878
132,5809.384334,0.9996918892
133,4653.574423,0.999699011
134,5228.764636,0.9997065959
135,5389.610181,0.9997151959
136,4540.382036,0.9997222104
137,3775.767924,0.9997281805
138,4737.178885,0.9997356021
139,3955.091834,0.9997417123
140,3430.883575,0.9997473859
141,3426.184366,0.9997528033
