freq_radius,radial_mean_power,cumulative_energy_fraction
0,8415419828,0.8128008866
1,111655046.6,0.8990742493
2,29534124.36,0.9447149668
3,2747049.135,0.9500214257
4,6463375.13,0.9650037429
5,1453066.107,0.9706175016
6,801044.1785,0.973402772
7,733396.2799,0.9768028456
8,589424.8641,0.9799908937
9,259895.2159,0.9813966003
10,256694.9882,0.9830825114
11,198093.6664,0.9843070119
12,155876.9944,0.9855114386
13,157633.591,0.9869121381
14,79400.14275,0.987586996
15,85370.1897,0.9883785597
16,57115.8018,0.988908145
17,58483.89392,0.9895633884
18,55109.92343,0.9902021215
19,49275.57787,0.9907732336
20,34958.44639,0.9911919136
21,32827.45395,0.9916484843
22,33154.04606,0.99208398
23,26674.75565,0.9924446723
24,23968.88461,0.9927965565
25,20305.39029,0.9931260364
26,18328.3719,0.9934375988
27,16546.20817,0.9936996889
28,19263.59354,0.9940122645
29,14395.69221,0.994279222
30,11183.97028,0.9944822997
31,12239.70169,0.9947281906
32,8767.750473,0.9948975568
33,10182.01448,0.9951021096
34,9814.11527,0.9953182293
35,6756.931029,0.9954539734
36,8995.081356,0.9956555321
37,7619.40405,0.9958233214
38,6522.099502,0.9959845848
39,6731.915801,0.9961458344
40,6810.586303,0.9963010749
41,5886.129343,0.9964557096
42,6399.615525,0.9966188893
43,4833.1285,0.9967533295
44,4181.86229,0.996864807
45,3852.871999,0.996966026
46,4582.12618,0.9970970247
47,4232.684827,0.997216398
48,3973.381105,0.9973361336
49,3271.596645,0.9974321934
50,3212.229268,0.9975364382
51,3203.037269,0.9976366722
52,2951.880987,0.9977256255
53,2534.270932,0.997809827
54,2671.926499,0.9978934408
55,2161.094382,0.9979719228
56,2221.537386,0.9980457337
57,1970.116582,0.9981142356
58,1771.72761,0.9981765239
59,1916.69879,0.9982446495
60,1655.876824,0.998307343
61,1685.925757,0.9983705228
62,1600.934305,0.9984311361
63,1365.814689,0.9984839029
64,1307.655399,0.9985329071
65,1242.06514,0.9985847317
66,1291.658071,0.9986346335
67,1004.128809,0.9986757545
68,1022.972244,0.9987204137
69,968.0332322,0.9987593085
70,895.7079492,0.9987980657
71,937.4972583,0.9988368202
72,752.1634824,0.998871691
73,719.7855395,0.9989039485
74,762.0733489,0.998938101
75,631.9965357,0.9989671566
76,631.1730072,0.9989964182
77,651.4242205,0.9990276254
78,532.0440473,0.9990520857
79,583.1229203,0.9990800208
80,588.3020992,0.9991095677
81,420.1884299,0.9991298596
82,480.2145774,0.99915472
83,526.6690381,0.9991803576
84,448.5507976,0.9992035788
85,451.7023389,0.9992274867
86,424.5878483,0.9992497954
87,387.5023069,0.999270455
88,410.4507334,0.9992912281
89,373.4370768,0.9993128691
90,342.1309184,0.9993311097
91,328.9108673,0.9993494079
92,302.5300481,0.9993663554
93,283.223692,0.9993823308
94,276.9463163,0.999398594
95,275.1132544,0.9994140056
96,249.7211634,0.9994284772
97,266.8613583,0.9994447668
98,236.0260675,0.9994586271
99,229.9826799,0.9994729321
100,220.8887976,0.9994859035
101,222.2757942,0.9995001586
102,191.5199323,0.9995120712
103,190.413566,0.9995235472
104,197.9622742,0.9995363959
105,180.2544781,0.9995476079
106,192.704607,0.999560562
107,165.0918046,0.9995712773
108,158.2353105,0.9995814253
109,168.328104,0.9995925457
110,153.1856553,0.9996027249
111,126.2837556,0.9996115068
112,137.6346654,0.9996208122
113,129.748238,0.9996297348
114,118.6965975,0.9996382642
115,129.1395557,0.9996472447
116,116.3764175,0.9996552927
117,107.7928197,0.9996629553
118,99.59293994,0.9996701889
119,100.5534649,0.9996775311
120,98.60369103,0.9996846928
121,97.2237791,0.9996916041
122,88.21702083,0.9996981819
123,85.75994284,0.9997050072
124,87.41733924,0.9997113564
125,80.7332192,0.9997176569
126,84.47836569,0.9997238253
127,82.82449121,0.999730353
128,66.94698257,0.999735681
129,72.97241929,0.9997412349
130,71.70677412,0.9997470525
131,65.34008454,0.9997521517
132,65.95125529,0.9997576553
133,62.29983123,0.9997627338
134,59.28549707,0.9997673146
135,58.63446028,0.9997722983
136,54.2399047,0.9997767617
137,51.25762156,0.9997810787
138,57.51878799,0.9997858786
139,52.03078443,0.9997901602
140,45.70395387,0.999794186
141,50.75464488,0.9997984607
142,45.84376259,0.999802428
143,44.60987424,0.9998063058
144,48.65351568,0.9998105914
145,45.54088867,0.9998147085
146,43.18788447,0.999818496
147,44.06580966,0.9998223776
148,44.49626431,0.9998264689
149,39.79531264,0.9998300973
150,42.20825652,0.999833962
151,39.70901163,0.9998374905
152,36.4251485,0.9998409241
153,40.03178989,0.9998445895
154,37.16802019,0.9998481794
155,34.75731336,0.9998514021
156,35.86948399,0.9998547834
157,32.61806162,0.9998579969
158,34.01735817,0.999861151
159,34.49047775,0.9998644822
160,31.19567577,0.9998674019
161,26.43648916,0.9998698786
162,28.86825751,0.9998724048
163,27.94481111,0.9998747313
164,31.31768044,0.9998774053
165,28.55193443,0.9998797824
166,26.19369539,0.9998820492
167,29.30368394,0.9998843983
168,32.34633015,0.9998869226
169,27.16216261,0.9998892103
170,28.2759928,0.9998914825
171,27.52306167,0.9998936836
172,26.4560285,0.9998957227
173,27.18564546,0.9998979073
174,26.59972715,0.9999000191
175,26.53663792,0.9999020285
176,23.91368954,0.9999038994
177,24.21060811,0.9999057093
178,25.74840642,0.9999077485
179,25.99596733,0.9999097321
180,24.07949298,0.9999115136
181,23.9107492,0.9999133565
182,24.10600724,0.9999151772
183,23.61229414,0.9999169971
184,25.86813587,0.999918851
185,23.89872873,0.9999206375
186,22.34284253,0.999922351
187,24.67814183,0.9999241386
188,24.31000741,0.9999259653
189,23.94038759,0.9999276903
190,23.677535,0.9999294146
191,22.34958593,0.9999310854
192,23.70361656,0.9999327521
193,21.71410352,0.9999343921
194,23.51146801,0.9999360499
195,20.63422772,0.9999375765
196,22.14465462,0.9999391934
197,21.89820682,0.9999407374
198,21.24507675,0.999942301
199,21.91255958,0.9999438248
200,19.9916345,0.9999453116
201,21.67303146,0.9999468229
202,22.43192711,0.9999483829
203,20.3812429,0.9999498908
204,20.94084161,0.9999513349
205,21.20729915,0.9999528916
206,21.29712389,0.999954352
207,20.99849971,0.9999558447
208,21.26941806,0.9999573526
209,20.63368686,0.9999587755
210,19.99636513,0.9999601893
211,21.14306021,0.99996168
212,20.31476564,0.9999631162
213,19.71758916,0.9999644912
214,20.19761098,0.999965888
215,19.78490843,0.9999672524
216,19.97338824,0.9999686414
217,18.97100713,0.9999699936
