freq_radius,radial_mean_power,cumulative_energy_fraction
0,8.818332494e+10,0.7513516927
1,614808116.8,0.7932586741
2,319601137.6,0.8368284271
3,121385601,0.857513353
4,48607102.13,0.8674529269
5,20216480.08,0.8743429763
6,16989129.71,0.8795540886
7,13689312,0.8851526914
8,12212606.56,0.8909798011
9,11397932.81,0.8964181982
10,8552459.077,0.9013733472
11,6087736.326,0.9046929996
12,5275965.896,0.9082892404
13,5457754.743,0.9125674164
14,4168804.978,0.9156931434
15,3547851.858,0.9185951174
16,3284716.801,0.9212818594
17,3218892.963,0.9244632817
18,2458306.239,0.9269767535
19,2236557.153,0.9292635002
20,2199786.693,0.9315876229
21,1728517.63,0.9337083906
22,1724807.909,0.9357070392
23,1640178.409,0.9376635215
24,1376943.565,0.9394467891
25,931059.7566,0.9407795236
26,875417.9124,0.9420922823
27,748216.0904,0.9431377911
28,653916.4858,0.9440738181
29,685080.9539,0.9451945453
30,665644.8089,0.9462607908
31,651407.5348,0.9474152349
32,488877.7052,0.9482483155
33,618107.2667,0.9493437439
34,534683.6867,0.9503824402
35,404818.7187,0.9510998721
36,478101.8831,0.9520449449
37,417760.9232,0.9528565027
38,356946.7128,0.9536350771
39,342865.0286,0.9543595659
40,299561.9683,0.954961925
41,273944.7911,0.9555968008
42,293483.9201,0.9562569545
43,334336.8006,0.9570773692
44,262893.6296,0.9576955933
45,271652.9135,0.9583251576
46,218961.5348,0.958877383
47,247451.9342,0.9594930282
48,211517.133,0.9600553137
49,233662.1705,0.9606605414
50,235034.2228,0.9613334053
51,207071.9058,0.9619050458
52,248515.3486,0.9625656854
53,211254.1862,0.9631848706
54,207687.8131,0.9637582113
55,178287.1242,0.9643293803
56,180416.2543,0.9648581797
57,172114.5794,0.9653861104
58,144359.8442,0.9658338285
59,138284.0171,0.9662674158
60,133373.6961,0.9667128803
61,109806.9726,0.9670758901
62,116785.6535,0.967465951
63,132254.7555,0.967916693
64,123274.9491,0.9683242266
65,132053.3378,0.9688102866
66,106449.5083,0.9691730809
67,114041.5308,0.96958507
68,116479.592,0.9700336553
69,102176.3427,0.9703958153
70,103915.8557,0.9707924737
71,98456.90909,0.971151517
