freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.007179178e+11,0.7070022964
1,1282314456,0.7431365598
2,871072633.3,0.7922283686
3,365544831,0.8179800341
4,187127652.7,0.8337992114
5,105313921.4,0.8486373853
6,126406511.1,0.8646663926
7,66811798.55,0.875962507
8,41451696.21,0.8841389613
9,24372868.3,0.8889465727
10,13271990.08,0.892125493
11,18712253.05,0.8963438248
12,20874097.94,0.9022259245
13,16902083.67,0.907703177
14,11270040.21,0.9111965327
15,9850389.271,0.9145274152
16,7807732.006,0.9171675786
17,4401817.055,0.9189661375
18,3267393.072,0.9203472127
19,3654738.939,0.9218920128
20,4350062.619,0.9237920052
21,3207616.404,0.9254189754
22,4318816.383,0.9274878698
23,3173730.734,0.9290529363
24,4238759.335,0.9313223676
25,3353736.52,0.9333069672
26,2670455.72,0.9349624807
27,2944000.707,0.9366631366
28,1949122.857,0.9378165451
29,2193180.019,0.9392997809
30,2092355.381,0.9406853493
31,2069227.848,0.9422013742
32,1797360.077,0.9434675668
33,1748119.694,0.944748331
34,1409110.559,0.9458799875
35,1516271.836,0.9469908878
36,1340947.993,0.9480866961
37,1250970.987,0.9490913507
38,1218493.999,0.9501900985
39,978605.7926,0.9510449569
40,921399.6019,0.9518108968
41,980107.2945,0.9527499219
42,837455.3104,0.9535286758
43,1004561.438,0.954547745
44,874026.5455,0.9553974504
45,956334.4221,0.9563136991
46,807838.798,0.9571559687
47,623497.234,0.9577972551
48,658066.3743,0.9585204561
49,715854.373,0.9592869927
50,648131.1709,0.960054066
51,606180.5134,0.9607458678
52,610117.9424,0.9614163744
53,539491.4185,0.9620700732
54,559374.6738,0.9627084579
55,440914.907,0.9632924101
56,468060.4691,0.9638595564
57,463573.155,0.9644473914
58,393514.0977,0.9649519323
59,368694.6249,0.9654298458
60,384985.8177,0.965961422
61,310396.6517,0.9663856344
62,392449.4605,0.9669275161
63,316968.1886,0.9673741075
64,340448.4512,0.9678393912
65,368604.6832,0.9684002832
66,309236.9683,0.9688359817
67,286454.1458,0.9692637964
68,273667.9268,0.9696995059
69,256537.0314,0.9700754108
70,239710.7112,0.9704536793
71,263372.7786,0.9708507331
72,226242.2357,0.9712332491
73,252365.5864,0.97164571
74,262100.1816,0.9720740809
75,227073.6063,0.9724548032
76,250530.3244,0.9728783839
77,246564.815,0.9733091559
78,218322.4965,0.9736752057
79,232833.457,0.9740819877
80,190970.643,0.9744317755
81,213707.0194,0.9748081528
82,186442.2458,0.9751601538
83,224310.9708,0.975558367
84,198404.2705,0.9759329521
85,181967.3991,0.976284196
86,191197.9797,0.9766505635
87,186553.9289,0.9770132891
88,220123.4011,0.9774195754
89,168878.9759,0.9777764877
90,187122.2048,0.9781403181
91,169208.2565,0.978483622
92,166894.3864,0.9788245828
93,154791.6073,0.9791429988
94,159307.931,0.9794841726
95,141036.1904,0.9797723058
96,129048.1559,0.9800450388
97,132482.1991,0.9803399623
98,123617.9929,0.9806047025
99,113026.0267,0.9808610913
100,127406.9133,0.9811339458
101,133221.0993,0.9814455303
102,131113.6205,0.9817429491
103,129082.2032,0.9820266662
104,110629.6438,0.98228853
105,104283.1333,0.9825250864
106,88644.31637,0.982742404
107,89342.9481,0.9829538815
108,94175.60541,0.9831741443
109,111834.5975,0.9834435873
110,92971.53274,0.9836688935
111,83671.48659,0.9838810932
112,93006.63844,0.9841104157
113,87066.15218,0.9843287711
114,86400.54237,0.984555196
115,78269.1472,0.9847536947
116,72480.5616,0.9849364918
117,79370.97682,0.9851422581
118,74511.04071,0.9853396244
119,71282.38837,0.985529443
120,77290.85977,0.9857341726
121,68903.96901,0.9859128036
122,65685.59818,0.9860914203
123,65598.61208,0.9862818158
124,66498.89162,0.9864579594
125,68831.01421,0.9866538575
126,59683.18264,0.9868127884
127,58262.19272,0.9869802487
128,58799.08653,0.9871509089
129,59937.04897,0.9873172718
130,59558.16221,0.9874934918
131,55938.58902,0.9876526971
132,53749.43432,0.9878162741
133,54333.35297,0.9879778006
134,49920.99367,0.9881184726
135,49837.5199,0.9882729532
136,47254.00463,0.9884147651
137,50230.0642,0.988569047
138,52922.09649,0.9887301062
139,46145.00441,0.98886859
140,56241.37647,0.9890492597
141,53103.53663,0.9892123675
142,48197.62268,0.9893644812
143,46922.08998,0.9895132304
144,41425.23263,0.9896463047
145,34937.67123,0.989761492
146,38175.92888,0.9898835905
147,41368.60457,0.9900164829
148,40421.1522,0.9901520269
149,42315.41303,0.9902927306
150,41886.93618,0.9904325996
151,46611.53284,0.9905836479
152,40737.35025,0.990723696
153,37619.20679,0.9908493143
154,35611.4734,0.990974751
155,33456.90144,0.9910878846
156,33383.78419,0.9912026524
157,34082.19835,0.9913251034
158,33936.06552,0.9914398573
159,31735.69577,0.9915516421
160,31536.19406,0.9916631685
161,33476.56633,0.9917876886
162,33359.43947,0.9919080129
163,31359.07894,0.9920180293
164,28096.70624,0.9921209549
165,26622.35374,0.9922177294
166,26994.65899,0.9923204213
167,26557.44774,0.9924165856
168,27794.58082,0.992516838
169,26813.29718,0.9926203512
170,24678.71426,0.9927138852
171,26102.62144,0.9928131836
172,24935.46022,0.9929066367
173,24789.37338,0.9930037336
174,22732.7304,0.9930924545
175,22907.6147,0.9931795986
176,23619.35435,0.9932721126
177,23335.15717,0.993361212
178,23554.95669,0.9934567926
179,21784.88886,0.9935439628
180,23242.73403,0.9936346742
181,21398.20301,0.9937209001
182,20159.38729,0.9938038384
183,20108.19124,0.9938871326
184,17633.93377,0.993956451
185,18558.05459,0.9940328011
186,18626.4594,0.9941115322
187,18755.20783,0.9941889577
188,18854.88179,0.9942675917
189,19747.66486,0.9943488361
190,19219.49383,0.9944295322
191,18161.45841,0.994508089
192,17668.66151,0.994581278
193,15743.82002,0.9946504865
194,15730.32081,0.9947167544
195,15979.14324,0.9947869974
196,16422.96174,0.9948591913
197,16221.60034,0.9949291288
198,16107.86115,0.9950006184
199,17111.30785,0.9950748739
200,15179.84914,0.9951441698
201,14444.39651,0.9952070555
202,13391.30847,0.9952655452
203,11776.42785,0.9953206319
204,12729.09172,0.9953774846
205,12236.69968,0.9954343795
206,12504.62122,0.9954900535
207,12910.73824,0.9955493546
208,13208.03051,0.9956109518
209,13139.56027,0.995671304
210,13538.67472,0.9957338709
211,12356.87894,0.9957925432
212,11025.47332,0.9958444278
213,10886.14645,0.9958959635
214,10566.89357,0.9959459879
215,12175.3158,0.9960027688
216,11004.1199,0.9960564134
217,10779.37407,0.9961086587
218,11385.80539,0.996163041
219,10616.3984,0.9962147955
220,10867.4079,0.9962677737
221,10388.41197,0.9963188558
222,9828.401911,0.9963681536
223,9879.594902,0.9964160378
224,8797.554452,0.996460413
225,9587.849778,0.9965075586
226,9056.363695,0.996552984
227,10261.55124,0.9966041652
228,9248.405589,0.996651466
229,8970.656369,0.9966987365
230,9019.175322,0.9967432129
231,7819.159633,0.9967828733
232,8289.328681,0.9968252689
233,7592.103077,0.9968646334
234,7404.996013,0.9969040711
235,7293.927146,0.9969411702
236,7731.00336,0.9969814727
237,8286.38186,0.997025838
238,7495.652472,0.9970641743
239,7562.130007,0.9971050881
240,6881.109689,0.9971405723
241,6564.712205,0.9971768297
242,6748.9099,0.9972136289
243,6575.408792,0.9972486484
244,6796.010943,0.9972858002
245,6694.350627,0.9973209815
246,6676.073221,0.9973589827
247,7031.296612,0.9973972227
248,6970.020351,0.9974347366
249,6446.004045,0.9974702475
250,6415.989016,0.9975053219
251,5809.458725,0.9975380627
252,5366.058567,0.9975679267
253,5702.297944,0.997599903
254,5165.239467,0.9976293043
255,5254.896342,0.997659364
256,6158.836361,0.9976939871
257,5925.543453,0.9977272152
258,6018.085086,0.997762319
259,6369.223038,0.9977986632
260,5368.084141,0.997829673
261,4718.357148,0.9978569294
262,4860.670635,0.9978850765
263,4178.987746,0.9979094527
264,4836.558613,0.9979373919
265,4913.218222,0.9979668816
266,5085.228875,0.9979967589
267,5039.622374,0.9980262972
268,4532.872765,0.9980536318
269,4757.4231,0.9980817172
270,4260.71626,0.9981070504
271,4195.7235,0.9981325883
272,3941.586138,0.9981565793
273,3981.093452,0.9981805304
274,4294.874555,0.9982060667
275,4083.685124,0.998231498
276,4190.854396,0.9982569472
277,4019.3375,0.9982818646
278,4050.484233,0.9983066326
279,3947.155357,0.9983309356
280,3548.514376,0.9983532342
281,3685.921447,0.9983758768
282,3294.659283,0.9983964873
283,3404.565452,0.9984177374
284,3434.838627,0.9984397087
285,3915.241851,0.9984645324
286,3711.869259,0.9984875959
287,3601.155021,0.9985106311
288,3377.381486,0.9985321398
289,3214.503566,0.9985528829
290,3140.330142,0.9985734571
291,3024.665383,0.9985921229
292,2894.670157,0.9986115362
293,3081.922326,0.9986314672
294,2861.744537,0.9986500953
295,3379.270099,0.9986719969
296,3048.687394,0.9986922713
297,3308.090524,0.9987143175
298,2860.931939,0.998732779
299,2777.916799,0.9987510963
300,2731.085175,0.9987692201
301,2584.854986,0.99878641
302,2517.728725,0.9988037211
303,2612.057949,0.9988209078
304,2549.640837,0.9988379354
305,2616.575871,0.9988559998
306,2765.845229,0.9988744713
307,2549.832201,0.9988918953
308,2557.177727,0.9989089731
309,2147.827349,0.9989242856
310,2313.137778,0.9989399618
311,2154.136427,0.9989548336
312,2343.381811,0.9989708138
313,2243.216614,0.9989863639
314,2290.007477,0.9990027222
315,2323.668337,0.9990188954
316,2254.199078,0.9990345216
317,2111.080597,0.9990493638
318,2038.286028,0.9990638379
319,1882.217976,0.9990770446
320,1971.117373,0.9990908473
321,1875.80714,0.9991041675
322,1682.426357,0.9991163516
323,1859.147283,0.9991297108
324,1957.087898,0.9991434704
325,1939.62792,0.9991575718
326,1829.926902,0.9991708757
327,1715.711622,0.9991834701
328,1779.876696,0.9991965104
329,1526.806999,0.9992074384
330,1659.289707,0.999219642
331,1627.597792,0.9992314061
332,1632.530943,0.9992432749
333,1648.434567,0.9992558167
334,1721.273531,0.9992684034
335,1564.565705,0.9992800867
336,1556.979422,0.9992915378
337,1526.56737,0.9993026792
338,1335.057697,0.9993130436
339,1465.82054,0.9993239895
340,1479.923561,0.9993353327
341,1322.595938,0.9993452277
342,1405.658518,0.9993556847
343,1377.967812,0.9993664794
344,1351.048709,0.9993765111
345,1296.115904,0.999386628
346,1171.879584,0.999395511
347,1142.093638,0.9994043292
348,1061.984126,0.9994124839
349,1040.260107,0.9994203692
350,1028.061696,0.9994284228
351,1090.600257,0.9994369816
352,1160.520547,0.9994460729
353,1157.175223,0.9994551705
354,1201.566614,0.9994644139
355,1080.292389,0.9994730746
356,1022.705734,0.9994809997
357,1049.494841,0.9994894874
358,990.2122021,0.9994972584
359,874.2908102,0.9995041073
360,951.675063,0.9995118575
361,974.2098456,0.999519503
362,946.9851901,0.9995271882
363,999.5875903,0.9995350751
364,988.9561402,0.9995432125
365,932.4092178,0.9995507926
366,876.1210819,0.9995579028
367,850.1775861,0.9995647545
368,840.3872674,0.9995716102
369,759.0777713,0.9995778989
370,784.0086179,0.9995843057
371,856.3080798,0.9995912793
372,773.8707889,0.999597636
373,851.1829092,0.9996046637
374,837.3102434,0.9996117421
375,848.9680336,0.9996187156
376,749.0853547,0.9996249004
377,736.4685811,0.9996311263
378,725.7981092,0.9996371494
379,735.6787743,0.9996433686
380,679.794986,0.9996489622
381,777.9427738,0.9996556482
382,741.7212826,0.9996619708
383,774.9185076,0.9996685217
384,736.3922576,0.9996747884
385,663.455813,0.9996804251
386,593.8929082,0.9996855796
387,572.790418,0.9996904218
388,626.7185301,0.9996958258
389,623.1026258,0.999701225
390,624.1569961,0.9997065718
391,650.1995355,0.9997122699
392,666.8784239,0.9997179545
393,654.6854183,0.9997236919
394,626.7897371,0.9997292732
395,591.2981606,0.9997343551
396,504.8179557,0.9997388147
397,485.0365895,0.9997429834
398,474.7500929,0.9997472911
399,496.3161133,0.9997516616
400,531.9699164,0.9997563386
401,510.3086484,0.9997609402
402,574.6690643,0.9997659845
403,539.5067912,0.9997708646
404,548.2390075,0.9997757155
405,511.3604352,0.9997802689
406,439.492648,0.9997843001
407,414.3824511,0.9997879783
408,398.1907178,0.999791625
409,403.2365867,0.9997952099
410,446.2641644,0.9997992717
411,483.4732791,0.9998037267
412,431.549785,0.999807568
413,401.7322728,0.9998110348
414,365.0701846,0.9998141262
415,397.2245957,0.9998175765
416,386.7458843,0.9998207696
417,347.2817574,0.9998236198
418,376.1030756,0.9998266589
419,376.1798403,0.999829786
420,357.4935534,0.9998327074
421,341.2512117,0.9998354528
422,354.0354349,0.9998383135
423,319.6205891,0.9998408443
424,320.9825354,0.9998433927
425,349.860495,0.9998461704
426,319.6462188,0.9998486587
427,327.2232332,0.9998512543
428,335.7026115,0.9998538771
429,343.4915802,0.9998565316
430,321.5240186,0.9998589733
431,306.7725146,0.9998613073
432,303.7279218,0.9998637316
433,305.1360391,0.9998660403
434,316.1961407,0.9998684905
435,303.8878462,0.9998707598
436,315.6808967,0.9998731571
437,262.9524411,0.9998751726
438,287.5102677,0.9998773196
439,278.9973353,0.9998794501
440,280.1768348,0.9998815463
441,271.5623484,0.9998835818
442,266.1756232,0.9998855638
443,253.8335377,0.9998873949
444,256.6448081,0.9998893584
445,244.8440688,0.9998911643
446,257.425423,0.9998930866
447,248.7474778,0.9998949108
448,251.9409287,0.9998966892
449,245.2680415,0.999898564
450,251.7571329,0.999900412
451,232.945,0.9999021269
452,233.9696517,0.9999038147
453,212.3938298,0.9999053573
454,218.909915,0.9999069643
455,226.66344,0.9999085722
456,218.3102766,0.9999101794
457,212.9487676,0.9999117306
458,196.5965352,0.9999131418
459,194.3937243,0.9999145428
460,207.9679918,0.9999160035
461,195.6259553,0.999917434
462,184.2809955,0.9999187361
463,181.2014386,0.9999200445
464,197.0504329,0.9999214535
465,178.0580761,0.9999227192
466,185.3187164,0.9999240547
467,182.5628366,0.9999253241
468,170.1060725,0.9999265368
469,167.3501508,0.9999277264
470,159.4158502,0.999928864
471,169.1842863,0.9999300618
472,175.6695676,0.9999312759
473,171.1578737,0.9999324852
474,179.7687071,0.9999337605
475,152.9489442,0.9999348456
476,160.4553388,0.9999359545
477,144.2685316,0.9999369454
478,136.8639853,0.9999379259
479,147.5789056,0.9999389438
480,139.7370215,0.9999399292
481,145.3899173,0.999940936
482,142.1488241,0.9999419344
483,146.6000956,0.9999429568
484,138.7456647,0.9999438961
485,131.6522654,0.9999448282
486,126.4477247,0.9999456807
487,135.3941388,0.9999466488
488,126.9534075,0.9999475315
489,124.537246,0.9999483676
490,128.4012129,0.9999492586
491,124.7091387,0.9999501055
492,123.9579283,0.9999509674
493,122.069397,0.999951811
494,114.6281225,0.9999525855
495,126.4136768,0.9999534716
496,112.8609292,0.9999542269
497,117.8394448,0.9999550462
498,111.3715202,0.9999558034
499,113.2153947,0.9999565746
500,111.3035761,0.9999573391
501,120.089015,0.9999581411
502,108.2924179,0.9999588834
503,114.5818846,0.9999596543
504,109.2011354,0.9999604043
505,96.72069197,0.9999610639
506,103.1051247,0.9999617547
507,102.4667124,0.9999624642
508,104.31693,0.9999631609
509,98.62980415,0.99996383
510,95.14637134,0.9999644648
511,104.0020573,0.999965174
512,97.46708966,0.999965838
513,98.84074914,0.9999664974
514,99.23444547,0.9999671727
515,90.68618961,0.9999677726
516,93.61095993,0.9999684076
517,92.79565769,0.9999690313
518,89.49205304,0.9999696233
519,87.13885378,0.9999702169
520,89.71537211,0.999970811
521,86.38590849,0.9999713983
522,96.37604679,0.9999720344
523,88.15513764,0.9999726269
524,87.43156272,0.9999732102
525,86.93161792,0.9999737901
526,86.27662241,0.9999743651
527,78.25755397,0.9999748817
528,80.81877349,0.9999754237
529,77.51196469,0.9999759386
530,77.27618083,0.9999764493
531,82.42086668,0.9999770084
532,81.24433889,0.9999775333
533,79.07174309,0.9999780691
534,85.71558861,0.9999786325
535,77.92668695,0.9999791442
536,73.11021604,0.9999796381
537,68.66874919,0.9999800783
538,63.58808709,0.9999805133
539,69.42826018,0.9999809637
540,65.20119244,0.9999813946
541,68.41178787,0.9999818404
542,64.56426981,0.9999822652
543,67.53462759,0.9999827186
544,67.36766042,0.9999831543
545,64.25999231,0.999983583
546,67.54966024,0.9999840312
547,65.01792123,0.9999844476
548,57.49554745,0.9999848348
549,60.83944464,0.9999852261
550,58.44612317,0.9999856165
551,56.29204169,0.9999859841
552,57.78453035,0.9999863578
553,57.87262856,0.999986743
554,60.19494995,0.9999871255
555,57.44699807,0.9999875136
556,60.50532639,0.9999879049
557,54.2143536,0.9999882597
558,58.98918847,0.9999886421
559,55.74082012,0.999988999
560,50.97447487,0.9999893423
561,58.47001052,0.9999897159
562,52.35245249,0.9999900589
563,51.39340868,0.9999903974
564,51.64332954,0.9999907285
565,48.96238979,0.999991051
566,51.84537809,0.9999913819
567,53.88660367,0.9999917357
568,52.13230341,0.9999920747
569,50.14123406,0.9999924039
570,49.9224348,0.9999927236
571,46.64242183,0.9999930239
572,44.93713477,0.9999933167
573,47.79429355,0.9999936245
574,44.26694825,0.9999939111
575,45.35482827,0.9999942012
576,45.84227746,0.9999944996
577,43.3594481,0.9999947821
578,43.16514638,0.9999950601
579,42.88210867,0.9999953395
580,47.06832927,0.9999956452
581,47.70994341,0.9999959541
582,45.03748656,0.9999962428
583,46.82169,0.9999965403
584,39.79156366,0.9999967894
585,31.11947131,0.9999969712
586,27.66761047,0.9999971296
587,25.03325849,0.9999972665
588,24.33959119,0.9999973987
589,22.44035871,0.9999975183
590,21.16757021,0.9999976263
591,19.36077206,0.9999977245
592,20.82014404,0.9999978291
593,20.4758175,0.9999979316
594,18.60012538,0.9999980214
595,18.68996687,0.9999981091
596,18.25250721,0.9999981933
597,17.72433671,0.999998278
598,17.38649398,0.9999983561
599,15.19232883,0.9999984235
600,14.03786412,0.9999984848
601,14.04863657,0.9999985473
602,12.53911196,0.999998601
603,12.89171182,0.9999986545
604,11.85996307,0.9999987043
605,12.45485054,0.9999987552
606,11.04089396,0.9999988007
607,10.64269941,0.9999988433
608,10.70520503,0.9999988844
609,10.36936209,0.9999989237
610,10.04132005,0.9999989636
611,10.10683176,0.9999990018
612,9.72574449,0.9999990381
613,8.918033518,0.99999907
614,7.961389678,0.9999990993
615,8.356923986,0.9999991292
616,8.76444055,0.99999916
617,8.385462178,0.9999991894
618,8.299042284,0.9999992178
619,8.626313128,0.9999992471
