freq_radius,radial_mean_power,cumulative_energy_fraction
0,7.026509641e+10,0.5418089638
1,2192377981,0.67705108
2,582525703.7,0.7489200822
3,437202559.2,0.8163448144
4,153865271.8,0.844819464
5,100737919.1,0.8758907699
6,76812501.84,0.8972134087
7,50906708.15,0.9160552262
8,25017866.74,0.9268582377
9,15905049.37,0.9337262267
10,8382530.667,0.9381215477
11,5183338.746,0.9406795216
12,1730713.803,0.9417471541
13,1247267.359,0.9426319721
14,1401349.571,0.9435828739
15,2019315.743,0.9450776702
16,2686562.253,0.9470663949
17,2951763.606,0.9497066513
18,3021484.66,0.9525024647
19,3117310.381,0.9553869467
20,2377505.382,0.95766021
21,1888205.649,0.9597568232
22,1234302.906,0.9610512193
23,744578.012,0.9618550134
24,390982.1513,0.9623132682
25,321291.6024,0.9627294808
26,330348.9692,0.9631778049
27,347961.6207,0.9636178344
28,554079.3591,0.9643356085
29,453253.3655,0.9650066491
30,647560.8373,0.9659453883
31,732337.1143,0.9671199638
32,719036.2999,0.9682288509
33,582305.7695,0.9691627952
34,546729.1639,0.9701239949
35,320484.7811,0.9706380117
36,296307.4527,0.9711680864
37,319007.0275,0.9717289298
38,245391.4597,0.9722133319
39,225658.6715,0.9726448611
40,237173.8225,0.973076465
41,244446.0229,0.9735891592
42,379434.668,0.9743615684
43,348142.9597,0.9751347058
44,392511.208,0.9759700543
45,410907.6118,0.9768318803
46,243117.7993,0.9773867807
47,228884.5493,0.9779021349
48,174753.1418,0.9783225576
49,137062.8263,0.9786438495
50,122712.6773,0.9789617823
51,118966.0628,0.9792589999
52,114152.8751,0.97953363
53,178159.9482,0.9800062097
54,209974.022,0.9805307962
55,231330.5318,0.9812014947
56,260066.4536,0.9818913362
57,203322.9711,0.9824557472
58,185090.7465,0.9829752557
59,138878.8685,0.9833693412
60,134292.9238,0.9837752662
61,92761.50084,0.9840527937
62,97330.16545,0.9843469919
63,90000.75253,0.9846245876
64,92529.09049,0.9849014197
65,88539.24737,0.9851963546
66,165740.7059,0.9857075603
67,102556.3909,0.9860428615
68,116629.3816,0.9864493544
69,90113.82447,0.9867384166
70,85770.17066,0.9870347092
71,90313.60883,0.9873327691
72,76935.98104,0.987617528
73,67518.33822,0.9878590998
74,69898.15626,0.9881091863
75,50874.52975,0.9882959162
76,48067.53484,0.9884738259
77,46402.70844,0.9886512986
78,46549.2349,0.988822153
79,51175.56935,0.98901788
80,57067.71221,0.9892467034
81,53245.18143,0.9894519882
82,71765.62747,0.9897485996
83,57230.38875,0.9899710144
84,49857.51401,0.9901770784
85,60669.15023,0.9904334412
86,35569.82413,0.9905826475
87,34999.53534,0.9907316206
88,25512.13163,0.990834703
89,28543.74942,0.9909667622
90,31374.72449,0.9911003066
91,31789.16852,0.991241498
92,46836.14972,0.991450965
93,52435.22654,0.9916870903
94,51340.9625,0.9919277892
95,46604.34345,0.9921362196
96,38408.49763,0.9923139186
97,35120.35055,0.9924850708
98,32878.35144,0.9926392125
99,23195.8114,0.9927543991
100,28083.17348,0.9928860599
101,21622.8165,0.9929967699
102,21828.36319,0.9931051659
103,29261.06325,0.993245959
104,25107.81013,0.9933760612
105,27502.73014,0.9935126353
106,26590.08765,0.9936553391
107,25661.91503,0.9937883125
108,25309.55137,0.9939178988
109,26282.95078,0.9940565223
110,19007.84434,0.9941573611
111,19686.67649,0.9942666589
112,16247.72446,0.9943543584
113,16480.24114,0.9944448379
114,12455.92545,0.9945162966
115,14010.45305,0.9945940808
116,15437.21748,0.99467931
117,17550.70676,0.9947789145
118,16190.10332,0.9948727947
119,18154.81445,0.9949786275
120,18748.14014,0.9950873408
121,16637.39594,0.995181762
122,13797.45739,0.995263896
123,12873.31257,0.9953456905
124,12779.75214,0.9954197954
125,9789.78105,0.9954807899
126,9280.711088,0.9955348915
127,7993.622399,0.9955851882
128,10045.62462,0.9956490162
129,10728.00158,0.9957142018
130,10856.45963,0.995784521
131,12086.07651,0.9958598224
132,11657.87276,0.99593749
133,12812.9079,0.9960208766
134,11489.51786,0.9960917525
135,9441.003245,0.9961558155
136,9922.459652,0.9962210032
137,7597.735778,0.9962720898
138,6858.224903,0.9963177809
139,6748.821105,0.9963621187
140,6730.432349,0.9964094496
141,7285.538085,0.996458437
142,7336.378578,0.996509124
143,7878.950614,0.9965638026
144,8599.1546,0.996624275
145,8003.678497,0.9966820409
146,10029.11999,0.99675226
147,7639.345857,0.9968059827
148,7233.468359,0.9968590822
149,6590.766148,0.9969070571
150,5223.893836,0.9969452435
151,4782.684762,0.9969791722
152,4444.191195,0.9970126185
153,4399.827588,0.9970447811
154,4978.76885,0.997083172
155,5461.381238,0.9971235998
156,5839.470229,0.9971675469
157,5264.063143,0.9972089495
158,6390.717362,0.9972562567
159,5630.149749,0.9972996704
160,5467.2329,0.9973419964
161,4674.301838,0.9973800581
162,4210.807631,0.9974133065
163,3085.152458,0.9974370008
164,3266.126563,0.997463193
165,2952.707074,0.9974866897
166,3929.735278,0.9975194158
167,4305.941915,0.9975535482
168,5178.873773,0.9975944406
169,4931.901719,0.9976361209
170,5067.724216,0.9976781676
171,4473.661252,0.9977154234
172,4199.581016,0.9977498785
173,3222.688924,0.9977775116
174,3039.463569,0.9978034799
175,2744.744324,0.9978263376
176,2644.283393,0.9978490111
177,2639.526872,0.997871074
178,2429.35492,0.9978926539
179,2452.19257,0.9979141342
180,2748.326989,0.9979376151
181,3001.082233,0.9979640885
182,3433.874184,0.9979950152
183,3570.175078,0.9980273898
184,3490.823279,0.9980574297
185,2825.823313,0.9980828801
186,2435.74157,0.9981054182
187,2249.293983,0.9981257456
188,2102.035027,0.9981449366
189,1788.858874,0.9981610477
190,1748.490392,0.9981771188
191,2002.846437,0.9981960838
192,2120.79257,0.9982153153
193,2320.865026,0.9982376495
194,2631.126352,0.9982619144
195,2708.173821,0.9982879758
196,2675.103243,0.998313719
197,2569.32281,0.9983379687
198,2214.784611,0.998359487
199,1858.536397,0.9983771429
200,1639.155689,0.9983935235
201,1349.688138,0.998406387
202,1209.05715,0.9984179475
203,1362.670012,0.9984319014
204,1663.587998,0.998448167
205,1740.49933,0.9984658826
206,2243.286295,0.998487747
207,2299.135729,0.9985108649
208,2118.933275,0.9985324977
209,2087.198601,0.9985534846
210,1893.635294,0.998572642
211,1818.925193,0.9985915485
212,1766.894564,0.9986097507
213,1710.538867,0.9986274778
214,1610.559861,0.9986441688
215,1705.709234,0.9986615829
216,1514.924406,0.99867775
217,1424.423168,0.9986928635
218,1645.43019,0.9987100681
219,1654.227055,0.9987277219
220,1862.703722,0.9987476005
221,2146.465492,0.9987707061
222,1939.543836,0.9987920029
223,1799.185633,0.9988110927
224,1554.067601,0.9988282528
225,1471.994568,0.998844098
226,1216.169242,0.998857452
227,1005.113033,0.9988684265
228,1168.641477,0.9988815109
229,1239.145391,0.9988958051
230,1289.777596,0.9989097287
231,1412.469214,0.9989254124
232,1463.12338,0.9989417939
233,1323.685665,0.9989568183
234,1402.459278,0.9989731695
235,1485.50945,0.99898971
236,1305.074951,0.9990046038
237,1114.025952,0.9990176608
238,990.3150093,0.9990287486
239,889.854137,0.9990392881
240,865.8396648,0.9990490624
241,926.5166604,0.9990602646
242,1034.756445,0.999072616
