freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.460871261e+11,0.832874681
1,1377946462,0.8594034163
2,547768175.8,0.8804950876
3,333030638.8,0.8965241604
4,116901603.5,0.9032760592
5,71570937.79,0.9101656102
6,70897320.56,0.9163078467
7,55636979.79,0.9227347091
8,57515715.31,0.930485906
9,39512134.48,0.9358108216
10,17027158.86,0.9385972335
11,16426251.78,0.9411271878
12,20267936.98,0.945029246
13,12667111.53,0.9478337731
14,12812596.34,0.9505471744
15,9437240.041,0.9527274453
16,7546879.946,0.9544709892
17,7288834.796,0.9565057357
18,6699514.159,0.9584404586
19,6564565.473,0.9603362102
20,4928905.124,0.9618070534
21,4396933.506,0.9633307784
22,3896485.09,0.9646060602
23,3899837.891,0.9659199798
24,2519419.811,0.9668415711
25,2692752.025,0.9679302501
26,2433452.612,0.9689609442
27,1867186.639,0.9696978734
28,2016791.541,0.9705132618
29,1704819.033,0.9713009851
30,1547269.202,0.9720010172
31,1526096.836,0.9727649227
32,1000350.583,0.9732464007
33,1209378.664,0.9738517693
34,1268144.824,0.9745475909
35,1081653.407,0.9750890251
36,1062774.418,0.9756823919
37,644726.2551,0.9760361484
38,722558.4236,0.9764812992
39,849767.2496,0.9769884603
40,822852.6276,0.9774557952
41,751506.4727,0.9779477168
42,651650.5381,0.9783617288
43,645194.4072,0.9788089035
44,638356.6837,0.9792329044
45,509932.1293,0.979566696
46,604126.1041,0.9799970378
47,542228.6595,0.9803780681
48,529685.7808,0.9807757787
49,437413.7554,0.9810957863
50,394609.6319,0.9814148674
51,354691.6618,0.981691428
52,403809.4655,0.9819946252
53,334237.7064,0.9822713246
54,400291.1649,0.98258344
55,320112.7885,0.9828730977
56,319034.7542,0.9831372112
57,354768.9528,0.9834445677
58,301890.9902,0.983709019
59,293833.1207,0.9839692403
60,290941.8188,0.9842437049
61,295023.399,0.9845191801
62,246722.1923,0.9847519294
63,240823.6283,0.9849837507
64,221629.1846,0.9851906947
65,210204.8473,0.9854092296
66,210656.6793,0.9856120116
67,201889.0699,0.9858180143
68,222799.3888,0.9860603663
69,216336.4352,0.9862769457
70,188991.7075,0.9864807039
71,178178.9373,0.9866642285
72,164719.637,0.9868545031
73,152477.4672,0.9870247652
74,181923.5587,0.9872279078
75,182694.0329,0.9874371868
76,151763.8112,0.9876124955
77,154046.6514,0.9877963729
78,162442.7895,0.9879824537
79,143600.3608,0.9881538618
80,150672.5099,0.988342414
81,136001.0427,0.9885060604
82,130138.2923,0.9886739269
83,139732.9452,0.9888434089
84,127743.06,0.9890081858
85,124231.3588,0.9891720206
86,133816.6933,0.9893472082
87,111256.6802,0.9894950031
88,120445.0416,0.9896468879
89,118785.5204,0.9898184056
90,111743.3072,0.9899668469
91,128287.7836,0.9901446757
92,110405.068,0.9902987787
93,105013.9491,0.9904463678
94,100630.8855,0.9905936089
95,97851.1228,0.9907301892
96,105679.5187,0.9908827828
97,103648.5644,0.9910404257
98,98348.57758,0.9911843274
99,90286.17778,0.9913242543
100,95448.73506,0.991463913
101,84076.53157,0.9915982629
102,87301.37198,0.9917335639
103,78691.03213,0.991851733
104,84088.48766,0.9919877209
105,69460.39444,0.9920953717
106,67348.81021,0.992208178
107,74821.88741,0.9923291799
108,71031.69294,0.9924426847
109,71931.62698,0.9925610898
110,72976.17503,0.9926819167
111,69308.98839,0.9928020093
112,63334.39967,0.9929087013
113,62801.19904,0.9930163087
114,56135.10321,0.993116817
115,59483.04379,0.993219884
116,62847.91995,0.9933281765
117,50445.57319,0.9934175266
118,58640.6509,0.9935236499
119,53399.15149,0.9936208016
120,52813.52746,0.9937163794
121,53927.07292,0.993811896
122,51810.95272,0.9939081532
123,47649.63026,0.9940026422
124,47468.52983,0.994088547
125,38834.4066,0.9941640601
126,45920.01891,0.9942476047
127,42503.27659,0.9943310701
128,44067.54989,0.9944184558
129,43914.7993,0.994501734
130,39761.27694,0.9945821114
131,40418.02208,0.9946607038
132,38070.3866,0.9947398619
133,39160.72292,0.9948194022
134,33692.68593,0.9948842686
135,33979.16729,0.9949562284
136,35009.89014,0.9950280119
137,34941.42695,0.9951013367
138,33771.7461,0.9951715568
139,31032.62084,0.9952351854
140,30820.34712,0.995302829
141,32065.47332,0.9953701187
142,28007.90754,0.9954305111
143,27350.75746,0.9954897499
144,27457.9899,0.9955500139
145,29660.68915,0.9956168254
146,30919.83007,0.9956843897
147,26608.27926,0.9957427888
148,28034.86827,0.9958070175
149,25092.53268,0.9958640222
150,25731.47812,0.9959227262
151,22666.31081,0.9959729099
152,25196.39829,0.9960320909
153,23335.38318,0.9960853284
154,26114.92119,0.9961481752
155,26340.01761,0.9962090281
156,22608.03514,0.9962621296
157,25234.96023,0.9963240733
158,22341.47548,0.9963756885
159,20708.85581,0.9964255253
160,20301.3721,0.9964745769
161,20071.72601,0.9965255854
162,19089.40447,0.9965726275
163,19963.75152,0.996620479
164,19092.50232,0.9966682639
165,18160.93163,0.9967133676
166,18915.11684,0.9967625293
167,17109.54168,0.9968048571
168,18454.75174,0.9968503352
169,17925.05612,0.9968976139
170,17965.32987,0.9969441341
171,17380.2042,0.9969893065
172,15354.0057,0.9970286214
173,16324.77676,0.9970723078
174,16211.841,0.9971155359
175,15131.46713,0.9971548637
176,13965.07483,0.9971922353
177,14106.06724,0.9972290338
178,13203.65376,0.9972656388
179,13006.76881,0.9973011972
180,13924.80468,0.997338327
181,13061.20476,0.9973742857
182,12638.65157,0.997409811
183,12580.92787,0.9974454162
184,12497.14145,0.9974789799
185,12918.63215,0.9975152922
186,12941.81179,0.9975526662
187,13306.81792,0.9975901978
188,12118.45298,0.9976247275
189,11784.92549,0.9976578531
190,11317.09318,0.9976903173
191,9618.161536,0.9977187413
192,10519.93507,0.9977485138
193,11113.08704,0.9977818905
194,10069.6067,0.9978108731
195,10000.45533,0.9978409082
196,9696.420047,0.9978700301
197,10360.68361,0.9979005487
198,10573.59824,0.9979326104
199,9847.019029,0.9979618055
200,10684.52567,0.9979951293
201,9120.993622,0.9980222596
202,9641.72898,0.9980510317
203,8702.682127,0.9980788445
204,9023.934407,0.9981063811
205,8838.605274,0.9981344581
206,8073.013272,0.9981590152
207,7367.937716,0.9981821368
208,7135.317891,0.9982048719
209,7201.582891,0.9982274714
210,7676.428287,0.9982517089
211,7310.319754,0.9982754237
212,7178.430602,0.9982985034
213,7398.209474,0.9983224322
214,7077.210385,0.9983453227
215,6713.58653,0.998366714
216,7081.987129,0.9983903017
217,6658.101163,0.9984123494
218,6891.112735,0.998434837
219,6787.354525,0.9984574433
220,6504.506929,0.9984791076
221,6180.328697,0.9984998707
222,5972.768086,0.9985203389
223,5342.838779,0.9985380312
224,6206.508319,0.9985594199
225,5600.985944,0.9985782367
226,5719.705897,0.9985978376
227,5559.63929,0.9986167831
228,5538.77745,0.9986361372
229,5110.064153,0.9986545345
