freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.977901878e+11,0.8414560027
1,2277314551,0.8799941076
2,486303777.6,0.8964531655
3,344119511,0.9110116657
4,234869767.6,0.9229354938
5,80554684.87,0.9297514712
6,72203412.33,0.9352498869
7,33116696.44,0.9386124125
8,30170491.29,0.9421863566
9,23843126.97,0.945010772
10,20130965.35,0.947906454
11,11910081.73,0.9495188513
12,14605398.78,0.9519904659
13,9510148.635,0.953841236
14,9883217.852,0.9556809842
15,6517704.688,0.9570045431
16,6957499.236,0.9584174116
17,6517897.835,0.9600167593
18,5220485.135,0.9613419228
19,3871006.708,0.9623245358
20,3933378.229,0.9633562626
21,4098009.856,0.964604545
22,3177939.618,0.9655187886
23,2777793.941,0.9663414202
24,2724001.247,0.9672172672
25,2437802.746,0.9680836008
26,2184090.369,0.968896732
27,1728177.532,0.9694962601
28,1966229.151,0.9701950084
29,1533287.179,0.9708177417
30,1798735.847,0.9715330654
31,1515718.854,0.9721999632
32,1414049.073,0.9727981982
33,1450571.547,0.9734364321
34,1273621.841,0.9740506927
35,1267700.536,0.9746084656
36,1118126.397,0.9751571924
37,1136929.947,0.9757055274
38,1159569.948,0.9763334617
39,886536.5544,0.9767985396
40,919227.9593,0.9772574338
41,841990.7222,0.9777418889
42,861416.1837,0.9782229435
43,748595.6662,0.9786789984
44,708383.225,0.9790925738
45,648630.8731,0.9794657757
46,682894.8736,0.9798933611
47,653103.2732,0.9802967669
48,529581.4816,0.980646281
49,571975.9381,0.9810140954
50,516514.9362,0.9813812081
51,513079.484,0.9817328552
52,398422.3309,0.9819958067
53,384647.4348,0.9822757039
54,419807.9092,0.9825634259
55,363554.0531,0.9828525832
56,367804.9835,0.9831202247
57,435134.914,0.9834515875
58,440714.5199,0.9837909283
59,381502.1239,0.9840879048
60,354809.8361,0.9843821159
61,358704.0071,0.984676521
62,301045.873,0.9849261506
63,281063.7844,0.9851639672
64,275564.8823,0.9853901362
65,295087.543,0.9856597933
66,272947.6227,0.9858907426
67,280537.3765,0.9861423561
68,247817.4036,0.9863793012
69,212262.08,0.9865660866
70,211790.7721,0.9867667936
71,230576.0681,0.9869755478
72,208721.7183,0.9871874748
73,210292.4949,0.9873938793
74,236563.115,0.9876260686
75,221021.7711,0.9878486144
76,198337.5745,0.9880499978
77,182565.9634,0.9882415463
78,197494.6816,0.9884404028
79,209041.5288,0.9886597295
80,194212.4825,0.9888733574
81,155002.7179,0.989037298
82,157059.3213,0.9892153742
83,154800.1362,0.9893804104
84,158485.3403,0.9895601034
85,161722.8631,0.9897475724
86,143946.1748,0.9899132166
87,141589.5249,0.9900785451
88,166869.4152,0.9902635083
89,126796.9976,0.9904244385
90,114345.4896,0.9905579551
91,117587.5822,0.9907012271
92,108471.699,0.9908343099
93,119870.4325,0.9909823919
94,112842.0854,0.9911275202
95,116861.6631,0.9912708965
96,103838.6171,0.991402688
97,103258.7498,0.9915407332
98,105068.6413,0.9916758639
99,89634.87151,0.9917979708
100,95440.75605,0.9919207189
101,91733.90785,0.9920495662
102,89360.86921,0.9921712998
103,85629.65499,0.9922843279
104,80845.2562,0.9923992493
105,93021.51671,0.9925259698
106,84918.07857,0.9926509918
107,84971.78123,0.9927717792
108,79751.26899,0.9928837959
109,79734.86439,0.992999163
110,73338.78458,0.9931058962
111,67199.53129,0.9932082434
112,66397.84753,0.9933065606
113,63246.26261,0.9934018165
114,62845.77178,0.9935007234
115,61762.1709,0.9935947893
116,62324.48466,0.9936891843
117,60135.18194,0.9937828076
118,56463.6024,0.9938726257
119,57352.03498,0.9939643423
120,59018.1136,0.9940582239
121,53310.15126,0.9941412214
122,50324.62066,0.9942234031
123,48794.90869,0.994308454
124,47921.20471,0.9943846835
125,47801.59972,0.9944663852
126,46586.58053,0.9945408859
127,42006.25749,0.9946133931
128,41644.21179,0.9946859802
129,44685.17522,0.9947604649
130,42400.43505,0.9948358051
131,39862.74507,0.9949039378
132,42233.63292,0.9949811258
133,42068.14985,0.9950562316
134,43262.25953,0.9951294426
135,41258.48921,0.9952062447
136,42494.19079,0.9952828302
137,39992.99914,0.9953565999
138,37797.56208,0.9954256803
139,37948.8416,0.9954940739
140,38655.36999,0.995568647
141,36511.03109,0.9956359939
142,34910.95502,0.9957021618
143,36567.93123,0.9957717796
144,35766.57552,0.9958407796
145,34477.22653,0.9959090427
146,34546.6781,0.995975397
147,31465.07783,0.9960360987
148,30203.4537,0.9960969222
149,29640.80482,0.9961561109
150,29383.44212,0.9962150344
151,29594.05044,0.9962726274
152,28676.09123,0.9963318309
153,28509.21583,0.9963890012
154,27447.45676,0.9964470616
155,29340.98715,0.9965066447
156,28836.88949,0.9965661801
157,27940.96578,0.9966264665
158,28094.82016,0.996683519
159,24244.2375,0.9967348035
160,25047.36979,0.9967879987
161,24077.52263,0.9968417827
162,22821.76372,0.9968912168
163,23376.94276,0.9969404689
164,23637.72546,0.9969924704
165,20953.98853,0.9970382134
166,21797.12783,0.99708801
167,22755.51893,0.9971374932
168,21324.11491,0.9971836832
169,20125.10761,0.9972303412
170,18631.0252,0.9972727471
171,19822.54708,0.9973180328
172,19437.95943,0.9973617819
173,17918.78952,0.9974039312
174,17739.33489,0.9974455084
175,17453.29481,0.9974853813
176,17622.17956,0.997526833
177,16135.8921,0.9975638328
178,14926.08828,0.9976002055
179,16423.1321,0.9976396705
180,15092.99357,0.9976750452
181,15410.91391,0.9977123385
182,14564.62739,0.9977483234
183,14330.38473,0.997783972
184,14713.90191,0.9978187072
185,15272.6213,0.9978564412
186,13951.54979,0.9978918557
187,14002.12907,0.9979265693
188,13350.77724,0.9979600069
189,12566.92764,0.997991056
190,12207.08318,0.9980218358
191,12194.7378,0.9980535131
192,11643.03389,0.9980824766
193,13525.77621,0.9981181837
194,12484.89655,0.9981497696
195,11239.14302,0.9981794401
196,11577.34003,0.9982100034
197,11629.02761,0.9982401128
198,10366.31835,0.9982677423
199,10401.02989,0.9982948482
200,10687.84037,0.9983241486
201,10469.71933,0.9983515221
202,10443.57669,0.9983789156
203,9321.96137,0.9984051025
204,8961.522294,0.9984291394
205,8463.32081,0.9984527709
206,9047.558718,0.998476962
207,8876.788012,0.9985014476
208,8010.153483,0.9985238816
209,7787.511504,0.9985453625
210,7718.435399,0.9985667836
211,7721.659011,0.9985888016
212,7736.800415,0.9986106664
213,7604.964369,0.9986322873
214,6609.891737,0.9986510792
215,6875.451019,0.9986703352
216,7017.904901,0.9986908809
217,7195.922825,0.998711826
218,7125.179952,0.9987322637
219,7355.893253,0.9987537989
220,6608.552223,0.9987731462
221,6112.302716,0.9987911958
222,6420.031293,0.9988105344
223,5955.821438,0.9988278699
224,5827.953102,0.9988455236
225,5568.056056,0.9988619661
226,5492.243958,0.99887851
227,5196.507706,0.9988940751
228,5163.733184,0.9989099352
229,5382.25494,0.9989269675
230,5030.706301,0.9989418657
231,5033.930327,0.9989571994
232,4764.354307,0.9989718329
233,4640.70479,0.998986283
234,4679.085805,0.9990012484
235,4806.842699,0.9990159311
236,4612.339789,0.9990303709
237,4469.33886,0.9990447411
238,4592.301629,0.9990588462
239,4546.086308,0.999073617
240,4142.480452,0.9990864456
241,4115.525797,0.9991000961
242,4257.847264,0.9991140386
243,4102.972942,0.9991271614
244,3964.274199,0.999140176
245,3967.945253,0.9991526991
246,3707.674995,0.9991653733
247,3648.67789,0.9991772902
248,3855.437261,0.9991897518
249,3430.111218,0.9992010999
250,3555.44822,0.9992127723
251,3327.838309,0.9992240355
252,3216.411017,0.9992347854
253,3050.145388,0.9992450571
254,3043.949572,0.9992554624
255,3336.912855,0.9992669257
256,3148.287517,0.9992775545
257,3480.959512,0.999289277
258,3042.096886,0.9992999334
259,3146.248755,0.999310715
