freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.877121503e+11,0.8649721904
1,1041680324,0.8797518019
2,465411705.4,0.8929585488
3,274020007.1,0.9026782035
4,136304673.4,0.9084799742
5,88441941.55,0.9147541521
6,55891657.88,0.9183226715
7,48650402.91,0.9224642533
8,52989391.97,0.9277270372
9,47968886.61,0.932491196
10,25322981.56,0.9355451488
11,20965922.31,0.9379249053
12,12275541.86,0.9396665888
13,8735755.385,0.9410919563
14,11734898.38,0.9429234295
15,9311123.006,0.944508731
16,19753698.15,0.9478719738
17,16651847.57,0.95129775
18,17284742.7,0.9549763514
19,8820075.976,0.9568534718
20,5644857.346,0.9580948761
21,6968614.282,0.9598745789
22,5748703.461,0.9612611667
23,5279947.405,0.9625721471
24,5056871.493,0.9639353613
25,3305182.534,0.9649201505
26,3047072.625,0.9658712677
27,3120092.514,0.9667787745
28,3476730.132,0.9678146769
29,2401601.73,0.968632465
30,2216910.059,0.9693716353
31,1936721.81,0.9700860808
32,1607967.4,0.9706564366
33,1407373.996,0.9711756088
34,1792070.801,0.9719002592
35,1229874.71,0.972353953
36,1816973.187,0.9731015629
37,1683565.451,0.9737823376
38,3022355.352,0.9751545586
39,3054757.626,0.9764981494
40,1500446.564,0.977126166
41,1313593.473,0.9777598437
42,970688.3652,0.9782143316
43,983517.3942,0.9787166894
44,726983.9712,0.9790725439
45,681300.4556,0.9794012033
46,659061.9438,0.9797471877
47,663210.6954,0.9800906452
48,630912.1046,0.980439755
49,606378.4119,0.9807666858
50,566615.9564,0.9811043357
51,598549.7428,0.9814482766
52,564663.3351,0.9817607282
53,423300.9365,0.9820189818
54,377411.2707,0.9822358512
55,407120.6091,0.9825073385
56,598044.3209,0.982872202
57,645711.1566,0.9832844697
58,372870.71,0.983525182
59,352737.3246,0.9837553992
60,363839.8938,0.9840083494
61,337596.4228,0.9842406595
62,276252.8436,0.9844327171
63,286675.0668,0.9846360878
64,257453.3202,0.9848132491
65,244558.5155,0.9850006213
66,267923.5355,0.9851906894
67,262179.8141,0.9853878426
68,231841.5827,0.985573695
69,185737.9,0.9857107303
70,194365.6276,0.9858651619
71,209106.339,0.9860238884
72,205318.7434,0.9861986751
73,213624.2095,0.9863744703
74,305041.1684,0.9866254942
75,205901.1169,0.986799316
76,227262.0289,0.9869927829
77,176830.2418,0.9871483353
78,189995.0997,0.9873087293
79,177879.8043,0.987465205
80,158405.3198,0.987611292
81,162679.3665,0.9877555504
82,152672.6108,0.9879006828
83,143520.8738,0.9880289703
84,142025.708,0.9881639816
85,147539.5763,0.9883073745
86,145323.4879,0.9884475827
87,143398.1791,0.9885879679
88,148501.3367,0.9887259746
89,142087.4803,0.9888771724
90,129129.4195,0.9890035887
91,134678.3106,0.9891411697
92,121738.7318,0.989266396
93,150250.6725,0.9894220169
94,134097.6822,0.9895666152
95,233070.4932,0.9898063626
96,109712.8708,0.9899231101
