freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.994049565e+11,0.8980901333
1,598310750.6,0.9088528837
2,189244603.9,0.9156613606
3,231770704,0.9260844151
4,102133559,0.9315961229
5,49674773.88,0.9360640118
6,47744004.22,0.9399288188
7,33302753.11,0.9435232308
8,18019138.48,0.9457921996
9,6627186.861,0.9466266945
10,12594607.1,0.948552445
11,8048066.31,0.9497106302
12,8544290.275,0.9512476252
13,6410454.378,0.952573746
14,6387093.199,0.9538375869
15,5705517.218,0.9550691956
16,4408215.595,0.9560207651
17,3807784.323,0.9570139653
18,3252271.716,0.9578915207
19,2956669.585,0.9586893143
20,3455897.961,0.9596528972
21,2824915.128,0.9605675881
22,2706846.543,0.9613953568
23,2362768.852,0.9621391561
24,1666581.92,0.9627087649
25,1410482.304,0.9632415885
26,1658227.562,0.9638978293
27,1769130.022,0.9645502235
28,1514083.187,0.9651221833
29,1359592.956,0.9657091542
30,1262878.396,0.9662430124
31,1468506.078,0.9669298365
32,1326634.728,0.9675264428
33,1168214.01,0.9680728196
34,908025.6611,0.9685383408
35,733075.8459,0.9688812023
36,786022.5612,0.9692912453
37,894283.9427,0.9697497215
38,731085.1299,0.9701705589
39,794266.8599,0.9706134782
40,659552.891,0.9709634783
41,617281.9098,0.9713410148
42,684487.8023,0.9717473422
43,567686.6995,0.9721149694
44,548569.5608,0.9724554147
45,613586.3529,0.9728306909
46,552444.64,0.9731983852
47,546718.0802,0.9735573508
48,576801.3894,0.9739620081
49,561668.4369,0.9743459452
50,426740.8667,0.9746683563
51,514774.1989,0.9750433882
52,489226.6998,0.9753866071
53,512104.7766,0.9757827244
54,487881.2723,0.9761381638
55,490170.1254,0.9765525843
56,600129.2222,0.9770167891
57,641030.8614,0.9775356942
58,555308.2611,0.9779902027
59,478821.1045,0.9783864146
60,605137.3098,0.9789198066
61,523498.6135,0.9793765305
62,501061.7236,0.9798181861
63,468231.1429,0.9802393264
64,348354.4197,0.9805432466
65,395078.9936,0.9809270193
66,343808.1068,0.98123625
67,353375.7089,0.9815731562
68,340221.29,0.9819189414
69,318309.6392,0.9822166899
70,316501.9921,0.9825355212
71,319541.3274,0.982843044
72,330161.5378,0.9831993919
73,363935.5111,0.9835790991
74,384431.5826,0.9839801907
75,321365.2064,0.9843241541
76,272346.388,0.9846181013
77,296098.2074,0.984948337
78,250504.2681,0.9852164566
79,249588.1725,0.98549482
80,255285.641,0.9857933144
81,252869.3905,0.9860776117
82,233340.0199,0.986358841
83,225186.3854,0.9866140401
84,206580.5781,0.9868630179
85,235305.9273,0.9871529658
86,174018.4073,0.987365829
87,204110.3846,0.987619173
88,163089.8627,0.9878113338
89,181221.5091,0.9880558273
90,148973.3252,0.9882407347
91,146888.2183,0.9884309808
92,148883.575,0.9886251504
93,146467.0438,0.9888174858
94,127544.3246,0.9889918556
95,128209.9261,0.9891590632
96,135036.5615,0.9893412468
97,128024.8526,0.9895231824
98,127672.0191,0.9896977268
99,121671.9007,0.9898739173
100,123752.7137,0.9900431035
101,124919.2744,0.9902296143
102,125877.9924,0.9904118956
103,105415.158,0.9905598044
104,104214.6663,0.9907172769
105,113810.934,0.9908820841
106,108180.4996,0.9910513872
107,98596.91582,0.991200371
108,97037.20512,0.9913452524
109,101629.6854,0.9915015611
110,98249.8763,0.9916535553
111,86023.06223,0.9917928241
112,86645.09078,0.9919292034
113,70164.61405,0.9920415357
114,80782.39125,0.9921766795
115,69085.90703,0.9922885276
116,79108.25053,0.99241589
117,82435.76042,0.9925523169
118,73741.5928,0.9926770084
119,72727.69918,0.9928006396
120,73020.48054,0.9929241117
121,62894.32856,0.9930281985
122,55401.60266,0.99312437
123,52804.68958,0.9932222077
124,56416.45432,0.9933176037
125,49239.23399,0.9934070637
126,54325.02085,0.9934994118
127,59188.61231,0.9936080131
128,49509.68847,0.9936997457
129,53064.77703,0.9937937698
130,44527.98012,0.9938778742
131,48096.11448,0.9939652574
132,53240.24078,0.9940686906
133,47406.19894,0.9941586578
134,48820.75911,0.9942464793
135,47713.86491,0.9943408928
136,42856.99158,0.9944229974
137,41750.89465,0.9945048606
138,42857.82068,0.9945881233
139,37184.46467,0.9946593606
140,36626.60917,0.9947344706
141,36068.95428,0.994805193
142,34125.27855,0.9948739458
143,36884.75823,0.99494859
144,35113.26505,0.9950205966
145,29642.42043,0.9950829839
146,29382.68309,0.9951429746
147,31569.00768,0.995207713
148,26399.31998,0.9952642244
149,27546.40175,0.9953226958
150,28499.54335,0.9953834467
151,26585.987,0.9954384447
152,25225.17091,0.995493804
153,26974.81712,0.9955513047
154,27673.35722,0.9956135302
155,25320.83446,0.9956681885
156,24784.40518,0.9957225805
157,22917.52169,0.9957751427
158,23321.69867,0.9958254856
159,22502.61688,0.9958760843
160,21769.09,0.9959252294
161,22188.9102,0.9959779168
162,22984.65472,0.9960308398
163,20662.59492,0.9960771152
164,19287.4907,0.9961222193
165,20003.79739,0.9961686386
166,22148.28454,0.9962224247
167,19354.1655,0.9962671625
168,20414.10633,0.9963141667
169,19548.72498,0.9963623432
170,18334.66454,0.9964067032
171,17585.61184,0.9964494091
172,17750.51208,0.9964918768
173,17247.05697,0.9965350016
174,16213.12258,0.9965753952
175,15765.08118,0.99661368
176,15536.4089,0.9966525274
177,14976.7197,0.9966890324
178,15187.12037,0.9967283724
179,14753.09691,0.9967660574
180,15354.64617,0.9968043122
181,14166.55072,0.9968407537
182,14405.56341,0.9968785875
183,14906.14251,0.9969180041
184,13300.44061,0.9969513802
185,12424.29663,0.9969840105
186,13125.34033,0.9970194264
187,12847.02961,0.9970532825
188,12573.91035,0.9970867582
189,13330.50713,0.9971217685
190,12006.41963,0.9971539492
191,12148.39259,0.9971874939
192,11683.94482,0.99721839
193,10845.82384,0.9972488257
194,10677.14931,0.9972775396
195,11119.26686,0.9973087427
196,10694.10618,0.9973387527
197,10544.11563,0.9973677727
198,11442.50701,0.9974001916
199,11000.08458,0.9974306645
200,10524.55586,0.9974613346
201,10086.50012,0.9974893673
202,9626.376278,0.9975162078
203,9774.191156,0.9975453946
204,9773.704596,0.9975732612
205,9624.124189,0.9976018267
206,9954.506287,0.9976301193
207,9448.871586,0.9976578247
208,9577.832247,0.9976863389
209,8933.512704,0.9977125332
210,9006.44864,0.9977391034
211,8846.213829,0.9977659169
212,9003.461837,0.9977929641
213,8754.767617,0.9978194217
214,8731.954323,0.9978458103
215,8711.033448,0.997871744
216,8500.678051,0.9978981983
217,8800.78382,0.9979254282
218,8006.947175,0.9979498419
219,7985.345785,0.9979746925
220,7634.425567,0.997998451
221,9092.210516,0.9980269914
222,8275.58563,0.9980534896
223,7237.542926,0.9980758828
224,7045.119668,0.9980985677
225,7301.396183,0.9981214868
226,7317.611503,0.9981449176
227,6753.185676,0.9981664195
228,6728.49783,0.9981883876
229,7252.628431,0.9982127844
230,6767.434835,0.9982340883
231,7212.067938,0.9982574405
232,6875.335718,0.998279888
233,6496.218687,0.9983013898
234,6925.639918,0.9983249358
235,6446.749804,0.998345868
236,6529.761874,0.9983675983
237,6169.373887,0.9983886842
238,5966.826184,0.9984081654
239,6185.37205,0.9984295285
240,6512.237994,0.9984509661
241,6826.53914,0.9984750349
242,6747.747488,0.9984985223
243,6834.869131,0.9985217598
244,5885.936813,0.9985423004
245,6060.861931,0.9985626338
246,5537.560587,0.9985827556
247,5870.243063,0.9986031359
248,6388.292995,0.9986250849
249,5014.811476,0.9986427208
250,5568.233155,0.9986621527
251,5629.703232,0.9986824067
252,5731.952994,0.9987027709
253,5747.171154,0.9987233442
254,4832.851771,0.9987409052
255,5276.120038,0.9987601719
256,5564.499608,0.9987801414
257,5695.375658,0.9988005292
258,5322.730075,0.9988203491
259,5097.385683,0.9988389173
260,4748.665563,0.9988564287
261,4808.053058,0.9988741592
262,4687.278483,0.9988914864
263,4189.665075,0.9989070872
264,3899.552515,0.9989214674
265,4165.670095,0.9989374284
266,3994.484579,0.9989524102
267,3844.842157,0.9989667961
268,3937.289372,0.9989819529
269,3599.026034,0.9989955162
270,3566.939798,0.9990090549
271,3895.157602,0.9990241896
272,3573.834588,0.9990380758
273,3229.240775,0.9990504779
274,3437.624925,0.9990635257
275,3367.280298,0.9990769123
276,3050.06237,0.9990887359
277,3063.24388,0.9991008587
278,3239.654972,0.9991135047
279,3202.701292,0.9991260929
280,2956.93292,0.9991379545
281,2877.410063,0.9991492383
282,2920.836965,0.9991609026
283,3016.992792,0.9991729237
284,2888.777483,0.9991847197
285,2711.489025,0.9991956943
286,2891.31213,0.9992071626
287,2817.222528,0.9992186665
288,3030.897231,0.9992309883
289,2657.438337,0.9992419353
290,2561.146878,0.9992526469
291,2893.975579,0.9992640477
292,2853.164671,0.9992762629
293,2705.502345,0.9992874322
294,2482.700465,0.9992977487
295,2817.345403,0.9993094051
296,2488.739414,0.9993199706
297,2392.649215,0.9993301496
298,2449.368565,0.9993402395
299,2512.909899,0.9993508171
300,2803.501662,0.9993626936
301,2481.67844,0.9993732291
302,2296.434356,0.9993833086
303,2237.455863,0.9993927067
304,2088.056492,0.9994016087
305,2300.218176,0.9994117462
306,2276.967083,0.9994214536
307,1960.459816,0.9994300055
308,1790.895541,0.9994376406
309,2028.881698,0.9994468743
310,1677.084282,0.9994541298
311,1757.28444,0.9994618745
312,1706.336947,0.9994693026
313,1775.402407,0.9994771591
314,1689.145422,0.9994848617
315,1710.393207,0.9994924613
316,1716.549403,0.9995000574
317,1864.963546,0.9995084276
318,1630.677527,0.9995158196
319,1494.927016,0.9995225156
320,1611.988487,0.9995297215
321,1472.774971,0.9995363977
322,1509.289084,0.9995433753
323,1472.478838,0.9995501297
324,1508.480447,0.9995568999
325,1366.3685,0.9995632413
326,1490.777991,0.9995701601
327,1336.316311,0.9995764221
328,1438.817772,0.9995831515
329,1218.050671,0.9995887169
330,1251.678003,0.9995945935
331,1214.066765,0.9996001953
332,1274.533921,0.9996061105
333,1230.271954,0.9996120858
334,1283.387482,0.9996180767
335,1257.724594,0.9996240722
336,1171.721041,0.9996295735
337,1219.349566,0.9996352545
338,1264.001808,0.9996415187
339,1113.248144,0.9996468255
340,1111.289348,0.9996522629
341,1148.149437,0.9996577464
342,1108.075827,0.9996630087
343,1007.800251,0.9996680485
344,958.2280937,0.9996725905
345,970.0790794,0.9996774242
346,987.7192873,0.9996822037
347,953.7295519,0.9996869045
348,959.555888,0.9996916082
349,949.4605589,0.9996962025
350,860.0986585,0.9997005037
351,833.8739434,0.9997046813
352,891.0830737,0.9997091374
353,843.9589715,0.9997133731
354,799.2690876,0.9997172982
355,871.075118,0.9997217562
356,863.6088966,0.9997260283
357,812.2194414,0.9997302216
358,795.1564878,0.9997342051
359,809.9519399,0.9997382556
360,811.4157289,0.9997424739
361,757.8631946,0.9997462706
362,701.9263363,0.9997499071
363,717.7660355,0.9997535223
364,720.7528268,0.9997573082
365,707.865533,0.9997609818
366,681.4756572,0.9997645123
367,666.1709816,0.9997679396
368,699.4555483,0.9997715822
369,623.291588,0.9997748785
370,629.9338085,0.9997781647
371,694.3997032,0.9997817747
372,655.5896285,0.9997852124
373,646.2070157,0.9997886183
374,557.3269991,0.9997916259
375,557.2459453,0.999794548
376,569.5373786,0.9997975498
377,591.7484231,0.9998007432
378,585.5668935,0.9998038453
379,572.0168761,0.9998069322
380,658.9865661,0.9998103937
381,553.1252066,0.9998134284
382,571.9633638,0.9998165408
383,639.798172,0.9998199935
384,559.6402701,0.9998230338
385,491.1060615,0.9998256973
386,506.1112278,0.9998285014
387,527.336825,0.9998313472
388,474.2729172,0.9998339578
389,473.7850853,0.9998365786
390,445.1441098,0.9998390128
391,442.0002195,0.9998414856
392,430.2992574,0.9998438271
393,410.7578984,0.999846125
394,425.4674652,0.9998485436
395,418.2530228,0.9998508383
396,384.825478,0.9998530085
397,403.5964897,0.9998552228
398,365.2364979,0.9998573384
399,373.5817628,0.9998594385
400,396.0478869,0.9998616613
401,363.9703676,0.9998637564
402,359.6708612,0.9998657718
403,359.4239666,0.9998678472
404,413.3234343,0.9998701818
405,431.2780639,0.9998726334
406,351.3947557,0.9998746909
407,340.7765032,0.9998766219
408,365.5408933,0.9998787589
409,385.884646,0.999880949
410,328.7072139,0.9998828589
411,438.2211805,0.9998854366
412,424.6875338,0.9998878497
413,301.3841853,0.9998895101
414,383.4499207,0.9998915828
415,377.3403015,0.9998936752
416,309.4615865,0.9998953062
417,276.0486426,0.9998967525
418,256.171126,0.9998980739
419,307.6048468,0.9998997062
420,299.0560667,0.9999012663
421,347.7686755,0.9999030524
422,345.5109556,0.9999048346
423,282.2252644,0.9999062612
424,327.252241,0.9999079198
425,255.3561164,0.999909214
426,293.4729131,0.9999106724
427,254.7353661,0.9999119623
428,254.8688796,0.9999132334
429,260.0055478,0.9999145161
430,261.9721277,0.9999157861
431,312.1469971,0.9999173022
432,265.2776676,0.9999186538
433,238.5005319,0.9999198058
434,253.0785408,0.9999210577
435,245.6592416,0.9999222288
436,237.6635327,0.999923381
437,223.2072389,0.9999244731
438,214.1026005,0.9999254937
439,232.3917838,0.9999266266
440,233.3515778,0.9999277411
441,213.2800677,0.9999287616
442,224.5968468,0.9999298292
443,232.7535926,0.9999309011
444,215.8057529,0.999931955
445,223.4332456,0.9999330071
446,197.2938576,0.9999339476
447,209.2974912,0.9999349274
448,209.9589058,0.9999358735
449,212.594804,0.9999369108
450,200.4086319,0.99993785
451,183.5271699,0.9999387124
452,190.2548936,0.9999395886
453,183.8290228,0.9999404409
454,184.5082297,0.9999413055
455,183.925964,0.9999421385
456,170.5218305,0.9999429398
457,190.1356521,0.999943824
458,169.8000867,0.9999446021
459,172.6540214,0.9999453964
460,182.3724599,0.9999462141
461,162.4362389,0.9999469723
462,172.9810306,0.9999477526
463,186.9737347,0.9999486145
464,178.5551361,0.9999494295
465,169.3546352,0.999950198
466,155.9194146,0.9999509153
467,182.8163191,0.9999517267
468,169.9497836,0.9999525002
469,168.1825111,0.9999532634
470,178.1742201,0.999954075
471,171.4875412,0.9999548501
472,152.8533311,0.9999555244
473,165.2649411,0.9999562699
474,151.095518,0.9999569542
475,135.0217248,0.9999575656
476,133.561356,0.9999581548
477,128.6513073,0.9999587189
478,131.3323381,0.9999593196
479,159.7861082,0.9999600231
480,126.7326876,0.9999605936
481,134.0613161,0.9999611862
482,137.1329995,0.9999618011
483,130.4570987,0.9999623819
484,136.9340916,0.9999629737
485,139.8614612,0.9999636058
486,138.0351941,0.9999641999
487,138.1933589,0.9999648307
488,122.4237114,0.9999653741
489,125.2545692,0.9999659109
490,117.3557343,0.9999664308
491,117.3913407,0.9999669397
492,116.539047,0.999967457
493,122.1744563,0.999967996
494,124.3923503,0.9999685324
495,100.9682775,0.9999689842
496,104.8217495,0.9999694321
497,108.4036468,0.9999699132
498,100.1891529,0.999970348
499,121.78708,0.9999708776
500,137.5319611,0.9999714807
501,108.359861,0.9999719426
502,109.1381211,0.9999724202
503,121.7081669,0.9999729429
504,108.5521038,0.9999734189
505,93.16826875,0.9999738245
506,118.3648464,0.9999743307
507,104.3050972,0.9999747918
508,103.03329,0.9999752311
509,98.3060479,0.9999756568
510,92.49159195,0.9999760507
511,95.58857966,0.9999764668
512,83.74732679,0.999976831
513,92.21460212,0.9999772237
514,93.06502568,0.999977628
515,106.5871303,0.9999780781
516,96.54701589,0.9999784962
517,104.2115614,0.9999789433
518,89.01312674,0.9999793192
519,79.8492207,0.9999796665
520,87.4188175,0.999980036
521,90.65658539,0.9999804294
522,92.42241682,0.9999808189
523,93.32732526,0.9999812193
524,78.43965465,0.9999815534
525,90.01022847,0.9999819367
526,83.36069928,0.9999822913
527,72.78954076,0.999982598
528,75.66957681,0.999982922
529,87.22721449,0.9999832919
530,84.70529312,0.9999836492
531,89.57057583,0.9999840371
532,84.78903799,0.9999843868
533,75.23718205,0.9999847123
534,75.64871677,0.9999850297
535,86.15562323,0.9999853908
536,81.08731725,0.9999857405
537,86.48712963,0.9999860945
538,70.26180449,0.9999864013
539,73.67253795,0.9999867064
540,85.97432171,0.9999870691
541,58.49861444,0.9999873124
542,67.44990831,0.9999875957
543,80.02694262,0.9999879387
544,89.52131824,0.9999883083
545,78.24123012,0.9999886415
546,76.11388944,0.999988964
547,77.49068848,0.9999892807
548,73.41775082,0.9999895964
549,59.66718243,0.9999898414
550,62.16567124,0.9999901064
551,65.97962733,0.9999903814
552,74.84301011,0.9999906904
553,65.87669142,0.9999909704
554,68.35258993,0.9999912477
555,63.29556891,0.9999915206
556,62.86662897,0.9999917802
557,62.25625515,0.9999920403
558,56.68603693,0.9999922748
559,64.50045045,0.9999925385
560,62.00646093,0.9999928051
561,60.37254734,0.9999930513
562,61.03228444,0.9999933066
563,53.37378925,0.999993531
564,49.24757585,0.9999937325
565,53.97587747,0.9999939595
566,54.88726564,0.9999941831
567,51.3892687,0.9999943985
568,55.84333483,0.9999946303
569,65.86052801,0.9999949064
570,61.8845795,0.9999951593
571,59.53232811,0.999995404
572,63.26276315,0.9999956672
573,63.19855497,0.999995927
574,67.82666998,0.9999962073
575,71.56537646,0.9999964995
576,68.71576893,0.9999967851
577,66.51314237,0.9999970617
578,69.35048471,0.9999973468
579,65.80051601,0.9999976205
580,61.33673936,0.9999978748
581,52.58666675,0.9999980922
582,52.97415585,0.999998309
583,64.28242053,0.9999985697
584,35.07756816,0.9999987099
585,19.7070325,0.9999987834
586,17.3700276,0.9999988469
587,16.82053063,0.9999989056
588,14.93153404,0.9999989573
589,13.44537932,0.9999990031
590,13.81824182,0.9999990481
591,14.20679369,0.9999990941
592,13.85776639,0.9999991385
593,11.749336,0.9999991761
594,9.802739982,0.9999992063
595,10.31937601,0.9999992372
596,9.885198411,0.9999992663
597,8.653918327,0.9999992927
598,9.494854023,0.99999932
599,8.392505702,0.9999993437
600,8.387682735,0.9999993671
601,7.775382967,0.9999993892
602,7.809835435,0.9999994105
603,7.719123456,0.999999431
604,7.154306432,0.9999994502
605,7.464869075,0.9999994696
606,6.728627614,0.9999994873
607,6.616999188,0.9999995042
608,6.562150215,0.9999995203
609,6.557563269,0.9999995362
610,6.271564605,0.9999995521
611,6.219023117,0.9999995671
612,5.498438814,0.9999995802
613,6.139142909,0.9999995942
614,6.107888113,0.9999996086
615,5.992132197,0.9999996223
616,5.596811005,0.9999996348
617,5.390228762,0.9999996469
