freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.173074961e+11,0.7479304468
1,718604694.5,0.7845839496
2,294754516.3,0.8146527359
3,141014275.2,0.8326343438
4,59009320.41,0.8416639187
5,36927686.36,0.8510816769
6,16065197.8,0.854769109
7,15463121.21,0.8595014261
8,14670418.43,0.864739432
9,18008306.32,0.8711692154
10,10017909.48,0.8755125317
11,10699229.54,0.8798783728
12,7005626.084,0.8834516968
13,5907615.289,0.886916954
14,3767638.524,0.8890308682
15,3391505.099,0.8911067334
16,2989544.868,0.8929365677
17,2490808.381,0.8947787549
18,2598523.004,0.8967668779
19,2984032.919,0.8990499536
20,2034658.948,0.9006585561
21,1538506.297,0.9020710846
22,1675496.623,0.903523925
23,1642559.114,0.9049900956
24,1527170.76,0.9064701124
25,1526199.895,0.9081048804
26,1220383.762,0.9094743253
27,1221661.05,0.9107517344
28,1372746.831,0.9122221333
29,1342414.499,0.9138654578
30,1391693.402,0.9155336146
31,958777.7906,0.9168051157
32,964436.9586,0.9180349293
33,890394.8977,0.9192157431
34,728567.6684,0.920274851
35,813284.025,0.9213534028
36,664271.2917,0.9223359851
37,740467.6567,0.9234123918
38,794600.4841,0.9247093448
39,772695.396,0.9259311316
40,691517.3292,0.9269716519
41,637540.576,0.9280772879
42,523936.585,0.9289591854
43,576397.7526,0.9300175863
44,636897.4411,0.9311383499
45,542149.1784,0.9320785562
46,488671.6011,0.9330007969
47,488189.3869,0.9339096771
48,448323.7762,0.9348015065
49,515305.7787,0.9358002962
50,519472.4021,0.9369131477
51,401647.4593,0.9377428561
52,423896.8607,0.9385860942
53,395052.1072,0.9394525537
54,427371.4704,0.9403354018
55,408179.5225,0.9413139326
56,383043.3762,0.9421540536
57,342240.9524,0.9429395966
58,365931.7162,0.9437888492
59,333297.5714,0.9445708648
60,305828.5145,0.9453352275
61,287228.1074,0.9460457766
62,294694.4026,0.9467823116
63,274486.8595,0.9474823422
64,289812.6924,0.9481992851
65,263831.142,0.9489259685
66,274104.2543,0.9496250233
67,268256.159,0.9503502119
68,281826.1542,0.9511623973
69,207751.745,0.9517134251
70,210416.1471,0.9523144501
71,196476.7917,0.9528506052
72,243679.0668,0.953596358
73,249766.0372,0.95433526
74,229060.328,0.9550129066
75,197390.8439,0.9556119654
76,178750.4291,0.9561590113
77,172620.7676,0.9567049076
78,196035.024,0.9572998516
79,194624.0971,0.9579153313
80,205117.6968,0.958595383
81,182882.8132,0.9591783961
82,164771.7744,0.9597414929
83,166967.2746,0.960278027
84,168827.1015,0.9608549826
85,157854.7164,0.9614065183
86,148819.5728,0.9619226902
87,151844.5207,0.9624570991
88,177910.5099,0.9630514848
89,134714.1015,0.9635668318
90,128946.8336,0.9640206534
91,123372.8426,0.9644737361
92,131101.9907,0.9649585474
93,139841.9579,0.9654792453
94,140741.3139,0.966024828
95,135180.9538,0.9665247232
96,112357.2344,0.9669545443
97,113658.7215,0.9674125336
98,125697.1022,0.9678997975
99,133203.0429,0.9684467322
100,133336.3368,0.9689636096
101,113162.0193,0.9694426854
102,116468.375,0.9699209072
103,108287.7558,0.9703517307
104,93265.26794,0.9707513299
105,98084.15381,0.9711540657
106,110040.3203,0.9716423767
107,88988.48376,0.9720236519
108,111488.41,0.9724956423
109,92329.94297,0.9728982983
110,86046.08012,0.9732757444
111,93631.55513,0.9737055679
112,88483.0668,0.9741004739
113,92969.80254,0.9745225175
114,88547.04749,0.9749425496
115,82107.71148,0.9753194719
116,98263.83319,0.9757680543
117,71517.84526,0.9761036587
118,75980.25466,0.9764679544
119,72104.58346,0.9768155067
120,76012.84311,0.9771799586
121,81502.31534,0.9775624161
122,70629.85794,0.9779100652
123,71949.93475,0.9782880663
124,71892.50381,0.9786327628
125,65695.39691,0.9789712029
126,60790.50189,0.97926422
127,68015.92362,0.9796180838
128,54714.9618,0.9799055381
129,59304.9651,0.9802034945
130,64838.4723,0.9805507487
131,57589.27518,0.9808474288
132,59325.16896,0.9811742334
133,52802.93342,0.9814583757
134,59891.5971,0.9817638618
135,56434.12357,0.9820804975
136,53834.12386,0.9823729347
137,50174.238,0.9826518888
138,49028.05226,0.9829219697
139,47725.46856,0.9831812235
140,46188.7983,0.9834497994
141,45931.90862,0.9837051674
142,45840.02643,0.9839670389
143,48268.84251,0.9842440166
144,46074.34652,0.984511927
145,35485.57193,0.9847236963
146,41046.01324,0.9849613214
147,43778.32751,0.985215881
148,35552.31856,0.9854316755
149,40383.74501,0.9856747358
150,34270.5711,0.9858818763
151,32349.26592,0.9860716289
152,32481.3039,0.9862737533
153,30028.67486,0.9864552547
154,34582.14418,0.9866757439
155,31714.69468,0.9868698625
156,29003.85626,0.9870503475
157,33033.48646,0.9872651751
158,30643.02706,0.9874527343
159,29124.6695,0.9876384277
160,27136.01334,0.9878121338
161,25428.67267,0.9879833414
162,27360.04212,0.9881619705
163,27416.25653,0.9883360722
164,25701.56698,0.9885064952
165,26333.74816,0.988679767
166,24070.29908,0.9888455121
167,28461.10493,0.9890320557
168,26689.57606,0.9892063074
169,22356.47301,0.989362532
170,20133.78432,0.9895006572
171,22175.99132,0.9896533584
172,21494.96595,0.9897991773
173,24098.11273,0.9899700305
174,23593.95574,0.9901367076
175,25541.34166,0.9903125822
176,18487.59067,0.9904436574
177,18345.91244,0.9905704529
178,20928.32427,0.9907241701
179,17193.98118,0.9908487048
180,17753.82873,0.9909741249
181,17793.94603,0.9911039126
182,19007.49492,0.9912454605
183,18747.12437,0.9913860255
184,16371.37308,0.9915025145
185,16215.35693,0.9916232694
186,19468.97132,0.991772226
