freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.319946104e+11,0.792268226
1,1467436682,0.820283222
2,1230527515,0.8672674956
3,193110097.7,0.8764842112
4,141652978.5,0.8845971492
5,133259811.9,0.8973175382
6,135547384.4,0.9089624136
7,31891523.42,0.9126154812
8,44630257.91,0.9185797695
9,28501811.63,0.9223886882
10,22888003.31,0.9261028261
11,22380285.67,0.9295209422
12,18948661.42,0.9331384521
13,11897243.47,0.9357504654
14,10867583.56,0.938032682
15,7602566.106,0.9397743792
16,8610474.093,0.9417469813
17,6030713.218,0.94341641
18,4775830.891,0.9447840487
19,4799228.366,0.9461583877
20,4176438.411,0.9473942468
21,3970837.982,0.9487587856
22,3233561.259,0.9498082343
23,2629223.241,0.9506866431
24,2405838.404,0.9515593155
25,2002224.932,0.9523620342
26,2371448.892,0.9533580532
27,1835911.734,0.9540765699
28,1685906.936,0.9547524724
29,1835585.877,0.9555935134
30,1564859.176,0.9562955735
31,1444307.141,0.9570124826
32,1506710.571,0.9577316021
33,1341403.648,0.9583974331
34,1069791.529,0.9589795031
35,1132254.95,0.9595415192
36,1267945.555,0.9602435074
37,1060723.519,0.9608206435
38,1009364.063,0.9614372797
39,883206.914,0.9619599831
40,881460.6276,0.9624564109
41,820066.6578,0.9629887144
42,639578.5119,0.9633916531
43,711893.3177,0.9638809231
44,774702.9779,0.964391176
45,655495.623,0.9648166568
46,689307.6503,0.9653035638
47,625159.3511,0.9657391908
48,598361.5666,0.9661847029
49,505875.2917,0.9665516963
50,502314.5363,0.9669544655
51,446138.5028,0.9672994153
52,455955.2528,0.9676388983
53,382155.0913,0.9679526162
54,435183.6885,0.9682890958
55,431832.9315,0.9686765718
56,495950.9601,0.9690837068
57,389381.963,0.9694182248
58,427364.9382,0.9697894535
59,460759.6272,0.9701940885
60,400783.5484,0.9705690072
61,416572.3059,0.9709547194
62,379539.7107,0.9713097652
63,370698.5208,0.9716636176
64,392649.5937,0.9720271792
65,375599.2632,0.972414392
66,295565.7589,0.9726965259
67,235044.1482,0.9729343504
68,274097.2105,0.9732300047
69,252260.5896,0.9734804333
70,289230.8908,0.9737896507
71,266642.2076,0.9740619923
72,229666.6019,0.9743250677
73,266913.4634,0.9746206168
74,254089.59,0.9749019662
75,300711.9473,0.9752435513
76,287380.5059,0.9755727361
77,275371.7983,0.9758986796
78,314642.5311,0.9762560887
79,284768.1306,0.9765931541
80,290224.1183,0.9769532997
81,277044.6557,0.9772838678
82,260991.7401,0.9776177035
83,253468.5074,0.9779225602
84,241984.0122,0.978232083
85,276687.1075,0.9785939181
86,280038.1871,0.9789574624
87,247161.1314,0.9792830445
88,224778.6653,0.979564123
89,178688.6023,0.9798199752
90,176099.053,0.9800519482
91,219834.0037,0.9803541232
92,201840.786,0.9806334921
93,206223.3695,0.9809208956
94,198027.3233,0.9812082182
95,195450.1469,0.9814787419
96,187638.7039,0.9817474092
97,189760.4994,0.9820336056
98,158829.3961,0.982264055
99,163672.6481,0.9825155928
100,186558.0564,0.9827862744
101,170795.8676,0.9830569111
102,135788.555,0.9832655956
103,143077.6583,0.9834786535
104,134967.3876,0.9836950944
105,141369.2806,0.9839123555
106,122704.2738,0.9841161583
107,123009.3303,0.9843134227
108,132485.7214,0.9845233545
109,125355.3572,0.9847279708
110,131745.763,0.9849442757
111,132343.5215,0.9851716683
112,149480.036,0.9854213706
113,134002.741,0.9856490558
114,124239.9763,0.9858696406
115,116509.3475,0.9860698269
116,147302.3218,0.9863215157
117,138069.8486,0.9865640191
118,142647.1903,0.9868200087
119,129373.2043,0.9870534121
120,114342.2963,0.9872586068
121,128090.5991,0.9874835828
122,107101.3583,0.9876808948
123,104689.4598,0.9878867545
124,119292.4949,0.9881008326
125,108435.8164,0.9883099187
126,100188.0741,0.9884906691
127,105075.5603,0.988695282
128,100820.4002,0.9888935336
129,108933.3591,0.98909838
130,109528.8457,0.9893179379
131,106480.2673,0.9895232534
132,106364.4379,0.9897425598
133,102966.8565,0.9899499466
134,112044.5007,0.990163852
135,96148.61121,0.9903657662
136,88193.29506,0.9905450811
137,91348.83136,0.9907351718
138,83063.50072,0.9909064354
139,84545.06939,0.9910783327
140,91312.06653,0.9912770631
141,77081.31985,0.991437464
142,76708.386,0.9916014822
143,70944.58718,0.9917538534
144,65707.16457,0.9918968576
145,68438.20208,0.9920497253
146,73094.16909,0.9922081087
147,69598.73001,0.9923595825
148,66261.63633,0.9925101184
149,63238.46102,0.992652579
150,56877.61085,0.992781253
151,64324.4881,0.992922476
152,63688.45659,0.9930708137
153,60184.19537,0.9932069682
154,55260.16248,0.9933388405
155,51247.62815,0.9934562454
156,54449.91669,0.9935830655
157,56201.59971,0.9937198668
158,53104.32415,0.9938415252
159,54958.92383,0.9939726786
160,57890.76057,0.994111381
161,56098.89505,0.9942527517
162,51589.69421,0.9943788195
163,47867.78875,0.9944925938
164,44457.26896,0.9946029298
165,38341.45063,0.9946973553
166,32687.28015,0.9947816002
167,33958.86318,0.9948649084
168,33384.95383,0.9949464899
169,34197.62901,0.9950359332
170,36777.47935,0.9951303688
171,31583.61798,0.9952117692
172,32031.16016,0.9952931001
173,27904.20108,0.9953671485
174,26594.84034,0.9954374684
175,24786.82847,0.9955013515
176,24517.78002,0.9955664135
177,23740.71042,0.995627827
178,22486.70099,0.9956896456
179,26093.3484,0.9957603831
180,22455.30257,0.9958197576
181,22285.22028,0.9958805969
182,23280.74859,0.9959454873
183,23674.0747,0.9960119261
184,24503.01011,0.9960771828
185,22012.9232,0.9961385394
186,22238.50557,0.9962022231
187,21188.20609,0.9962614833
188,20217.15039,0.9963186065
189,18844.95414,0.9963711331
190,18765.00813,0.9964245116
191,16860.47608,0.996473921
192,19486.9556,0.996528609
193,16091.26628,0.9965765323
194,16055.64102,0.996622357
195,16861.46952,0.996672574
196,16756.39254,0.9967224782
197,15948.59748,0.9967690631
198,14610.75891,0.9968129954
199,13794.37528,0.9968535513
200,12215.60981,0.9968913313
201,14011.35823,0.9969326588
202,14125.28022,0.9969744573
203,14521.30326,0.9970204771
204,11930.37773,0.9970565777
205,13493.74737,0.9970990834
206,12949.88763,0.9971381454
207,12517.30724,0.9971770974
