freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.52114317e+11,0.8631670413
1,980246230.5,0.8823907127
2,167520724.7,0.8889612319
3,139300555,0.8957908121
4,96099710,0.9014446647
5,46249452.93,0.9059796695
6,38548203.52,0.9093815403
7,37545910.78,0.9137994318
8,25903516.24,0.9173554004
9,23109344.56,0.9205277922
10,12814846.85,0.9226639508
11,11108106.77,0.9244066851
12,8975837.909,0.9261669424
13,7395323.573,0.9278347893
14,6434812.858,0.9292229181
15,5331447.796,0.9304775824
16,4851451.876,0.931619288
17,4074856.883,0.932778016
18,4190262.283,0.9340106486
19,4729771.741,0.9354019864
20,4833236.119,0.9368711524
21,3182851.652,0.9379946963
22,3043304.455,0.9390092977
23,2691732.565,0.9399330832
24,2817471.65,0.9409829019
25,1890819.889,0.9417616026
26,2499908.204,0.9428401715
27,3002141.454,0.9440471129
28,3292774.329,0.9454031838
29,2473509.03,0.9465673793
30,2192647.415,0.9475778828
31,1871605.514,0.9485321913
32,1734610.495,0.9493826302
33,1854020.747,0.9503279725
34,1700255.764,0.9512782715
35,1729968.95,0.9521603614
36,1502055.629,0.9530146117
37,1421839.611,0.9538092996
38,1078467.885,0.9544860965
39,1420476.453,0.9553496652
40,997907.6672,0.9559269811
41,1088281.206,0.9566526211
42,903316.6526,0.9572372161
43,1054069.551,0.9579813874
44,974150.4835,0.9586404798
45,915160.7981,0.9592506872
46,1055680.382,0.9600166988
47,935771.1348,0.9606865273
48,1019249.564,0.9614660815
49,918249.9338,0.9621503801
50,1060737.057,0.9630240718
51,771601.14,0.9636369145
52,750579.5526,0.9642109814
53,630854.1244,0.9647429653
54,697026.0271,0.9652965769
55,775547.4335,0.9660114145
56,614154.6535,0.9665293162
57,661824.3175,0.9671133748
58,634688.2894,0.9676797093
59,719344.6122,0.9683286365
60,587124.111,0.9688928288
61,615342.2681,0.9694781033
62,616542.5637,0.9700705651
63,492273.3089,0.9705532652
64,479273.8315,0.9710091201
65,474525.1132,0.971511641
66,519997.0175,0.9720215257
67,521857.0788,0.9725639369
68,460660.612,0.9730743604
69,482681.1241,0.9735665867
70,465000.1147,0.9740772589
71,408304.62,0.9745056488
72,363671.1009,0.9749335674
73,337024.1814,0.9753169128
74,328772.8146,0.9756908727
75,373925.1189,0.9761271903
76,409225.683,0.9766087114
77,349081.7326,0.977033155
78,367203.6946,0.9774616296
79,350654.1748,0.9778879851
80,323147.4273,0.9782999073
81,366042.561,0.9787485626
82,312349.4906,0.9791589715
83,310656.2631,0.9795427864
84,279220.0358,0.9799096651
85,273777.1483,0.9802774458
86,268020.6572,0.9806348654
87,287764.9635,0.9810242584
88,279617.841,0.9813834344
89,244594.9868,0.981743192
90,244365.5197,0.9820738585
91,220211.8978,0.9823847969
92,224575.7592,0.9827040992
93,212424.6989,0.983008208
94,242884.7012,0.9833702133
95,220055.3526,0.9836830885
96,210262.0036,0.9839923481
97,191405.9946,0.9842888884
98,184960.036,0.9845645604
99,211867.4165,0.9848990335
100,182460.258,0.9851709798
101,189228.9078,0.9854789911
102,172553.6459,0.9857513999
103,176339.2244,0.9860211395
104,165348.6989,0.9862935233
105,164992.5554,0.9865539955
106,166525.4702,0.986838115
107,144463.8323,0.9870760945
108,173406.8498,0.987358352
109,153316.473,0.9876154248
110,157674.5497,0.987881351
111,133061.2646,0.9881162036
112,149629.3862,0.9883729629
113,146214.0238,0.9886281626
114,113607.2523,0.9888353628
115,112652.0666,0.9890341932
116,113114.1588,0.98923273
117,136089.6735,0.9894782655
118,104437.1273,0.989670789
119,106558.1817,0.9898682675
120,102246.4555,0.9900567527
121,103191.5499,0.9902429328
122,94881.65171,0.9904224932
123,99157.39586,0.9906227852
124,104580.0524,0.9908155722
125,85111.14198,0.9909841533
126,92033.29105,0.9911547136
127,78400.31549,0.99131154
128,75614.90189,0.9914642775
129,71458.83445,0.9916023138
130,74108.01279,0.9917549142
131,73571.44285,0.9919006385
132,72498.80644,0.9920541906
133,75811.54568,0.9922110422
134,75650.45864,0.9923594008
135,68910.00317,0.9925080546
136,74659.63881,0.9926639871
137,64495.58697,0.9928018532
138,65731.25646,0.9929410717
139,59684.42585,0.9930657273
140,50766.69691,0.9931792244
141,61256.01167,0.9933101657
142,56164.36588,0.9934335273
143,53338.13015,0.9935512042
144,57993.22369,0.9936808574
145,57790.95705,0.9938134585
146,53767.26718,0.9939331367
147,50476.25322,0.9940459845
148,46083.94466,0.9941535313
149,47447.50912,0.9942633299
150,51803.01286,0.9943837155
151,46697.835,0.9944890318
152,44788.83982,0.9945961913
153,43558.43382,0.9946974173
154,39077.61264,0.9947932115
155,35116.40651,0.9948758519
156,38263.31536,0.9949673987
157,35997.2753,0.9950574067
158,38900.33222,0.9951489519
159,34365.26153,0.9952331944
160,36464.06641,0.9953229393
161,34413.70819,0.9954120247
162,34633.11834,0.9954989613
163,35469.22884,0.9955855622
164,31053.225,0.9956647305
165,29737.43043,0.995739961
166,27957.58329,0.9958139786
167,28525.56998,0.9958858636
168,25850.67435,0.9959507544
169,25415.17317,0.9960190377
170,23707.74549,0.9960815714
171,24664.27426,0.9961468699
172,24944.83341,0.9962119328
173,22722.09426,0.9962738718
174,20913.17648,0.9963306748
175,20908.57605,0.9963860301
176,22006.23292,0.9964460177
177,19813.74944,0.9964986688
178,21132.49787,0.9965583468
179,20578.50412,0.9966156532
180,19470.87076,0.9966685387
181,17917.87712,0.9967187872
182,18067.76606,0.9967705192
183,18619.36873,0.9968241956
184,17613.0643,0.9968723804
185,15513.83227,0.9969167998
186,17320.76557,0.9969677516
187,17005.59146,0.997016609
188,15184.97383,0.9970606825
189,14759.60675,0.9971029424
190,15672.23054,0.9971487374
191,15443.21475,0.9971952261
192,14290.76397,0.9972364239
193,14041.74481,0.9972793822
194,12692.08138,0.9973165935
195,14250.5685,0.9973601906
196,13575.56147,0.9974017227
197,13075.57135,0.9974409559
198,13038.44478,0.9974812283
199,11856.79047,0.997517037
200,11932.63242,0.9975549469
201,11603.36123,0.997590104
202,10993.02747,0.9976235197
203,10158.05865,0.9976565886
204,10977.82517,0.9976907116
205,11771.84643,0.9977288032
206,10485.07619,0.9977612917
207,9769.51722,0.997792521
208,10388.40646,0.9978262379
209,9748.774342,0.9978574009
210,8650.252349,0.997885222
211,9948.65735,0.9979180969
212,9170.002925,0.9979481291
213,8874.516401,0.9979773676
214,9082.171564,0.9980072903
215,8865.231577,0.9980360636
216,8389.521262,0.9980645268
217,7748.206337,0.9980906623
218,8215.706231,0.9981179719
219,8188.062451,0.9981457517
220,8042.668936,0.9981730382
221,7930.734191,0.9982001782
