freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.26663029e+11,0.8745545962
1,918921331.1,0.8896231036
2,395376288.4,0.9025898948
3,188574668.5,0.9103205315
4,100984872.6,0.9152883929
5,69413470.22,0.9209796167
6,125906494.2,0.9302704046
7,90990021.38,0.9392227519
8,37048454.65,0.9434754058
9,42952751.12,0.9484057918
10,28603240.37,0.9523926066
11,15700841.81,0.9544523107
12,12084668.09,0.9564339592
13,17057297.08,0.9596505807
14,12439121.46,0.9618943298
15,8646683.634,0.9635957936
16,7241467.377,0.9650207439
17,5908362.317,0.9664255845
18,4897002.81,0.9676301031
19,4969253.973,0.9688523933
20,3349469.716,0.9697037267
21,2630518.683,0.9704801629
22,2643177.432,0.9712169927
23,4499353.511,0.9725081527
24,3205534.544,0.9735068778
25,1066147.822,0.9738740152
26,1221825.769,0.9743147972
27,1469260.056,0.9748087033
28,1064264.967,0.9751751923
29,923345.5959,0.9755385777
30,1148182.545,0.9759810343
31,1186701.247,0.9764869832
32,940345.0928,0.9768724786
33,947943.646,0.9772766334
34,771444.7693,0.9776371636
35,923550.8099,0.9780309185
36,1023019.824,0.9785174086
37,919777.9748,0.9789472614
38,612242.955,0.9792685281
39,757073.3675,0.9796533781
40,985539.7751,0.9801301252
41,624307.5248,0.9804781975
42,490754.8887,0.9807437623
43,409863.1457,0.9809857165
44,365520.6083,0.9811925033
45,371230.6186,0.9813994768
46,459615.7839,0.9816783383
47,497507.4677,0.9819761106
48,454588.5447,0.9822668307
49,388495.3665,0.982508912
50,289507.5596,0.982708301
51,246599.9323,0.9828720731
52,318044.3226,0.9830754699
53,326506.617,0.9833056948
54,285755.3678,0.9834954708
55,236419.593,0.9836776813
56,308503.4076,0.9838952119
57,366355.0037,0.9841655495
58,224109.453,0.98433276
59,254560.0609,0.9845247771
60,226752.7128,0.9847069738
61,191002.7511,0.9848588792
62,239756.3808,0.9850515244
63,287404.8443,0.9852871682
64,284951.2968,0.9855137913
65,238898.085,0.9857253342
66,238008.1491,0.9859204775
67,249260.0797,0.9861371085
68,247431.8723,0.9863663514
69,279112.2221,0.9866043499
70,351626.8423,0.9869272453
71,201148.14,0.9871037116
72,187479.4659,0.9872881693
73,225665.6295,0.9875027968
74,226199.8269,0.9877179323
75,175357.3192,0.9878890255
76,202356.6574,0.9880881207
77,181417.3559,0.9882725638
78,190749.5646,0.9884586749
79,162166.1411,0.9886235458
80,167005.009,0.9888015518
81,145450.6265,0.9889506209
82,129782.5679,0.9890932089
83,142030.4618,0.9892399372
84,133331.3395,0.9893864242
85,109396.6726,0.9895093057
86,105519.5476,0.989626967
87,97187.87054,0.9897369317
88,148877.9953,0.9898968373
89,155907.9461,0.9900885811
90,165081.0306,0.9902753645
91,143564.0929,0.9904448647
92,135783.8426,0.9906062923
93,152514.0438,0.9907888603
94,129556.8472,0.9909503207
95,125904.4052,0.9911000031
96,106432.8852,0.9912308999
97,95290.07227,0.9913543429
98,106331.64,0.9914868588
99,130549.2447,0.9916591893
100,122318.5847,0.991811629
101,125847.9567,0.9919829127
102,108336.4336,0.9921259214
103,104544.1324,0.9922596383
104,108889.682,0.9924096267
105,109655.9777,0.9925543772
106,139383.059,0.9927532252
107,143367.2542,0.9929507043
108,129972.9966,0.9931276024
109,96009.52894,0.9932622109
110,80254.25731,0.9933753879
111,74690.84278,0.9934856184
112,69799.2285,0.9935857683
113,70176.56188,0.9936881858
114,66978.8832,0.9937903298
115,75845.40614,0.9939022642
116,74575.3097,0.9940117127
117,64407.18364,0.9941088787
118,66174.36159,0.9942108809
119,76014.71883,0.9943286744
120,80152.38974,0.9944522225
121,59051.91691,0.9945413094
122,52859.62863,0.9946249551
123,58768.45753,0.9947242149
124,72147.49383,0.9948354241
125,46530.42498,0.9949124879
126,46341.80716,0.9949842999
127,46432.53538,0.9950619629
128,47778.42955,0.9951426606
129,50552.23331,0.9952243129
130,54823.04035,0.9953187069
131,39269.72479,0.9953837455
132,35104.50025,0.9954459151
133,35165.13793,0.9955067506
134,44740.685,0.9955801165
135,45270.97578,0.9956617756
136,54011.15741,0.9957561002
137,45746.8009,0.9958378674
138,38731.00038,0.9959064595
