freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.2828032e+11,0.8046187839
1,553856845.2,0.8154788591
2,906308893.2,0.851020833
3,374901349.5,0.8693985821
4,195343112.1,0.8808894984
5,173530113.9,0.8979024695
6,84261262.55,0.9053373806
7,35626294.9,0.9095287623
8,30459347.43,0.9137095098
9,28641347,0.9176407247
10,23158239.99,0.9215004801
11,19939594.59,0.9246282991
12,14413798.13,0.9274545697
13,15613673.86,0.9309753446
14,10683514.88,0.9332796612
15,11388415.98,0.9359593223
16,9336236.957,0.9381561117
17,8064579.201,0.9404490112
18,7810318.26,0.9427461926
19,6519881.251,0.9446638289
20,5941532.403,0.9464696116
21,5538505.91,0.948424403
22,5009164.761,0.9500941457
23,5904386.323,0.9521201862
24,3313778.731,0.9533547468
25,3954099.869,0.9549829261
26,3424413.066,0.9564601425
27,2505597.105,0.957467307
28,2971089.905,0.9586907124
29,2466305.917,0.9598513416
30,2229769.83,0.9608787976
31,1872481.896,0.9618334082
32,1816380.392,0.962723802
33,1536321.684,0.9635070347
34,1931745.64,0.9645865533
35,1815947.543,0.9655123421
36,1084800.489,0.9661291972
37,1122852.281,0.9667566814
38,1027134.878,0.9674011664
39,977523.45,0.9679953548
40,988827.7104,0.968567331
41,961309.8038,0.9692082123
42,1046715.692,0.9698855074
43,992121.836,0.9705858376
44,941472.829,0.9712227243
45,836209.2119,0.9717802041
46,805738.3756,0.9723647668
47,726739.6792,0.972884891
48,701957.7929,0.973421689
49,567370.89,0.9738444413
50,542319.7515,0.9742910632
51,487741.2558,0.974678392
52,519760.1074,0.9750758606
53,577558.0153,0.9755628275
54,537663.8328,0.9759898012
55,497543.509,0.9764483275
56,536228.7899,0.9769004477
57,557808.9883,0.9773926383
58,370125.467,0.9777228524
59,365838.3202,0.9780528284
60,390384.8761,0.9784279088
61,335687.7314,0.9787471453
62,339602.3777,0.979073434
63,367399.1529,0.9794336338
64,351182.7448,0.9797676059
65,298305.8789,0.9800834632
66,319521.4613,0.9803967235
67,301523.4108,0.9807100753
68,327679.6918,0.9810730976
69,321423.5177,0.9814008277
70,305200.2584,0.9817359538
71,304073.7138,0.9820549371
72,308238.2874,0.9824175749
73,248850.4111,0.9827005849
74,246330.9517,0.9829807295
75,247381.0447,0.9832693443
76,262877.751,0.9835786162
77,218204.1815,0.9838438874
78,214707.4824,0.9840943826
79,201770.0509,0.9843396748
80,201691.9412,0.9845967364
81,186843.7225,0.9848257144
82,183911.4111,0.9850673266
83,194814.6603,0.985307983
84,174349.3625,0.9855370331
85,166349.7391,0.9857604664
86,159748.0183,0.9859734665
87,150907.7498,0.9861776384
88,169081.7563,0.9863947951
89,140350.5445,0.9866011956
90,124797.9454,0.986770042
91,129685.5783,0.9869531298
92,119278.1841,0.9871226941
93,112136.1593,0.9872832048
94,120371.4827,0.9874625841
95,133997.174,0.9876530727
96,108603.5055,0.9878127858
97,115943.0191,0.987992386
98,117998.333,0.9881682289
99,121962.1286,0.9883607402
100,97481.11195,0.988506008
101,91277.47316,0.9886545595
102,98235.43523,0.9888096193
103,89969.26191,0.9889472211
104,91474.71719,0.9890978873
105,80224.49683,0.9892245177
106,87321.57482,0.9893734799
107,81248.61729,0.9895073029
108,88883.70957,0.9896519586
109,83792.88389,0.9897924367
110,78948.25449,0.9899255668
111,77494.78097,0.990062324
112,63133.35761,0.9901706424
113,73435.70971,0.9902987965
114,61130.79288,0.9904102717
115,62221.52277,0.9905200758
116,63759.13972,0.9906319683
117,67399.8874,0.9907535539
118,67828.98945,0.9908785736
119,66962.18324,0.9910026522
120,64846.96598,0.9911221755
121,60412.71728,0.9912311567
122,57710.40027,0.9913403552
123,55405.69907,0.9914522544
124,55732.99373,0.9915549793
125,60319.46793,0.991674437
126,63212.1677,0.9917915669
127,56586.13043,0.9919047406
128,51724.5365,0.9920092052
129,57319.24326,0.9921199114
130,54725.89872,0.9922325838
131,49172.61594,0.9923299661
132,49073.47085,0.9924338877
133,43639.47664,0.9925241626
134,40506.99916,0.9926035891
135,43277.27049,0.9926969334
136,42756.26245,0.9927862197
137,45105.04433,0.9928826219
138,42066.78181,0.9929717056
139,42663.6268,0.9930607984
140,43913.45855,0.9931589592
141,43089.92302,0.9932510545
142,42477.83953,0.9933443403
143,39111.94619,0.9934306178
144,40245.13038,0.9935205786
145,37284.59529,0.9936061149
146,36199.17263,0.9936866769
147,32616.82559,0.993759586
148,36372.28139,0.9938444557
149,32861.6524,0.9939204895
150,34290.31607,0.9940001651
151,34100.51933,0.9940770594
152,32308.06645,0.9941543463
153,30818.86875,0.9942259558
154,29208.34767,0.9942975458
155,29658.39553,0.9943673311
156,26950.92458,0.9944318027
157,25197.07236,0.9944947962
158,29973.59481,0.9945653232
159,26820.96217,0.9946310617
160,28473.06775,0.9947011287
161,27946.76362,0.9947734624
162,26825.20095,0.9948407892
163,29120.17821,0.9949118776
164,25199.61106,0.9949761127
165,24651.76058,0.995038468
166,24304.96259,0.9951028054
167,24710.63834,0.9951650673
168,23816.00658,0.9952248416
169,23446.4616,0.995287826
170,24110.81926,0.9953514132
171,22731.62522,0.9954115859
172,21576.10463,0.9954678537
173,23526.19169,0.9955319749
174,23184.23797,0.9955949369
175,22009.31706,0.9956531975
176,20517.07866,0.9957091174
177,22254.44741,0.9957682451
178,22409.181,0.9958315189
179,18680.5156,0.995883532
180,19166.93395,0.995935584
181,19439.63597,0.9959900919
182,18842.74506,0.9960440346
183,18838.39367,0.9960983341
184,18090.48112,0.9961478176
185,17321.88282,0.9961974063
186,16080.87306,0.9962447036
187,16489.52122,0.9962920712
188,16532.13934,0.9963400474
189,15731.94424,0.9963850845
190,17569.77702,0.9964364165
191,17579.81434,0.9964893289
192,15870.45484,0.9965350737
193,16291.235,0.9965849064
194,15604.66232,0.99663065
195,13826.23437,0.9966729426
