freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.980147759e+11,0.8301713401
1,2081412224,0.8649022874
2,629146863.8,0.8858984806
3,333227225,0.8997992555
4,151174395.4,0.907366853
5,80696051.85,0.9140994221
6,66723585.38,0.9191095685
7,44253569.47,0.923540123
8,30106555.05,0.9270566798
9,23824975.25,0.9298395248
10,14889276.47,0.9319513164
11,16613127.47,0.9341690017
12,17600671.6,0.9371058923
13,18690301.43,0.9406924074
14,10916249.61,0.9426960704
15,7529540.032,0.9442037471
16,6982068.109,0.9456018008
17,6493959.157,0.9471730175
18,5614552.539,0.9485783042
19,6009614.5,0.9500824724
20,2959503.42,0.9508479087
21,4575649.861,0.9522222159
22,4423977.252,0.9534771483
23,3140376.961,0.9543941674
24,3808705.789,0.9556016741
25,3249971.342,0.9567405
26,4129284.678,0.9582563493
27,2806759.386,0.9592164518
28,2179128.347,0.9599800425
29,2350390.598,0.9609213029
30,2308737.794,0.9618266206
31,1730689.093,0.9625774667
32,2094386.684,0.9634511528
33,1478552.332,0.9640926113
34,1698456.869,0.9649003259
35,1525286.744,0.9655620597
36,1451708.568,0.966264543
37,1214849.582,0.9668422743
38,1241066.648,0.9675049539
39,1453286.058,0.9682567002
40,1353901.418,0.9689231503
41,1152332.968,0.9695769059
42,1144066.61,0.9702068816
43,1136518.233,0.9708895934
44,1033262.943,0.9714844174
45,1191741.031,0.9721605305
46,1121264.338,0.9728527889
47,930737.2422,0.9734196524
48,952895.6333,0.974039762
49,885677.255,0.9746013498
50,863044.9356,0.9752061908
51,856530.0612,0.9757850276
52,792507.8809,0.9763007627
53,644864.4842,0.9767634584
54,700274.7678,0.9772366991
55,654262.748,0.9777498068
56,623825.1178,0.9781974066
57,522949.9151,0.9785900797
58,506406.8656,0.9789745559
59,595120.2638,0.9794313506
60,504224.1032,0.9798436173
61,537916.8837,0.9802789441
62,425245.448,0.9806266358
63,456938.4061,0.981007865
64,415911.0266,0.9813444546
65,353487.9407,0.9816629674
66,381644.6145,0.9819813782
67,369192.6463,0.9823078814
68,345577.495,0.9826336824
69,355485.4829,0.9829421316
70,375314.381,0.9832928365
71,341427.1052,0.9835976332
72,330437.6041,0.9839284589
73,299672.4111,0.9842184825
74,301202.5303,0.9845099869
75,308455.7484,0.9848162314
76,284922.0393,0.9851014881
77,248592.3628,0.9853586686
78,274193.8061,0.9856308968
79,268948.2661,0.9859091364
80,253540.2675,0.9861841276
81,260767.7765,0.9864560798
82,207535.8848,0.9866881004
83,243602.6982,0.9869441836
84,231108.2755,0.9872025576
85,216220.3476,0.9874496991
86,220922.1912,0.9877003717
87,198280.0854,0.9879286616
88,193911.6422,0.9881405971
89,212761.716,0.9884068616
90,169761.3434,0.9886023164
91,153177.1544,0.9887863449
92,166461.7325,0.9889877224
93,178838.2807,0.9892055645
94,148855.5285,0.9893943363
95,145536.5078,0.9895703995
96,151261.7229,0.9897596987
97,145527.7157,0.9899515352
98,140095.3515,0.9901291978
99,134904.1485,0.9903104067
100,129188.3137,0.9904742375
101,114224.8613,0.9906324341
102,118183.3938,0.9907911831
103,112227.6419,0.9909372504
104,135362.7593,0.9911269808
105,119775.4256,0.9912878682
106,102160.5966,0.9914361751
107,100367.8495,0.9915768551
108,101095.258,0.9917168678
109,98431.40664,0.9918572973
110,91960.50283,0.9919892622
111,93599.09252,0.9921298257
112,99587.90837,0.9922752286
113,91241.3485,0.9924107289
114,82357.6912,0.9925385333
115,74795.66577,0.9926508585
116,74799.80567,0.992762566
117,71953.38383,0.9928730241
118,72239.10912,0.9929863316
119,74909.31759,0.9931044523
120,71405.64853,0.9932164526
121,64249.68357,0.9933150845
122,66491.32433,0.9934221503
123,61550.10306,0.9935279354
124,60006.86923,0.9936220566
125,55091.02289,0.993714902
