freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.447702983e+11,0.8485646812
1,618849095.4,0.8580101588
2,645557446.7,0.8777164117
3,380940845.8,0.8922521372
4,166555955.9,0.8998785548
5,111997493.1,0.9084256288
6,92867353.05,0.9148040728
7,48689736.09,0.9192629738
8,32905386.05,0.9227786121
9,19833373.27,0.9248976259
10,23321461,0.9279232422
11,22122104.58,0.930624435
12,19102144.01,0.9335399903
13,13923940.21,0.9359839787
14,11502596.26,0.9379151808
15,9994785.638,0.9397457826
16,9093208.204,0.9414112554
17,8187927.077,0.9432233511
18,6418017.368,0.9446927216
19,7224866.392,0.9463468158
20,6138274.101,0.9477989847
21,4174730.17,0.9489459231
22,4842554.232,0.9502024233
23,4685429.676,0.9514539112
24,4186981.099,0.952668121
25,3257225.455,0.9537121349
26,3281975.722,0.9548141746
27,2801377.295,0.9556907002
28,3526332.538,0.9568209689
29,2711084.824,0.9578140702
30,2293893.922,0.9586368438
31,2464470.169,0.9596148375
32,2027905.402,0.9603886342
33,2374886.95,0.961331078
34,1751083.039,0.9620927899
35,1999511.471,0.9628862707
36,1975129.143,0.9637605147
37,1508819.934,0.9644168434
38,1427593.013,0.9651141015
39,1510268.386,0.9658286883
40,1432002.726,0.9664734586
41,1233410.336,0.9671135259
42,1177558.605,0.9677066364
43,1186324.953,0.9683584829
44,1128059.639,0.9689524882
45,1128051.392,0.9695378805
46,1069650.056,0.970141944
47,1075351.705,0.9707410209
48,866807.3663,0.9712569931
49,852869.2015,0.9717516513
50,780168.4862,0.9722517743
51,823292.1667,0.9727606928
52,861468.955,0.9732734873
53,818629.94,0.9738107606
54,625891.5285,0.9741976557
55,554488.02,0.9745954231
56,692771.148,0.9750500943
57,581812.8118,0.975449703
58,566811.245,0.9758433337
59,608649.1627,0.9762706644
60,606491.0252,0.9767242503
61,601976.3497,0.9771698659
62,527653.4239,0.9775644903
63,533394.8418,0.9779715499
64,496451.6587,0.9783390504
65,508222.3616,0.9787579275
66,530803.3332,0.9791630094
67,438835.8556,0.9795180002
68,445194.4823,0.9799019173
69,489734.5983,0.9802906072
70,422588.8712,0.9806518051
71,360566.5426,0.9809462326
72,384006.769,0.9812978977
73,312167.1033,0.9815742444
74,354285.9871,0.981887877
75,339350.2777,0.9821960569
76,332158.481,0.9825002405
77,284599.6023,0.9827695583
78,300056.1304,0.9830420534
79,290096.938,0.9833165734
80,270627.1596,0.9835850608
81,241698.0784,0.9838156253
82,258570.8973,0.9840800448
83,242782.7178,0.9843134968
84,257531.036,0.984576853
85,222650.9828,0.9848096376
86,223435.712,0.9850415376
87,213702.7158,0.9852665976
88,213541.4308,0.9854800802
89,218757.9394,0.9857304975
90,220791.628,0.9859630231
91,197420.5235,0.9861799753
92,202563.585,0.9864041252
93,198258.9868,0.9866250248
94,185759.9269,0.9868405037
95,188014.3703,0.9870485539
96,183500.8266,0.9872586115
97,167580.4889,0.9874606759
98,182797.288,0.9876727182
99,162640.1007,0.9878725491
100,151256.1064,0.9880480041
101,151928.4364,0.9882404711
102,154532.2727,0.9884303402
103,159358.1176,0.9886200579
104,142640.6933,0.9888029361
105,142879.2764,0.9889784875
106,133879.7644,0.9891562636
107,117203.7892,0.9893065294
108,126369.4832,0.9894666176
109,128557.8989,0.9896343836
110,128635.8883,0.9898032331
111,117319.6519,0.9899643913
112,129511.8682,0.9901373558
113,107620.0335,0.9902835473
114,103163.7023,0.9904299837
115,107593.1645,0.990577781
116,91318.91054,0.9907025259
117,107077.1653,0.990852883
118,99775.69049,0.9909960331
119,104300.8037,0.9911464715
120,98019.24436,0.9912871016
121,102633.0528,0.9914312183
122,91192.2827,0.9915655333
123,85590.52425,0.991700089
124,87423.58711,0.9918255173
125,80717.36217,0.991949948
126,82394.07038,0.9920687892
127,87634.83233,0.9922052211
128,84364.65687,0.9923378496
129,74703.95912,0.9924501598
130,78567.6085,0.9925760732
131,75694.55304,0.9926927609
132,65407.38931,0.9928005786
133,65532.19104,0.9929061014
134,62178.86551,0.9930010048
135,63920.04458,0.9931083219
136,63745.00706,0.9932119398
137,67564.54763,0.9933243445
138,63453.7979,0.9934289419
139,64373.41912,0.9935335813
140,63607.72017,0.9936442574
141,53081.80839,0.9937325677
142,56080.14782,0.9938284341
143,54913.21835,0.9939227247
144,50425.84081,0.9940104646
145,55734.00862,0.9941099926
146,53249.95931,0.9942022401
147,53815.72267,0.9942958783
148,48484.64108,0.9943839406
149,48989.19205,0.9944721717
150,51522.72891,0.9945653589
151,42011.16529,0.9946390987
152,45443.92962,0.994723719
153,47143.69119,0.9948089861
154,42880.79093,0.9948907971
155,42273.40834,0.9949682233
156,39490.25944,0.9950417574
157,39434.27675,0.9951184976
158,38760.57373,0.9951894898
159,37950.93023,0.9952618953
160,36760.17366,0.9953323096
161,35924.13037,0.9954046864
162,35505.79585,0.9954740526
163,33071.51516,0.9955368965
164,34264.06543,0.9956048828
165,33249.80837,0.9956703491
166,37611.40226,0.9957478475
167,35518.88913,0.9958175104
168,33271.52331,0.9958825116
169,31091.6122,0.9959475251
170,30746.90685,0.9960106445
171,27929.35238,0.9960681929
172,29339.35823,0.9961277511
173,31028.52477,0.9961935798
174,26491.40513,0.9962495805
175,25536.74811,0.996302199
176,24832.4941,0.9963548825
177,25778.72687,0.9964081963
178,26814.28641,0.9964671306
179,24625.53083,0.9965205026
180,26857.70099,0.9965772776
181,27204.07048,0.9966366534
182,24801.4225,0.9966919207
183,24264.70323,0.9967463624
184,23889.93781,0.9967972285
185,20779.22643,0.9968435328
186,19171.2813,0.9968874244
187,19844.81007,0.9969317979
188,18331.48548,0.9969732073
189,19994.73971,0.9970177635
190,19546.82612,0.9970622165
191,17468.82562,0.9971031436
192,17604.63898,0.9971426424
193,17557.24335,0.9971844466
194,16835.02749,0.997222861
195,16183.91636,0.9972613953
196,16185.2336,0.9972999328
197,15632.73117,0.9973364389
198,15660.10219,0.9973740845
199,14547.72373,0.9974082789
200,14444.0498,0.9974439933
201,15580.30869,0.9974807336
202,14391.70115,0.997514781
203,14337.91484,0.9975511083
204,14383.96679,0.9975859057
205,13152.055,0.9976190277
206,13480.31019,0.9976515362
207,12110.11614,0.9976816645
208,12701.74407,0.9977137494
209,13832.6959,0.9977481632
210,11919.12968,0.9977779984
211,12011.3918,0.9978088894
212,11323.39554,0.9978377518
213,11301.46602,0.9978667308
214,11047.212,0.9978950578
215,10342.94533,0.9979211843
216,11409.27445,0.9979513104
217,9423.092531,0.9979760482
218,10334.44021,0.9980027842
219,10745.1478,0.9980311567
220,10455.21547,0.9980587636
221,9346.476045,0.9980836569
222,9687.216053,0.9981099753
223,9406.060599,0.9981346683
224,9616.937961,0.9981609425
225,8717.554267,0.9981841608
226,8667.581686,0.9982077089
227,8981.661068,0.9982319733
228,8645.79218,0.9982559241
229,8394.055172,0.9982798822
230,8279.207547,0.9983019962
231,8286.519128,0.998324762
232,8583.571658,0.9983485405
233,8544.766382,0.9983725375
234,8095.445575,0.9983958904
235,7950.028284,0.9984177925
236,7646.849242,0.9984393845
237,7411.826407,0.9984608786
238,7649.915913,0.9984820706
239,7177.846561,0.9985031052
240,7360.512992,0.998523664
241,6257.311631,0.9985423831
242,7498.905328,0.9985645302
243,6528.541105,0.9985833631
244,6765.556601,0.998603396
245,7126.92465,0.9986236831
246,6642.255784,0.998644162
247,6295.551477,0.9986627072
248,6444.969493,0.9986814957
249,6500.039692,0.9987008913
250,6343.222123,0.9987196737
251,5988.953916,0.9987379555
252,5756.18634,0.9987553072
253,5384.124663,0.9987716605
254,5665.015667,0.9987891265
255,5595.846179,0.9988064645
256,5212.780794,0.9988223373
257,5202.512049,0.998838139
258,5396.73826,0.9988551897
259,4768.178562,0.9988699269
260,4811.574315,0.9988849819
261,4697.632225,0.9988996804
262,4489.611329,0.9989137622
263,4728.685403,0.9989287022
264,4375.413911,0.9989423925
265,4264.953768,0.9989562579
266,4019.673605,0.9989690498
267,4084.630554,0.9989820173
268,3900.184812,0.9989947564
269,4001.737132,0.9990075523
270,3953.039569,0.999020283
271,3713.274829,0.999032525
272,4177.969398,0.9990462989
273,3943.430539,0.9990591491
274,3923.200011,0.9990717838
275,3856.416702,0.9990847919
276,4194.968771,0.9990985899
277,3689.315134,0.9991109781
278,4071.707718,0.9991244638
279,3822.748032,0.9991372125
280,3535.032621,0.9991492445
281,3782.630284,0.9991618306
282,3451.647766,0.9991735261
283,3600.954767,0.9991857
284,3091.973635,0.9991964127
285,3378.617063,0.9992080155
286,3334.236618,0.9992192368
287,3426.044582,0.999231107
288,3262.358473,0.9992423603
289,3000.802222,0.9992528488
290,3040.774644,0.9992636394
291,3097.818568,0.9992739941
292,2920.140711,0.9992846018
293,2927.753359,0.9992948573
294,2788.064043,0.9993046873
295,2532.778823,0.9993135786
296,2619.882738,0.9993230155
297,2367.769827,0.9993315625
298,2575.309184,0.9993405637
299,2626.534113,0.9993499445
300,2489.176952,0.9993588917
301,2557.135074,0.9993681026
302,2554.305619,0.9993776153
303,2437.211334,0.9993863013
304,2456.331294,0.9993951866
305,2713.710147,0.9994053343
306,2522.960705,0.9994144607
307,2543.288501,0.9994238741
308,2568.664166,0.9994331658
309,2517.324831,0.9994428865
310,2437.255114,0.9994518331
311,2254.8835,0.9994602651
312,2170.104023,0.9994682806
313,1933.017469,0.9994755385
314,2058.313584,0.9994835025
315,2025.649106,0.9994911391
316,2067.843508,0.9994989032
317,1976.354621,0.9995064294
318,1977.137207,0.999514034
319,2208.501972,0.9995224273
320,2099.988154,0.9995303923
321,1952.090352,0.9995379005
322,1868.327273,0.9995452292
323,1635.225711,0.9995515936
324,1667.597273,0.999557944
325,1600.454352,0.9995642464
326,1528.883572,0.9995702669
327,1679.38854,0.9995769441
328,1521.264145,0.9995829811
329,1579.653859,0.9995891051
330,1570.237109,0.9995953603
331,1528.523683,0.9996013444
332,1513.78166,0.9996073055
333,1453.900851,0.999613297
334,1429.482852,0.9996189588
335,1464.075179,0.9996248805
336,1515.760149,0.9996309188
337,1507.181134,0.9996368768
338,1480.607954,0.9996431027
339,1559.756429,0.9996494114
340,1395.469399,0.9996552048
341,1263.265413,0.9996603239
342,1218.886994,0.9996652353
343,1230.392715,0.999670456
344,1198.365241,0.9996752756
345,1131.429716,0.9996800591
346,1219.870135,0.9996850676
347,1166.653027,0.9996899466
348,1292.424407,0.999695322
349,1142.264935,0.9997000118
350,1179.143823,0.999705015
351,1033.847592,0.9997094097
352,1105.220711,0.9997140992
353,1023.254147,0.9997184566
354,1002.543467,0.999722634
355,1009.230115,0.9997270164
356,996.8581956,0.9997312005
357,994.6044754,0.9997355574
358,938.6067378,0.9997395472
359,934.417547,0.999743512
360,873.3401098,0.9997473643
361,892.5404068,0.9997511582
362,822.4668063,0.9997547736
363,889.5135894,0.999758575
364,894.3769823,0.9997625611
365,811.4957918,0.9997661344
366,784.5890272,0.9997695833
367,748.3094602,0.9997728498
368,754.2935178,0.9997761827
369,791.0624109,0.9997797325
370,745.2193108,0.999783031
371,721.2969244,0.9997862127
372,755.687587,0.9997895748
373,677.9171377,0.9997926065
374,676.073418,0.9997957022
375,682.642873,0.9997987394
376,665.5644537,0.9998017158
377,644.6832957,0.9998046677
378,680.6511677,0.9998077272
379,639.8633154,0.9998106571
380,608.9301756,0.999813371
381,592.9069413,0.9998161311
382,595.4613127,0.9998188803
383,604.8256959,0.9998216498
384,609.9263322,0.9998244612
385,620.3359387,0.9998273158
386,581.8483751,0.9998300511
387,583.9875144,0.9998327251
388,567.3782225,0.999835375
389,528.7265309,0.9998378565
390,493.0115236,0.9998401441
391,502.9854422,0.9998425317
392,544.4813278,0.9998450455
393,468.2744905,0.9998472683
394,547.5678478,0.9998499093
395,519.4517568,0.9998523275
396,461.1285931,0.999854534
397,484.6298813,0.99985679
398,508.4586888,0.9998592889
399,455.2622424,0.9998614604
400,431.7930494,0.9998635166
401,461.9629524,0.9998657729
402,393.4448102,0.9998676435
403,431.6730834,0.9998697584
404,464.9232275,0.9998719866
405,400.6557955,0.999873919
406,412.6469729,0.9998759691
407,434.6536821,0.9998780588
408,387.2740163,0.9998799799
409,396.4011602,0.9998818887
410,421.1003242,0.9998839647
411,392.8424931,0.9998859254
412,390.363121,0.9998878074
413,392.2839452,0.9998896411
414,398.6102086,0.9998914693
415,379.3381212,0.999893254
416,390.3304073,0.9998949996
417,412.0235416,0.9998968312
418,376.2515943,0.9998984779
419,373.1232796,0.9999001579
420,335.9414723,0.9999016449
421,379.5012158,0.9999032986
422,375.0283411,0.99990494
423,348.2436209,0.9999064336
424,388.1048274,0.9999081025
425,374.5851847,0.9999097134
426,329.4882798,0.9999111026
427,375.7933677,0.9999127172
428,314.2870619,0.9999140472
429,337.5025931,0.9999154599
430,335.6375055,0.9999168405
431,292.7848988,0.9999180471
432,296.9641275,0.999919331
433,330.9000568,0.999920687
434,292.6859469,0.9999219155
435,310.389136,0.9999231709
436,272.7973369,0.9999242931
437,294.5803969,0.999925516
438,291.5037099,0.9999266951
439,262.9126711,0.9999277825
440,291.6478798,0.9999289644
441,264.5306572,0.9999300384
442,275.6840798,0.9999311503
443,266.2164998,0.9999321905
444,276.2088977,0.999933335
445,264.5651319,0.999934392
446,256.1074347,0.9999354279
447,253.2636432,0.9999364339
448,252.2576159,0.9999373984
449,234.2364173,0.9999383681
450,226.7397918,0.9999392696
451,242.9123648,0.9999402382
452,260.4650595,0.999941256
453,236.528441,0.9999421865
454,240.0374904,0.9999431409
455,243.8242339,0.9999440778
456,216.8786327,0.9999449425
457,252.2667127,0.9999459379
458,244.2434784,0.9999468875
459,233.9440244,0.9999478007
460,247.0816155,0.9999487407
461,221.1778656,0.9999496167
462,237.9490379,0.9999505274
463,222.231324,0.9999513966
464,205.8469091,0.9999521938
465,201.2950862,0.9999529688
466,205.8705639,0.9999537725
467,192.299348,0.9999544967
468,213.9356729,0.9999553228
469,188.1107667,0.999956047
470,173.3628323,0.9999567171
471,190.9638093,0.9999574495
472,164.6918135,0.9999580659
473,167.4182825,0.9999587067
474,170.6837336,0.9999593625
475,181.8901696,0.9999600614
476,177.5421593,0.999960726
477,193.7349617,0.9999614468
478,177.4647841,0.9999621354
479,169.1352137,0.9999627673
480,191.3381124,0.9999634981
481,166.8215896,0.9999641238
