freq_radius,radial_mean_power,cumulative_energy_fraction
0,7.135150878e+11,0.9311949068
1,1202798696,0.9437529036
2,310811940.8,0.9502430592
3,177362549.9,0.9548725087
4,130777596.4,0.9589687169
5,83044201.13,0.9633038929
6,40576666.55,0.9652103029
7,27233812.01,0.9669163346
8,21654583.23,0.9684989496
9,13783895.73,0.9695063392
10,21082309.7,0.9713772993
11,16653277.31,0.9727682672
12,8026376.892,0.9736062729
13,11639456.74,0.9750037927
14,8576810.113,0.9759888146
15,7214671.884,0.9768927248
16,5784672.037,0.9776174734
17,4970571.449,0.9783699651
18,4423356.677,0.9790627057
19,4072146.579,0.9797004434
20,3488427.502,0.9802649757
21,3194103.625,0.9808652489
22,3865625.403,0.9815513626
23,2666619.906,0.9820385843
24,2889348.104,0.9826117509
25,2802305.462,0.9832261664
26,2502053.033,0.9838008736
27,2275260.494,0.984287855
28,1955528.368,0.9847166116
29,1722640.316,0.9851482631
30,1560296.342,0.98553109
31,1414333.475,0.9859150205
32,1115064.097,0.9862060702
33,1198624.148,0.9865314449
34,959644.3631,0.9868169952
35,1265168.018,0.9871604337
36,875711.8925,0.9874255807
37,771573.7899,0.987655169
38,845762.8337,0.9879377389
39,817188.2694,0.9882022301
40,868624.7851,0.9884697658
41,545374.3613,0.9886633639
42,750695.3005,0.9889220094
43,629586.3593,0.9891586478
44,602442.8447,0.9893756492
45,633684.2498,0.9896005957
46,653628.6573,0.989853095
47,673700.2248,0.9901098311
48,578858.5035,0.9903455338
49,554724.8394,0.9905656178
50,453987.6451,0.9907646947
51,329975.8972,0.9909042237
52,357816.4301,0.9910499213
53,279949.5383,0.991175604
54,302695.9451,0.9913035979
55,262519.648,0.991432419
56,250318.9165,0.9915447991
57,265833.6137,0.9916696955
58,281226.6544,0.9918032921
59,251485.2377,0.9919240728
60,267404.4868,0.9920608747
61,239285.1957,0.9921820419
62,194765.6928,0.9922816824
63,200189.3351,0.9923861877
64,210223.9518,0.9924926391
65,174050.9304,0.9925907682
66,170799.3615,0.992679931
67,191352.7548,0.9927858168
68,158667.6944,0.9928794144
69,151729.1411,0.9929617902
70,154563.0984,0.9930521596
71,162691.2844,0.9931430348
72,151300.1951,0.9932378151
73,142648.9408,0.9933241972
74,158363.0861,0.9934200952
75,185266.1628,0.993535186
76,125026.1633,0.9936135072
77,119005.9263,0.9936905421
78,127293.0774,0.9937696189
79,105657.7252,0.9938380133
80,128611.3996,0.9939252944
81,122082.2079,0.994004958
82,124804.5693,0.9940922617
83,129950.3172,0.9941777379
84,135795.9727,0.9942727304
85,124777.6113,0.9943619694
86,113285.0486,0.9944423977
87,119294.3403,0.9945283379
88,113277.0692,0.9946058038
89,107550.5891,0.9946900211
90,96844.75392,0.9947597886
91,96300.28485,0.99483218
92,110489.3718,0.9949158146
93,102198.7593,0.9949937072
94,104249.3653,0.9950764279
95,98841.30381,0.9951512455
96,107862.7313,0.9952357073
97,91290.30745,0.9953110046
98,89005.82071,0.9953816297
99,87643.02804,0.9954552912
100,88950.1388,0.9955258722
101,89581.1712,0.9956035009
102,87609.60681,0.9956771343
103,81542.20486,0.9957435399
104,73520.34675,0.9958080183
105,88171.73403,0.9958821242
