freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.177097928e+11,0.8454902268
1,2278105363,0.8752538642
2,953607599.6,0.9001717906
3,206584922.8,0.9069194139
4,224157275.4,0.9157053146
5,101055338.7,0.9223067969
6,78297368.63,0.9269101245
7,64632479.61,0.9319766971
8,45042388.45,0.9360960751
9,43784408.33,0.9401004039
10,34930217.75,0.9439795167
11,24050781.71,0.9464933206
12,23824867.37,0.9496060594
13,19558426.67,0.952544683
14,12599711.43,0.9543554621
15,13179103.43,0.9564216952
16,14852989.8,0.9587503619
17,18611375.41,0.96227617
18,9017038.861,0.9640432955
19,6084028.669,0.9652356207
20,6633305.652,0.9665789234
21,6014028.081,0.9679932515
22,3779406.768,0.968832682
23,2814738.642,0.9694762409
24,2864627.493,0.9701873463
25,2536656.802,0.9708833206
26,2035324.383,0.9714683377
27,2073389.07,0.9720236622
28,2906010.007,0.9728209747
29,1892224.351,0.9734143044
30,2722753.907,0.9742502701
31,1636443.016,0.974806157
32,2019082.93,0.9754656442
33,1685978.765,0.976038358
34,1446145.539,0.9765768373
35,1279448.754,0.9770114561
36,1261841.95,0.9774895521
37,994150.261,0.9778597288
38,1388279.748,0.9784401446
39,1148720.577,0.9789053966
40,1184332.577,0.979361862
41,1070741.3,0.9798374991
42,1791902.402,0.9806100738
43,1028186.527,0.9810936741
44,892074.5288,0.9814957726
45,878042.9787,0.9818858106
46,803456.5278,0.982274208
47,662451.216,0.9825901148
48,677148.8058,0.982935148
49,703430.0564,0.9832843822
50,523602.2461,0.9835717003
51,743458.1999,0.9839650907
52,552479.2822,0.9842466
53,530900,0.9845448589
54,533203.8594,0.9848269962
55,444429.1903,0.9850999019
56,439850.2533,0.9853470092
57,514182.2752,0.9856493117
58,469352.7245,0.9859283238
59,496874.1556,0.9862269421
60,413333.2437,0.9864915535
61,374184.773,0.9867286582
62,372612.7785,0.9869672008
63,401522.6074,0.9872294971
64,365942.7732,0.9874613792
65,363320.8178,0.9877177073
66,335226.4145,0.9879366953
67,384835.0199,0.9882031741
68,353976.261,0.9884644713
69,338065.8717,0.988694148
70,297798.7404,0.9889120309
71,307654.6759,0.989127076
72,294695.8018,0.9893580895
73,264247.732,0.9895583298
74,341641.1595,0.9898172168
75,274418.4148,0.9900305422
76,278987.465,0.9902492418
77,259129.2753,0.9904591457
78,275155.1019,0.9906730437
79,249098.0325,0.9908748219
80,266041.2561,0.9911007522
81,254182.1735,0.9913083092
82,228908.704,0.9915086868
83,209884.8433,0.9916814431
84,230678.1482,0.9918833697
85,234776.8512,0.9920934851
86,212070.9302,0.9922818944
87,163708.8634,0.9924294764
88,157228.2456,0.9925640265
89,175096.737,0.9927356006
90,142609.1326,0.9928641614
91,138735.1846,0.9929946676
92,141051.979,0.9931282747
93,123526.6059,0.9932460883
94,111717.7676,0.9933570181
95,115459.6441,0.9934663836
96,109009.6682,0.9935732001
97,104732.9147,0.9936812993
98,107734.7755,0.9937882742
99,106219.0451,0.9938999889
100,100078.1656,0.9939993612
101,89974.55182,0.9940969297
102,90241.55853,0.9941918403
103,81662.64817,0.9942750608
104,84290.64572,0.994367567
105,82789.44665,0.9944546399
106,76082.71664,0.9945411203
107,76872.31303,0.9946254851
108,70403.80078,0.9947018311
109,71633.10712,0.99478185
110,73211.12309,0.9948641098
111,77695.79133,0.9949554689
112,78379.60359,0.9950450721
113,60092.90312,0.9951149477
114,67303.93804,0.9951967255
115,67591.3666,0.9952762033
116,64968.08925,0.9953521721
117,54254.3944,0.9954173853
118,52808.93203,0.9954822409
119,50142.32219,0.9955441491
120,51654.16365,0.9956075865
121,47338.20334,0.9956644864
122,58549.26294,0.9957383042
123,40511.79583,0.9957928211
124,41402.9698,0.9958436688
125,47336.50434,0.9959061328
126,43813.23924,0.9959602268
127,40333.68878,0.9960139771
128,45247.02996,0.9960748662
129,46783.57158,0.9961350724
130,37037.12232,0.9961858812
131,35493.37311,0.9962327173
132,38071.40598,0.9962864372
133,36738.86059,0.9963370768
134,35227.0799,0.9963831013
135,36598.64138,0.9964356993
136,34084.44432,0.9964831255
137,33365.69171,0.9965306414
138,32081.07404,0.9965759087
139,33354.8697,0.9966223197
140,30593.02343,0.9966678856
141,35192.45565,0.996718003
142,35697.57241,0.9967702388
143,32177.97811,0.9968175347
144,32704.692,0.9968662457
145,34759.33612,0.9969193794
146,33358.82756,0.9969688467
147,28939.83499,0.9970119503
148,26468.18217,0.9970531016
149,24489.9983,0.9970908573
150,25242.4142,0.9971299379
151,27566.36744,0.997171356
152,28530.37523,0.9972168317
153,24308.35254,0.9972544662
154,24104.54163,0.9972938322
155,22970.81939,0.997329846
156,23849.63618,0.9973678609
157,22040.1678,0.9974045754
158,24498.84467,0.9974429849
159,22507.99571,0.9974797436
160,21195.06063,0.9975144964
161,20820.9502,0.997550404
162,21696.16129,0.9975866872
163,22300.55372,0.9976229613
164,18891.26652,0.9976550474
165,18383.66331,0.9976860312
166,17803.21036,0.9977174322
167,18425.01527,0.9977483653
168,16735.99188,0.9977763534
169,18159.37321,0.9978088572
170,17385.36056,0.9978394077
171,18557.11698,0.9978721385
172,18358.14216,0.9979040386
173,18919.20463,0.9979383968
174,17965.92771,0.9979709064
175,17674.32489,0.9980020801
176,15411.42158,0.998030068
177,17268.88108,0.9980606394
178,16715.61315,0.9980920877
179,13900.15348,0.9981178758
180,13821.88303,0.9981428867
181,15244.52308,0.9981713682
182,13919.46469,0.9981979196
183,11915.96478,0.998220805
184,12996.25167,0.9982444917
185,12353.5446,0.9982680561
186,12199.66888,0.9982919645
187,12800.98901,0.9983164661
188,12715.29883,0.9983410528
189,11740.32514,0.9983634475
190,11369.63969,0.9983855807
191,12326.03555,0.9984103005
192,11717.70394,0.9984328051
193,10499.94247,0.9984542056
194,10982.94018,0.9984756578
195,11083.77144,0.9984982482
196,11649.78174,0.9985219923
197,10535.75908,0.9985430528
198,9554.138691,0.9985627129
199,10055.86306,0.9985829455
200,9920.705579,0.9986039431
201,9617.003712,0.9986233555
202,10364.67794,0.9986443449
203,9571.396448,0.9986651034
204,10334.14531,0.9986865035
205,9646.72008,0.9987072993
206,9274.241695,0.998726444
207,9257.223051,0.9987461583
208,8755.494293,0.99876509
209,8745.392937,0.9987837143
210,8662.399134,0.998802275
211,9094.749743,0.9988222968
212,8183.496423,0.9988401521
213,7692.94511,0.9988570376
214,7595.1158,0.9988737084
215,7469.660562,0.9988898598
216,8179.873014,0.9989083484
217,7348.986852,0.998924863
218,7498.641648,0.998941469
219,7359.287588,0.9989581029
220,6727.047116,0.9989733078
221,6714.821856,0.9989886166
222,6607.880296,0.9990039838
223,5948.249009,0.9990173507
224,6110.485833,0.999031641
225,6142.959841,0.999045646
226,6334.597246,0.9990603777
227,6029.602304,0.9990743213
228,5978.049543,0.9990884971
229,5677.894135,0.9991023691
230,5793.084487,0.9991156144
231,5635.773338,0.9991288681
232,5821.595129,0.9991426729
233,5324.236214,0.9991554723
234,5108.219088,0.999168086
235,5329.118642,0.9991806534
236,4794.413103,0.9991922417
237,5015.19028,0.9992046912
238,4601.835225,0.9992156036
239,4479.093201,0.9992268394
240,4814.423604,0.9992383503
241,4603.654238,0.9992501391
242,4165.370927,0.9992606695
243,4524.564728,0.9992718421
244,4202.532934,0.9992824939
245,4549.471645,0.9992935793
246,3944.102492,0.9993039884
247,4003.673177,0.9993140839
248,4059.967154,0.9993242153
249,3753.306651,0.999333802
250,3665.480492,0.9993430927
251,3587.369656,0.9993524665
252,3635.390709,0.9993618471
253,3723.604974,0.9993715283
254,3877.925826,0.9993817627
255,3833.806416,0.9993919308
256,3315.880469,0.9994005736
257,3157.173456,0.9994087821
258,3109.652476,0.9994171921
259,3015.064312,0.9994251689
260,3095.424994,0.9994334596
261,3577.199449,0.9994430405
262,3251.078472,0.9994517693
263,2965.943932,0.9994597906
264,3013.396051,0.9994678615
265,2647.737575,0.9994752298
266,2959.954037,0.9994832929
267,2974.602816,0.9994913765
268,2799.024173,0.9994992024
269,2702.277986,0.9995065989
270,2777.501564,0.9995142557
271,2776.26145,0.9995220905
272,2609.838164,0.9995294556
273,2830.107286,0.9995373499
274,2632.368812,0.9995446066
275,2354.860667,0.999551406
276,2379.934011,0.9995581067
277,2209.124873,0.9995644565
278,1949.88817,0.9995699846
279,2197.609527,0.9995762582
280,2193.374747,0.9995826486
281,2305.488932,0.9995892151
282,2022.286417,0.9995950806
283,2308.451654,0.9996017611
284,2048.411125,0.9996078362
285,1927.65053,0.9996135028
286,2175.610881,0.9996197704
287,2150.352074,0.9996261479
288,1764.069079,0.9996313567
289,1763.12821,0.9996366318
290,1758.886139,0.9996419746
291,1677.043955,0.9996467731
292,1562.915844,0.999651633
293,1561.433428,0.9996563148
294,1579.725005,0.9996610825
295,1619.130767,0.9996659479
296,1536.670152,0.999670686
297,1468.523179,0.9996752236
298,1512.854901,0.9996797499
299,1382.869887,0.9996839777
300,1369.623356,0.9996881918
301,1309.978425,0.9996922309
302,1279.351682,0.9996963093
303,1320.283016,0.9997003371
304,1368.666613,0.9997045751
305,1278.326148,0.9997086669
306,1348.027959,0.999712841
307,1227.398066,0.9997167297
308,1141.850171,0.9997202654
309,1148.606185,0.9997240621
310,1266.202058,0.9997280407
311,1204.259916,0.9997318955
312,1318.665395,0.9997360647
313,1254.76789,0.9997400976
314,1128.51699,0.9997438352
315,995.3354795,0.9997470472
316,998.5942085,0.9997502567
317,998.9742213,0.9997535131
318,875.2423776,0.9997563948
319,1011.757166,0.9997596862
320,1030.749909,0.9997630327
321,1007.796072,0.9997663508
322,1024.238527,0.9997697899
323,941.8330636,0.9997729277
324,872.4305816,0.9997757716
325,847.2536265,0.9997786275
326,750.8223093,0.9997811584
327,793.5040035,0.9997838591
328,819.736568,0.9997866436
329,848.1556172,0.9997894583
330,910.5133315,0.9997925631
331,776.9486531,0.9997951668
332,758.2495282,0.9997977227
333,763.3002102,0.9998004153
334,718.8695891,0.9998028526
335,792.0181939,0.9998055947
336,828.4702089,0.9998084198
337,770.6958563,0.9998110277
338,705.9929375,0.9998135689
339,767.3661733,0.9998162257
340,732.1679606,0.9998188276
341,701.8196585,0.9998212621
342,716.5527494,0.9998237336
343,749.3004274,0.9998264551
344,775.9711605,0.9998291265
345,664.8798448,0.9998315327
346,639.9219011,0.9998337818
347,659.0893445,0.9998361412
348,650.9684016,0.9998384588
349,635.0597077,0.9998406907
350,641.8376013,0.9998430219
351,640.4822314,0.9998453524
352,580.4742651,0.9998474607
353,567.7104334,0.9998495301
354,597.4793752,0.9998516612
355,574.7987949,0.9998537977
356,569.9678811,0.9998558456
357,564.8262659,0.9998579635
358,569.734792,0.9998600365
359,569.7951116,0.9998621061
360,557.1326936,0.9998642097
361,543.0899613,0.9998661858
362,588.2477526,0.9998683992
363,539.5976289,0.9998703732
364,487.8289318,0.9998722343
365,582.1517582,0.9998744286
366,551.461758,0.9998765036
367,466.8085777,0.9998782479
368,485.3169782,0.9998800835
369,497.8173041,0.9998819957
370,470.0141768,0.9998837765
371,467.8073914,0.9998855429
372,494.6992262,0.9998874269
373,514.2503769,0.9998893955
374,453.3873132,0.9998911726
375,494.6943402,0.9998930566
376,408.4147263,0.99989462
377,392.0340675,0.9998961566
378,433.6771516,0.9998978253
379,431.2959085,0.9998995157
380,440.2020416,0.9999011951
381,400.9614782,0.9999027929
382,400.2796569,0.9999043749
383,428.2919518,0.9999060536
384,337.0535411,0.9999073835
385,360.9734328,0.9999088054
386,316.8017091,0.9999100802
387,337.8289595,0.9999114043
388,369.7198083,0.9999128824
389,363.4064764,0.9999143424
390,340.2080793,0.9999156937
391,306.4955768,0.999916939
392,327.3701501,0.9999182329
393,318.6763851,0.9999195277
394,332.8419914,0.9999209019
395,394.8340232,0.9999224752
396,330.6301223,0.9999238295
397,309.8866177,0.9999250643
398,298.1605605,0.9999263187
399,290.9372767,0.9999275065
400,301.520046,0.9999287356
401,291.4775734,0.9999299542
