freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.821343288e+11,0.6125279476
1,1384829841,0.6497860301
2,822331393.9,0.6940347746
3,189528073.6,0.7067826451
4,129981638.5,0.7172738978
5,68139081.58,0.7264401197
6,98423371.51,0.7383562388
7,89283154.83,0.7527689228
8,61563959.32,0.7643633332
9,42953511.54,0.7724528169
10,40876296.51,0.7818007275
11,56504141.59,0.7939624294
12,59500691.05,0.8099707619
13,73519201.33,0.8327176875
14,62530981.45,0.8512236645
15,23511594.1,0.858814462
16,22215823.03,0.8659869155
17,22598697.77,0.8748029951
18,15098231.78,0.880896139
19,12000678.68,0.8857392135
20,7002252.747,0.8886592856
21,8456900.463,0.8927547939
22,6550931.122,0.89575103
23,7175807.036,0.8991295997
24,7383257.357,0.9029038066
25,8214868.99,0.9075451534
26,6025744.11,0.9111117784
27,6131852.688,0.9144937477
28,3670882.137,0.9165677719
29,3150707.06,0.9186022047
30,2898860.249,0.9204350223
31,3598035.19,0.9229519042
32,2802123.225,0.9248366436
33,6216557.123,0.9291852226
34,3513172.061,0.9318790413
35,3311242.891,0.9341953076
36,2446931.297,0.9361044743
37,1821940.077,0.9375014956
38,2047542.177,0.9392643114
39,2040803.67,0.940966419
40,1811270.559,0.9424039904
41,1402576.408,0.9436869989
42,1456432.914,0.9449800882
43,1189509.39,0.9461321995
44,1318378.251,0.9473559228
45,1282019.901,0.9485286521
46,1051925.622,0.9495758068
47,1115395.16,0.9506711386
48,1163820.201,0.9518923042
49,1160783,0.9530790528
50,1029502.03,0.9542423765
51,883182.0592,0.9552047183
52,848026.2199,0.9560945298
53,858310.9401,0.9570875022
54,771291.4838,0.9579279246
55,1605014.377,0.9599574799
56,814479.4475,0.960899744
57,710888.5586,0.9617604169
58,671556.9131,0.9625825049
59,600927.0881,0.963326215
60,488368.4137,0.9639700399
61,490181.8427,0.9646096614
62,506583.7529,0.9652774998
63,417497.4876,0.9658391268
64,456841.6749,0.9664352438
65,430324.0864,0.967060436
66,497099.5939,0.9677291455
67,411897.2087,0.9683164844
68,483236.0825,0.9690510522
69,437034.8384,0.9696624777
70,374804.2919,0.9702271762
71,386193.9785,0.9707830592
72,313865.2714,0.9712897215
73,345585.6738,0.9718289934
74,263894.5812,0.9722407898
75,283973.9938,0.9726953795
76,315920.208,0.9732053591
77,438389.5531,0.9739366261
78,292775.0587,0.9744053047
79,235548.9949,0.9747982182
80,224872.1954,0.9751914723
81,245940.5777,0.9756050283
82,251956.3986,0.9760592044
83,209691.2236,0.9764146268
84,233707.8327,0.9768359081
85,216357.0602,0.9772346444
86,210701.4977,0.9776201233
87,208761.8297,0.9780076702
88,280847.3225,0.978502591
89,202015.3069,0.9789102242
90,185598.9007,0.9792547713
91,173662.537,0.9795911765
92,183065.7936,0.9799482596
93,177827.3451,0.9802975169
94,160819.0758,0.9806263498
95,227361.708,0.9810698353
96,221120.5114,0.9815160197
97,256583.4203,0.9820613753
98,234023.0014,0.982539891
99,249943.5422,0.9830812208
100,196283.5639,0.9834825692
101,323900.8885,0.9842058623
102,185616.6083,0.9846078723
103,137088.0733,0.984895558
104,151994.5605,0.9852390617
105,147077.8404,0.9855576041
106,112492.3372,0.9858209135
107,110330.5225,0.9860702575
108,100855.2562,0.9862954743
109,101267.1713,0.9865284222
110,125211.764,0.986818135
111,100344.2165,0.9870611085
112,83211.48553,0.987257
113,84408.94077,0.9874591168
114,80665.65994,0.9876609515
115,85847.0004,0.9878688214
116,74330.37215,0.9880478051
117,75650.62059,0.9882350562
118,74898.91293,0.9884244769
119,63081.60748,0.98858486
120,71706.84243,0.9887662079
121,109440.2989,0.9890370956
122,81350.57428,0.9892483044
123,66524.88475,0.9894326554
124,69778.20542,0.9896091257
125,63092.30505,0.9897805695
126,57893.65483,0.9899277624
127,53748.35478,0.9900752616
128,61445.05279,0.9902455355
129,56042.63225,0.9903940534
130,51838.98084,0.9905404968
131,57314.52151,0.9906962404
132,72555.78974,0.9909070644
133,51936.53375,0.991054482
134,51637.78424,0.9911934106
135,46319.04116,0.9913304913
136,45694.23724,0.9914614201
