freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.179938178e+11,0.8901276721
1,3113198969,0.9329257821
2,725319480.8,0.952868165
3,224415923.9,0.960580953
4,107581879.5,0.9650178372
5,40192969.59,0.9677805632
6,52071453.96,0.971001854
7,40569842.16,0.9743482111
8,15686711.23,0.9758577616
9,7289336.549,0.9765592229
10,5665661.223,0.9772212675
11,10345755.66,0.978359078
12,7115960.545,0.9793373311
13,4111791.771,0.979987381
14,4977883.143,0.9807401385
15,2304935.14,0.9811203784
16,2848662.956,0.9815903158
17,3524732.224,0.9822929218
18,2772896.176,0.9828647197
19,2203200.974,0.983319041
20,2363737.563,0.983822714
21,2097921.481,0.9843418479
22,1576487.3,0.9847102797
23,1369433.214,0.9850397351
24,1220565.959,0.9853585456
25,1110957.894,0.9856792719
26,653799.289,0.9858770075
27,720967.0613,0.9860801903
28,813710.764,0.9863151034
29,1010712.185,0.9866485731
30,760904.3685,0.9868943922
31,595184.3387,0.987107129
32,805986.8451,0.9873841328
33,520120.4644,0.9875700394
34,424123.1087,0.9877362102
35,397824.6515,0.9878784047
36,426104.0838,0.9880482804
37,326194.3953,0.9881760828
38,341490.864,0.9883263094
39,391916.0387,0.9884933309
40,438472.2367,0.9886711514
41,409722.9342,0.9888626594
42,535208.9366,0.989105463
43,597033.5089,0.9894009367
44,606720.9768,0.9896886937
45,451400.9044,0.9898996823
46,397154.5435,0.9901016951
47,473913.0204,0.9903394937
48,426919.1964,0.9905683843
49,516832.8156,0.9908383766
50,469188.4767,0.99110928
51,398156.0163,0.9913309597
52,389717.6237,0.9915399049
53,286627.3205,0.9917093401
54,259153.8415,0.9918536282
55,320033.6786,0.9920604095
56,240849.3241,0.9922027838
57,353464.0221,0.9924214469
58,205623.5606,0.9925500649
59,188292.263,0.9926691365
60,177604.9738,0.9927887744
61,202902.6675,0.9929240587
62,175292.5804,0.9930421389
63,148533.0689,0.9931442354
64,176388.2536,0.9932618413
65,196079.4506,0.9934074018
66,170566.8625,0.9935246436
67,151248.9893,0.9936348447
68,148328.0614,0.9937500546
69,149578.4094,0.9938569822
70,123198.7561,0.9939518267
71,147065.1051,0.9940599903
72,146264.0336,0.9941806345
73,137748.7665,0.9942904676
74,111719.8578,0.9943795468
75,100510.5254,0.9944617609
76,99522.96629,0.9945438513
77,102909.1594,0.9946315642
