freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.355236403e+11,0.8363544355
1,2719938549,0.8703373636
2,360295804.2,0.8793404394
3,118687800.9,0.8830476546
4,63069352.37,0.8854116211
5,50468516.85,0.8885643908
6,30643912.14,0.8902872843
7,65680594.75,0.8952109667
8,24477381.92,0.8973517106
9,22578889.7,0.899326416
10,38161155.14,0.9033790945
11,25618578.88,0.9059397238
12,28601616.35,0.9095132115
13,27619545.6,0.9134816172
14,26874330.49,0.9171750657
15,14477577.94,0.919345661
16,21648580.84,0.922591391
17,15138730.94,0.9253339702
18,8494884.586,0.9269259972
19,7501384.685,0.9283318324
20,7817316.813,0.9298457112
21,5621269.49,0.9311098903
22,9451643.6,0.9331174015
23,7713617.19,0.9348039461
24,6239209.114,0.9362850477
25,6824736.478,0.9380756819
26,5717607.943,0.9396472701
27,5370481.993,0.9410227962
28,4596933.512,0.9422289126
29,3504160.073,0.9432796565
30,4051104.2,0.9444690977
31,3791874.795,0.9457008661
32,4107665.49,0.946983896
33,3367329.803,0.9480777534
34,2992463.865,0.9491433074
35,4061097.339,0.9504625311
36,4027955.623,0.9519219649
37,3946608.96,0.9533272701
38,3459257.362,0.9547103095
39,2967819.469,0.9558597881
40,3480524.265,0.9571426159
41,2688011.535,0.958284473
42,2197236.679,0.9591903985
43,2353075.594,0.9602487748
44,2158299.46,0.9611790951
45,3242682.467,0.9625565743
46,2899725.956,0.9638970544
47,1628738.087,0.9646398098
48,1965186.812,0.965597379
49,2490460.946,0.9667797806
50,2038786.8,0.9678496304
51,1522600.566,0.9686200773
52,1857375.82,0.9695251139
53,2070736.127,0.9706376008
54,1432915.409,0.9713626664
55,1437055.679,0.9722065317
56,1645563.313,0.9730905978
57,1553960.14,0.9739642813
58,1256111.247,0.974678352
59,1049615.557,0.9752815915
60,1309994.631,0.9760835784
61,1080351.937,0.9767382277
62,1012880.083,0.9773583193
63,862738.7901,0.9778972724
64,817239.8574,0.9783924865
65,763830.2624,0.9789078247
66,732754.9554,0.9793655769
67,863345.6897,0.9799372692
68,680673.0046,0.980417764
69,652842.2848,0.980841908
70,542139.7776,0.9812212238
71,544968.351,0.9815854966
72,632938.2456,0.9820599727
73,605881.6082,0.9824990262
74,462531.2829,0.9828342006
75,515445.6617,0.9832173795
76,482589.0644,0.9835791477
77,430839.5812,0.9839128883
78,501202.4576,0.9842854788
79,464240.6189,0.9846450928
80,398335.1446,0.9849685849
81,298091.6252,0.9852013573
82,315091.7742,0.9854651201
83,286230.0655,0.9856904182
84,258463.4909,0.9859067776
85,246242.1844,0.9861175213
86,250765.8374,0.9863305701
87,255619.0693,0.9865509358
88,231024.0727,0.9867399961
89,192994.4578,0.9869208416
90,222677.2406,0.9871128086
91,217471.535,0.9873084392
92,176029.3412,0.9874678892
93,167684.717,0.9876208282
94,174311.9051,0.9877863451
95,169938.1252,0.9879402777
96,150994.0417,0.9880817667
97,157792.2364,0.9882375118
98,157099.8438,0.9883866851
99,164156.2138,0.9885517881
100,125067.9513,0.9886705456
101,143222.8556,0.9888190681
102,153658.1494,0.9889736125
103,120933.9636,0.9890914665
104,125888.0145,0.9892235856
105,119603.5013,0.9893438789
106,118721.3408,0.9894729264
107,135057.8518,0.9896146692
108,140409.8889,0.9897602746
109,135927.2384,0.9899054771
110,130457.2236,0.9900456514
111,130400.4004,0.9901922815
112,111703.8995,0.9903143991
113,87910.77117,0.9904121529
114,85051.91794,0.9905109783
115,87882.65988,0.9906097989
116,111732.299,0.9907347395
117,121580.51,0.99087449
118,110441.0049,0.991004196
119,98662.94487,0.9911206857
120,98599.89127,0.991236485
121,85902.41073,0.9913352254
122,73797.70928,0.9914242012
123,83467.64196,0.9915316143
124,82329.97643,0.9916283056
125,75215.55719,0.9917232197
