freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.860292386e+11,0.6879770278
1,4560940272,0.775739304
2,1942767833,0.8505053466
3,562832265.1,0.8775805974
4,339034725.1,0.8971518639
5,168773498.9,0.913389685
6,73654664,0.9197674169
7,37285392.69,0.9240721226
8,47236697.02,0.9304346704
9,35691933.34,0.935242196
10,15547403.9,0.937785102
11,15733968.16,0.9402071444
12,11141418.36,0.9423509924
13,12226751.03,0.945056585
14,8810454.845,0.9469214376
15,7717614.887,0.9487034792
16,6684658.273,0.9502470052
17,4193253.238,0.9514169694
18,5065947.778,0.952879165
19,6894497.356,0.9548691388
20,4501343.383,0.9562116791
21,4650837.576,0.9578225368
22,4305556.635,0.9592309553
23,3527392.114,0.9604187607
24,2981769.226,0.9615088978
25,2298967.817,0.9624378763
26,2319440.452,0.9634197585
27,2645018.2,0.964463123
28,2743667.249,0.9655717979
29,2266080.017,0.9666182997
30,2062676.043,0.967551022
31,1949755.583,0.9685264765
32,1382869.077,0.9691917107
33,1497797.92,0.9699410527
34,1592582.346,0.9708144267
35,1458689.4,0.9715442028
36,1385317.553,0.9723172408
37,1299635.029,0.9730299622
38,1178241.4,0.9737554627
39,1039237.188,0.9743753745
40,1055067.104,0.9749742762
41,949609.6833,0.9755955422
42,753920.5299,0.9760742748
43,975521.281,0.9767500352
44,928173.9874,0.9773662072
45,917443.4439,0.9779664289
46,926925.7664,0.9786263624
47,847269.6686,0.9792214324
48,741141.5164,0.9797776173
49,707202.2341,0.9802947247
50,632444.7347,0.9808058476
51,634061.2327,0.9812999759
52,590499.0813,0.9817431122
53,639368.4898,0.9822721335
54,514918.5991,0.9826734132
55,541137.6578,0.9831628077
56,563510.703,0.9836290633
57,534145.8648,0.9840915784
58,467289.2022,0.9845006983
59,379197.1198,0.9848363404
60,433769.2753,0.9852453263
61,397191.4378,0.9856160028
62,401472.6221,0.9859945374
63,358497.4601,0.9863394504
64,335635.8423,0.9866526806
65,262224.3538,0.9869251515
66,301984.3843,0.9872156929
67,338266.5145,0.9875606685
68,305251.0398,0.9878925317
69,272643.678,0.9881653367
70,290649.2675,0.9884785287
71,299403.2422,0.9887867508
72,226263.2266,0.9890479782
73,260742.1233,0.989338978
74,227411.4339,0.9895927793
75,230795.1106,0.9898570184
76,211034.3779,0.9901006636
77,177673.2926,0.9903126302
78,164635.9749,0.9905011232
79,161174.2496,0.9906934062
80,142032.5824,0.9908710519
81,154226.8007,0.9910565303
82,151717.4795,0.9912521281
83,135133.5629,0.9914159445
84,122690.3636,0.9915741198
85,133292.6156,0.9917498111
86,121587.1011,0.9919089036
87,103858.2764,0.9920467971
88,113371.5682,0.9921896861
89,117672.386,0.9923595063
90,118001.2056,0.9925161775
91,111260.3662,0.9926703214
92,99030.91229,0.9928084751
93,100457.5948,0.9929495855
94,96508.98883,0.9930907205
95,90793.54412,0.9932173826
96,89772.74548,0.9933469391
97,87435.15591,0.9934798518
98,88069.62943,0.9936086451
99,78499.83911,0.9937302408
100,77542.26957,0.9938436389
101,78329.86898,0.9939687394
102,82531.82401,0.9940965805
103,75811.0908,0.9942103645
104,78628.74051,0.9943374552
105,78809.75148,0.994459531
106,72454.52217,0.9945808247
107,66977.39754,0.9946890829
108,77800.88736,0.9948133386
109,68372.31057,0.9949258249
110,57054.89628,0.9950202408
111,67537.80611,0.9951372023
112,58466.09285,0.9952356409
113,62077.77488,0.9953419523
114,54072.83981,0.9954387167
115,61396.99407,0.9955450436
116,60634.91811,0.9956494673
117,51165.23949,0.995740044
118,53238.02101,0.9958363389
119,46567.90592,0.9959210172
120,49828.11876,0.9960111444
121,41357.35179,0.9960843584
122,39656.12422,0.9961579945
123,39581.66254,0.996236443
124,37689.24849,0.9963046139
125,43562.80136,0.9963892763
126,33998.58423,0.9964510987
127,39223.8994,0.9965280835
128,35046.03666,0.9965975426
129,32183.90084,0.9966585424
130,29484.04308,0.9967181127
131,35746.70607,0.9967875849
132,29688.05845,0.9968492812
133,31345.74397,0.9969129145
134,32918.92938,0.9969762576
135,25212.73435,0.9970296238
136,26214.10409,0.997083344
137,26475.4909,0.9971388736
138,30188.74609,0.9972016104
139,22874.85432,0.9972484875
140,24922.19251,0.997303157
141,22913.89761,0.9973512164
142,24252.3037,0.9974034831
143,26221.6117,0.9974602461
144,20669.07399,0.9975055859
145,18728.07972,0.997547749
146,18868.56726,0.9975889576
147,18272.50196,0.9976290402
148,18146.87481,0.9976705932
149,18537.82515,0.9977126847
150,15009.78142,0.9977469099
151,14329.71403,0.9977786194
152,14570.48179,0.9978128242
153,14648.32691,0.9978462253
154,14483.76861,0.9978810626
155,12721.37084,0.997910437
156,14425.34993,0.9979443011
157,13334.34494,0.9979770152
158,12799.84082,0.9980065708
159,12704.53222,0.9980371286
160,11375.99735,0.9980646004
161,11553.29314,0.9980939453
162,11381.63901,0.9981219782
163,11042.25253,0.9981484316
164,10259.49302,0.9981740955
165,10851.58356,0.9982010317
166,11446.3233,0.9982307657
167,11239.31176,0.9982585562
168,10471.67361,0.9982843478
169,10641.14461,0.9983123997
170,9696.040557,0.9983374938
171,8842.29929,0.9983604633
172,9268.893998,0.9983841843
173,8311.549068,0.9984064149
174,8116.212302,0.9984280449
175,7141.257474,0.9984465956
176,7420.801678,0.9984664438
177,7237.866489,0.9984853151
178,7771.526008,0.998506849
179,7148.782376,0.9985263822
180,8057.013192,0.9985478545
181,7527.332557,0.9985685669
182,6747.536146,0.9985875231
183,6681.977379,0.9986064237
184,6541.114767,0.9986239819
185,6667.85144,0.9986427142
186,6137.202678,0.9986604282
187,6493.432744,0.998678733
188,6563.462079,0.9986974247
189,6789.991531,0.9987165001
190,6703.10288,0.9987357185
191,6921.161257,0.9987561613
192,7045.542016,0.9987760903
193,7100.091839,0.9987974032
194,6655.390125,0.9988165487
195,6888.822879,0.9988372274
196,6731.281692,0.9988574332
197,5871.106103,0.998874718
198,5849.910172,0.998892447
199,6391.038071,0.9989113855
200,5153.348842,0.9989274497
201,5513.143229,0.9989438397
202,5979.958248,0.9989616752
203,4966.967169,0.9989775406
204,4999.497581,0.9989927885
205,4939.68241,0.9990084718
206,4663.02766,0.9990226486
207,4652.429899,0.9990372408
208,4734.208639,0.9990523172
209,4182.696601,0.9990654361
210,4640.149564,0.9990800791
211,4768.772338,0.9990955409
212,4390.992183,0.9991096511
213,4264.078011,0.9991234355
214,4236.474784,0.9991371306
215,4257.92411,0.9991506903
216,4302.794357,0.9991650139
217,4010.758093,0.9991782881
218,3974.940283,0.9991912525
219,3325.625064,0.9992023231
220,3651.694939,0.9992144792
221,3254.171274,0.9992254059
222,3032.941828,0.9992357941
223,2961.42382,0.9992455954
224,2818.159059,0.9992553021
225,2818.969903,0.9992647675
226,2782.705278,0.9992742985
227,2754.019241,0.9992836783
228,2375.250804,0.9992919738
229,2797.360778,0.9993020395
230,2355.357738,0.9993099708
231,2407.923078,0.9993183109
232,2311.880031,0.999326385
233,2361.328641,0.9993347454
234,2037.734768,0.9993421562
235,2123.753259,0.9993495324
236,1967.205678,0.9993565353
237,2186.097155,0.9993645277
238,2290.36441,0.9993725266
239,2009.860102,0.9993799521
240,2012.534015,0.9993870388
241,1952.148236,0.9993944013
242,1979.831086,0.9994017729
243,2017.68842,0.9994091107
244,2014.202866,0.9994166297
245,1793.43665,0.9994230657
246,1787.294266,0.9994300128
247,1723.144447,0.9994364121
248,1766.299362,0.9994429037
249,1761.992359,0.999449532
250,1712.84773,0.999455926
251,1696.819738,0.9994624561
252,1770.075084,0.999469183
253,1594.621605,0.9994752891
254,1616.002769,0.9994815704
255,1613.418169,0.9994878726
256,1644.966328,0.9994941873
257,1704.869113,0.9995007156
258,1695.784246,0.9995074701
259,1555.004564,0.9995135292
260,1548.733819,0.9995196384
261,1500.827126,0.9995255587
262,1470.424613,0.9995313731
263,1430.211649,0.9995370698
264,1464.264844,0.9995428458
265,1617.507155,0.9995494753
266,1459.130691,0.9995553293
267,1566.403594,0.9995615986
268,1530.271661,0.9995679
269,1401.795805,0.999573551
270,1403.271293,0.9995792484
271,1394.411135,0.999585044
272,1395.761983,0.9995908452
273,1340.291422,0.9995963514
274,1432.593898,0.9996021678
275,1321.802708,0.9996077888
276,1248.186504,0.9996129647
277,1182.729408,0.9996179715
278,1362.165777,0.9996236593
279,1233.843438,0.9996288468
280,1176.302445,0.9996338943
281,1320.621458,0.9996394341
282,1223.980495,0.9996446626
283,1141.239246,0.9996495267
284,1152.622114,0.9996545614
285,1126.704607,0.9996594394
286,1051.694169,0.9996639016
287,1017.220142,0.9996683448
288,1012.376375,0.9996727474
289,1057.027562,0.9996774051
290,1084.372693,0.9996822564
291,1003.906488,0.9996864869
292,857.3019109,0.999690413
293,961.0992448,0.9996946573
294,891.439142,0.9996986197
295,887.9081988,0.9997025493
296,848.9113889,0.9997064043
297,837.3360758,0.9997102148
298,880.5038737,0.9997140947
299,937.5649432,0.9997183163
300,818.7393444,0.9997220264
301,881.7508054,0.9997260305
302,863.0628234,0.9997300827
303,793.5249629,0.999733648
304,831.239038,0.9997374388
305,755.9437775,0.9997410026
306,789.2161776,0.9997446017
307,708.2433333,0.9997479065
308,759.8565004,0.9997513718
309,760.8309288,0.9997550757
310,750.2708395,0.9997585478
311,751.345155,0.9997620898
312,689.2246428,0.9997652993
313,790.4893703,0.9997690411
314,664.498768,0.9997722825
315,722.8743019,0.9997757181
316,703.8591699,0.9997790499
317,630.1153867,0.999782075
318,646.3857474,0.9997852094
319,643.7533223,0.9997882938
320,649.197402,0.999791398
321,592.0580855,0.9997942689
322,533.4134612,0.9997969068
323,545.7575896,0.9997995847
324,504.5029307,0.9998020068
325,577.2668783,0.9998048726
326,613.8253452,0.9998079199
327,632.4180108,0.99981109
328,629.3795357,0.9998142387
329,603.5441973,0.9998171885
330,499.8154581,0.9998196987
331,523.1977868,0.999822281
332,509.7219233,0.9998248115
333,481.9328742,0.9998273153
334,430.7565342,0.9998294663
335,427.4620631,0.999831646
336,457.4205835,0.9998339432
337,447.8874303,0.9998361754
338,432.7812851,0.9998384696
339,471.5788413,0.9998408743
340,453.6021662,0.9998432484
341,414.0845522,0.9998453638
342,464.8777062,0.9998477254
343,414.0126435,0.9998499401
344,432.9363355,0.9998521352
345,387.1004094,0.9998541985
346,416.8742141,0.9998563563
347,359.5719094,0.9998582521
348,406.8321567,0.9998603853
349,376.2040345,0.9998623326
350,339.9808006,0.9998641512
351,330.4926262,0.9998659223
352,348.9920861,0.9998677892
353,388.2572605,0.9998698736
354,351.5954468,0.9998717205
355,403.7005891,0.9998739305
356,373.6626559,0.9998759078
357,324.4784757,0.9998776997
358,324.9773714,0.9998794413
359,301.2462901,0.9998810527
360,281.4905166,0.9998826181
361,283.3100804,0.9998841363
362,265.7909454,0.9998856093
363,258.9597755,0.9998870045
364,275.9351226,0.9998885549
365,272.5074796,0.9998900677
366,244.461623,0.9998914224
367,258.7691733,0.9998928465
368,287.406211,0.9998944475
369,277.4326568,0.999896017
370,239.5627372,0.9998973538
371,257.5506873,0.9998987861
372,258.5295301,0.9999002362
373,234.8579912,0.9999015603
374,243.615175,0.9999029666
375,265.5759882,0.9999044562
376,247.3600837,0.9999058509
377,258.1690716,0.9999073412
378,268.4680273,0.9999088625
379,242.6855776,0.9999102635
380,274.1795862,0.999911804
381,258.1653946,0.9999133191
382,232.7780218,0.9999146741
383,270.3253355,0.9999162346
384,251.1145846,0.9999176938
385,231.3404922,0.9999190359
386,224.2773408,0.9999203651
387,229.9153532,0.9999216924
388,193.8058205,0.9999228335
389,222.3594414,0.9999241492
390,228.5984114,0.9999254864
391,198.58978,0.9999266748
392,222.7623581,0.9999279715
393,208.0279599,0.9999292164
394,191.4917938,0.9999303808
395,223.4408884,0.9999316921
396,202.0996952,0.9999329112
397,188.4959274,0.9999340175
398,175.8992594,0.9999351074
399,172.3333035,0.9999361436
400,165.5459153,0.9999371375
401,167.2640795,0.9999381674
402,168.1190383,0.9999391751
403,179.064697,0.9999402812
404,181.0838602,0.9999413753
405,177.4023015,0.999942454
406,168.4775851,0.9999435092
407,163.6099872,0.9999445009
408,147.2357053,0.9999454217
409,150.9656183,0.9999463381
410,144.0670079,0.9999472336
411,146.3904616,0.9999481547
412,126.5814686,0.999948924
413,117.3036931,0.9999496153
414,127.0433849,0.9999503499
415,118.6312445,0.9999510536
416,119.6618761,0.9999517282
417,125.848794,0.9999524335
418,117.5052953,0.9999530818
419,135.3786083,0.9999538503
420,109.4185637,0.9999544609
421,110.8123972,0.9999550697
422,104.4427883,0.9999556459
423,99.92434712,0.9999561862
424,98.985393,0.9999567229
425,105.5784964,0.9999572953
426,100.2261673,0.999957828
427,98.40082995,0.999958361
428,92.75225791,0.9999588559
429,98.8244086,0.9999593774
430,106.1515874,0.9999599279
431,101.0410995,0.9999604528
432,98.60246961,0.9999609902
433,101.9186131,0.9999615168
434,105.2587177,0.9999620738
435,99.19681097,0.9999625796
436,101.9199481,0.9999631081
437,95.99491619,0.9999636105
438,87.5865599,0.9999640572
439,85.52130674,0.9999645031
440,87.9666997,0.9999649525
441,92.1520566,0.9999654242
442,84.66593584,0.9999658547
443,79.57254233,0.9999662467
444,92.12437007,0.999966728
445,89.4055738,0.9999671783
446,88.1524196,0.9999676278
447,91.69692572,0.999968087
448,79.13975543,0.9999684684
449,85.38696094,0.9999689141
450,81.63350091,0.9999693233
451,81.6335664,0.9999697337
452,81.12852033,0.9999701333
453,82.27389168,0.9999705414
454,77.72706034,0.999970931
455,93.69698572,0.9999713849
456,83.1584449,0.9999718029
