freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.044658144e+11,0.8987394265
1,811023031.3,0.9102985586
2,511390939.1,0.9248757905
3,286431200.8,0.9350817155
4,183525438.6,0.9429288223
5,118283408.4,0.9513580129
6,60207667.18,0.9552195157
7,29719993.41,0.9577610268
8,18705788.58,0.9596272608
9,34654406.85,0.9630846522
10,19969764.19,0.9655039198
11,25347497.59,0.968394048
12,18490403.18,0.9710293987
13,8927080.262,0.972492584
14,9903722.226,0.9740452684
15,6025583.368,0.9750758262
16,7447045.208,0.9763494973
17,7440192.108,0.9778871002
18,5395760.561,0.979040649
19,4795227.482,0.980065811
20,3135302.369,0.980758444
21,3208144.787,0.9815814794
22,2583586.105,0.9822074643
23,3025978.528,0.9829622018
24,1685724.013,0.9834186927
25,1506467.145,0.9838695831
26,1314351.869,0.9842817057
27,1572032.499,0.9847410173
28,1517670.379,0.9851952609
29,1022451.398,0.9855450014
30,1089393.699,0.9859098769
31,965596.6176,0.9862676941
32,846778.0356,0.9865694123
33,1091237.184,0.9869737876
34,930162.5217,0.987351617
35,785248.3978,0.9876426032
36,689176.8857,0.9879274562
37,641725.135,0.9881881231
38,523274.5097,0.9884267787
39,533991.9868,0.9886627116
40,597236.8723,0.9889138196
41,514862.8852,0.989163315
42,544622.9098,0.9894194695
43,393402.2448,0.9896213207
44,400041.0778,0.9898180258
45,416664.8996,0.9900199359
46,416976.9472,0.990239826
47,442379.2128,0.9904699594
48,404123.4506,0.9906945909
49,353770.7909,0.9908861919
50,266934.9883,0.9910459808
51,266565.1214,0.9911998496
52,272813.578,0.9913514927
53,221040.4163,0.9914869593
54,267545.1949,0.9916413937
55,219656.7288,0.991788535
56,271650.614,0.9919550185
57,202357.2297,0.9920848031
58,264953.0838,0.9922566226
59,188902.8048,0.9923804704
60,234036.3858,0.9925439153
61,178074.4891,0.9926670089
62,191802.4557,0.9928009588
63,207633.9383,0.9929489243
64,232602.0635,0.9931097099
65,187685.7488,0.9932541598
66,172046.0459,0.9933767644
67,169903.1156,0.9935051065
68,148507.3753,0.9936246948
69,135093.3365,0.9937248167
70,161086.0336,0.9938533862
71,146960.5168,0.9939654451
72,157045.2578,0.9940997427
73,119504.7815,0.994198531
74,137195.038,0.9943119428
75,100567.3883,0.9943972265
76,121311.3284,0.9945009662
77,94593.28263,0.9945845542
78,108392.9029,0.9946764741
79,105897.0178,0.9947700508
80,105270.544,0.9948675749
81,103077.6594,0.9949593948
82,83926.7908,0.9950395381
83,92454.47813,0.9951225539
84,83312.74464,0.9952021109
85,96728.38156,0.9952965467
86,91896.94386,0.9953856106
87,90591.82296,0.9954747009
88,82738.32313,0.9955519405
89,78719.20797,0.9956360866
90,81735.00471,0.9957164668
91,85230.47664,0.9958039288
92,79251.63276,0.9958858202
93,66018.3178,0.995954508
94,64659.06577,0.9960245462
95,67466.49354,0.9960942599
96,60036.85865,0.9961584357
97,60740.79133,0.9962268268
98,53727.66886,0.9962850242
99,57350.07844,0.9963508236
100,54685.49207,0.9964100585
101,54038.48232,0.9964739839
102,48686.30006,0.9965298431
103,54045.53941,0.9965899254
104,54603.80886,0.9966552977
105,50991.17571,0.9967138014
106,47300.92966,0.9967724531
107,45286.00851,0.9968266701
108,42935.19465,0.9968774607
109,46368.55419,0.9969339651
110,45598.35616,0.9969898558
111,42162.55906,0.9970439389
112,41227.92707,0.9970953541
113,44777.55738,0.9971521533
114,40878.12286,0.9972063367
115,38837.71682,0.9972561549
116,38175.4617,0.9973048516
117,38629.00073,0.9973555032
118,33204.73694,0.9973999889
119,30834.54827,0.9974415188
120,28270.41898,0.9974793938
121,34267.04216,0.9975243258
