freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.320881428e+11,0.8855728985
1,381651394.1,0.8972229596
2,156425252,0.9067728461
3,99406672.02,0.914358917
4,33905976.75,0.9174638974
5,39602268.5,0.9235082726
6,26802418.33,0.927189968
7,30175001.97,0.9327165918
8,16463461.33,0.9362344679
9,14877936.86,0.9394135527
10,8351319.434,0.9415804352
11,7488253.099,0.9434090905
12,6472083.969,0.94538472
13,5361409.465,0.9472668004
14,6144786.961,0.9493300932
15,5724650.297,0.95142706
16,4027956.95,0.9529025199
17,3971372.057,0.9546603218
18,3389266.612,0.9562122026
19,2653745.009,0.957427302
20,2260702.551,0.9584969391
21,1709491.534,0.9594362315
22,1536803.895,0.9602337279
23,1496138.003,0.9610329566
24,1839545.861,0.9620998611
25,1627333.671,0.9631430363
26,1466548.405,0.9641279098
27,1157806.345,0.964852431
28,1260077.764,0.965660183
29,975183.3361,0.9663746116
30,949342.0131,0.9670556191
31,990667.7661,0.9678418729
32,956906.6425,0.9685721218
33,758220.1446,0.9691738911
34,852385.0847,0.9699154439
35,623188.8369,0.9704100442
36,624265.1815,0.9709626665
37,700307.4158,0.9715719157
38,611777.4847,0.9721695077
39,524729.7492,0.9726660529
40,536572.7413,0.9731492362
41,483072.5438,0.9736505996
42,472192.2482,0.9741262569
43,430936.236,0.9745998189
44,444276.5067,0.9750676982
45,426633.7406,0.9755104858
46,410181.4474,0.975973761
47,380722.4795,0.9763979533
48,350990.4068,0.9768158041
49,355666.0333,0.9772283643
50,358627.7408,0.977688149
51,340437.4252,0.9781090245
52,333520.867,0.978506078
53,296222.3981,0.9788948972
54,251005.647,0.9792052101
55,306142.6452,0.979644431
56,245450.0136,0.9799666068
57,268336.7147,0.9803352056
58,227330.6055,0.9806509464
59,222322.8185,0.9809631251
60,197221.4914,0.981258118
61,235385.8865,0.9816066026
62,211062.8999,0.9819222987
63,196778.0987,0.9822226352
64,190365.691,0.9825044682
65,167571.3444,0.982780688
66,161841.1851,0.9830277014
67,189716.453,0.9833346334
68,189054.6889,0.9836606932
69,156200.7772,0.9839086339
70,162275.5441,0.9841860314
71,160399.9819,0.984447982
72,146442.8268,0.9847161956
73,147403.8597,0.9849771701
74,129508.7048,0.9852064618
75,136942.9625,0.985455186
76,116801.8098,0.9856691113
77,133650.6942,0.9859220553
78,113067.4761,0.9861274153
79,128053.1278,0.9863697654
80,118175.0843,0.9866042427
81,118353.7192,0.9868300423
82,108620.764,0.9870521937
83,116311.7563,0.9872758728
84,124545.2806,0.9875305931
85,95990.49716,0.9877313082
86,109626.1349,0.9879588622
87,85491.18021,0.9881389282
88,96518.06385,0.9883319077
89,78942.72587,0.9885126396
90,90196.47462,0.9887026161
91,89777.25942,0.9888999312
92,85998.55533,0.9890902538
93,74454.13707,0.989256164
94,70307.05049,0.9894192715
95,77237.57124,0.9895902053
96,69890.36222,0.9897502126
97,63850.96955,0.9899041897
98,64754.18859,0.9900544149
99,54881.2982,0.9901892744
100,53640.15002,0.9903137158
101,47237.81713,0.9904333979
102,49154.58734,0.9905541852
103,50601.33369,0.990674666
104,48476.09463,0.9907989652
105,50656.03241,0.990923442
106,46651.72804,0.9910473355
107,50904.07387,0.9911778603
108,48791.69332,0.9913014793
109,46094.4709,0.9914217823
110,52486.028,0.9915595678
111,46142.44794,0.9916863343
112,47738.69833,0.991813843
113,46677.65796,0.991940655
114,46503.05395,0.9920726708
115,46713.70579,0.9922010067
116,39154.08613,0.9923079766
117,38156.51301,0.9924151329
118,35917.76297,0.9925181949
119,42741.34589,0.9926414887
120,39258.91739,0.9927541378
121,37989.30269,0.9928608245
122,34036.6911,0.9929610865
123,33364.60335,0.9930659886
124,32090.73593,0.9931580694
125,29773.59626,0.9932498633
126,31007.36409,0.9933393087
127,26410.14471,0.9934215391
128,28411.57509,0.9935108684
129,29601.25487,0.993599872
130,27493.98069,0.9936879948
131,27972.75774,0.9937742367
132,27761.47279,0.9938657591
133,26915.43769,0.9939524384
134,25261.24908,0.9940295494
135,24985.54781,0.9941134457
136,24903.45029,0.9941944057
137,26274.06322,0.9942818265
138,25709.23802,0.9943665833
139,23319.95348,0.9944423954
140,24351.07968,0.9945271346
141,26801.35187,0.9946163099
142,23009.0837,0.9946949744
143,21403.86792,0.9947684776
144,20983.08694,0.9948414965
145,21116.39594,0.9949169131
146,22205.67731,0.9949938477
147,20555.80036,0.9950653797
148,18421.86857,0.9951322976
149,19276.87462,0.9952017328
150,20978.30623,0.9952776168
151,19727.87232,0.9953468699
152,18449.37906,0.9954155772
153,18854.40735,0.9954837785
154,16029.8538,0.9955449432
155,15696.29771,0.9956024395
156,16883.85794,0.9956653167
157,16057.87505,0.9957278137
158,16360.43711,0.9957877428
159,14134.58022,0.9958416758
160,14688.66878,0.9958979471
161,15590.73687,0.9959607677
162,14478.43465,0.9960173386
163,13962.61042,0.9960704023
164,13406.13212,0.9961236018
165,12737.92631,0.996173761
166,13070.59754,0.996227624
167,12857.06008,0.996278056
168,13148.38123,0.99632943
169,13273.65961,0.9963849402
170,13065.12703,0.9964385812
171,13356.26292,0.9964936214
172,12627.40194,0.9965448871
173,13096.00337,0.9966004539
174,12057.80125,0.9966514314
175,12827.78749,0.9967042938
176,11560.3397,0.9967533447
177,11033.43474,0.9967989811
178,11547.92685,0.9968497419
179,10959.977,0.996897249
180,11613.70024,0.9969463491
181,11643.2925,0.9969971736
182,11291.40688,0.9970474961
183,11000.11894,0.9970968562
184,10456.02952,0.997141381
185,10357.3001,0.9971875405
186,9695.097428,0.9972319325
187,9326.947421,0.9972736423
188,10271.85103,0.9973200481
189,10057.63749,0.997364872
190,9805.892203,0.997409472
191,9393.658365,0.9974534874
192,8229.49901,0.9974904151
193,8954.39727,0.9975330556
194,8755.240771,0.9975730106
195,8658.632989,0.9976142426
196,7812.33228,0.9976514447
197,7814.584286,0.9976879418
198,7605.64072,0.9977245078
199,7083.4962,0.9977578067
200,6464.646631,0.9977897751
201,6859.373421,0.9978221251
