freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.025876711e+11,0.7924593879
1,1858875804,0.8217316918
2,594750795.6,0.8404631488
3,401512314.6,0.8562700016
4,161067578.7,0.8638791475
5,96200221.01,0.8714536237
6,84395630.42,0.8774341446
7,87723999.18,0.8857226495
8,34371094.31,0.8895114168
9,67712965.22,0.8969754988
10,30288377.78,0.9010296643
11,25299575.22,0.9042168675
12,21135435.15,0.9075451311
13,19532540.2,0.9110823595
14,12374806.41,0.9132259293
15,11964080,0.915486755
16,16276589.28,0.9185625061
17,9936906.388,0.9208314603
18,9464091.381,0.9230669708
19,5853432.475,0.9244496085
20,5290607.024,0.9257409578
21,5107700.561,0.9271887441
22,6389650.923,0.9288992816
23,4754796.252,0.9302095989
24,4142567.514,0.931449051
25,4178659.368,0.932830907
26,3885494.51,0.9341770014
27,3016859.031,0.9351509037
28,3116037.072,0.9361813573
29,3397533.284,0.937465406
30,2726032.607,0.9384742068
31,2217552.503,0.9393821398
32,2509282.647,0.9403700015
33,2180537.064,0.9412627792
34,2064739.378,0.9421894311
35,1798897.296,0.942925954
36,1562893.215,0.9436396838
37,1492469.067,0.9443095017
38,1544911.745,0.9450880045
39,1321029.892,0.9457328874
40,1474136.133,0.9464176912
41,1470937.116,0.9472052437
42,1522475.699,0.9479964156
43,1196344.573,0.9486746274
44,1025390.194,0.9492317038
45,1038708.68,0.9497878375
46,1007283.789,0.9503747321
47,948327.5364,0.950919809
48,859891.7577,0.9514479074
49,971491.3704,0.9520292459
50,793278.8013,0.9525539104
51,1001645.011,0.9531927258
52,842320.9171,0.9537100333
53,895807.7736,0.9543166157
54,933568.7063,0.9549120143
55,792655.3118,0.9554986774
56,691483.2964,0.9559669047
57,659967.8497,0.9564345771
58,658668.1109,0.9569065147
59,655496.051,0.9573813407
60,551823.2152,0.9578071377
61,688263.6629,0.9583327955
62,558454.5615,0.9587637093
63,532439.2583,0.9591829338
64,528505.8503,0.9595865774
65,549496.9053,0.9600538448
66,549728.6304,0.9604866823
67,499815.3177,0.9609038321
68,539135.7811,0.9613835137
69,510238.6284,0.9618013279
70,518615.6242,0.962258669
71,479262.1914,0.9626624384
72,411602.4688,0.9630513365
73,413783.6544,0.9634292634
74,400459.5224,0.9637950208
75,405860.3109,0.9641752979
76,434991.5694,0.9645862948
77,396129.0467,0.9649730489
78,357530.2891,0.9653080424
79,425791.4351,0.9657237569
80,328820.6394,0.9660603296
81,345756.9163,0.9664006261
82,351974.616,0.966771984
83,382877.7646,0.9671518297
84,411441.023,0.9675859288
85,443103.0518,0.9680639001
86,439535.0431,0.9685345619
87,357040.0005,0.968922509
88,359806.8675,0.9692936315
89,306341.1799,0.9696554354
90,296014.2996,0.9699770741
91,294416.6561,0.9703108857
92,298848.2612,0.9706520749
93,286134.894,0.9709810024
94,261198.2855,0.9712936034
95,273007.9644,0.9716052913
96,288453.1852,0.9719459685
97,270185.547,0.9722820896
98,268612.5191,0.972603564
99,291919.8896,0.9729736188
100,266453.6472,0.9732925095
101,257136.7156,0.9736285942
102,278179.3366,0.9739812307
103,243861.3044,0.9742807632
104,241365.7165,0.9746000356
105,252833.0518,0.9749205417
106,239625.8673,0.9752488331
107,223936.7337,0.9755450509
108,206239.6161,0.9758146117
109,201347.935,0.9760857056
110,293098.73,0.9764826402
111,235454.4451,0.97681634
112,253492.3928,0.9771656246
113,234025.9778,0.9774936147
114,232802.2946,0.9778345537
115,207130.172,0.9781281107
116,215582.3361,0.9784319491
117,214026.4805,0.9787420206
118,214730.4136,0.9790598748
119,233841.1824,0.9794078589
120,263672.7142,0.9797981598
121,302462.0785,0.9802363527
122,245320.6367,0.9806091458
123,203755.0631,0.9809396311
124,209051.8491,0.9812490796
125,203537.2208,0.9815728013
126,216108.1861,0.9818943965
127,224032.4252,0.9822542432
128,195192.9196,0.982570841
129,202497.7901,0.9828849374
130,177663.1704,0.9831786978
131,185633.0677,0.9834739433
132,201432.6127,0.9838165218
133,162385.4508,0.9840862995
134,158182.2945,0.9843353942
135,154382.299,0.9846028159
136,161543.3271,0.9848737385
137,165859.1323,0.9851584286
138,209475.8276,0.9855146862
139,180596.5032,0.9858175627
140,170023.2143,0.9861227873
141,127429.2751,0.9863415143
142,126764.2966,0.9865650884
143,110867.9594,0.986761499
144,119371.2836,0.9869757936
145,123616.3249,0.9872035488
146,116915.6155,0.9874125145
147,127933.117,0.9876421792
148,117361.5665,0.9878621066
149,106953.9356,0.9880608467
150,111563.5972,0.9882690307
151,102600.6783,0.9884548345
152,98542.81581,0.9886441522
153,97975.05714,0.9888269793
154,86879.45105,0.988997994
155,84293.695,0.989157282
156,93437.3635,0.9893367913
157,90537.64171,0.9895185712
158,90289.17062,0.9896891886
159,77404.43755,0.9898415526
160,75046.95185,0.989989867
161,68457.18779,0.9901321653
162,77826.7568,0.9902890373
163,70103.03834,0.9904264771
164,72822.02999,0.9905755548
165,76469.93932,0.9907308961
166,69792.41004,0.990879267
167,65258.5573,0.9910113196
168,68452.24027,0.9911492958
169,60671.03852,0.9912801864
170,62801.26279,0.9914132004
171,70741.55279,0.991563589
172,67542.76214,0.9917050501
173,63416.16027,0.9918438602
