freq_radius,radial_mean_power,cumulative_energy_fraction
0,6.121572786e+11,0.9586073825
1,460024929,0.9643703889
2,186841237.3,0.969051732
3,28569915.28,0.9699465129
4,30665845.13,0.9710990209
5,23654708.29,0.972580704
6,24214965.75,0.9739458029
7,16358706.2,0.9751754145
8,9414453.962,0.9760009978
9,8084700.339,0.9767099708
10,7117369.97,0.9774678608
11,6031084.406,0.9780723008
12,5593468.827,0.9787730279
13,5711973.961,0.9795959369
14,4457856.263,0.9802102454
15,3043766.838,0.9806678183
16,2925721.701,0.9811076454
17,3011616.976,0.9816547061
18,3193943.397,0.9822548926
19,3105191.134,0.9828384013
20,2672084.87,0.9833572607
21,1678979.671,0.9837358651
22,2323159.111,0.9842306263
23,1878563.914,0.9846424693
24,1806123.033,0.9850723706
25,1763577.186,0.9855363316
26,1544892.239,0.9859621149
27,1640787.194,0.9863834948
28,1587479.828,0.9868011282
29,1619627.557,0.9872880892
30,1480526.212,0.9877239539
31,1166693.755,0.9881039665
32,1092006.136,0.9884459718
33,1194855.988,0.9888351573
34,824403.0119,0.9891294992
35,847474.7568,0.9894055366
36,821304.2388,0.9897039166
37,862613.3158,0.9900119011
38,682006.0088,0.9902853057
39,639484.4873,0.990533653
40,571029.9654,0.9907446852
41,738145.451,0.9910590896
42,690846.1258,0.9913446927
43,527326.7462,0.9915825136
44,506716.3091,0.9918015175
45,548035.4788,0.9920349468
46,502706.4136,0.9922679618
47,384249.8549,0.9924436628
48,367061.0656,0.9926230001
49,341010.1365,0.9927853375
50,295657.144,0.9929409002
51,301658.2817,0.9930939519
52,246163.2337,0.9932142214
53,254029.5744,0.9933510637
54,202643.3757,0.9934538784
55,207882.115,0.9935762788
56,213792.7232,0.993691446
57,224642.8252,0.9938180866
58,158979.7564,0.9939087059
59,177660.0079,0.994011086
60,157846.1506,0.9941079802
61,132532.3688,0.9941885053
62,145783.9232,0.9942779951
63,169441.5841,0.9943841299
64,180352.5742,0.99449371
65,158847.5099,0.9946011688
66,119211.7198,0.9946758406
67,137731.032,0.9947672889
68,109786.7767,0.9948449969
69,128564.4466,0.9949287483
70,119527.0254,0.995012602
71,140187.6953,0.9951065594
72,107570.3913,0.9951874153
73,93617.72752,0.995255438
74,134684.9959,0.9953533002
75,109553.2945,0.9954349604
76,127702.5721,0.9955309488
77,97239.50039,0.9956064757
78,86898.74314,0.9956712494
79,90383.67922,0.9957414514
80,112405.8335,0.9958329827
81,112313.9798,0.9959209217
