freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.53631427e+11,0.8870912008
1,373052868,0.8945776828
2,212745036.6,0.9031164828
3,112006634.7,0.9087358985
4,85129509.93,0.9138610746
5,55812189.13,0.9194613124
6,46239107.14,0.923637013
7,35598644.72,0.9279234073
8,35626783.99,0.9329281536
9,27326610.82,0.9367669159
10,20470645.08,0.9402587842
11,11112422.8,0.9420428306
12,9734850.907,0.9439964354
13,10105996.07,0.9463287352
14,9875583.703,0.9485087672
15,6367056.055,0.9500420678
16,6086482.169,0.9515078013
17,4860678.697,0.9529222015
18,3555649.951,0.9539925314
19,3936967.259,0.9551776464
20,3176608.057,0.9561657505
21,2696456.074,0.9571397826
22,2446962.367,0.9579745849
23,3043323.725,0.9590433779
24,1703308.322,0.9596928407
25,1513453.416,0.9603306572
26,1807197.162,0.9611285336
27,1929689.491,0.9619224023
28,1615495.922,0.9626032227
29,1586996.854,0.963367577
30,1999233.806,0.9643104189
31,1398458.102,0.9650400951
32,1593548.694,0.9658395846
33,1269097.293,0.966501764
34,1182658.14,0.9671781763
35,1219666.821,0.9678145643
36,1396592.61,0.9686273483
37,1026947.679,0.9692147032
38,779406.1039,0.9697152229
39,808385.5708,0.9702181298
40,929743.0192,0.9707685475
41,753201.71,0.97128247
42,707349.9621,0.9717509118
43,628471.4351,0.9722049532
44,659810.0565,0.9726617736
45,770529.6525,0.9731875192
46,779097.1306,0.9737660157
47,678492.0865,0.9742630027
48,780418.6449,0.9748738036
49,744005.9684,0.975441175
50,732218.5829,0.9760583345
51,598817.5484,0.9765450296
52,540157.1601,0.9769677879
53,614430.3862,0.9774979986
54,477733.1004,0.9778862811
55,449951.8049,0.9783106771
56,427612.2876,0.9786796768
57,420428.9865,0.9790593523
58,456209.1944,0.9794759173
59,542041.1753,0.9799762945
60,337527.9888,0.9803081992
61,350614.6677,0.9806494543
62,282299.9683,0.980927051
63,323120.2123,0.9812512723
64,333770.5376,0.981576133
65,327648.8235,0.9819311996
66,326030.2366,0.9822583408
67,346179.5243,0.9826265415
68,274475.1695,0.9829377554
69,259859.389,0.9832089301
70,290731.9018,0.9835356594
71,332820.3619,0.9838929907
72,253449.6703,0.9841981667
73,255209.9206,0.984495219
74,226710.7227,0.9847590996
75,213118.3529,0.9850135747
76,281033.3764,0.9853519639
77,227407.6404,0.9856349103
78,225910.0917,0.9859046594
79,230487.9034,0.9861914383
80,253008.571,0.9865214703
81,196477.3197,0.9867679039
82,189526.7263,0.9870227351
83,179742.9626,0.987249983
84,184698.1106,0.9874983218
85,171444.2647,0.9877340009
86,156203.542,0.9879471616
87,164594.2774,0.9881750757
88,165388.3255,0.9883924727
89,155755.4478,0.988626902
90,147781.4359,0.9888315354
