freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.07151112e+11,0.8495056854
1,1559029434,0.8703973579
2,436460571,0.8820948809
3,173936157.4,0.8879219313
4,264040676.8,0.8985367111
5,125843731.1,0.9069685147
6,133880680.3,0.9150417818
7,77920531.12,0.9213067958
8,59382553.81,0.9268770602
9,36933535.28,0.9303415382
10,27270946.98,0.9334477999
11,35386222.24,0.9372413261
12,29099345.05,0.9411407649
13,16238259.85,0.9436431619
14,9325669.014,0.9450178102
15,10264046,0.9466683223
16,12064100.24,0.9486082926
17,9052765.207,0.950367302
18,7025483.552,0.95177947
19,9573013.2,0.9537037081
20,6476521.103,0.9550489252
21,5104444.838,0.9562801573
22,6174079.227,0.9576866582
23,5811008.879,0.959049384
24,4601381.61,0.9602209338
25,4438610.018,0.9614699992
26,4515341.99,0.9628011652
27,3840612.854,0.9638562158
28,4345659.612,0.9650791241
29,4124469.627,0.9664055966
30,4255690.086,0.9677457569
31,3109172.376,0.9688290277
32,4378172.469,0.9702957631
33,2918691.92,0.9713126684
34,2210547.291,0.9721569038
35,1961387.722,0.9728402734
36,1888087.969,0.9735740082
37,1694222.043,0.9742210526
38,1623399.767,0.974917189
39,1307409.105,0.9754603044
40,2096301.817,0.9762889994
41,1809615.923,0.9771134872
42,1552885.277,0.9778001954
43,1430186.31,0.9784901396
44,1652838.621,0.9792542717
45,1300330.865,0.9798467217
46,890589.5577,0.9802882903
47,1096335.866,0.9808245256
48,1130746.932,0.9814154731
49,1173323.358,0.9820129488
50,1033449.784,0.9825945932
51,895070.9272,0.983080364
52,836001.7539,0.9835172727
53,970595.3044,0.9840765478
54,1149888.387,0.9847006125
55,977361.8047,0.9853161749
56,819334.399,0.9857882908
57,742120.0519,0.9862358037
58,639027.4448,0.9866254313
59,497742.1534,0.9869322496
60,492161.213,0.9872554131
61,522909.2403,0.9875952629
62,490553.173,0.9879173705
63,432727.8189,0.9882073076
64,352656.0459,0.9884365062
65,336787.8375,0.9886802138
66,298524.6121,0.9888802317
67,343090.9545,0.9891239029
68,309360.3163,0.9893581272
69,254501.5514,0.9895354696
70,247712.3792,0.989721359
71,266804.0666,0.989912637
72,243855.4051,0.9901087031
73,242603.5882,0.9902972608
74,242154.9562,0.9904854697
75,223402.7266,0.9906635945
76,239795.498,0.9908563963
77,270952.323,0.9910815108
78,279577.2479,0.991304425
79,259158.3315,0.9915197407
80,238761.5158,0.9917277088
81,190588.0168,0.9918873314
82,164857.9344,0.9920353457
83,155664.8497,0.9921667622
84,143457.4378,0.9922955625
85,168752.7784,0.9924504657
86,149591.7,0.992586778
87,125269.9698,0.9927026064
88,118348.0038,0.9928064838
89,118821.4635,0.9929259033
90,152573.9586,0.9930669777
91,119817.3505,0.9931825813
92,97251.53818,0.9932770642
93,105132.5534,0.9933799082
94,101260.1052,0.9934830349
95,95244.64749,0.993575568
96,105459.8356,0.9936815586
97,97298.66628,0.9937845623
98,84114.67716,0.9938702275
99,100808.7688,0.9939789734
100,102445.3747,0.9940833072
101,98169.21481,0.9941924945
102,105392.3208,0.9943061849
103,93590.7994,0.9944040092
104,85829.56395,0.9945006221
105,78060.70027,0.9945848289
106,73882.25938,0.9946709636
107,68687.96967,0.9947482813
