freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.918055942e+11,0.915086346
1,462183911.7,0.9266814133
2,350677880.1,0.944276719
3,82531539.12,0.9494530066
4,69829112.43,0.9547085331
5,49637411.67,0.9609349411
6,32190003.32,0.9645690002
7,23425651.29,0.968095155
8,10066840.09,0.9698630223
9,9542415.671,0.9715387939
10,7969413.519,0.9732382257
11,4338015.495,0.9741088675
12,3139567.213,0.9748965084
13,3168829.62,0.9758107377
14,1865855.008,0.976325645
15,3329422.97,0.9773279703
16,1754347.707,0.9778561179
17,2105556.603,0.9786220555
18,1937683.469,0.9793512318
19,1590409.621,0.9799497243
20,1027083.032,0.9803491129
21,1096074.685,0.980844074
22,879472.3601,0.9812191589
23,859398.8603,0.9815964628
24,636554.8634,0.9818998854
25,636438.3771,0.9822351858
26,770016.4951,0.9826601782
27,585812.9856,0.9829614589
28,491969.0138,0.9832206473
29,434781.4015,0.9834824298
30,523294.1101,0.9837909419
31,438255.4497,0.9840768056
32,400579.6637,0.9843280448
33,359843.1728,0.9845627621
34,294952.8031,0.984773652
35,263438.2848,0.9849454866
36,267766.2051,0.9851402971
37,313654.0518,0.9853645583
38,257595.2427,0.9855713563
39,288711.5451,0.9857958914
40,205339.4913,0.9859478597
41,219379.4778,0.9861349853
42,226455.7511,0.9863224657
43,246641.3101,0.9865452203
44,171095.732,0.9866933073
45,163365.1964,0.986832654
46,143429.7094,0.9869657912
47,192033.5025,0.9871416355
48,169392.1813,0.9873073713
49,180230.9016,0.9874791904
50,162140.6734,0.9876500344
51,242578.5972,0.9878965054
52,174931.8084,0.9880676613
53,152788.6169,0.9882324844
54,144373.7714,0.9883791748
55,147693.3378,0.9885533223
56,122597.824,0.9886855765
57,112403.2572,0.9888124731
58,114851.7168,0.9889435745
59,119633.185,0.9890816345
60,102509.7646,0.9892076488
61,102010.7782,0.9893317701
62,105542.6733,0.9894615127
63,97724.04517,0.9895840956
64,107661.9466,0.9897150929
65,99353.70291,0.9898496902
66,98908.17187,0.9899737584
67,87102.68231,0.9900895737
68,94263.1161,0.9902231867
69,90615.52779,0.9903413995
70,86546.21982,0.9904629886
71,86229.50825,0.9905787245
72,91930.70876,0.9907171035
73,82809.9763,0.9908375985
74,90455.52713,0.9909692184
75,91410.05819,0.9911056671
76,88437.95284,0.9912387887
77,81551.60349,0.9913656364
78,84630.18659,0.9914919647
79,83914.36919,0.9916224875
80,91014.82701,0.9917709046
81,81671.42987,0.9918989632
82,90765.35646,0.9920515277
83,92288.26209,0.9921973908
84,86669.97314,0.9923430714
85,81333.48643,0.9924828429
86,85899.30396,0.9926293831
87,69739.70412,0.9927501055
88,76167.93428,0.9928752673
89,74636.32244,0.9930157006
90,72516.45779,0.9931412296
91,73752.09529,0.9932744483
92,61776.07097,0.9933868096
93,68065.09166,0.9935114635
94,63715.84841,0.9936329476
95,69957.14636,0.993760189
96,62552.05033,0.9938778849
97,62888.6302,0.994002525
98,64182.77781,0.9941248994
99,57922.35129,0.9942418764
100,58359.19872,0.9943531472
101,45767.38836,0.9944484472
102,48989.69401,0.9945473842
103,41547.62163,0.9946286859
104,46378.76005,0.9947264224
105,38756.84856,0.9948046937
106,43989.35901,0.9949007057
107,35886.75179,0.9949763318
108,34476.46358,0.995048121
109,37944.70957,0.9951295119
110,39352.06149,0.9952144152
111,38021.33694,0.9953002628
112,37534.86875,0.9953826579
113,33396.75377,0.995457226
114,33216.96446,0.9955347259
115,31242.16084,0.995605267
116,33061.59406,0.9956795014
117,31521.50616,0.9957522548
118,28080.61441,0.9958184753
119,29525.90713,0.9958884746
120,26051.42219,0.9959499099
121,24697.7767,0.9960069137
122,23929.7497,0.9960648464
123,23763.82557,0.9961262526
124,23343.04148,0.9961813009
125,22311.08424,0.9962378337
126,21429.19758,0.9962886375
127,20902.3578,0.9963421252
128,21180.81186,0.9963968568
129,20959.79336,0.9964486511
130,21405.24737,0.9965050366
131,20922.05098,0.9965580499
132,21361.51195,0.9966159279
133,19500.54533,0.9966675408
134,19314.08578,0.9967159951
135,20111.45279,0.9967714953
136,19994.29581,0.9968249166
137,20057.65393,0.9968797651
138,18068.685,0.9969287214
139,16651.38556,0.996973211
140,16490.9674,0.9970203749
141,17508.88463,0.9970682537
142,16071.78779,0.9971134123
143,14603.56012,0.9971546287
144,13417.16691,0.9971930016
145,15250.29951,0.9972377649
146,15400.89385,0.997281618
147,14568.36852,0.9973232833
148,16237.41471,0.9973717588
149,14968.48788,0.9974160705
150,15287.23598,0.9974615175
151,13461.01357,0.9975003535
152,14541.49878,0.9975448604
153,14146.35449,0.9975869158
154,13604.43508,0.9976295785
155,13829.17966,0.9976712114
156,12967.00519,0.9977108993
157,12082.3472,0.9977495466
158,11844.53721,0.9977852047
159,12227.34298,0.997823549
160,11704.1852,0.9978603995
161,10734.29699,0.9978959467
162,9754.940518,0.9979272719
163,9475.387177,0.9979568673
164,9356.863537,0.9979873836
165,8866.118657,0.998016077
166,9473.446642,0.9980481619
167,8840.696168,0.9980766621
168,8655.997613,0.9981044583
169,8212.937045,0.9981326861
170,7957.793152,0.9981595379
171,7795.093819,0.9981859385
172,7893.418578,0.998212276
173,7229.185357,0.9982374854
174,8052.955638,0.9982654665
175,7192.833976,0.9982898273
176,6941.026513,0.9983140318
177,7501.722104,0.9983395329
178,7211.478618,0.9983655852
179,6675.371845,0.9983893658
180,6039.089642,0.9984103493
181,6053.837531,0.9984320676
182,6520.508156,0.9984559508
183,6557.960749,0.9984801357
184,6471.848322,0.9985027854
185,6673.681567,0.9985272296
186,6791.094108,0.9985527854
187,6400.344442,0.9985763088
188,6032.920314,0.9985987088
189,5576.050479,0.9986191326
190,5395.757146,0.9986393022
191,5226.851306,0.9986594305
192,5025.219403,0.9986779629
193,4658.63085,0.9986961952
194,4521.793456,0.9987131546
195,4554.797667,0.9987309805
196,4809.859067,0.9987498047
197,4992.658689,0.9987689685
198,4624.962139,0.998787243
199,4756.727102,0.9988056206
200,4450.40758,0.9988237079
201,4955.254695,0.9988429146
202,4181.054178,0.9988591729
203,4065.795181,0.998876105
204,3633.133956,0.9988905518
205,3707.350775,0.9989058981
206,3975.5403,0.9989216565
207,3680.794339,0.9989367083
208,4033.666482,0.998953456
209,3566.493061,0.9989680404
210,2935.774713,0.9989801192
211,3160.811392,0.9989934808
212,3071.615979,0.9990063497
213,2930.438369,0.9990187006
214,3007.264709,0.9990313754
215,2939.477348,0.9990435801
216,2893.191218,0.999056137
217,3066.555001,0.9990693693
218,2936.827337,0.9990818577
219,2849.549561,0.9990942252
220,2979.565952,0.999107157
221,2704.312619,0.9991189958
222,2639.048359,0.9991307807
223,2937.274764,0.9991434553
224,2469.79621,0.9991545463
225,2714.807045,0.9991664311
226,2481.658499,0.9991775132
227,2463.898758,0.9991884541
228,2495.845217,0.9991998187
229,2346.736615,0.9992108281
230,2328.101192,0.9992210492
231,2297.672049,0.999231425
232,2225.752439,0.9992415597
233,2307.235093,0.9992522101
234,2334.940371,0.9992632814
235,2456.10249,0.9992744034
236,2320.257987,0.9992851721
237,2218.898966,0.9992957488
238,2268.162388,0.9993060767
239,2135.583311,0.9993163634
240,2190.313151,0.9993264191
241,2203.060738,0.9993372519
242,1972.738558,0.9993468285
243,1747.384434,0.9993551138
244,1956.645304,0.9993646368
245,1869.025311,0.9993733816
246,1907.571866,0.9993830486
247,1881.155152,0.999392157
248,1805.429931,0.9994008081
249,1599.167407,0.9994086514
250,1654.57525,0.9994167042
251,1663.419532,0.9994250504
252,1606.401417,0.9994330098
253,1506.582752,0.9994405313
254,1575.19733,0.9994485139
255,1692.368881,0.9994571328
256,1413.25217,0.999464206
257,1313.745835,0.9994707648
258,1416.995049,0.9994781235
259,1308.036348,0.9994847686
260,1321.791174,0.9994915665
261,1351.04778,0.9994985149
262,1256.096785,0.9995049907
263,1355.211296,0.9995120284
264,1322.570022,0.9995188303
265,1485.271754,0.9995267671
266,1410.731342,0.9995341463
267,1393.562611,0.9995414182
268,1282.343652,0.9995483028
269,1211.564152,0.9995546706
270,1228.091332,0.9995611715
271,1275.500287,0.9995680833
272,1211.207817,0.9995746467
273,1288.212786,0.9995815466
274,1292.662278,0.9995883893
275,1236.256811,0.9995952435
276,1211.772667,0.9996017948
277,1206.966177,0.9996084564
278,1192.695852,0.9996149494
279,1010.42729,0.9996204882
280,980.0628628,0.9996259712
281,1001.763289,0.9996314499
282,897.5613843,0.9996364489
283,960.360174,0.9996417855
284,982.4445989,0.9996473804
285,943.8284909,0.999652708
286,887.1875755,0.9996576158
287,898.240983,0.9996627311
288,860.9635907,0.9996676126
289,880.7939164,0.9996726728
290,738.4323751,0.99967698
291,750.0152961,0.9996811007
292,773.0033823,0.9996857162
293,726.9991263,0.999689902
294,714.6300485,0.9996940434
295,716.7301681,0.999698179
296,635.2127004,0.9997019399
297,627.1524699,0.9997056609
298,683.8383531,0.9997095896
299,626.6575516,0.9997132684
300,621.0637207,0.9997169377
301,636.440656,0.9997207059
302,593.8633548,0.9997243411
303,657.4564947,0.9997281925
304,666.2113842,0.9997321536
305,621.60009,0.9997359742
306,661.0493543,0.9997399047
307,566.3615269,0.9997433503
308,599.2146352,0.9997469131
309,613.7023921,0.9997508083
310,621.3779154,0.9997545574
311,589.0205619,0.9997581778
312,631.577439,0.9997620122
313,616.1833381,0.999765815
314,598.3571261,0.9997696204
315,582.3559138,0.9997732291
316,612.7656576,0.9997770108
317,590.3293597,0.9997807058
318,533.356605,0.9997840778
319,496.3881702,0.9997871786
320,475.6291811,0.9997901438
321,449.875222,0.9997929879
322,468.746006,0.9997960102
323,466.1334633,0.9997989922
324,491.1539514,0.9998020665
325,488.1648505,0.9998052262
326,466.4570714,0.9998082454
327,461.7274666,0.9998112629
328,423.1943781,0.9998140233
329,384.9773073,0.9998164765
330,374.0058387,0.9998189254
331,407.8686034,0.99982155
332,382.1687976,0.9998240236
333,362.8873343,0.9998264817
334,360.5808601,0.9998288292
335,367.5496305,0.9998312727
336,343.7368283,0.9998335235
337,350.3593797,0.9998358
338,325.9809416,0.999838053
339,312.4403169,0.9998401302
340,318.7578975,0.9998423053
341,311.5161275,0.9998443803
342,331.104336,0.9998465732
343,330.7550262,0.99984888
344,330.1090627,0.9998510622
345,315.8714488,0.9998532573
346,287.4216588,0.999855197
347,269.4939577,0.9998570495
348,268.0833208,0.9998588822
349,281.8435086,0.9998607842
350,277.7800706,0.9998627216
351,299.8645553,0.9998648167
352,281.2727124,0.9998667784
353,293.307231,0.9998688314
354,268.5634946,0.9998706707
355,262.6830747,0.9998725456
356,259.5641997,0.9998743364
357,288.4835306,0.9998764135
358,273.4607504,0.9998783241
359,255.2939873,0.9998801046
360,247.9189893,0.9998819021
361,242.187176,0.9998835942
362,241.7446481,0.9998853409
363,240.7595187,0.9998870321
364,248.87005,0.9998888552
365,260.3383446,0.9998907395
366,254.3280112,0.9998925771
367,216.726336,0.9998941321
368,196.4462899,0.9998955589
369,188.0463499,0.9998969458
370,189.9389232,0.9998983277
371,191.0021836,0.9998997125
372,184.4056314,0.9999010611
373,192.5040171,0.9999024761
374,203.324926,0.9999040064
375,195.6345484,0.9999054371
376,184.9170862,0.9999067964
377,164.9143883,0.9999080375
378,159.3516972,0.9999092149
379,153.0692737,0.9999103669
380,156.7105297,0.9999115149
381,164.3113676,0.9999127722
382,164.9239869,0.9999140238
383,152.1456538,0.9999151689
384,161.4556064,0.9999163921
385,158.1294411,0.9999175882
386,165.7282382,0.9999188688
387,162.0860175,0.9999200887
388,151.329645,0.9999212504
389,152.9978851,0.9999224307
390,157.8655087,0.9999236347
391,163.2044339,0.999924908
392,186.7866769,0.9999263256
393,171.8005991,0.999927666
394,142.9323856,0.9999287991
395,124.7442054,0.9999297536
396,120.9508188,0.9999307049
397,127.3564026,0.9999316794
398,124.7547505,0.9999326872
399,132.1136891,0.9999337229
400,129.495468,0.9999347365
401,129.2934927,0.9999357745
402,127.7720704,0.999936773
403,128.5135503,0.9999378079
404,132.702929,0.9999388533
405,130.7275609,0.9999398897
406,119.3250679,0.9999408641
407,116.0298751,0.999941781
408,119.338254,0.999942754
409,114.0228384,0.9999436565
410,123.8255348,0.9999446599
411,125.2851985,0.9999456877
412,117.0889116,0.9999466156
413,113.2589985,0.9999474858
414,106.3586166,0.9999482876
415,95.99904319,0.99994903
416,93.96937904,0.9999497207
417,90.5223571,0.9999503821
418,91.83963604,0.9999510428
419,90.45913207,0.9999517123
420,84.20505523,0.9999523249
421,89.22451795,0.999952964
422,88.04778595,0.9999535974
423,88.30823157,0.9999542199
424,91.12424714,0.999954864
425,88.26153647,0.9999554879
426,79.58906372,0.9999560395
427,75.52488518,0.9999565729
428,71.90826786,0.999957073
429,70.13757117,0.9999575556
430,72.36472033,0.9999580449
431,76.26136226,0.9999585614
