freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.011363904e+11,0.785076544
1,235510857.5,0.7924305211
2,195345194.3,0.8046300782
3,139927529.3,0.8155533945
4,135847183.2,0.8282791399
5,83729501.79,0.8413516759
6,47282638.93,0.8479956137
7,33518701.64,0.854275471
8,30981832.4,0.8610474637
9,20542031.81,0.8655375302
10,18776771.85,0.8705212222
11,16655151.59,0.8746817642
12,12031653.62,0.8784387249
13,9961195.478,0.882015739
14,13524505.62,0.8866611636
15,10100278.98,0.8904458156
16,9456335.584,0.8939891771
17,6122032.133,0.8967610604
18,6586413.394,0.8998460349
19,5360933.674,0.9023570136
20,5096268.664,0.9048235945
21,5399570.509,0.9078584852
22,4186470.99,0.9100808141
23,3805648.935,0.912160406
24,3529249.913,0.9142542646
25,3840155.199,0.9167724019
26,3317934.793,0.9190517039
27,2767423.791,0.9208232027
28,3523726.06,0.9231338453
29,2353970.184,0.9248979466
30,2811638.756,0.9269611342
31,2545747.089,0.9290279413
32,1947442.002,0.9305481944
33,1680475.195,0.9319125161
34,1908332.908,0.9336108001
35,1759443.947,0.9350392339
36,1991071.874,0.9368422362
37,1432632.153,0.9381171796
38,1405293.428,0.9395213775
39,1600426.306,0.9410705819
40,1363187.005,0.9423262902
41,978696.7976,0.943365345
42,1085916.112,0.944484323
43,984506.4725,0.9455910294
44,884586.8819,0.9465439811
45,931383.3365,0.9475328045
46,804393.9981,0.94846216
47,793292.2048,0.9493663036
48,696708.9206,0.9502147557
49,595122.9147,0.9509209132
50,586773.6203,0.9516904532
51,675336.8966,0.9525445102
52,600950.2467,0.9532763473
53,517136.4523,0.9539707077
54,571841.6291,0.9546938806
55,548678.4027,0.9554991238
56,494138.7964,0.9561626052
57,487714.058,0.9568479184
58,444237.8827,0.9574790768
59,413341.873,0.9580727925
60,412627.0255,0.9587041351
61,395801.2143,0.9593035537
62,423849.8759,0.9599520679
63,363124.8111,0.9605190081
64,339179.5186,0.9610326763
65,310256.798,0.9615558265
66,335212.3171,0.9620791875
67,282593.484,0.9625468681
68,294388.6094,0.9630662428
69,321214.6708,0.9635878097
70,273977.8087,0.9640668971
71,264147.0792,0.9645081737
72,241241.7499,0.9649601494
73,254918.2724,0.9654218286
74,248173.4311,0.9658712923
75,248729.2415,0.9663334127
