freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.863433835e+11,0.8920355024
1,583552831.9,0.9005981742
2,637884770.3,0.9193179802
3,360843404.7,0.9325549291
4,262298712.7,0.9441013273
5,98573502.97,0.9513333421
6,54472645.64,0.9549301737
7,21320593.63,0.9568072401
8,11629063.24,0.9580017009
9,9692577.132,0.9589972586
10,7749059.663,0.9599637479
11,16065395.46,0.9618496125
12,9970273.574,0.9633125851
13,9114987.049,0.9648506796
14,5642829.506,0.9657614706
15,4551434.35,0.9665628877
16,3453908.744,0.9671710525
17,2418399.66,0.9676855996
18,2196253.024,0.9681689953
19,3363694.402,0.968909345
20,3696473.447,0.9697500592
21,3687735.685,0.9707240647
22,2908554.044,0.9714495944
23,2319477.571,0.972045198
24,1915323.648,0.9725791779
25,1665230.016,0.9730923023
26,1709151.49,0.9736440396
27,1830239.046,0.974194582
28,1895396.741,0.97477863
29,2161428.54,0.9755397992
30,1662897.03,0.9761132054
31,1569134.299,0.976711841
32,1196142.949,0.9771506265
33,1082064.526,0.9775634416
34,1149924.599,0.9780443289
35,1172154.719,0.9784915141
36,1075149.505,0.9789490193
37,1262692.978,0.9794770652
38,1055724.174,0.9799727774
39,1000370.938,0.9804278198
40,916201.341,0.9808244101
41,748863.3051,0.9811980133
42,693993.1029,0.9815340589
43,834886.3973,0.9819750796
44,649966.8598,0.9823041126
45,772706.1866,0.9826896108
46,659352.5805,0.9830475824
47,579408.4647,0.9833579003
48,500703.216,0.9836444329
49,423672.5992,0.9838806673
50,450501.8887,0.9841583028
51,351813.0049,0.9843673749
52,400120.4592,0.984596348
53,382761.1874,0.9848378526
54,443947.179,0.9851016773
55,380787.7249,0.9853642865
56,304210.1339,0.985556229
57,270105.7902,0.98573458
58,243662.4112,0.9858972581
59,324964.4969,0.9861166007
60,282729.5443,0.9863198815
61,321692.0081,0.9865488159
62,301037.5384,0.9867652601
63,320630.3058,0.987000496
64,304766.2582,0.9872173851
65,216951.5547,0.987389289
66,213543.6444,0.9875459589
67,207677.197,0.9877074669
68,176022.7787,0.9878533975
69,264597.9964,0.9880552894
70,216423.1877,0.9882331259
71,225907.5571,0.9884104688
72,245428.4543,0.9886265442
73,204508.9628,0.9888005923
74,195112.0099,0.9889666432
75,187224.5978,0.9891301022
76,179191.8174,0.9892878628
77,148362.0758,0.9894228348
78,211507.8914,0.9896074948
79,176558.377,0.9897681183
80,233202.6798,0.9899905394
81,165825.7224,0.9901426155
82,157736.3639,0.9902976884
83,158338.1194,0.9904440594
84,132712.0798,0.9905745305
85,126710.9444,0.9907018907
86,124574.7096,0.9908261898
87,135865.427,0.9909637482
88,149878.181,0.9911077968
89,119955.8749,0.9912398083
90,94246.51652,0.9913352292
91,103473.3026,0.9914445467
92,101454.7012,0.991552476
93,102733.7603,0.9916625197
94,104130.1014,0.9917786429
95,93150.40404,0.991877738
96,105292.2217,0.9919936121
97,108344.7803,0.9921192048
98,97211.43375,0.9922276125
99,104814.8064,0.9923514202
100,99105.32797,0.9924619399
101,99822.75322,0.9925835127
102,97022.33291,0.9926981159
103,85945.794,0.9927964827
104,116163.7628,0.9929396616
105,71165.96988,0.9930237232
106,63256.39819,0.9931044751
107,81632.83442,0.9932050925
108,58330.10322,0.993276132
109,69623.50589,0.9933634796
110,85347.88929,0.9934711808
111,74069.27118,0.9935689968
112,96567.49821,0.9936929815
113,120778.3324,0.9938507092
114,59299.25998,0.9939316303
115,86173.83697,0.9940454315
116,77766.97747,0.9941475601
117,77672.68382,0.9942524142
118,66080.57751,0.9943435587
119,75956.63467,0.9944488826
120,65468.8528,0.9945391834
121,76068.11867,0.9946418714
122,60212.56036,0.994727131
123,49407.04061,0.9948018026
124,100351.9488,0.9949402174
125,41333.7836,0.9950014744
126,45221.43417,0.9950641799
127,39172.68519,0.9951228089
128,46086.26141,0.9951924616
129,44710.44632,0.9952570827
130,35352.45977,0.9953115503
131,32167.58261,0.9953592229
132,31400.27707,0.9954089835
133,47033.31437,0.9954817929
134,34620.44438,0.9955325927
135,39758.07188,0.9955967649
136,40232.92572,0.9956596373
137,38179.86629,0.995720702
138,33582.34712,0.9957739207
139,28211.06574,0.9958180064
140,28372.27939,0.9958654665
141,27549.6084,0.9959095292
142,34492.71864,0.995966215
143,39336.75679,0.9960311502
144,31466.46507,0.9960837861
145,33281.56429,0.9961409232
146,31230.64588,0.9961929355
147,33597.42629,0.996249136
148,27268.88593,0.996296751
149,26320.42605,0.9963423236
150,19204.13778,0.9963757156
151,32005.10367,0.9964297221
152,31519.2653,0.9964861463
153,28888.87579,0.996536378
154,24346.98474,0.9965810344
155,22352.28087,0.9966203924
156,18927.11742,0.9966542747
157,18383.07256,0.9966886667
158,18673.38781,0.9967215468
159,19203.00443,0.9967567684
160,17219.06992,0.9967884774
161,22466.76848,0.9968319928
162,20066.76216,0.996869682
163,17216.53071,0.9969011337
164,17912.71643,0.9969353028
165,12519.32045,0.9969590002
166,16045.89177,0.9969907855
167,17900.26919,0.9970245369
168,13053.55216,0.9970490539
169,15794.47108,0.9970808047
170,17262.14507,0.9971148727
171,19371.51071,0.9971532457
172,14926.46699,0.9971823756
173,14273.64654,0.997211488
174,12440.23855,0.9972367698
175,16135.76641,0.9972687332
176,16297.13497,0.9973019727
177,14534.63416,0.997330871
178,10064.67863,0.9973521373
179,13545.8579,0.9973803617
180,16976.67675,0.9974148627
181,13823.11818,0.9974438675
182,14694.47391,0.9974753476
183,17222.87977,0.9975124971
184,11135.06249,0.9975352898
185,10803.09422,0.9975584333
186,10975.75218,0.997582591
187,11932.37592,0.9976082414
188,12321.88389,0.9976350002
189,9135.514523,0.9976545713
190,11703.35399,0.9976801587
191,14182.60093,0.997712103
192,15442.5074,0.9977454122
193,9217.825858,0.9977665122
194,11709.6641,0.9977921993
195,9282.577913,0.9978134475
196,8326.579794,0.9978325074
197,10546.90995,0.9978561854
198,7090.749078,0.9978725725
199,7573.630634,0.9978896866
200,8877.808215,0.9979107899
201,7932.682318,0.9979287735
202,7166.409648,0.9979450726
203,6468.146157,0.9979608275
204,6145.74235,0.9979751208
205,6555.722025,0.9979909929
206,6381.135672,0.9980057869
207,7976.986855,0.9980248659
208,5206.081721,0.9980375085
209,5490.57852,0.9980506406
210,8202.549503,0.9980703795
211,6631.479403,0.9980867755
212,7128.360694,0.9981042432
213,6420.765659,0.9981200712
214,12784.74084,0.9981515871
215,8332.138232,0.9981718212
216,8937.208901,0.9981945082
217,15441.41419,0.9982334795
218,6604.047109,0.9982499046
219,6829.682019,0.9982672417
220,10023.19446,0.9982926855
221,10440.96031,0.9983194195
222,13903.52662,0.9983557335
223,12149.65068,0.998386397
224,11098.14487,0.9984155466
225,16212.90863,0.9984570597
226,13783.54703,0.9984930604
227,5300.348197,0.9985068263
228,18691.19159,0.9985566049
229,5862.798014,0.9985726919
230,5061.391281,0.9985856888
231,4772.745328,0.9985982946
232,4662.444188,0.9986107116
233,6843.719781,0.998629189
234,7903.21036,0.9986511066
235,6793.642155,0.9986690999
236,8075.477438,0.9986910213
237,13121.39154,0.9987276029
238,4330.329552,0.9987391355
239,8369.837244,0.9987627157
240,9248.477574,0.9987875499
241,4537.761342,0.9988006004
242,3696.816886,0.9988110967
243,4725.104902,0.9988242007
244,3470.120317,0.9988340788
245,4443.500226,0.9988462388
246,6098.048193,0.9988643135
247,3314.714247,0.9988737006
248,3762.912341,0.9988842466
249,2693.189346,0.9988919724
250,3253.248437,0.9989012332
251,3055.227194,0.9989101993
252,3360.295479,0.9989199374
253,3300.817688,0.9989295757
254,4012.143252,0.9989414678
255,5196.305013,0.998956946
256,3583.459827,0.9989674359
257,2475.545557,0.9989746645
258,2338.29449,0.9989817668
259,3397.803533,0.9989918629
260,2456.537828,0.9989992522
261,3147.415523,0.9990087198
262,3556.078189,0.9990194427
263,3057.679498,0.99902873
264,3564.094518,0.9990394509
265,2430.130748,0.9990470461
266,2537.346963,0.9990548089
267,2718.384026,0.9990631055
268,2629.003817,0.9990713608
269,2992.935684,0.9990805613
270,3476.032782,0.9990913234
271,2370.907424,0.9990988378
272,2421.89315,0.9991065139
273,2126.357044,0.9991131753
274,3121.235484,0.9991228388
275,2748.260329,0.9991317509
276,3063.431213,0.9991414378
277,2517.772555,0.9991495655
278,2651.465108,0.9991580081
279,3411.602417,0.9991689461
280,3577.409785,0.999180652
281,2313.684035,0.999188053
282,2630.431764,0.9991966215
283,2304.35345,0.999204111
284,2792.836541,0.9992134135
285,2243.541937,0.9992208206
286,2965.544557,0.9992304155
287,1794.325578,0.9992363922
288,1888.563347,0.999242655
289,1791.213366,0.9992486738
290,1654.572175,0.9992543185
291,1880.090704,0.9992603601
292,1849.759793,0.9992668199
293,2036.298457,0.9992736772
294,2772.514095,0.9992830748
295,1876.635171,0.9992894082
296,1704.73035,0.9992953115
297,1727.842836,0.9993013075
298,1576.226375,0.999306604
299,1566.642342,0.9993119831
300,1919.158811,0.9993186149
301,1569.047376,0.9993240484
302,1602.590415,0.9993297861
303,1508.475443,0.9993349545
304,1908.070699,0.99934159
305,1391.975891,0.9993465941
306,1586.119307,0.9993521099
307,1361.881982,0.9993569559
308,1556.049703,0.9993623672
309,1615.651933,0.9993683651
310,2116.100475,0.9993758327
311,1221.81336,0.9993802251
312,1293.545255,0.9993848184
313,1792.972737,0.9993912904
314,1210.834769,0.9993957943
315,1195.383844,0.9994001267
316,1321.203464,0.9994048958
317,1134.244207,0.9994090483
318,1504.308815,0.9994146107
319,1369.778798,0.9994196154
320,1200.009846,0.9994239911
321,1216.963943,0.999428491
322,1331.736022,0.9994335131
323,1122.291812,0.9994377123
324,1812.926308,0.9994443495
325,1886.397704,0.9994514908
326,2769.089672,0.9994619739
327,1694.979016,0.9994684527
328,1805.355771,0.9994753403
329,2112.116697,0.9994832122
330,2223.050164,0.9994917259
331,1487.596635,0.9994973248
332,1916.250851,0.9995045792
333,1460.131109,0.999510364
334,1436.357194,0.9995158332
335,1702.526004,0.9995224534
336,2769.835568,0.9995330612
337,4461.737214,0.9995500175
338,3429.202728,0.9995638801
339,3790.236638,0.9995786182
340,3126.778032,0.9995910976
341,4277.843084,0.9996077631
342,1809.677066,0.9996147734
343,2557.329759,0.9996252052
344,2542.067423,0.999635034
345,1673.232136,0.9996418348
346,1673.968815,0.9996484422
347,1449.012094,0.999654268
348,1527.281397,0.9996603748
349,1910.229795,0.9996679147
350,2401.532792,0.999677711
351,1495.386273,0.9996838219
352,1531.860557,0.9996900707
353,1110.540555,0.9996946171
354,942.3191891,0.9996983918
355,792.5333514,0.9997017003
356,1072.791812,0.9997060292
357,1005.704328,0.9997102645
358,1180.542077,0.9997150888
359,1042.959886,0.9997193432
360,813.4639593,0.9997227928
361,838.5188633,0.9997262194
362,725.5450638,0.9997292855
363,626.7323725,0.9997318605
364,793.7924608,0.9997352616
365,563.9709898,0.999737649
366,702.2679849,0.9997406168
367,910.6892532,0.9997444385
368,680.3647721,0.9997473287
369,638.1990579,0.9997500819
370,614.5993951,0.9997526971
371,700.0059966,0.9997556656
372,732.3854577,0.9997587982
373,739.9155454,0.9997619793
374,677.4469151,0.9997649614
375,530.1933613,0.9997672292
376,609.5459707,0.9997698498
377,751.3270403,0.9997731572
378,575.1938857,0.9997756428
379,583.4324523,0.999778211
380,623.4656909,0.9997808823
381,586.0231861,0.999783505
382,584.7128729,0.9997861004
383,578.6644701,0.9997886477
384,748.0429872,0.9997919625
385,585.6480213,0.9997945534
386,701.1377463,0.9997977221
387,554.8434635,0.9998001645
388,684.4647448,0.9998032378
389,528.5601786,0.9998056227
390,568.153782,0.9998081571
391,664.4784601,0.9998111894
392,523.2535203,0.9998135119
393,523.788416,0.9998159022
394,565.6619085,0.999818525
395,614.7387656,0.9998212762
396,538.9054702,0.9998237552
397,827.8726581,0.9998274603
398,738.0633758,0.9998309475
399,485.913709,0.9998331756
400,579.6185325,0.9998358291
401,490.4023864,0.9998381318
402,598.7772878,0.9998408687
403,420.0890617,0.9998428474
404,480.9495914,0.9998450633
405,724.7296939,0.9998484237
406,475.110005,0.9998506929
407,562.3737651,0.9998532923
408,491.7648897,0.9998556374
409,542.6988164,0.9998581498
410,455.0344257,0.9998603064
411,374.2250473,0.999862102
412,382.6352139,0.9998638755
413,256.9758861,0.9998650303
414,299.4331499,0.9998663506
415,339.003129,0.9998678839
416,358.9264722,0.9998694271
417,437.7085106,0.9998712977
418,384.3667118,0.9998729149
419,320.2968296,0.9998743014
420,339.2152776,0.9998757448
421,292.6382208,0.9998769707
422,265.4285614,0.9998780876
423,237.6647567,0.9998790675
424,253.4557342,0.9998801153
425,275.3990139,0.9998812539
426,279.5395717,0.999882387
427,271.7752293,0.9998835096
428,234.5887657,0.9998844639
429,310.5359876,0.9998857136
430,236.6867543,0.9998866496
431,217.542264,0.9998875114
432,221.2658053,0.9998884311
433,182.1247761,0.9998891486
434,253.4307863,0.9998901712
435,246.2317592,0.9998911287
436,264.530957,0.9998921748
437,251.3418863,0.9998931779
438,359.8571562,0.9998945772
439,410.1103327,0.999896208
440,571.9194484,0.999898436
441,440.5221096,0.9999001555
442,637.0976579,0.9999026258
443,526.4758208,0.9999046034
444,293.1597062,0.9999057713
445,333.3831617,0.9999070517
