freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.565780676e+11,0.6515356156
1,923960644,0.6822930915
2,350701961.3,0.7056419369
3,144111580.5,0.7176351654
4,197417345.4,0.7373504832
5,74178218.5,0.7496969764
6,81092702.5,0.761844605
7,57832692.39,0.7733956661
8,40518398.21,0.7828373081
9,24145296.3,0.7884636717
10,20578759.75,0.7942865182
11,22574525.39,0.8002983364
12,18186029.32,0.8063522345
13,12394049.09,0.8110969291
14,15375865.9,0.8167272026
15,11408529.09,0.8212845078
16,12077544.65,0.8261090612
17,10109612.25,0.8309888353
18,8430838.303,0.8351986138
19,6684150.754,0.838536217
20,4818897.824,0.8410226493
21,4245589.258,0.8435665942
22,5098407.446,0.8464518258
23,4677628.491,0.8491767912
24,4353924.545,0.8519305869
25,4130481.598,0.8548180551
26,2920280.902,0.8569567288
27,4090855.288,0.859748406
28,4150531.785,0.8626498905
29,3611399.659,0.8655351442
30,2552404.454,0.8675318523
31,2401526.579,0.8696103903
32,2390598.153,0.8715998897
33,2546447.978,0.8738038581
34,1816708.259,0.8755274216
35,1662190.778,0.8769660593
36,1651434.913,0.8785603102
37,1765708.116,0.8802354883
38,1693718.566,0.882039704
39,1632323.129,0.8837241808
40,1698965.885,0.8853925951
41,1728931.246,0.8873494285
42,1529582.307,0.8890297176
43,1679455.908,0.8910423679
44,1333616.474,0.8925739747
45,1162651.261,0.8938898829
46,1513913.54,0.8957545444
47,923309.9629,0.8968764017
48,1021008.253,0.8982019363
49,1069438.023,0.8995547452
50,1187013.779,0.9012143408
51,859670.7116,0.9023733433
52,1103254.857,0.9038056554
53,981940.0172,0.9052112194
54,932434.9685,0.9064683222
55,940677.6132,0.9079400785
56,883183.8629,0.9092042814
57,815062.0217,0.9104252385
58,799483.8218,0.9116361664
59,795074.7816,0.9128536498
60,787210.6044,0.9141377066
61,974734.0591,0.915711418
62,724799.939,0.9168936738
63,769020.672,0.9181736598
64,656002.9076,0.9192327787
65,685499.9459,0.9204650275
66,543743.4634,0.921370054
67,526429.8212,0.9222988355
68,606747.3782,0.923440014
69,604588.8663,0.9244865658
70,661848.7134,0.9257203635
71,526076.7566,0.9266572783
72,497586.7498,0.9276511202
73,462041.2743,0.9285432047
74,483211.7513,0.929476164
75,419784.7297,0.9303076229
76,463437.7427,0.9312332582
77,461031.2091,0.932184781
78,495867.0968,0.9331669348
79,491958.8455,0.9341822892
80,436180.8517,0.9351260832
81,492719.1577,0.9361512078
82,421315.9006,0.9370908876
83,341365.681,0.9378067963
84,314088.6735,0.9385073223
85,306014.3172,0.93920512
86,377921.9482,0.9400605968
87,418715.2967,0.9410223534
88,464377.9592,0.9420348885
89,448180.5806,0.9431538407
90,384370.5007,0.9440367099
91,374801.1369,0.9449350289
92,283785.3896,0.9456199259
93,290778.4335,0.94632654
94,309455.6932,0.9471094454
95,323745.5912,0.9478907836
96,317949.5247,0.9486845938
97,254010.3076,0.9493525926
98,324406.0567,0.9501733215
99,316950.5302,0.9510226674
100,264285.6167,0.9516912951
101,204920.5791,0.9522574834
102,213083.6166,0.9528284926
103,257103.5902,0.9534960675
104,266198.8473,0.9542404269
105,315108.2186,0.9550848358
106,267776.1605,0.9558603476
107,276199.0397,0.95663267
108,249528.7906,0.9573221092
109,233189.2103,0.9579858092
110,248684.3895,0.9586977505
111,213201.286,0.9593364985
112,231259.3732,0.9600101024
113,249773.0341,0.9607501042
114,223502.7276,0.9614420356
115,253216.2475,0.9622006678
116,235760.7567,0.9629030796
117,217543.1089,0.9635693191
118,182405.5691,0.9641400917
119,175344.9075,0.9646916891
120,162135.6505,0.9651990343
121,173929.6761,0.9657317049
122,177895.3101,0.9663031691
123,157329.9184,0.9668426124
124,165928.9171,0.9673618273
125,145521.7716,0.967851095
126,141401.6699,0.9682959143
127,152244.1253,0.9688128516
128,118872.4313,0.9692204342
129,127550.5016,0.9696386646
130,126532.1304,0.9700809345
131,138776.0886,0.9705475221
132,124646.742,0.9709956499
133,137870.9579,0.9714798474
134,137726.5687,0.9719383216
135,134276.4766,0.9724300099
136,111982.2904,0.972827015
137,112981.8666,0.9732369665
138,105568.4846,0.9736165045
139,112187.0263,0.9740142355
140,115148.3059,0.9744512136
141,116485.0218,0.9748738762
142,107978.6514,0.9752764571
143,103577.7708,0.975664354
144,89201.09193,0.9760028645
145,93855.89019,0.9763684127
146,92095.82307,0.9767163757
147,84265.56972,0.9770361563
148,89252.08222,0.9773897159
149,81700.17223,0.9777106399
150,88564.67532,0.9780600022
151,87570.88797,0.9783952414
152,90304.66777,0.978761989
153,78492.34114,0.9790716189
154,73072.22421,0.9793756791
155,71888.82364,0.9796628496
156,74372.08822,0.9799648914
157,72352.4353,0.9802719777
158,71127.57639,0.9805561073
159,74125.29849,0.9808645495
160,68601.16623,0.981151147
161,63743.80789,0.9814312444
162,74212.86615,0.9817474623
163,62971.94725,0.9820084462
164,60269.58023,0.9822692649
165,63757.61574,0.9825430558
166,59216.54789,0.9828091737
167,62195.49194,0.9830752212
168,65905.97252,0.9833560438
169,56466.62892,0.983613563
170,57315.56813,0.9838701839
171,58816.68621,0.9841345048
172,52647.10101,0.9843675947
173,44664.21279,0.9845742619
174,44168.68546,0.9847779012
175,50965.72776,0.9850069401
176,50669.50718,0.9852413946
177,46598.86994,0.9854515846
178,40243.25691,0.9856444937
179,40617.07834,0.9858364906
180,40355.60872,0.9860225497
181,36316.76453,0.986195428
182,35884.67302,0.986369833
183,34191.28269,0.9865371461
184,34556.06232,0.9866976168
185,36464.12133,0.9868748381
186,34405.41724,0.987046635
187,36959.57576,0.9872268794
188,34366.58194,0.9873961943
189,30974.76549,0.9875467365
190,34237.4298,0.9877165548
191,31892.39552,0.9878795192
192,30705.41445,0.9880297744
193,31247.24184,0.9881920427
194,30539.03694,0.9883440252
195,35213.91215,0.9885268925
196,33444.74519,0.9887005725
197,31252.45783,0.9888597468
198,31205.22104,0.989023355
199,28348.41074,0.9891686821
200,25315.4919,0.9893052028
201,26194.38303,0.9894399234
202,30957.96568,0.9895996588
