freq_radius,radial_mean_power,cumulative_energy_fraction
0,6.948480322e+11,0.9375454036
1,459068967.5,0.9425007087
2,113001972.7,0.9449402518
3,74055899.25,0.9469386965
4,79215956.37,0.9495039269
5,46520540.81,0.9520146986
6,53992022.92,0.9546373138
7,40162705.76,0.9572384715
8,29790740.86,0.9594894524
9,16671356.56,0.9607491359
10,22671907.41,0.9628293089
11,28858760.91,0.9653213783
12,11180375.17,0.9665282159
13,13948819.55,0.9682597369
14,13652103.15,0.9698807432
15,10223337.08,0.9712049822
16,9304081.962,0.9724101493
17,8905006.752,0.9738039308
18,8110894.205,0.9751171961
19,6501985.963,0.976169957
20,5178282.797,0.97703634
21,6264315.549,0.9782534746
22,5554604.738,0.979272757
23,4599598.468,0.9801416183
24,4105614.216,0.9809836418
25,3877630.593,0.9818626202
26,3175197.783,0.9826166455
27,2685591.939,0.983210919
28,3966326.706,0.9841100029
29,3128738.916,0.9849205403
30,2290435.304,0.9855015432
31,1472330.958,0.9859147536
32,1626152.978,0.9863535812
33,1634999.319,0.9868124445
34,1551937.858,0.9872898767
35,1371387.415,0.9876747572
36,1319604.285,0.9880878372
37,1197400.821,0.988456201
38,1156553.558,0.9888556931
39,977066.1073,0.9891826407
40,1258211.92,0.9895832935
41,666060.3059,0.9898277407
42,825695.6229,0.9901218619
43,822379.4769,0.9904414328
44,668749.7205,0.9906904763
45,540223.2871,0.9908887407
46,603313.7716,0.9911296965
47,551736.0123,0.991347075
48,517252.9657,0.991564826
49,464835.337,0.9917554928
50,490749.3028,0.9919779782
51,364375.0088,0.992137271
52,444919.3361,0.9923245712
53,332943.6368,0.9924791079
54,462651.6011,0.992681364
55,292966.3629,0.9928299945
56,321791.1887,0.9929793548
57,291657.9849,0.9931210251
58,240722.4263,0.9932392531
59,276658.1245,0.9933766237
60,274691.9294,0.9935219133
61,300514.4859,0.9936792389
62,250653.3395,0.9938118141
63,258493.0165,0.993951326
64,222952.8119,0.9940680465
65,167420.7504,0.9941656343
66,181039.1828,0.9942633434
67,205031.8066,0.9943806411
68,201573.9823,0.9945035761
69,179586.1432,0.9946043779
70,246043.9812,0.9947531061
71,187673.816,0.9948614863
72,163331.066,0.9949672685
73,154044.6422,0.9950637107
74,159695.6046,0.9951636907
75,176096.1458,0.9952767899
76,115838.0091,0.9953518129
77,139531.2189,0.9954451933
78,171527.1069,0.9955553579
79,104510.4719,0.9956253009
80,118790.8032,0.9957086476
81,123297.753,0.9957918293
82,118954.5368,0.995877859
83,109196.5234,0.9959521167
84,113975.3551,0.9960345454
85,95007.43063,0.9961047945
86,86737.67659,0.9961684607
87,87262.65159,0.9962334542
