freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.53412836e+11,0.8757948878
1,1322853889,0.8962362795
2,491408490.3,0.911423253
3,282977781.2,0.9223550341
4,130561361.1,0.92840753
5,42372229.23,0.9316813131
6,48065458.54,0.9350236035
7,42984799.49,0.9390089376
8,29285583.14,0.9421766847
9,18928936.88,0.9442241797
10,21654184.41,0.9470683745
11,12656876.96,0.948633017
12,16639127.68,0.9512041772
13,10822570.46,0.9531273878
14,11016029.29,0.9549998642
15,6851476.731,0.956270333
16,6461582.861,0.9574685039
17,6566331.133,0.9589397637
18,5268785.455,0.9601610018
19,5274373.355,0.9613835351
20,5094903.736,0.9626038341
21,4201242.892,0.9637723884
22,4096370.893,0.9648484739
23,4074844.868,0.9659503879
24,3397643.705,0.9669479272
25,3248450.359,0.9680020571
26,2482050.984,0.9688458424
27,2247822.107,0.9695578988
28,2436636.161,0.970348593
29,2126575.108,0.9711372543
30,2118019.865,0.9719063785
31,1683822.527,0.9725828792
32,1936317.743,0.9733309026
33,1441203.733,0.9739099276
34,1381221.282,0.9745182121
35,1302673.349,0.9750415804
36,1200799.437,0.9755796855
37,1142912.418,0.9760830196
38,988532.3545,0.9765718289
39,1053645.347,0.9770765538
40,1028297.026,0.9775453015
41,958980.6734,0.9780491354
42,762466.7989,0.9784379418
43,774350.173,0.9788687049
44,766303.6233,0.9792772298
45,728813.7468,0.9796601375
46,620430.595,0.9800148639
47,715412.9254,0.9804183683
48,592870.9506,0.9807756603
49,615896.4381,0.9811373115
50,586345.7748,0.9815178527
51,514413.8365,0.9818397862
52,567757.6083,0.9821819438
53,544633.9283,0.9825438298
54,469743.3688,0.9828378074
55,438151.2565,0.9831560223
56,427785.6024,0.9834402675
57,408405.7198,0.9837242574
58,429075.2943,0.9840259353
59,385852.164,0.9843002047
60,423910.4558,0.9846211779
61,367535.6146,0.984896626
62,336357.9827,0.9851513069
63,281989.3166,0.9853691788
64,311429.1051,0.9856025781
65,270340.8149,0.9858281599
66,268323.8635,0.9860354735
67,299744.609,0.986280959
68,276660.8999,0.9865225022
69,299192.4398,0.9867629122
70,235489.3456,0.9869666905
71,259026.2873,0.9871808297
72,210082.3264,0.9873756074
73,215981.8347,0.98756918
74,228484.9885,0.9877739585
75,181744.3368,0.9879410584
76,183598.0533,0.9881112813
77,203446.7368,0.9883061944
78,216071.1534,0.9885048553
79,188834.6237,0.9886857692
80,197026.0007,0.9888836645
81,210120.1557,0.9890865945
82,183687.0619,0.9892767688
83,168029.1468,0.9894403464
84,176409.1605,0.9896229858
85,169033.6735,0.9898019073
86,162735.9016,0.9899729052
87,156033.0985,0.9901392711
88,152783.5083,0.9902939092
89,138976.3676,0.9904549741
90,120081.094,0.9905830072
91,136576.6495,0.9907349596
92,133630.5465,0.9908846666
93,137796.4892,0.9910401055
94,136988.2996,0.9912009831
95,113571.4112,0.9913282178
96,124495.2678,0.9914725
97,119416.0073,0.9916182767
98,115808.3971,0.9917542809
99,109150.239,0.9918900557
100,98308.38341,0.992005508
101,115672.834,0.992153865
102,105814.843,0.9922854909
103,108439.6732,0.9924161926
104,102794.6215,0.992549621
105,103071.9127,0.9926778348
106,101702.3079,0.99281456
107,94039.85402,0.9929366247
108,93963.11065,0.9930571377
109,85823.15747,0.9931705262
110,84198.93636,0.9932824194
111,89435.86778,0.9934068001
112,80837.1639,0.9935160995
113,84110.13883,0.9936317738
114,80433.44034,0.9937473632
115,73692.23108,0.9938498488
116,74291.39428,0.9939525937
117,72071.56356,0.9940550527
118,72474.63845,0.9941603246
119,66358.50715,0.9942572254
120,68023.48839,0.9943560318
121,60516.09831,0.9944420633
122,69945.67068,0.9945463639
123,64362.95795,0.9946488044
124,64046.37818,0.994741834
125,61689.01731,0.9948381121
126,55063.80284,0.9949185196
127,57234.76375,0.9950087305
128,52443.51757,0.9950921999
129,52149.51865,0.9951715752
130,52296.04082,0.9952564261
131,51931.22491,0.9953374753
132,54112.07797,0.9954277813
133,51890.42586,0.995512375
134,50460.14844,0.9955903485
135,49402.24998,0.9956743212
136,43446.10769,0.9957458201
137,42722.10617,0.9958177778
138,38817.16174,0.9958825586
139,43161.08757,0.9959535884
140,43720.41458,0.9960306056
141,40122.75088,0.9960981852
142,38232.69224,0.9961643538
143,38594.8433,0.9962314472
144,35536.40494,0.9962940476
145,36597.48835,0.9963602137
146,36496.96287,0.9964242242
147,32461.93535,0.9964814087
148,30609.19606,0.9965376943
149,33449.13723,0.9965986853
150,32120.93978,0.9966575026
151,31001.1648,0.9967125928
152,29187.03972,0.9967676163
153,31439.412,0.9968251857
154,31896.99579,0.9968867967
155,27001.08036,0.9969368648
156,26459.84826,0.996986747
157,25898.53883,0.9970377721
158,26066.98742,0.9970861081
159,26297.54619,0.9971369034
160,27111.72688,0.9971894809
161,25978.07696,0.9972424691
162,23768.98927,0.9972894823
163,25345.06552,0.997338242
164,21664.21114,0.9973817616
165,22563.9571,0.9974267399
166,21383.86676,0.9974713485
167,19850.72448,0.997510765
168,19026.43357,0.9975483978
169,18596.06556,0.9975877655
170,19095.21274,0.9976274522
171,17361.98725,0.9976636709
172,17559.76412,0.9976997594
173,18698.92299,0.9977399227
174,17028.64746,0.9977763669
175,17629.70348,0.997813144
176,17956.94975,0.9978517137
177,16242.66809,0.9978857228
178,15384.69462,0.9979199562
179,15837.02792,0.9979547067
180,15577.26118,0.9979880446
181,15945.98907,0.9980232806
182,14822.47392,0.9980567211
183,14028.52928,0.9980885871
184,13072.24427,0.9981167659
185,13747.99196,0.9981477823
186,13377.07379,0.9981787886
187,12224.94715,0.9982064634
188,11961.48231,0.9982338189
189,12134.51354,0.9982611951
190,11470.89031,0.998287606
191,11460.74695,0.9983147904
192,11806.38117,0.9983416088
193,11774.68647,0.9983699927
194,12023.99199,0.9983977699
195,10584.69383,0.9984232852
196,9824.205227,0.9984469674
197,10713.44799,0.9984722964
198,9336.756548,0.9984950199
199,9344.201808,0.9985172562
200,9990.919483,0.9985422665
201,8966.19862,0.9985636725
202,8658.077968,0.9985844098
203,8562.412893,0.9986063733
204,8463.141295,0.9986271014
205,8010.141265,0.9986475246
206,8710.049948,0.9986687901
207,8042.837903,0.9986890481
208,8498.286761,0.9987107815
209,7949.33241,0.9987308039
210,7409.168515,0.9987495803
211,7223.795051,0.9987683892
212,7271.236364,0.9987871531
213,6803.924486,0.9988048162
214,7096.610388,0.9988232392
215,7515.041246,0.9988424581
216,6844.273883,0.9988607547
217,7175.235453,0.9988798253
218,6551.229339,0.9988969842
219,6328.485582,0.9989139021
220,6801.756666,0.9989320851
221,7008.426626,0.998950983
222,6431.888117,0.9989686742
223,6491.839956,0.9989859284
224,5721.196372,0.9990017532
225,5563.557233,0.9990167551
226,5716.23142,0.9990324779
227,5594.10508,0.9990477783
228,5049.666453,0.9990619407
229,5546.279322,0.9990779673
230,5144.904111,0.9990918801
231,4931.00976,0.9991055954
232,4630.39731,0.999118582
233,4808.64313,0.9991322542
234,4835.064333,0.9991463751
235,4359.041827,0.9991585332
236,4412.959738,0.9991711486
237,4217.300433,0.9991835305
238,4079.673295,0.9991949725
239,4018.050934,0.9992068935
240,4019.578435,0.9992182601
241,3866.683997,0.9992299711
242,3713.906266,0.9992410759
243,4046.887688,0.9992528949
244,3778.598181,0.9992642223
245,3551.242589,0.9992744566
246,3751.686378,0.9992861672
247,3623.864064,0.9992969747
248,3579.139356,0.9993075383
249,3582.334209,0.9993183604
250,3441.021484,0.9993286758
251,3231.213829,0.9993386619
252,3202.819859,0.9993484365
253,2986.010334,0.9993576186
254,2938.042548,0.9993667894
255,3104.366265,0.9993765274
256,3106.938234,0.9993861053
257,3072.045223,0.999395552
258,2896.321668,0.9994048164
259,2922.494456,0.9994139613
260,2838.725885,0.9994229537
261,2692.89369,0.9994314841
262,2609.321586,0.99943977
263,2895.785408,0.9994490326
264,2768.887744,0.9994578038
265,2633.939672,0.9994664731
266,2509.91345,0.9994745597
267,2449.475101,0.9994824326
268,2293.693367,0.9994900174
269,2272.639685,0.9994973746
270,2244.048686,0.9995046913
271,2302.242841,0.9995123756
272,2231.648886,0.9995198242
273,2158.939561,0.9995269468
274,2295.703668,0.9995344319
275,2092.231729,0.9995415769
276,2168.238794,0.9995487971
277,1970.822854,0.9995554971
278,2005.760879,0.9995622228
279,2091.706889,0.9995692851
280,1938.845261,0.9995759662
281,2018.525425,0.9995827659
282,1921.941973,0.999589359
283,1741.8285,0.9995953208
284,1728.370538,0.9996013835
285,1698.522586,0.9996072889
286,1655.12377,0.9996129284
287,1725.278802,0.9996189802
288,1652.140698,0.9996247499
