freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.345483004e+11,0.8400097374
1,310627433.6,0.8555241701
2,168264270.8,0.8723322457
3,77455586.27,0.8820036346
4,84334087.95,0.8946399512
5,57690275.16,0.9090467903
6,32987073.83,0.9164607872
7,23042240.75,0.9233659202
8,21090761.84,0.9307396361
9,10879621.66,0.9345433507
10,12352167,0.9397872962
11,6699288.551,0.9424640891
12,4457226.559,0.9446902718
13,5139209.694,0.9476420945
14,3534346.508,0.949583865
15,3327568.833,0.9515782288
16,3096581.753,0.9534341515
17,2589130.194,0.9553092237
18,2900264.064,0.9574820494
19,1734285.902,0.9587813452
20,1943310.25,0.9602857681
21,1510673.394,0.9616438913
22,1118555.721,0.9625936267
23,1455985.904,0.9638662249
24,936443.7514,0.9647548763
25,1086339.482,0.9658942887
26,860218.4774,0.966839497
27,657453.709,0.9675126521
28,615751.0912,0.9681584856
29,691002.8597,0.9689867847
30,647025.9075,0.969746211
31,608886.9859,0.9705369008
32,509843.1947,0.9711735097
33,548806.5002,0.97188618
34,372063.6584,0.9724157925
35,371745.2584,0.9728985343
36,354926.3532,0.9734126162
37,423881.6572,0.9740159888
38,432401.664,0.9747070769
39,360694.8221,0.9752655441
40,308110.874,0.975719512
41,285340.4486,0.9762040617
42,249741.167,0.9766156852
43,240087.9655,0.9770473723
44,243740.5519,0.9774673662
45,245497.3582,0.9778842565
46,231911.0484,0.978312824
47,207042.6172,0.9786902647
48,201912.2408,0.9790835641
49,194524.6779,0.9794527579
50,151709.9725,0.9797710014
51,201384.4852,0.9801783602
52,147335.2139,0.9804653506
53,169669.1641,0.9808297414
54,152811.9331,0.9811388481
55,172437.3741,0.981543634
56,127501.2472,0.9818174627
57,135715.6551,0.9821224899
58,123948.962,0.9824041662
59,130317.5356,0.9827035697
60,117796.0516,0.9829918552
61,124186.6116,0.9832926793
62,110222.5886,0.9835624301
63,100025.5911,0.9838122214
64,117338.0036,0.9840964557
65,91641.58633,0.9843436181
66,97063.62871,0.9845860126
67,98028.15488,0.9848455038
68,97647.38919,0.9851210569
69,91138.65302,0.9853577589
70,87124.96611,0.9856014428
71,80540.7866,0.9858166544
72,76981.64252,0.9860473475
73,71588.68489,0.9862547282
74,74769.70213,0.9864713239
75,69482.1938,0.986677808
76,68396.02453,0.9868827722
77,56331.73549,0.9870572102
78,68475.38098,0.9872607023
79,63676.52961,0.9874578842
80,57223.91185,0.9876436591
81,64653.03505,0.9878454795
82,62419.68657,0.9880543574
