freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.338294223e+11,0.5745164963
1,1888869554,0.6393863403
2,1300990382,0.7287467124
3,259124374,0.7509946195
4,215970397.6,0.7732459697
5,131016037,0.7957435261
6,145275491.8,0.8181950465
7,66883147.99,0.8319769385
8,60819076.42,0.8465979948
9,41674138.97,0.8566165607
10,27832725.48,0.8647414144
11,26580454.27,0.8720442794
12,13561423.56,0.8767017076
13,9704389.809,0.8805344264
14,11006842.6,0.8846925398
15,14086532.3,0.8904978607
16,11632981.73,0.8952920279
17,8640607.029,0.8995948476
18,7543424.952,0.903480829
19,5091202.935,0.9061035528
20,6406980.761,0.9095141152
21,5482825.604,0.9129034762
22,4831356.169,0.915724189
23,4808837.987,0.9186143303
24,3888865.338,0.9211518966
25,3029558.327,0.9233368365
26,2174332.249,0.9249796546
27,2201625.252,0.9265296776
28,2458950.96,0.9283030912
29,2351527.358,0.9302413072
30,2068948.921,0.9319110844
31,1433744.793,0.9331913087
32,1697371.859,0.9346486387
33,1517142.932,0.9360033312
34,1239606.165,0.9372166348
35,1163934.997,0.9382559397
36,1436258.254,0.9396863855
37,1273950.693,0.9409333049
38,1076356.299,0.9421162018
39,1031564.99,0.9432144467
40,1125918.712,0.9443551427
41,889255.6446,0.9453934991
42,928889.1917,0.9464462333
43,888652.8551,0.9475449242
44,1050573.617,0.9487896867
45,896545.7646,0.9498365555
46,813302.9802,0.9508700186
47,620358.6943,0.9516476551
48,546833.0376,0.9523800751
49,511417.7114,0.9530474967
50,482005.7164,0.9537427489
51,499568.1371,0.9544375982
52,456038.8768,0.95504841
53,485244.118,0.9557649981
54,433136.263,0.9563674473
55,454940.2899,0.9571017805
56,426373.4595,0.957731431
57,426507.4497,0.9583905745
58,405699.3638,0.9590245269
59,399488.0864,0.9596556332
60,357187.621,0.9602567147
61,328665.6222,0.9608041552
62,330999.0431,0.9613611661
63,324270.5668,0.9619179907
64,280307.0991,0.962384883
65,294323.1347,0.9629307151
66,272097.2565,0.9633979498
67,240352.8862,0.9638354377
68,248496.8112,0.9643176188
69,245399.4615,0.9647558647
70,227736.8024,0.9651938526
71,242678.6409,0.965639741
72,247599.6394,0.966149943
73,264367.5467,0.9666765384
74,233461.7746,0.9671415723
75,207732.0509,0.9675660564
76,213551.7055,0.9680060994
77,181195.0263,0.9683919142
78,158726.3636,0.968716259
79,177719.6806,0.9690946738
80,177348.517,0.9694905704
81,222346.8177,0.9699678269
82,209496.7737,0.9704498779
83,200094.7387,0.9708828073
84,155429.1768,0.9712404491
85,159166.7722,0.9716148905
86,138776.4554,0.9719389805
87,143267.1241,0.9722784779
88,170620.9384,0.9726622864
89,163317.4481,0.9730829498
90,212916.5602,0.9735874942
91,177625.1947,0.97402671
92,140939.2998,0.9743776323
93,134745.0854,0.9747154456
