freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.480703952e+11,0.8135660871
1,890141285.4,0.8369203858
2,228312604.7,0.8489006879
3,219535130.2,0.8633003373
4,92385042.9,0.8705719511
5,58818532.21,0.8782879485
6,41581342.49,0.883197241
7,36617128.55,0.8889614991
8,26512728.79,0.8938307299
9,23829913.15,0.8982072445
10,25678229.73,0.9039337791
11,20792282.19,0.9082979328
12,16916646.68,0.9127362891
13,12745385.59,0.9165818413
14,10586610.7,0.919637167
15,7913586.795,0.9221286762
16,8319234.734,0.9247478994
17,6355477.249,0.9271657199
18,6035643.683,0.9295410433
19,5983488.569,0.931895841
20,5432856.549,0.9341052078
21,4431363.907,0.93619796
22,3809145.018,0.9378969245
23,3804648.915,0.9396437943
24,2954706.074,0.9411167028
25,3072885.183,0.9428097673
26,2632137.757,0.9443290521
27,3028133.543,0.9459577359
28,1873016.096,0.9469897097
29,1982670.508,0.9482381554
30,1621681.319,0.9492380202
31,1519623.731,0.9502746348
32,1525753.917,0.9512754004
33,1335141.505,0.95218617
34,1184215.3,0.9530716595
35,1525872.752,0.9541125368
36,1266418.469,0.9550761065
37,1227079.437,0.9559936474
38,945350.072,0.9567873367
39,983583.5647,0.9575873198
40,886677.5771,0.9582735908
41,900035.6401,0.9590764632
42,729325.1799,0.9597079191
43,752652.5887,0.9604188132
44,766506.2764,0.9611126267
45,747048.012,0.9617790272
46,625847.7977,0.962386572
47,514130.4152,0.9628789221
48,630700.1551,0.9635242723
49,592228.9245,0.9641147195
50,571834.8618,0.9647448461
51,498808.5758,0.9652748717
52,484272.5169,0.965770393
53,465693.4847,0.9662957766
54,395304.0677,0.96671582
55,451345.326,0.9672723835
56,433204.9465,0.9677611143
57,474255.3368,0.9683210429
58,435272.6257,0.9688406566
59,401948.5133,0.9693257621
60,383890.9493,0.9698192901
61,376139.4617,0.9702979186
62,405342.2497,0.9708190243
63,384597.1689,0.9713235508
64,355023.5677,0.9717753098
65,301927.5023,0.9722030739
66,342670.7478,0.9726526
67,317954.8709,0.9730947292
68,288890.5714,0.9735229717
69,239380.0319,0.9738495588
70,236952.666,0.9741977017
71,252051.9656,0.9745514968
72,230455.8436,0.9749142797
73,249665.9972,0.9752942025
74,249436.7314,0.9756737763
75,237499.5921,0.9760445319
76,237490.8539,0.9764183893
77,210097.33,0.9767601485
78,228599.3172,0.97711701
79,222507.255,0.977478956
80,195342.5362,0.9778120893
81,205226.4066,0.9781486173
82,196517.8648,0.9784940669
83,179738.0789,0.9787911572
84,183905.2802,0.9791144358
85,185415.7936,0.9794476666
86,135363.5619,0.9796891674
87,149452.1857,0.9799597247
88,149046.8616,0.9802158615
89,162079.7653,0.9805347934
90,139720.6307,0.9807877334
91,143109.3106,0.9810580722
92,157174.8206,0.981357043
93,143695.9257,0.98163226
94,142549.2741,0.9819165008
95,127620.9347,0.9821592556
96,131085.0841,0.9824171978
97,117623.5216,0.9826609953
98,122463.3182,0.9829051851
99,117825.8091,0.9831540388
100,121969.4368,0.9833972438
101,125629.939,0.9836708205
102,115216.7443,0.9839141638
103,104691.2662,0.9841284099
104,113107.5567,0.984377685
105,121274.2315,0.984633822
106,102166.1047,0.9848670249
107,110349.224,0.9851102209
108,95208.39271,0.9853175504
109,92993.96891,0.9855261574
110,82547.13288,0.9857124126
111,91949.55856,0.9859295327
112,78768.11581,0.986110361
113,85895.95565,0.9863109331
114,79206.2682,0.9865041969
115,68246.21968,0.9866653464
116,84134.55825,0.9868629092
117,78237.86181,0.9870517574
118,74397.07267,0.9872352386
119,76796.50264,0.9874256448
120,67737.3596,0.9875927015
121,66726.97239,0.987753765
122,62846.24102,0.9879128813
123,66228.65771,0.9880918557
124,70641.66302,0.9882660752
125,64461.49595,0.9884368916
126,70834.88504,0.9886125168
127,56355.62824,0.9887633321
128,63745.36772,0.9889355958
129,55863.22302,0.9890799635
130,65245.22282,0.989259704
131,60788.72047,0.989420788
