freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.779780593e+11,0.8840394308
1,1355828708,0.9094082269
2,219838431.1,0.9176349834
3,151766650.6,0.9247342158
4,163367415.8,0.9339044774
5,52017681.64,0.9387709696
6,69218160.77,0.9445990777
7,62410783.51,0.951605655
8,27900896.73,0.9552600142
9,19445867.85,0.9578069641
10,8567598.727,0.9591695788
11,11495597.29,0.960890324
12,8962974.162,0.9625673785
13,6674843.169,0.9640036414
14,7689247.988,0.9655862429
15,6744812.838,0.9671006624
16,4176444.005,0.9680384035
17,3053992.602,0.9688669769
18,3333502.974,0.9698025703
19,3704938.95,0.9708424123
20,4121571.381,0.9720377471
21,2411031.034,0.9728497738
22,1959812.036,0.9734731617
23,2295690.739,0.9742248651
24,2461032.41,0.9750997803
25,1985624.772,0.9758799903
26,1606215.714,0.9765411731
27,1275621.5,0.9770304681
28,1252244.299,0.9775225114
29,976083.8379,0.9779608336
30,921018.5817,0.9783658114
31,916553.779,0.9788117
32,900361.186,0.9792328645
33,845790.8002,0.9796443281
34,665828.9739,0.9799993887
35,604165.6072,0.9802933055
36,702561.8943,0.9806745272
37,635073.581,0.9810131872
38,719385.9119,0.981443919
39,534229.6685,0.9817537928
40,529704.5951,0.9820461749
41,469368.7681,0.9823447737
42,428396.2313,0.9826092913
43,373338.9972,0.9828607699
44,341038.3346,0.9830809192
45,411140.6751,0.983342475
46,361862.8551,0.983592994
47,464537.334,0.9839102491
48,417533.5668,0.984214934
49,340274.6353,0.9844568743
50,294171.4548,0.9846880515
51,276901.1037,0.9848978849
52,283259.0337,0.9851045863
53,261048.2274,0.9853146177
54,321211.6396,0.9855580294
55,265420.6326,0.9857914437
56,282807.395,0.9860189819
57,236558.0942,0.9862181617
58,215006.8541,0.9864012071
59,221339.4391,0.9865917144
60,219073.1436,0.9867925683
61,228492.3957,0.9869999204
62,232726.525,0.9872132922
63,186684.0006,0.9873879436
64,185166.9143,0.9875559788
65,174737.3085,0.9877325315
66,195457.0366,0.9879153905
67,175128.4808,0.9880890617
68,174175.5399,0.9882731943
69,170798.616,0.9884393758
70,136846.0548,0.9885827646
71,145461.5471,0.9887283766
72,118787.7728,0.9888617343
73,134696.8261,0.9890079117
74,132187.5884,0.989151366
75,122402.5358,0.9892876367
76,112065.4554,0.9894134476
77,97659.49266,0.9895267401
78,110412.4221,0.9896496622
79,93911.84781,0.9897586071
80,94849.91676,0.9898739645
81,103363.0936,0.9899948406
82,107593.2817,0.9901297229
83,87372.08947,0.9902327161
84,101104.621,0.990359464
85,92242.74902,0.9904776913
86,90826.16199,0.9905932533
87,83507.37536,0.9907010657
88,92848.52793,0.9908148576
89,80167.71391,0.9909273585
90,81467.88408,0.9910325378
91,69409.81868,0.9911260458
92,79941.41424,0.9912344896
93,70507.39108,0.9913307954
94,73909.64094,0.9914358971
95,76973.83862,0.9915403153
96,84342.79625,0.9916586751
97,84109.64054,0.9917830028
98,75973.25153,0.991891039
99,69096.21945,0.9919951137
100,73744.09078,0.99209998
101,66972.73389,0.9922039891
102,64026.1485,0.9923004271
103,70760.93145,0.9924036992
104,65139.99773,0.9925060809
105,60711.69321,0.9925975266
106,50934.67341,0.9926804406
107,52043.1613,0.9927622377
108,57469.73076,0.9928514885
109,53962.16135,0.9929378163
110,54008.26933,0.9930247231
111,53601.55509,0.9931149871
112,54906.04753,0.9932048796
113,49803.64951,0.9932878162
114,58041.66329,0.9933888154
115,54923.55903,0.9934813057
116,47848.05187,0.9935614333
117,46772.72505,0.9936419481
118,43552.81035,0.9937185499
119,51396.33623,0.9938094279
120,45187.00365,0.993888904
121,48642.70781,0.9939726378
122,43574.24824,0.9940513156
123,44881.68198,0.9941378127
124,41901.38989,0.9942115099
125,41069.65517,0.9942891235
126,38292.77485,0.994356832
127,39216.20174,0.9944316767
128,37552.50513,0.9945040488
129,35555.21668,0.9945695779
130,39813.88076,0.9946477981
131,38869.55876,0.9947212539
132,34827.96084,0.9947916335
133,37014.373,0.9948646999
134,33772.56614,0.9949278915
135,35128.28358,0.9950001926
136,31573.58927,0.9950631096
137,34574.44791,0.9951336239
138,29152.85502,0.9951925354
139,33251.42184,0.9952587959
140,32567.05456,0.9953282628
141,31214.46431,0.9953919244
142,33146.93553,0.9954613879
143,30330.96135,0.9955252339
144,27907.13416,0.995584761
145,28177.92854,0.9956464475
146,26254.05903,0.995702203
147,27200.16546,0.9957602221
148,27363.61813,0.9958211499
149,25532.25543,0.9958775223
150,27616.54974,0.9959387549
151,26508.20155,0.9959957941
152,23133.20453,0.996048601
153,22158.05625,0.9960977308
154,20328.37982,0.9961452761
155,21004.50331,0.9961924377
156,23144.42128,0.9962452702
157,21961.38206,0.9962976622
158,20080.47957,0.9963427491
159,20402.19251,0.9963904671
160,20081.63437,0.9964376232
161,19549.6943,0.9964859078
162,21284.52526,0.9965368842
163,21016.72856,0.9965858428
164,22692.26542,0.9966410399
165,20407.40671,0.9966902975
166,18684.49072,0.996737494
167,17553.64858,0.9967796991
168,19862.80402,0.9968272705
169,19321.336,0.9968767987
170,18547.27733,0.9969234751
171,16907.91693,0.9969661841
172,17832.58854,0.9970105614
173,16715.52575,0.9970540354
174,15317.89956,0.9970937312
175,14880.68105,0.9971313194
176,14077.66428,0.9971679328
177,14574.50624,0.997204884
178,15442.03409,0.9972464906
179,14768.58247,0.99728573
180,13044.16048,0.9973195334
181,12703.77242,0.9973535244
182,13212.5995,0.9973896185
183,14156.12833,0.997428555
184,14756.02085,0.9974670707
185,13390.8705,0.9975036518
186,12523.95302,0.997538802
187,11910.40777,0.9975714502
188,11973.23208,0.9976046067
189,11969.07353,0.9976373037
190,12004.79728,0.9976707722
191,11037.2519,0.9977024726
192,12944.80202,0.9977380773
193,12030.38847,0.9977731929
194,12414.26456,0.9978079191
195,10816.5806,0.9978394916
196,9704.086042,0.9978678169
197,10838.96019,0.9978988464
198,9993.149227,0.9979282959
199,10535.55455,0.9979586539
200,9637.255872,0.997987866
201,9627.586718,0.9980156978
202,9196.110028,0.9980423683
203,9244.345591,0.9980710813
204,8147.424967,0.998095244
205,8554.721244,0.998121655
206,9073.565614,0.9981484794
207,9342.552921,0.998176973
208,8706.801701,0.998203935
209,8578.911044,0.9982300996
210,7939.423069,0.9982544625
211,8641.197644,0.9982817064
212,8102.551256,0.9983070246
213,7726.116624,0.9983313111
214,7566.728408,0.9983550966
215,7687.47503,0.9983789021
216,7139.648025,0.9984020131
217,6622.724819,0.9984233268
218,7447.371024,0.9984469462
219,6950.852238,0.998469446
220,5769.955888,0.9984881233
221,6187.247679,0.998508325
222,6090.510643,0.9985286097
223,6408.401607,0.9985492337
224,5899.678624,0.9985689932
225,5802.694854,0.9985879393
226,5633.819155,0.998606703
227,5793.837185,0.9986258912
228,6221.673822,0.9986470202
229,5811.736642,0.9986673551
230,5946.548263,0.9986868266
231,5783.462653,0.9987063051
232,5900.481748,0.9987263433
233,5496.966004,0.9987452683
234,5888.444997,0.998766092
235,6184.581749,0.9987869793
236,5352.384803,0.9988055067
237,4883.108326,0.9988228665
238,4448.808941,0.9988379748
239,4577.279668,0.9988544186
240,4900.714331,0.9988711992
241,4428.416271,0.9988874397
242,4467.205312,0.9989036135
243,4449.463745,0.9989193484
244,4157.984361,0.9989344415
245,4096.511503,0.9989487366
246,4153.86235,0.9989644366
247,3793.880546,0.9989781371
248,4012.43988,0.9989924767
249,3925.902497,0.9990068376
250,3638.717277,0.9990200458
251,3475.666033,0.9990330524
252,3579.105157,0.9990462786
253,3460.647767,0.9990591643
254,3242.938815,0.9990714213
255,3167.071036,0.9990834508
256,3624.854658,0.9990969818
257,3727.995635,0.9991108629
258,3461.787832,0.9991242709
259,3303.165893,0.9991367865
260,2953.818166,0.9991481166
261,3018.683572,0.9991596954
262,2866.061907,0.9991707157
263,3043.889474,0.9991825052
264,2879.13954,0.9991935488
265,2834.029358,0.9992048436
266,2809.724992,0.999215805
267,2657.310204,0.9992261469
268,2835.861707,0.9992375021
269,2779.331348,0.9992483969
270,2763.234276,0.9992593061
271,2919.516547,0.9992711055
272,2653.186559,0.9992818285
273,2564.963493,0.999292075
274,2694.140697,0.9993027115
275,2497.869112,0.9993130405
276,2395.163254,0.9993226982
277,2398.807147,0.9993325727
278,2469.072931,0.9993425978
279,2297.660531,0.9993519914
280,2642.366913,0.9993630168
281,2343.119001,0.9993725743
282,2248.301747,0.9993819133
283,2191.081023,0.9993909942
284,2019.122926,0.9993995702
285,2166.406949,0.9994086907
286,2073.295617,0.9994172446
287,2172.47391,0.9994264719
288,2146.910034,0.9994355505
289,2008.685015,0.9994441573
290,1907.742653,0.9994524565
291,1913.333376,0.9994602968
292,1985.376856,0.999469138
293,2069.372938,0.9994780242
294,1743.883124,0.9994855617
295,1561.683142,0.9994922824
296,1889.914971,0.9995006278
297,1804.374301,0.9995086124
298,1695.326111,0.9995158766
299,1585.88344,0.9995228201
300,1630.546478,0.999530005
301,1577.587852,0.9995369713
302,1532.1256,0.9995439661
303,1489.478336,0.9995504737
304,1469.322622,0.9995569894
305,1532.33644,0.9995640139
306,1551.239933,0.9995708928
307,1468.644421,0.9995775566
308,1466.133312,0.9995840582
309,1368.348736,0.9995905358
310,1340.872544,0.9995965697
311,1398.761665,0.9996029818
312,1380.087488,0.9996092309
313,1230.027146,0.9996148926
314,1281.750767,0.9996209722
315,1340.094334,0.9996271656
316,1250.06226,0.9996329195
317,1176.986356,0.9996384141
318,1166.448095,0.9996439141
319,1217.658882,0.9996495872
320,1123.114414,0.9996548093
321,1227.496754,0.9996605971
322,1102.776082,0.9996659
323,1124.456234,0.9996712651
324,1108.537017,0.9996764402
325,1033.011026,0.999681427
326,1015.731232,0.9996863303
327,1054.918615,0.9996914722
328,1009.508512,0.9996963833
329,1010.220922,0.9997011844
330,1003.472692,0.9997060849
331,924.7372192,0.9997105231
332,987.4698135,0.99971529
333,965.3197571,0.9997201668
334,874.388271,0.9997244123
335,930.3290479,0.9997290253
336,883.5398973,0.9997333401
337,837.3057636,0.9997373978
338,859.4161191,0.9997418279
339,819.3445983,0.9997458906
340,785.2619081,0.9997498871
341,764.8419949,0.9997536866
342,743.9380171,0.9997573614
343,750.0816299,0.9997612631
344,730.6370458,0.9997648653
345,717.697736,0.9997685851
346,705.3874236,0.9997721355
347,697.8563745,0.9997757133
348,678.5663424,0.9997791731
349,663.8916433,0.9997825146
350,688.3096292,0.9997860949
351,633.6917018,0.9997893971
352,663.20674,0.9997928469
353,633.1598752,0.9997961522
354,602.3032798,0.9997992288
355,567.1657719,0.999802248
356,597.6137493,0.999805323
357,622.3341572,0.9998086649
358,620.0878662,0.9998118962
359,576.6510669,0.9998148957
360,558.4643782,0.9998179156
361,534.2549049,0.9998206996
362,542.7060515,0.9998236241
363,508.9582481,0.9998262906
364,489.2839951,0.9998289638
365,547.1583801,0.9998319174
366,489.6551138,0.9998345561
367,489.5701812,0.9998371759
368,495.209663,0.9998398584
369,506.9475742,0.9998426471
370,473.5072616,0.9998452164
371,442.4151519,0.9998476087
372,434.9981788,0.9998499813
373,453.5621136,0.9998524679
374,464.1615334,0.9998550734
375,435.5542373,0.999857449
376,371.7783327,0.9998594872
377,374.4001901,0.9998615888
378,395.1477188,0.9998637662
379,390.2714395,0.9998659569
380,401.1292688,0.9998681485
381,411.7369561,0.9998704982
382,424.9456873,0.9998729034
383,380.1591041,0.9998750374
384,345.5429341,0.9998769899
385,352.510485,0.9998789786
386,341.2024599,0.9998809449
387,387.5342328,0.9998831202
388,368.3538423,0.9998852292
389,327.2999599,0.9998871124
390,325.7855421,0.9998889655
391,325.6209377,0.9998908603
392,279.2916302,0.9998924411
393,289.9870407,0.9998941286
394,306.2161156,0.9998959391
395,325.4733515,0.9998977966
396,319.3929225,0.9998996701
397,281.4450369,0.9999012762
398,296.5918693,0.9999030632
399,261.562152,0.9999045926
400,276.2351568,0.9999062052
