freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.84603776e+11,0.786964298
1,2961028178,0.8354344089
2,1106271381,0.871652299
3,587569172.4,0.8956976148
4,268393747.5,0.9088779095
5,153517536.1,0.921442822
6,87625310.07,0.9278974848
7,54294894.1,0.933230118
8,45312760.11,0.9384223015
9,58033610.71,0.9450721095
10,25681156.49,0.9486453724
11,20640021.87,0.9513482826
12,11342148.64,0.9532049188
13,9107943.898,0.9549194668
14,9622313.396,0.9566520881
15,10903350.57,0.9587938575
16,9721062.596,0.9607033873
17,4748517.592,0.9618304746
18,6362505.146,0.9633927258
19,8144372.236,0.9653924972
20,5197786.445,0.9667113053
21,3635430.602,0.9677824788
22,4017380.282,0.9689004313
23,5011745.213,0.9703361141
24,2743301.349,0.9711893293
25,2563489.227,0.9720705451
26,1576684.301,0.9726383497
27,4045389.928,0.9739958681
28,3751752.946,0.9752855571
29,2914003.068,0.9764303653
30,1825691.13,0.9771326717
31,1553620.831,0.9777938976
32,1682926.657,0.9784826081
33,1228866.086,0.9790056173
34,1048361.726,0.9794947059
35,1626039.343,0.9801867533
36,1291950.302,0.9808000566
37,1047400.856,0.9812886968
38,937939.8988,0.9817800078
39,782625.8518,0.9821771512
40,712879.0122,0.9825213976
41,1288410.443,0.9832384726
42,1111234.328,0.9838387487
43,554365.6646,0.9841654346
44,637888.0713,0.9845256772
45,617537.0056,0.9848693723
46,689842.9087,0.9852871867
47,822110.9004,0.9857783826
48,677669.1407,0.9862110098
49,430597.4186,0.9864788566
50,303791.9425,0.9866877174
51,481847.7158,0.9870071626
52,455844.4519,0.9872981758
53,428656.7505,0.9875998996
54,335619.2462,0.9878224014
55,478011.4859,0.988190164
56,308871.0931,0.9884075729
57,436838.3879,0.9887293571
58,499185.4273,0.9891011532
59,363290.8256,0.9893747076
60,266443.4874,0.9895884214
61,223208.298,0.9897656295
62,180157.8136,0.9899101338
63,166167.0281,0.9900461361
64,444043.4221,0.9903986682
65,404071.9506,0.9907558456
66,217016.3809,0.9909334664
67,169385.9045,0.9910804215
68,156613.4141,0.9912252683
69,161840.4148,0.9913630279
70,152989.4159,0.9915032708
71,241424.5459,0.9917147008
72,169691.5228,0.9918813652
73,113489.7633,0.991989115
74,128852.3808,0.9921114503
75,119473.9611,0.9922278151
76,119332.5201,0.9923450189
77,148241.8429,0.9924954695
78,183732.8799,0.992674421
79,126562.4758,0.9928028692
80,125262.3965,0.9929361494
81,143154.4297,0.9930826085
82,119971.2612,0.9932141865
83,97240.2204,0.9933144674
84,90264.4462,0.9934134646
85,81569.8093,0.9935049289
86,89054.02642,0.9936040563
87,86540.0366,0.993701802
88,86700.18751,0.9937947613
89,69622.67015,0.9938802371
90,68042.41176,0.99395709
91,73770.65068,0.9940440356
92,84092.61073,0.9941438349
93,62623.21884,0.9942186673
94,74787.08592,0.9943117077
95,77543.96063,0.9944037352
96,58274.56649,0.994475279
97,55602.2874,0.9945471827
98,58269.91083,0.9946196745
99,54244.47613,0.9946911543
100,61364.73329,0.9947674963
101,71139.71459,0.9948641508
102,60602.21603,0.9949440083
103,53813.20472,0.9950127175
104,69178.73566,0.99510784
105,51887.94356,0.9951762145
106,42653.37398,0.9952369586
107,53479.74257,0.9953104946
108,46645.21831,0.9953738694
109,41266.51482,0.9954316252
110,43868.52153,0.9954933817
111,43971.88941,0.9955581629
112,46698.40376,0.9956250499
113,45304.99156,0.9956910535
114,38086.61985,0.9957490346
115,35761.6679,0.9958017202
