freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.737481964e+11,0.96502965
1,477813076.8,0.9748994777
2,99220162.41,0.9789985112
3,62463645.46,0.9822241733
4,25562912.13,0.9838082752
5,15615250.4,0.985421038
6,16166077.53,0.9869237256
7,7399736.926,0.9878408306
8,5327418.217,0.9886111421
9,4548117.194,0.9892687715
10,3237436.462,0.9898371946
11,2968900.768,0.9903278055
12,2338645.386,0.990810882
13,2104873.943,0.9913108883
14,1774630.689,0.9917141178
15,1252601.377,0.9920246064
16,1027736.236,0.9922793565
17,832814.9748,0.9925287976
18,726034.575,0.9927537549
19,1051547.366,0.9930795704
20,749485.535,0.9933195346
21,985290.0698,0.9936858778
22,586476.1293,0.9938918226
23,462215.3041,0.9940589062
24,368874.0259,0.9942036778
25,427510.5132,0.9943891238
26,319062.3911,0.9945341178
27,498444.4428,0.9947451857
28,324408.0368,0.9948859078
29,304742.8026,0.9950369841
30,325319.2226,0.9951949012
31,273206.6741,0.9953416302
32,247583.8573,0.9954694841
33,233603.1908,0.9955949436
34,200253.6974,0.9957128336
35,200172.6618,0.9958203389
36,182964.2434,0.9959299402
37,186544.1016,0.9960397593
38,159929.8435,0.9961454729
39,164617.681,0.9962508848
40,147733.6015,0.9963409077
41,137721.7063,0.9964376314
42,115429.8381,0.9965163149
43,143369.4235,0.996622928
44,122505.241,0.9967102302
45,94129.52032,0.9967763386
46,115466.6288,0.9968645875
47,100127.5529,0.996940079
48,75703.70801,0.9970010655
49,108316.9454,0.9970860875
50,82295.37794,0.9971574839
51,91776.71527,0.9972342623
52,105845.5228,0.9973195308
53,87690.77654,0.9973974194
54,79133.56705,0.9974636208
55,77391.51685,0.9975387559
56,82848.01021,0.9976123431
57,82432.98941,0.9976889671
58,71813.13158,0.9977564614
59,62558.49629,0.9978159037
60,54358.94038,0.9978709235
61,46273.88173,0.9979172819
62,51244.51616,0.9979691494
63,55067.27881,0.9980260236
64,45972.21377,0.9980720798
65,44090.59076,0.9981212601
66,42894.80134,0.9981655624
67,34894.74243,0.9982037646
68,33713.27598,0.9982431106
69,34436.79981,0.9982801
70,35292.26985,0.9983209244
71,33921.34378,0.9983584112
72,34387.28091,0.9984010299
73,28393.33399,0.9984350469
74,25456.80881,0.9984655457
75,30127.18048,0.9985025735
76,25603.88076,0.9985343063
77,23101.19171,0.9985638917
78,24208.53664,0.9985936451
79,20450.79585,0.9986198362
80,19357.27341,0.9986458264
81,19617.89272,0.9986711534
82,18341.27259,0.9986965371
83,24677.59922,0.9987286512
84,22708.44931,0.998760079
85,19845.18701,0.998788159
86,18492.36183,0.9988141338
87,17784.04425,0.9988394811
88,17615.32255,0.9988633143
89,18070.62295,0.9988913097
90,14770.42147,0.9989123617
91,12565.26875,0.9989310494
92,14085.42032,0.9989521434
93,12392.78691,0.9989708306
94,13167.91671,0.9989915026
95,11478.0635,0.9990086919
96,12878.79753,0.9990286439
97,13418.85382,0.9990505414
98,11297.47883,0.9990682771
99,10377.70756,0.9990855334
100,10943.37171,0.9991027131
101,10301.2083,0.9991203742
102,10117.76119,0.9991371983
103,9004.113568,0.9991517056
104,10465.84313,0.9991698652
105,9659.99228,0.9991859281
106,9202.693362,0.9992024662
107,7023.139054,0.9992146522
108,7827.879897,0.9992280729
109,7119.278756,0.9992406463
110,7645.146017,0.9992542274
111,7923.482182,0.9992689577
112,8200.0502,0.9992837786
113,7207.009265,0.9992970281
114,7169.29167,0.9993108005
115,6525.438099,0.9993229317
116,7039.701716,0.9993359462
117,6566.528259,0.9993484251
118,6033.4556,0.9993601402
119,5748.53003,0.9993713614
120,5533.938463,0.9993821066
121,5288.02053,0.9993921558
122,5854.696991,0.9994038261
123,5335.960116,0.9994151789
124,5369.04687,0.9994256039
125,4855.428403,0.9994357337
126,5061.223879,0.9994456133
127,4384.975666,0.9994548522
128,4154.90801,0.9994636921
129,4417.292565,0.9994726797
130,4403.848941,0.9994822313
131,3869.004528,0.9994903031
132,3915.636459,0.9994990384
133,4355.826675,0.9995085308
134,4088.740462,0.9995169766
135,3912.076976,0.9995258655
