freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.348826159e+11,0.7643094575
1,2404424239,0.826901546
2,410413959,0.8482693782
3,171934134.9,0.8594588726
4,92509186.1,0.8666834835
5,120921619.7,0.8824226708
6,112172927.4,0.8955630807
7,47830864.6,0.9030338931
8,37267260.3,0.909824895
9,23240862.21,0.9140599458
10,25177874.28,0.9196311147
11,19898274.42,0.9237750575
12,19589517,0.9288746101
13,19672192.33,0.9347638459
14,11191920.64,0.9379686808
15,7310995.825,0.9402525232
16,10818541.73,0.9436320688
17,8399908.963,0.946802738
18,6863157.119,0.9494826685
19,7040859.573,0.9522319885
20,4471267.88,0.9540361306
21,3609920.784,0.955727656
22,3697582.247,0.9573640019
23,2487104.951,0.9584970295
24,3727113.249,0.960340493
25,2580053.382,0.9617509386
26,2274515.825,0.9630535653
27,1851954.05,0.9640418735
28,2145717.471,0.9652148794
29,1970550.986,0.9664460189
30,1761105.413,0.9675233806
31,1618228.213,0.9686186513
32,1641960.648,0.9696872413
33,1502811.255,0.9707043939
34,1642307.335,0.9719228437
35,1662744.19,0.9730482443
36,1433667.798,0.9741305623
37,1447668.948,0.9752046073
38,1253836.256,0.9762490849
39,924431.9393,0.9769950955
40,907833.5002,0.9776922621
41,730998.4748,0.9783392612
42,657769.3624,0.978904323
43,519849.1712,0.9793915016
44,552500.7343,0.9798877057
45,469273.6867,0.9803030549
46,528498.983,0.9808120977
47,439759.8281,0.9812299442
48,442437.0182,0.9816791283
49,400359.1458,0.9820751707
50,458906.5094,0.9825769143
51,366040.7622,0.9829628303
52,357238.2663,0.9833255165
53,277681.8604,0.9836363474
54,246994.8365,0.9838967536
55,261231.3147,0.9842163718
56,262732.4829,0.9845104687
57,300246.2903,0.9848621899
58,270480.2872,0.9851825625
59,291884.4591,0.9855320866
60,261502.5376,0.9858656515
61,250119.6444,0.9861814412
62,246570.0968,0.9864959587
63,228936.9528,0.9867939436
64,229858.8644,0.9870841529
65,203217.0938,0.9873698214
66,197418.837,0.9876267822
67,137253.2164,0.9878161503
68,153190.8586,0.988041465
69,164770.1397,0.9882645089
70,152740.087,0.9884871725
71,126525.155,0.988663386
72,144413.7099,0.9888889491
73,128998.9756,0.9890837193
74,129407.8003,0.9892791068
75,114275.5977,0.9894561091
76,102141.5341,0.9896156463
77,100423.3406,0.9897777282
78,89084.20418,0.9899157114
79,99340.86859,0.9900760462
80,94769.94672,0.9902364049
81,98841.65711,0.9903972206
82,100899.0676,0.9905732034
83,92520.48545,0.9907249387
84,80402.21278,0.990865172
85,98738.13328,0.9910412414
86,89094.00793,0.9911989538
87,84989.33985,0.9913516126
88,86426.59507,0.9914989785
89,84403.03271,0.9916637673
90,77303.66232,0.991802621
91,66530.11862,0.9919273189
92,57070.53374,0.9920350295
93,60790.16565,0.9921505514
94,55610.95845,0.9922605741
95,54087.97686,0.9923626557
96,47132.32607,0.992454677
97,59161.24202,0.992576344
98,54481.32954,0.9926841318
99,48611.98272,0.9927860021
100,50870.57048,0.9928866462
101,52885.59156,0.993000914
102,48807.52031,0.9931031941
103,44167.9719,0.9931928771
104,48721.29647,0.9932994156
105,47891.60314,0.9933997763
106,45254.21132,0.9935022675
107,49155.68309,0.9936097558
108,45180.49413,0.9937073755
109,48450.50275,0.9938152137
110,40134.86467,0.9939050659
111,37665.35536,0.9939933115
112,41615.68959,0.9940881039
113,39677.35891,0.9941800305
114,40079.16395,0.9942770613
115,38601.56655,0.9943675003
116,36929.53617,0.9944535413
117,35244.49504,0.99453795
118,33188.38323,0.9946191624
119,30820.34566,0.9946949814
120,29666.47829,0.9947675756
121,27007.92398,0.9948322582
122,25875.84794,0.9948972607
123,25578.48168,0.9949658443
124,27047.43864,0.9950320298
125,25546.21549,0.9950991968
126,27435.44605,0.9951666888
127,28376.75533,0.9952420367
128,26138.36166,0.9953121215
129,25751.40985,0.9953781522
130,25259.67895,0.9954471961
131,26262.23207,0.9955162457
132,25213.9406,0.9955871338
133,25577.42404,0.9956573791
134,24934.34061,0.9957222883
135,21307.40541,0.9957833026
136,20766.22598,0.9958408752
137,22889.05258,0.9959058227
138,22956.35862,0.9959703636
139,21516.15333,0.9960300153
140,20607.10945,0.99609117
141,20572.66112,0.9961495448
142,19440.56453,0.9962062255
143,21190.87181,0.9962682852
144,20699.70018,0.9963297148
145,21393.30903,0.9963948734
146,18338.71917,0.9964490577
147,16222.0811,0.9964971992
148,16851.24098,0.9965494012
149,16093.66153,0.9965988374
150,15184.37626,0.9966456782
151,13318.1139,0.9966855484
152,12275.296,0.9967245336
153,11969.61773,0.9967614575
154,11991.66188,0.9968004784
155,13022.47568,0.9968411586
156,13865.42564,0.996885194
157,14065.45475,0.9969318784
158,14201.211,0.9969762408
159,13863.42497,0.9970213525
160,13431.87938,0.9970652347
161,13141.63536,0.9971103924
162,14158.01123,0.9971575684
163,15135.55372,0.9972066226
164,14980.36016,0.9972573186
165,13868.30816,0.9973038902
166,13467.64578,0.9973512199
167,12507.09826,0.9973930577
168,10410.5105,0.9974277465
169,9257.220826,0.9974607614
170,9997.040659,0.9974957641
171,9804.773267,0.9975302213
172,9493.728738,0.9975630911
173,9928.303746,0.9975990162
174,8266.539235,0.9976288207
175,7984.62721,0.9976568813
176,7051.866133,0.9976823982
177,7507.004598,0.9977088779
178,7888.219752,0.9977384478
179,8879.934389,0.997771273
180,8619.571497,0.9978023503
181,9159.053671,0.9978364456
182,8970.359765,0.9978705391
183,8960.123492,0.9979048269
184,8966.30191,0.9979373878
185,8883.432511,0.9979711508
186,8660.684428,0.9980049692
187,8843.6394,0.9980386961
188,8079.219132,0.9980698233
189,7477.577966,0.9980982431
190,7470.563267,0.9981272198
191,8140.242449,0.9981597475
192,7918.798643,0.9981900505
193,7693.881326,0.9982212953
194,8158.660453,0.9982530471
195,8019.623038,0.9982856148
196,7339.073827,0.9983154188
197,6889.12742,0.9983428575
198,6642.033458,0.9983700902
199,6233.55767,0.9983950801
200,5630.375277,0.9984188245
201,5576.095751,0.9984412513
202,5519.102683,0.9984635207
203,4850.083755,0.9984844794
204,4521.586928,0.9985031359
205,4197.585978,0.9985211657
206,4604.775827,0.9985401054
207,4944.26253,0.998561085
208,4576.178137,0.9985808006
209,5004.282452,0.9986020349
210,4936.717047,0.998623111
211,4695.574095,0.9986437077
212,4228.024219,0.9986620884
213,4276.516843,0.9986807912
214,4308.328649,0.9986996332
215,4478.738569,0.998718929
216,3794.86435,0.9987360193
217,3715.182066,0.9987526541
218,3495.266529,0.9987680767
219,3271.914475,0.9987828119
220,3063.178881,0.9987966071
221,2989.879333,0.9988101889
222,2857.650973,0.9988234304
223,2712.68691,0.9988355765
224,2683.793863,0.9988480823
225,2661.742425,0.9988601735
226,2808.565592,0.9988731875
227,2959.53136,0.9988868241
228,2728.078794,0.9988997138
229,2859.982876,0.9989136361
230,2927.300051,0.9989269718
231,2769.460516,0.9989399488
232,2880.765565,0.9989535599
233,2691.173239,0.9989664504
234,3134.377654,0.9989818717
235,3374.781027,0.998997729
236,3509.712049,0.9990146316
237,3250.245579,0.9990307076
238,3183.730485,0.9990457501
239,3085.13134,0.9990611701
240,2918.128249,0.9990750716
241,2642.137116,0.9990885526
242,2358.558596,0.9991004331
243,2515.325271,0.9991128087
244,2205.236389,0.9991239456
245,2083.8778,0.9991340628
246,2001.909559,0.9991445897
247,2018.656077,0.9991547318
248,1804.124385,0.9991637022
249,1775.736714,0.9991727394
250,1735.168109,0.9991815023
251,1831.878308,0.9991910399
252,1983.009951,0.9992012352
253,1975.352589,0.9992114682
254,2141.914383,0.9992227314
255,2121.905712,0.9992339447
256,2000.172705,0.9992443323
257,1896.889269,0.9992541589
258,1911.558223,0.9992644596
259,1893.25996,0.9992744399
260,1825.224412,0.9992841804
261,1927.241545,0.9992944652
262,1951.204754,0.9993049034
263,1946.929101,0.9993153947
264,1801.436712,0.9993250081
265,1751.036713,0.9993347173
266,1656.35418,0.9993437075
267,1640.930897,0.9993525926
268,1552.52062,0.9993612415
269,1315.919598,0.9993684181
270,1392.73161,0.9993760681
271,1398.180179,0.9993839299
272,1279.780641,0.999391126
273,1299.143389,0.9993983465
274,1169.438912,0.9994047699
275,1152.275331,0.9994113991
276,1172.68148,0.9994179777
277,1105.855305,0.999424311
278,1191.970015,0.9994310444
279,1218.350961,0.9994379743
280,1263.701921,0.9994453103
281,1180.350054,0.9994520088
282,1111.726672,0.9994584336
283,1123.392784,0.9994649112
284,1077.928941,0.999471281
285,1234.869206,0.9994785138
286,1225.69937,0.9994855494
287,1292.892774,0.9994931895
288,1359.263512,0.9995011864
289,1381.587743,0.9995094225
290,1354.051617,0.9995176178
291,1343.664466,0.9995252781
292,1206.930946,0.9995327558
293,1254.711798,0.9995402519
294,1150.145013,0.9995471682
295,1137.706481,0.99955398
296,1081.610379,0.999560625
297,1028.792868,0.9995669588
298,946.6287147,0.999572602
299,890.4903467,0.9995780264
300,874.6059244,0.9995833882
301,854.5789432,0.9995886384
302,841.896542,0.999593986
303,889.6696794,0.9995993938
304,816.1478603,0.9996044291
