freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.805939902e+11,0.8770778881
1,403387180.2,0.887165117
2,101053466.2,0.8922190677
3,71458523.17,0.8966863544
4,69742846.65,0.9019183902
5,28734759.9,0.9055111432
6,46819722.92,0.9107796936
7,22016612.32,0.9140830203
8,20620867.83,0.9176925845
9,11796435.37,0.9197574825
10,7691104.957,0.9213922555
11,10660561.13,0.9235249067
12,10910091.49,0.9262531191
13,9539042.697,0.9289962872
14,7334803.752,0.9310138681
15,5774160.858,0.9327465543
16,5292433.173,0.9343346856
17,4965095.727,0.9361349878
18,3927439.256,0.9376081499
19,3532378.09,0.9389331265
20,4823619.263,0.9408027515
21,2968675.503,0.9421389932
22,3490734.419,0.9436229304
23,2419381.254,0.9446816772
24,2458573.198,0.9458497947
25,1970752.15,0.9468847012
26,1930056.456,0.9479465006
27,1840822.891,0.9488901608
28,1438366.199,0.949645494
29,1360756.913,0.9504621545
30,1404163.755,0.9512873093
31,1219822.185,0.9520803941
32,1518236.173,0.9530295316
33,1019153.634,0.9536921489
34,1116455.311,0.9544878245
35,990495.9642,0.9551318096
36,900805.3703,0.9557850586
37,755687.0722,0.9563236217
38,729867.4165,0.9569076633
39,780812.1938,0.9575129457
40,670618.0028,0.9580076515
41,649594.0342,0.958559946
42,659085.9941,0.9591038294
43,776292.5569,0.9598026693
44,782282.4809,0.9604775586
45,611990.0108,0.9609978816
46,682295.891,0.9616291648
47,568967.2633,0.9621484787
48,521147.8151,0.9626567263
49,558292.6212,0.9631872383
50,471414.324,0.9636823485
51,453873.2863,0.9641420114
52,545700.4901,0.9646742039
53,450333.2442,0.9651584345
54,442368.2263,0.9656064455
55,465248.6897,0.9661532509
56,412865.5602,0.9665971936
57,396289.5436,0.9670431321
58,381287.6716,0.9674769564
59,372338.7648,0.9679052543
60,281978.3675,0.9682507651
61,353536.1818,0.9686795361
62,355992.0932,0.9691157366
63,336328.1766,0.9695362531
64,349301.5995,0.9699598884
65,356834.9175,0.9704417373
66,290889.6017,0.9708054412
67,276615.1419,0.9711720489
68,257949.9627,0.9715364954
69,277065.7936,0.971896772
70,292224.2648,0.9723059894
71,305251.5127,0.9727143665
72,280091.2777,0.9731346096
73,235456.4702,0.9734761078
74,207908.0414,0.9737776507
75,246356.2746,0.9741441983
76,223983.9082,0.9744802591
77,215690.0906,0.9748146632
78,225585.4654,0.9751503064
79,204179.8484,0.9754668652
80,212070.0632,0.9758115662
81,196337.9603,0.9761184218
82,214261.4654,0.9764774005
83,207012.1544,0.976803527
84,209159.2015,0.9771539573
85,190918.9381,0.9774809886
86,214860.5162,0.9778463438
87,196451.9189,0.978185309
88,198373.3822,0.9785102276
89,176990.2235,0.9788421681
90,180180.1951,0.9791530575
91,163700.5914,0.9794477931
92,180231.3381,0.979774545
93,166790.9231,0.9800790154
94,152374.7512,0.9803686006
95,160690.0513,0.9806599249
96,172432.6091,0.9809833178
97,152651.2208,0.9812848802
98,164885.3878,0.9815982416
99,142413.8913,0.981884922
100,151988.6106,0.9821737734
101,152610.1665,0.9824905195
102,156896.5378,0.9828063536
103,137138.5739,0.9830738415
104,116629.7005,0.9833188257
105,134327.5472,0.9835892283
106,134544.9907,0.9838819376
107,113813.4348,0.9841210062
108,132326.461,0.9843956531
109,118833.5035,0.9846497239
110,119369.5455,0.9849064333
111,121899.0179,0.9851807754
112,105896.471,0.9854124825
113,125370.7776,0.985691503
114,102787.9456,0.9859305454
115,116013.9193,0.9861916427
116,95548.86003,0.9864054873
117,108606.8236,0.9866553462
118,100445.9594,0.9868914538
119,91336.59044,0.9871072911
120,79275.36122,0.9872936353
121,86020.11769,0.9874915316
122,86080.47056,0.9876992532
123,93567.25711,0.9879402498
124,84056.82693,0.9881378333
125,82252.26125,0.9883455727
126,77479.62953,0.9885286646
127,80683.81992,0.9887344604
128,78364.5313,0.9889363001
129,82454.27554,0.989139395
130,84161.71242,0.9893603754
131,82000.75055,0.9895674796
132,81195.20512,0.9897867621
133,68144.88774,0.9899665397
134,81227.49968,0.9901696598
135,66115.55599,0.9903515235
136,70997.05669,0.990540601
137,65604.81914,0.9907194193
138,62152.36565,0.9908872731
139,71187.62758,0.9910768581
140,63085.8901,0.9912566983
141,58131.63675,0.9914151471
142,62818.47487,0.9915910833
143,60717.46236,0.9917618943
144,53855.46597,0.9919154212
145,61581.11748,0.9920955915
146,49960.41428,0.99223739
147,56815.54784,0.9923993552
148,53281.44969,0.9925579076
149,51486.76072,0.992709832
150,45765.4729,0.9928454464
151,43586.35599,0.9929707889
152,45245.89054,0.9931088238
153,48955.19794,0.9932538902
154,43178.42239,0.9933888569
155,43353.46858,0.9935189502
156,40817.63618,0.9936434754
157,37207.96259,0.9937621058
158,38033.37639,0.9938762348
159,35538.24344,0.9939873198
160,31577.64223,0.9940864197
161,34048.37206,0.9941988078
162,35259.39609,0.9943116664
163,35397.92872,0.9944218703
164,33884.95254,0.9945320242
165,32848.27472,0.9946379867
166,27309.81384,0.9947301806
167,28439.97001,0.9948215671
168,26740.76368,0.9949071592
169,26847.27088,0.9949991343
170,26364.32726,0.9950878068
171,25760.68486,0.9951747711
172,26816.83693,0.9952639596
173,22741.07872,0.9953430048
174,23766.70704,0.9954253178
175,22544.14286,0.9955014236
176,20697.40888,0.9955733652
177,20735.93838,0.995643626
178,20657.00526,0.99571801
179,18574.03856,0.9957839645
180,19107.36576,0.9958501405
181,18474.61029,0.9959162039
182,19171.35112,0.995986197
183,17172.07715,0.9960493204
184,15900.93799,0.9961047889
185,16937.57617,0.9961666267
186,16788.73485,0.9962296004
187,16481.88042,0.9962899805
188,13535.52102,0.9963400746
189,16640.20483,0.9964008267
190,15264.93299,0.996457703
191,14559.28302,0.9965135883
192,14738.03071,0.9965677643
193,12991.65757,0.9966184446
194,13965.93348,0.9966706554
195,13035.56003,0.996721507
196,13020.12552,0.9967722983
197,13612.36464,0.9968243788
198,12139.58522,0.9968721905
199,11887.15112,0.9969179676
200,10231.77041,0.9969594167
201,10896.98833,0.997001517
202,11656.58443,0.9970466976
203,10937.4651,0.9970920996
204,11114.56505,0.9971361522
205,9605.150423,0.9971757835
206,10579.99346,0.997217585
207,9999.567703,0.9972583435
208,9215.918078,0.997296484
209,9499.710616,0.9973352051
210,10215.82443,0.9973771006
211,9417.959094,0.9974167838
212,8572.392143,0.9974525826
213,8915.760203,0.9974900382
214,9763.482938,0.9975310552
215,8790.166335,0.9975674337
216,8813.17941,0.9976055604
217,7921.491727,0.9976396314
218,7995.588966,0.9976735213
219,7805.76925,0.9977072898
220,7806.473381,0.9977410613
221,8110.787444,0.9977764535
222,8295.612878,0.9978133784
223,7048.642984,0.9978436952
224,6851.182398,0.997874362
225,7530.294967,0.9979072212
226,6386.889965,0.99793565
227,6348.397309,0.9979637488
228,6465.894123,0.9979930952
229,6506.781722,0.9980235221
230,6112.276463,0.9980502701
231,6110.762664,0.9980777755
232,5753.131716,0.9981038869
233,5822.56556,0.9981306775
234,5978.106944,0.9981589312
235,6338.122145,0.9981875392
236,5603.510699,0.998213462
237,5822.435603,0.9982411255
238,5189.146273,0.9982646772
239,5758.029311,0.9982923227
240,5369.813343,0.9983168959
241,5108.479507,0.9983419337
242,5605.20904,0.9983690558
243,5176.761699,0.9983935222
244,5012.022232,0.9984178366
245,4906.7726,0.9984407202
246,4531.871511,0.998463612
247,4590.270155,0.9984857656
248,4563.855707,0.9985075635
249,4444.05996,0.9985292894
250,4788.342192,0.9985525187
251,4237.593997,0.998573712
252,4059.597812,0.9985937614
253,3941.699351,0.9986133763
254,3705.185805,0.9986320922
255,3761.556735,0.9986511869
256,3819.689153,0.9986702424
257,3733.663453,0.9986888221
258,3423.671635,0.9987065441
259,3659.590189,0.9987250754
260,3269.687363,0.9987418368
261,3498.82425,0.9987597728
262,3252.960344,0.9987764891
263,3432.156899,0.998794255
264,3304.795619,0.9988111964
265,3284.179351,0.9988286891
266,3266.874546,0.998845722
267,3117.659608,0.9988619379
268,3096.724494,0.9988785096
269,3082.709816,0.9988946593
270,2809.150493,0.9989094814
271,2827.733629,0.998924755
272,2570.806492,0.9989386408
273,2744.742369,0.9989532946
274,2965.467741,0.9989689414
275,2674.747218,0.9989837231
276,2610.535396,0.9989977909
277,2708.279123,0.9990126902
278,2656.434616,0.999027105
279,2371.944429,0.9990400651
280,2358.030185,0.9990532144
281,2283.961807,0.9990656651
282,2451.3031,0.9990792733
283,2173.691793,0.9990913132
284,2381.353007,0.9991048308
285,2265.05961,0.9991175749
286,2032.908588,0.9991287842
287,2245.537447,0.9991415308
288,2084.112092,0.999153309
289,2333.284123,0.9991666705
290,2029.648291,0.9991784708
291,1811.647906,0.9991883921
292,2050.596581,0.9992005962
293,1733.522781,0.9992105448
294,1902.5629,0.9992215349
295,1855.183429,0.9992322049
296,1695.764206,0.9992422124
297,1713.176717,0.9992523441
298,1802.697009,0.9992626672
299,1802.79929,0.9992732162
300,1591.978193,0.9992825914
301,1637.981846,0.9992922579
302,1669.341671,0.9993024435
303,1682.417825,0.9993122671
304,1666.856971,0.9993221457
305,1590.486527,0.9993318899
306,1584.972219,0.9993412832
307,1590.887372,0.9993509304
308,1430.228814,0.9993594066
309,1400.354088,0.9993682661
310,1378.806155,0.9993765583
311,1336.17299,0.9993847444
312,1302.067629,0.9993926239
313,1388.246013,0.9994011638
314,1378.804575,0.9994099042
315,1343.901734,0.9994182049
316,1436.932341,0.9994270442
317,1330.3324,0.9994353443
318,1294.761939,0.9994435033
319,1165.95815,0.9994507633
320,1073.571391,0.9994574345
321,1133.652472,0.9994645783
322,1026.497791,0.9994711752
323,1138.384325,0.9994784343
324,1163.110531,0.999485691
325,1126.374123,0.999492958
326,1107.521604,0.9995001033
327,1100.753519,0.9995072738
328,1105.487155,0.9995144612
329,1016.122966,0.9995209153
330,1010.864154,0.9995275128
331,1036.209109,0.9995341592
332,898.928663,0.9995399587
333,945.4531591,0.9995463422
334,851.8279296,0.9995518698
335,954.1002063,0.9995581923
336,872.7975284,0.9995638887
337,907.9358694,0.9995697691
338,946.1808764,0.9995762876
339,889.5235176,0.9995821822
340,950.9937473,0.9995886506
341,854.2064491,0.9995943218
342,924.695424,0.9996004263
343,866.9101942,0.9996064529
344,904.1544683,0.9996124105
345,919.546447,0.99961878
346,830.4034515,0.9996243658
347,849.7728856,0.9996301883
348,753.6108329,0.9996353235
349,750.2856497,0.9996403705
350,734.0890405,0.9996454737
351,791.2648222,0.9996509843
352,712.970547,0.9996559407
353,741.2776739,0.9996611124
354,785.7992015,0.9996664768
355,755.1768692,0.9996718494
356,673.5592366,0.9996764812
357,708.1929862,0.9996815638
358,702.9315594,0.9996864592
359,669.3766172,0.9996911126
360,686.6199238,0.9996960746
361,627.4097628,0.9997004441
362,620.6311352,0.9997049138
363,698.0426424,0.9997098013
364,613.8331935,0.9997142834
365,697.6991294,0.9997193168
366,584.2865154,0.9997235248
367,580.2957509,0.9997276749
368,609.6353241,0.9997320883
369,652.3167665,0.999736884
370,563.0432453,0.9997409671
371,578.5668245,0.9997451483
372,534.404379,0.9997490438
373,524.9821587,0.9997528902
374,495.1153983,0.9997566045
375,515.2495555,0.9997603604
376,523.6024815,0.9997641967
377,505.7200495,0.9997679906
378,483.9839704,0.9997715548
379,460.879984,0.9997750123
380,471.8584964,0.9997784577
381,465.2070743,0.9997820058
382,425.1936686,0.9997852222
383,491.7112072,0.9997889109
384,409.9968209,0.9997920072
385,408.1709068,0.9997950846
386,408.1631655,0.9997982282
387,391.259878,0.9998011634
388,374.3431208,0.9998040279
389,381.7225842,0.9998069631
390,361.9958933,0.999809715
391,347.039515,0.9998124139
392,427.5566511,0.9998156481
393,365.8322666,0.9998184932
394,372.376321,0.9998214357
395,360.7313291,0.9998241869
396,340.6150721,0.9998268572
397,430.2940284,0.999830139
398,346.033527,0.9998329253
399,318.5837427,0.9998354148
400,330.7515858,0.9998379954
401,324.8814179,0.9998405951
402,339.6930854,0.9998432411
403,295.0625683,0.9998456096
404,308.9214041,0.9998480352
405,331.8357567,0.9998506574
406,330.0535376,0.9998533439
407,288.4713548,0.9998556162
408,317.2601571,0.9998581945
409,302.8698254,0.999860584
410,326.2595191,0.9998632193
411,320.7206028,0.9998658418
412,292.1078033,0.9998681491
413,245.2319832,0.9998700272
414,249.5061149,0.999871902
415,248.8476865,0.9998738202
416,281.3961237,0.999875882
417,233.1417811,0.99987758
418,238.3839087,0.9998792893
419,256.9376172,0.9998811847
420,250.7292805,0.9998830029
421,246.2274926,0.9998847608
422,234.6258442,0.9998864432
423,230.0896638,0.99988806
424,245.1622837,0.9998897873
425,246.6290465,0.999891525
426,229.6305771,0.9998931112
427,215.6478227,0.9998946292
428,243.4728424,0.9998963172
429,229.4812366,0.999897891
430,227.8253656,0.9998994264
431,206.0914187,0.9999008179
432,241.1837929,0.9999025262
433,263.3417701,0.9999042943
434,233.3041736,0.9999058987
435,248.3103662,0.9999075441
436,256.1817284,0.9999092706
437,214.3830524,0.9999107288
438,244.9183563,0.9999123518
439,244.4082206,0.9999140081
440,224.6098794,0.9999154993
441,225.2708579,0.9999169977
442,233.1526171,0.9999185384
443,207.1177593,0.9999198642
444,212.5824599,0.9999213075
445,215.8901066,0.9999227206
446,197.0038066,0.9999240261
447,213.8347627,0.9999254177
448,223.3686532,0.9999268169
449,190.6121917,0.9999281098
450,167.7324746,0.9999292024
451,186.4735713,0.9999304207
452,190.5304058,0.9999316404
453,166.8243818,0.9999327156
454,172.6703886,0.9999338404
455,178.8952319,0.9999349666
456,148.7588255,0.9999359384
457,139.3144836,0.999936839
458,165.0579656,0.9999378905
459,149.8472225,0.9999388488
460,170.6877432,0.9999399127
461,138.2279935,0.9999408096
462,140.5540225,0.999941691
463,140.6235027,0.9999425921
464,134.9025727,0.9999434481
465,140.0929313,0.9999443318
466,136.9047616,0.9999452073
467,138.4069965,0.9999460613
468,119.1661029,0.9999468152
469,119.0407331,0.9999475661
470,133.866672,0.9999484139
471,125.6904105,0.9999492036
472,123.1076366,0.9999499586
473,120.4275553,0.9999507137
474,119.7026058,0.9999514673
475,120.893051,0.9999522283
476,122.0038711,0.9999529766
477,110.7985227,0.9999536519
478,115.0162959,0.9999543832
479,110.6662088,0.9999550605
480,113.2835843,0.9999557694
481,109.4162571,0.9999564418
482,98.86550966,0.999957058
483,102.3390206,0.9999576914
484,116.091992,0.9999583888
485,100.8307848,0.9999590223
486,107.2777444,0.9999596641
487,103.7197932,0.9999603223
488,107.6352986,0.9999609864
489,90.10904359,0.9999615233
490,98.61069104,0.9999621305
491,106.8040652,0.9999627742
492,94.53885466,0.9999633575
493,99.61759642,0.9999639684
494,107.8902714,0.9999646153
495,91.01674953,0.9999651814
496,97.27711926,0.9999657591
497,101.3760891,0.9999663847
498,93.70551148,0.99996695
499,86.03379592,0.9999674701
500,99.28575758,0.9999680752
