freq_radius,radial_mean_power,cumulative_energy_fraction
0,6.502141753e+11,0.9279555912
1,453289665.2,0.9331309035
2,291968358.2,0.9397978433
3,298757945.5,0.9483253136
4,88794788.75,0.9513666852
5,56475726.9,0.954590667
6,57665729.13,0.95755339
7,28924449.03,0.9595348125
8,26342836.73,0.961640148
9,22639704.15,0.963449527
10,12545379.23,0.9646670116
11,20785584.2,0.9665655219
12,13673567.13,0.9681266645
13,13192737.82,0.9698588465
14,8507625.577,0.9709273152
15,7836840.566,0.9720010153
16,7467198.903,0.973024072
17,4943895.049,0.973842533
18,6754562.722,0.974999309
19,5960539.188,0.9760201017
20,4151273.479,0.9767547403
21,5107818.899,0.9778044489
22,4372289.851,0.9786530794
23,3990589.316,0.9794504052
24,3763491.672,0.9802668095
25,2698526.359,0.9809138131
26,2825247.265,0.9816234561
27,1964053.41,0.9820831491
28,2006789.071,0.9825643005
29,2252980.314,0.9831816476
30,1645121.636,0.9836230418
31,1571394.804,0.9840895072
32,1556357.838,0.9845337395
33,972459.3459,0.9848224121
34,988049.945,0.9851439147
35,1134151.417,0.9854805853
36,917443.4298,0.9857843505
37,940480.1615,0.9860903743
38,995466.3739,0.9864540693
39,858125.9023,0.9867577894
40,779766.61,0.9870204212
41,647457.1948,0.9872717549
42,640951.5857,0.9875132453
43,584426.5862,0.9877534565
44,603659.0673,0.9879912345
45,599064.0967,0.9882237827
46,781517.8888,0.9885539251
47,600623.4176,0.9888042223
48,567694.6102,0.9890570007
49,635983.7151,0.9893329253
50,491721.4234,0.9895687174
51,462162.5145,0.9897824203
52,490075.4953,0.9900006372
53,435574.1897,0.9902144783
54,504094.1655,0.9904475704
55,507245.742,0.9907197634
56,458531.5171,0.9909448753
57,351907.394,0.9911256766
58,342552.1125,0.991303627
59,366398.8427,0.9914960569
60,320896.5984,0.9916755807
61,361368.7062,0.9918756834
62,294963.1704,0.9920406989
63,269076.4881,0.9921943043
64,256428.6117,0.9923362979
65,226428.6815,0.9924758981
66,193957.9278,0.9925866212
67,231122.1049,0.9927264763
68,256186.3809,0.9928917353
69,208920.8989,0.9930157708
70,211288.6733,0.9931508613
71,170731.076,0.9932551476
72,184417.4702,0.9933814798
73,177407.0498,0.9934989586
74,168030.169,0.9936102281
75,183094.8153,0.993734609
76,152247.9583,0.993838904
77,135262.6671,0.9939346522
78,148327.3317,0.9940354147
79,149205.2351,0.9941410323
80,151646.227,0.994253572
81,177883.3355,0.9943805054
82,140830.7828,0.9944882346
83,143038.926,0.9945911204
84,133474.9974,0.9946932227
85,146500.1359,0.9948077975
86,114833.813,0.9948969512
87,113748.6956,0.9949865612
88,90104.35221,0.9950539438
89,91639.7762,0.9951324142
90,95081.92826,0.9952073187
91,94072.84096,0.9952846504
92,96686.17338,0.9953646823
93,90971.52858,0.9954405032
94,78978.23733,0.9955090334
95,74702.41816,0.9955708683
96,78319.20021,0.9956379324
97,80466.14718,0.9957105097
98,72919.80611,0.9957737829
99,74519.28995,0.9958422726
100,76585.05443,0.9959087262
101,68575.59656,0.9959737105
102,67550.14152,0.996035795
103,69766.14017,0.9960979248
104,68241.55002,0.9961633717
105,63962.02388,0.9962221583
106,64335.67689,0.9962860629
107,58523.87617,0.9963421901
108,67753.49589,0.9964063953
109,56956.38946,0.9964619946
110,50112.53296,0.9965111992
111,55426.32714,0.9965681526
112,55733.90659,0.9966238312
113,51461.4654,0.9966761229
114,47559.28941,0.9967266214
115,43219.63152,0.9967710318
116,43135.56136,0.9968151095
117,40103.63741,0.9968572338
118,39187.84122,0.996899291
119,41491.88551,0.9969440577
120,40379.75714,0.9969873941
121,37626.311,0.9970269162
122,34799.79342,0.9970652573
123,30698.77885,0.9971013583
124,32781.21019,0.9971365397
125,31371.85971,0.9971727159
126,36172.60462,0.9972117435
127,33061.57773,0.9972502456
128,28808.34004,0.9972841235
129,30863.2054,0.9973188322
130,29495.34809,0.9973541915
131,32372.93072,0.997391522
132,29848.9647,0.9974283276
133,25454.57066,0.9974589881
134,29499.92909,0.9974926688
135,26442.73398,0.9975258781
136,28540.9001,0.997560582
137,32903.60051,0.9976015298
138,27428.02797,0.9976353502
139,23886.75001,0.997664395
140,27926.32631,0.9977007429
141,27180.24901,0.9977345681
142,24404.30302,0.9977657746
143,26005.19074,0.9977991767
144,24456.98197,0.997831009
145,22787.51503,0.9978614489
146,21930.13638,0.9978898672
147,23319.95302,0.9979202196
148,22861.48873,0.9979512804
149,25946.09249,0.9979862359
150,22381.90084,0.9980165173
151,22825.99276,0.9980464874
152,20721.64308,0.9980753506
153,22033.50803,0.9981051606
154,19992.30004,0.9981336927
155,19698.4979,0.998160681
156,18047.80466,0.9981858198
157,17626.00893,0.9982114779
158,18720.47632,0.9982371263
159,19165.64795,0.9982644786
160,16993.6118,0.9982888281
161,16567.42495,0.9983137964
162,14758.13399,0.9983353641
163,15500.49228,0.9983573972
164,14443.31742,0.9983788345
165,14785.91052,0.9984006115
166,15755.74371,0.9984248963
167,14360.30286,0.9984459645
168,14522.30404,0.9984671874
169,14063.81002,0.9984891855
170,14273.50846,0.9985111041
171,12606.02552,0.9985305341
172,13833.01741,0.9985515395
173,14006.29572,0.9985737674
174,13495.56061,0.9985951077
175,12379.98078,0.9986141893
176,12069.0288,0.9986333428
177,11650.2472,0.9986513661
178,11642.75548,0.9986705078
179,11395.73782,0.9986889831
180,10935.30724,0.9987062749
181,11081.29646,0.998724367
182,10602.98277,0.9987420412
183,11586.77003,0.9987614877
184,10629.61121,0.9987784175
185,10105.9877,0.9987952633
186,10424.96379,0.998813117
187,9642.278984,0.9988292449
188,9769.129836,0.9988457523
189,9652.246942,0.9988618417
190,9438.889697,0.9988778989
191,9633.747186,0.9988947824
192,9162.776346,0.9989101606
193,8102.992303,0.9989245928
194,8825.287417,0.9989396564
195,8330.53405,0.9989544939
196,7257.241821,0.9989674196
197,7403.235377,0.9989803519
198,7694.636994,0.9989941885
199,7684.691333,0.9990077001
200,7614.490297,0.9990217838
201,7460.129681,0.9990349432
202,6948.454267,0.9990472397
203,7091.790343,0.9990606805
204,6797.178813,0.9990729808
205,7123.180559,0.9990863998
206,7323.181846,0.9990996103
207,7061.314455,0.9991127514
208,6570.038272,0.9991251658
209,6621.674063,0.9991374888
210,6100.6893,0.9991489119
211,6428.05305,0.9991612782
212,5833.987969,0.9991724018
213,6276.487961,0.9991844407
214,5571.567843,0.9991951275
215,6076.189449,0.9992066087
216,5658.298065,0.9992177849
217,6191.366201,0.9992299433
218,5710.177848,0.9992409937
219,5539.08594,0.9992519344
220,5638.98447,0.9992630724
221,5261.48491,0.9992735549
