freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.588866032e+11,0.9211808404
1,170147324.1,0.9239133055
2,515141120.9,0.9404590273
3,132560684,0.9457811423
4,91960879.89,0.9502116539
5,54530761.17,0.9545903123
6,31162539.6,0.9568423459
7,23472104.16,0.9591040343
8,19387340.92,0.9612834787
9,16495678.54,0.9631378544
10,13237517.25,0.9649448412
11,10904727.72,0.9663458289
12,9871242.687,0.9679310919
13,8033622.277,0.9694147668
14,7787820.377,0.9707905123
15,5256641.288,0.9718035349
16,4083976.31,0.9725905697
17,2828613.661,0.9732492446
18,3717696.632,0.9741448047
19,2673279.836,0.974788774
20,2014257.559,0.9752901646
21,2328566.732,0.9759632819
22,1678701.316,0.976421584
23,1598273.717,0.9768707622
24,1566152.987,0.9773486405
25,1370736.851,0.9778109181
26,1085593.238,0.9781944658
27,1111600.284,0.9785604244
28,1328102.722,0.9790083238
29,946807.9212,0.979373248
30,1117776.167,0.9797950923
31,773683.1174,0.9801181395
32,845602.2943,0.9804576363
33,772680.7096,0.9807802649
34,773088.9519,0.9811341024
35,784011.3974,0.9814614621
36,644051.8807,0.9817614118
37,653275.4511,0.9820604114
38,522935.383,0.9823291485
39,530806.4272,0.982593406
40,478038.7609,0.982819878
41,486885.2442,0.983085727
42,424189.8382,0.9833105309
43,372538.7464,0.9835259099
44,354458.2516,0.9837222974
45,377906.7115,0.9839286419
46,405283.7902,0.9841694608
47,332813.5578,0.9843645455
48,350208.3022,0.9845838869
49,329485.9844,0.9847849582
50,318109.0498,0.9849995212
51,277764.303,0.9851801807
52,250987.6842,0.9853373786
53,217804.8678,0.9854877847
54,248326.3063,0.9856492976
55,264480.8867,0.9858489257
56,242365.0953,0.986016292
57,240730.1703,0.9861902613
58,230415.4829,0.9863586266
59,224970.1803,0.9865248194
60,207870.6349,0.9866883951
61,199988.597,0.9868441624
62,185306.3221,0.986989982
63,171852.0946,0.9871279742
64,185871.8393,0.9872727462
65,168476.8548,0.9874188507
66,174050.434,0.9875586081
67,173935.5934,0.9877066531
68,147517.6356,0.9878405042
69,168346.2534,0.9879810883
70,161457.7774,0.9881262916
71,139619.8324,0.9882462499
72,148827.4381,0.9883896548
73,136615.6493,0.9885169048
74,155689.7516,0.9886619213
75,157277.9087,0.9888122058
76,154504.5781,0.988961081
77,152951.8282,0.9891133725
78,143682.0686,0.9892506657
79,117863.1215,0.9893680201
80,113725.9274,0.9894867342
81,124294.7104,0.9896114904
82,111298.3453,0.9897312452
83,113794.0521,0.9898463755
84,104687.0683,0.9899590167
85,118946.3618,0.990089866
86,100509.5384,0.9901996264
87,94871.7834,0.9903047537
88,90180.92099,0.9903996142
89,90128.31904,0.9905081698
90,97927.52823,0.9906166832
91,94427.41186,0.9907258675
92,85164.46297,0.990825025
93,84881.05632,0.9909245342
94,82194.62722,0.991024854
95,83913.98185,0.9911225556
96,84983.72435,0.9912249147
97,70444.72371,0.9913142875
98,75163.9868,0.9914060262
99,79010.71492,0.9915081699
100,76159.62625,0.9916011239
101,73718.86667,0.991699386
102,74498.02828,0.9917956957
103,81128.33148,0.9918973198
104,82048.84022,0.9920080029
105,76938.43316,0.9921074675
106,70540.36536,0.9922060243
107,67834.13764,0.9922975319
108,69447.5638,0.9923901007
109,79004.4874,0.9924985801
110,76060.91361,0.9926036285
111,76048.26533,0.9927135446
112,65933.95377,0.9928061949
113,69565.92308,0.9929056246
114,66752.54064,0.9930053212
115,71135.03733,0.993108136
116,56382.81156,0.9931891759
117,52683.64309,0.9932670142
118,56513.44015,0.993352326
119,45914.72964,0.9934220068
120,54553.5995,0.9935043601
121,48914.49588,0.9935766295
122,53503.45591,0.9936595456
123,49100.66761,0.993740764
124,51516.85762,0.993818533
125,51755.57009,0.9939024805
126,46630.19802,0.9939732472
127,45117.83024,0.9940471529
128,47636.75786,0.9941259497
129,46031.93777,0.9941987654
130,51961.34541,0.9942863846
131,45843.12618,0.9943607422
132,42821.18774,0.9944350119
133,42484.39287,0.9945069918
134,42595.15321,0.9945753971
135,39491.37482,0.99464516
136,34835.14748,0.9947047395
137,34807.26216,0.9947656687
138,35714.68107,0.9948276129
139,39002.10858,0.9948943192
140,40339.5449,0.9949681717
141,35680.05928,0.9950306288
142,42421.49606,0.9951069304
143,40177.93649,0.9951795192
144,34330.91796,0.9952423713
145,38009.41775,0.9953137891
146,37695.14924,0.9953824977
147,38018.10337,0.9954521002
148,32997.5061,0.9955151607
149,32893.5128,0.9955774942
150,36438.38842,0.9956468379
151,33581.15959,0.9957088567
152,33211.59758,0.9957739264
153,31063.39971,0.9958330413
154,31872.75021,0.9958970235
155,27953.84841,0.9959508941
156,29557.60263,0.9960088048
157,27952.58321,0.9960660398
158,23458.66577,0.9961112477
159,25195.90701,0.9961618266
160,24489.68006,0.9962111845
161,23750.79331,0.9962615324
162,24352.93521,0.9963115924
163,22349.41623,0.9963562777
164,22984.42898,0.9964042628
165,23962.42786,0.9964539049
166,20618.37528,0.996498606
167,20934.69115,0.9965418075
168,20129.84596,0.9965831865
169,21067.56035,0.996629538
170,20461.07402,0.9966737338
171,20082.27722,0.9967172725
172,19651.08631,0.9967592453
173,18866.43542,0.9968013601
174,17182.09233,0.996839577
175,17704.90156,0.9968779615
176,17058.40772,0.9969160403
177,17626.15281,0.9969543957
178,16654.60033,0.9969929104
179,16073.05313,0.9970295639
180,17319.19512,0.9970680858
181,16625.10146,0.9971062652
182,16052.91916,0.9971439041
183,16172.73701,0.9971820836
184,16580.32163,0.9972192283
185,15632.10692,0.9972558805
186,16287.15912,0.9972951148
187,14784.24954,0.9973298977
188,15045.48629,0.9973656577
189,13693.97342,0.9973977656
190,14077.97777,0.9974314521
191,13891.61653,0.9974656966
192,12197.18192,0.9974944909
193,14247.14182,0.9975301838
194,12914.7271,0.9975611905
195,13379.49995,0.9975947098
196,13525.68657,0.9976285952
197,12633.33899,0.9976596365
198,12218.43747,0.9976905412
199,11439.1659,0.997718832
200,11544.53488,0.9977488665
201,11778.14056,0.9977780902
202,10603.69416,0.997804485
203,11055.31555,0.9978339569
204,10729.66005,0.9978612684
205,10831.96161,0.997889971
206,11427.94812,0.9979189681
207,11047.75786,0.9979478876
208,10246.42792,0.9979751209
209,10122.00876,0.9980016171
210,10713.5996,0.998029834
211,9304.575525,0.9980550122
212,9279.839103,0.9980799
213,9838.624035,0.9981064444
214,9598.450823,0.9981323409
215,8935.52191,0.99815609
216,8609.746644,0.9981800103
217,8118.34584,0.9982024349
218,8790.929823,0.9982263644
219,8550.424703,0.9982501199
220,8067.746158,0.9982725343
221,8381.915509,0.9982960235
222,8089.636467,0.9983191483
223,7843.346862,0.9983408134
224,7944.990275,0.9983636523
225,8178.702415,0.998386572
226,7816.409518,0.9984089158
227,7592.74938,0.9984304983
228,7497.67226,0.9984523524
229,6738.682235,0.9984725894
230,6782.297904,0.9984916504
231,6676.287481,0.9985109495
232,6467.502067,0.9985298008
233,6637.89812,0.9985494153
234,6369.314922,0.9985687477
235,6434.765683,0.9985874003
236,6428.378945,0.9986064989
237,6210.744959,0.9986254497
238,6263.758791,0.9986437072
239,6156.596332,0.9986626905
240,5908.747609,0.9986800555
241,5772.930076,0.9986982266
242,5620.306931,0.9987156917
243,5862.035576,0.9987334843
244,5433.226716,0.9987504117
245,5286.123123,0.998766244
246,5366.332508,0.9987836524
247,5413.871427,0.9988004325
248,5199.695747,0.9988163818
249,4793.475611,0.9988314315
250,5060.840492,0.9988471986
251,4715.88008,0.9988623455
252,4537.540832,0.9988767374
253,4580.131422,0.9988913746
254,4486.678736,0.9989059294
255,4557.277332,0.9989207864
256,4480.893169,0.9989351425
257,4458.673692,0.9989493917
258,4550.339329,0.9989645184
259,4317.538717,0.9989785591
260,4129.377263,0.9989921538
261,4238.879113,0.9990061089
262,4205.124825,0.9990199867
263,3930.423722,0.9990330526
264,4046.940856,0.9990463758
265,3920.249502,0.9990597857
266,3692.320737,0.999072149
267,3607.978623,0.9990842009
268,3688.600185,0.9990968776
269,3668.99069,0.9991092217
270,3808.361818,0.9991221265
271,3765.295057,0.9991351876
272,3392.34626,0.9991469551
273,3601.624894,0.9991593039
274,3649.961873,0.999171672
275,3648.198748,0.9991846199
276,3589.532017,0.9991970426
277,3490.489194,0.9992093747
278,3330.56514,0.9992209814
