freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.062454194e+11,0.4767632523
1,5362622273,0.6692761154
2,402064220.6,0.6981435352
3,387199942.8,0.7328937777
4,85037948.22,0.7420521137
5,120915514.4,0.7637558536
6,203020190.4,0.7965528665
7,80284043.47,0.8138455755
8,20586928.77,0.8190189289
9,24906865.13,0.8252778526
10,23251923.45,0.8323729826
11,26383295.7,0.8399500574
12,21028378.04,0.8474990382
13,16208030.56,0.8541903402
14,18091580.9,0.8613345097
15,16705443.86,0.8685310177
16,18981774.45,0.876708142
17,10868043.16,0.8823653468
18,10367423.92,0.8879480516
19,10601458.41,0.8936567805
20,11833472.88,0.900241336
21,7939423.677,0.905371651
22,5982778.268,0.9090228405
23,3730449.823,0.9113664313
24,4959336.839,0.9147491023
25,4572317.849,0.9181960782
26,5158209.285,0.9222699203
27,3399196.533,0.9247714904
28,4296755.582,0.9280107256
29,2810228.961,0.9304319525
30,2967938.314,0.9329357851
31,2137900.225,0.9349312465
32,2712183.756,0.9373653647
33,2604601.617,0.9397964332
34,2302339.767,0.9421520076
35,1554317.971,0.9436027682
36,1916651.953,0.9455981398
37,1959209.122,0.9476026497
38,1436217.499,0.9492525312
39,1381158.583,0.9507895804
40,1324939.614,0.9521927193
41,1666208.472,0.9542264376
42,1125877.582,0.9555602282
43,771079.488,0.956556744
44,687751.7006,0.9574085355
45,793170.7873,0.9583766533
46,690723.2637,0.9592941158
47,675280.0768,0.9601789448
48,614751.4983,0.9610396348
49,645741.699,0.9619205315
50,569427.4431,0.9627790907
51,570819.9467,0.9636090116
52,597875.4219,0.964446074
53,525104.804,0.9652566561
54,490425.378,0.9659696905
55,510365.9266,0.9668308073
56,417615.4042,0.9674754626
57,334086.3811,0.9680151643
58,323390.1817,0.9685433915
59,412948.2918,0.9692253157
60,321683.0976,0.9697911729
61,331133.7256,0.9703677106
62,329522.6351,0.9709473579
63,333560.0345,0.9715460818
64,259776.2423,0.9719983788
65,299743.8767,0.9725794464
66,245581.5468,0.9730202532
67,277793.2149,0.9735487958
68,311737.3709,0.974181091
69,271256.1219,0.974687458
70,223353.1798,0.975136475
71,197559.5803,0.9755159074
72,258944.2305,0.976073658
73,220937.2936,0.976533681
74,214213.9683,0.9769797051
75,189145.0721,0.9773837173
76,235915.1396,0.9778918646
