freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.499875482e+11,0.8281002234
1,1074503067,0.8484391465
2,440692128.2,0.8651225858
3,244707885.3,0.876702578
4,227438592.1,0.889617914
5,146365164.1,0.9034704097
6,135363333.2,0.9150005303
7,81619925.69,0.9242702743
8,37961853.48,0.9293002483
9,22895585.39,0.9323339305
10,14639592.88,0.9346893498
11,17898250.24,0.9373996716
12,9579386.975,0.939212923
13,9314125.878,0.94124042
14,7281176.138,0.9427564735
15,8660853.275,0.9447237356
16,5830453.534,0.946048089
17,8436462.558,0.9483636097
18,7052480.068,0.9503660217
19,6214388.312,0.952130474
20,3733039.346,0.9532257273
21,2772492.436,0.9541703604
22,2598784.519,0.9550066169
23,2988103.843,0.9559964319
24,2375586.376,0.9568507994
25,2094108.961,0.9576832124
26,2380293.779,0.9586744404
27,1951845.018,0.9594318302
28,1868035.485,0.9601743785
29,2043691.192,0.9611028035
30,2300393.215,0.9621260735
31,1727914.818,0.9629764592
32,1385383.171,0.963632046
33,1154827.705,0.9642003895
34,1044555.832,0.9647638932
35,1153161.219,0.9653314165
36,1052429.698,0.9659091285
37,968689.4199,0.9664317048
38,990567.1099,0.9670317088
39,863118.9242,0.9675381776
40,997271.4594,0.96809505
41,883032.3764,0.9686633476
42,772539.8119,0.9691459118
43,655222.5905,0.9695924017
44,678236.0151,0.9700353166
45,564095.5032,0.9703983544
46,668738.508,0.9708667128
47,613663.4939,0.9712906909
48,622686.3715,0.9717503695
49,603213.1249,0.9721842545
50,574879.6656,0.9726412865
51,529698.4101,0.9730473593
52,484027.2049,0.9734046772
53,435203.5469,0.9737589038
54,456985.5686,0.9741092342
55,436309.8545,0.9744973963
56,431941.7203,0.974848968
57,454988.0493,0.9752365225
58,457874.1812,0.9756308689
59,469154.7443,0.9760393709
60,435583.2113,0.9764433766
61,340138.7946,0.976755638
62,317532.4169,0.977050151
63,335553.8104,0.9773677305
64,364479.4753,0.9777023375
65,325824.2006,0.9780353783
66,340527.9592,0.9783576655
67,315189.8679,0.9786738703
68,326188.6891,0.9790227194
69,308766.5876,0.9793266357
70,322929.4169,0.9796689428
71,278593.8085,0.9799510704
72,285441.0939,0.9802752517
73,255201.1588,0.9805554277
74,256638.6828,0.9808371819
75,242582.8426,0.9811103924
76,228270.5694,0.981369644
77,257982.2052,0.9816724063
78,261540.2129,0.9819669676
79,234087.9481,0.9822416881
80,211939.4867,0.9825024508
81,252500.9936,0.9828011702
82,254315.587,0.9831236987
83,219910.6497,0.9833859436
84,238572.5041,0.9836885064
85,198017.1672,0.9839452583
86,229349.7864,0.9842404659
87,185405.1699,0.9844826197
88,165131.2984,0.9846873542
89,197693.3726,0.9849680097
90,195828.1274,0.9852237767
91,210408.0054,0.9855105344
92,210627.7877,0.9857995851
93,178204.9046,0.9860458274
94,185683.4172,0.9863129478
95,197336.0549,0.9865837578
96,170502.5392,0.9868258119
97,152436.5688,0.9870537603
98,154142.7044,0.9872755069
99,146579.8301,0.9874988591
100,136025.7236,0.987694543
101,143606.8626,0.9879201609
102,151982.9263,0.9881517462
103,151983.8334,0.9883761407
104,155256.4638,0.9886229999
105,155505.7506,0.9888599531
106,128226.0851,0.9890711152
107,115489.3028,0.9892547442
108,124680.7308,0.9894506277
109,126263.8863,0.9896549734
110,123569.1445,0.9898561275
111,128531.853,0.9900750919
112,126810.1404,0.9902851224
113,121865.3217,0.9904904231
114,129224.9292,0.9907179064
115,113734.9452,0.9909116631
116,110562.6989,0.9910989692
117,101927.4545,0.9912764696
118,95366.61752,0.991446155
119,96337.81846,0.9916184803
120,87638.72254,0.9917744155
121,80844.08955,0.9919152005
122,72871.68745,0.9920483092
123,74767.5258,0.99219408
124,78064.25397,0.9923329794
125,74085.2702,0.9924746153
126,69696.73031,0.9925992861
127,68509.33093,0.9927315588
128,68888.42974,0.9928658673
129,67412.00124,0.9929915553
130,64498.55873,0.9931197469
131,61677.82286,0.9932376624
132,60556.86886,0.9933614586
133,65622.47179,0.9934925051
134,72680.75176,0.9936300802
135,63703.70612,0.9937627211
136,60702.20691,0.993885091
137,58722.31852,0.9940062484
138,61672.42046,0.9941323251
139,57142.98685,0.9942475199
140,55885.84969,0.9943681143
141,47598.87202,0.9944663215
142,46515.5378,0.994564935
143,47167.54259,0.9946653772
144,48135.91788,0.9947692482
145,45194.33948,0.9948693381
146,44706.87112,0.9949653866
147,40485.76779,0.9950527496
148,39722.29828,0.9951422245
149,35981.97568,0.9952225933
150,38385.40664,0.9953086936
151,34067.09129,0.9953828508
152,30102.06262,0.9954523655
153,34064.10038,0.9955287729
154,32929.54977,0.995606687
155,30858.35091,0.9956767799
156,33618.96444,0.9957544162
157,29659.95165,0.9958259977
158,29410.20218,0.9958928012
159,33665.48563,0.9959724566
160,37187.87847,0.9960607983
161,31718.03319,0.9961400485
162,31809.8666,0.9962171197
163,28353.017,0.996283937
164,27522.64487,0.9963516627
165,27758.06643,0.9964194424
166,27459.01546,0.9964896104
167,27038.0237,0.9965553759
168,24139.40635,0.9966138626
169,24246.02155,0.996676738
170,22779.8572,0.9967347334
171,21853.59806,0.9967905775
172,20293.44247,0.9968416665
173,19035.94201,0.9968917518
174,17733.77762,0.996938243
175,19654.11662,0.9969884666
176,17941.20341,0.9970356714
177,19347.8901,0.9970852956
178,16985.61135,0.9971315938
179,18640.98256,0.9971816984
180,15522.31892,0.997222392
181,15889.66029,0.9972654022
182,16039.6851,0.9973097292
183,16992.1532,0.9973570102
184,16427.00961,0.9974003865
185,17787.64227,0.9974495442
186,15056.87672,0.9974922952
187,15315.49107,0.9975347659
188,14438.49622,0.9975752145
189,15104.15518,0.9976169562
190,12982.99628,0.9976535731
191,13563.21848,0.9976929817
192,13874.59771,0.997731588
193,13236.81511,0.9977706746
194,11511.41802,0.9978032501
195,11488.96911,0.9978371756
196,10969.34819,0.9978695667
197,10782.81887,0.9979007946
198,10601.13601,0.9979323995
199,9588.914014,0.9979603513
200,9654.077105,0.997989955
201,10478.00999,0.9980205977
202,9964.477342,0.998049833
203,9310.772888,0.9980790889
204,9287.997368,0.9981069547
205,8975.583789,0.9981349876
206,9365.880411,0.9981629984
207,8301.863061,0.9981886128
208,9453.759124,0.9982182285
209,10036.84637,0.9982491959
210,8846.269507,0.9982766574
211,7628.191375,0.9983009874
212,7769.399731,0.9983255472
213,7075.034209,0.9983480459
214,6482.129911,0.9983686592
215,6342.076494,0.998388527
216,6558.817987,0.9984100049
217,6794.543205,0.9984321261
218,6415.041883,0.9984527082
219,6277.816963,0.998473266
220,6227.448017,0.9984936587
221,6857.69278,0.9985163101
222,6285.925544,0.9985374893
223,5890.328711,0.9985566666
224,5750.211836,0.9985761497
225,6286.332203,0.9985969138
226,5552.098783,0.9986156205
227,5127.769489,0.9986328004
228,5293.315231,0.9986509859
229,5458.663553,0.9986703077
230,5824.036844,0.9986896
231,5062.350724,0.9987068482
232,5173.61284,0.9987246224
233,5101.426173,0.9987423901
234,5072.724181,0.9987605379
235,4583.891684,0.9987761993
236,4476.540982,0.9987918753
237,4208.880199,0.9988070123
238,3850.884762,0.9988202422
239,3982.388943,0.9988347155
240,3890.226836,0.998848191
241,4065.248999,0.9988632732
242,4224.420912,0.9988787459
243,3840.763196,0.9988924863
244,3438.290892,0.9989051123
245,3563.107194,0.9989176908
246,3473.855149,0.9989309734
247,3316.731652,0.9989430902
248,3199.221211,0.9989546566
249,2998.245031,0.9989657518
250,3481.98053,0.9989785382
251,3549.916,0.9989919772
252,3471.129494,0.9990049537
253,3531.518811,0.9990182563
254,3272.894493,0.9990307705
255,3434.413905,0.9990439673
256,3108.404023,0.9990557055
257,2818.711114,0.999066323
258,2762.36632,0.9990771466
259,2762.771917,0.9990877365
260,3094.506195,0.9990997444
261,2808.100837,0.9991106408
262,2837.435255,0.999121678
263,2731.936259,0.9991323824
264,3110.670584,0.999144453
265,2678.121184,0.9991552507
266,2412.155184,0.9991647705
267,2536.55119,0.9991747574
268,2369.400127,0.9991843552
269,2492.258699,0.9991942384
270,2420.49719,0.9992039057
271,2364.388834,0.9992135727
272,2416.765662,0.9992234539
273,2686.558626,0.999234311
274,2586.3418,0.9992446408
275,2450.581989,0.9992548921
276,2472.511015,0.9992649778
277,2090.597189,0.9992736837
278,2200.457257,0.9992827221
279,2153.035235,0.9992916269
280,1958.732342,0.9992998949
281,1977.850609,0.9993080564
282,2123.579048,0.9993169801
283,2150.538643,0.9993259966
284,2028.047416,0.9993347108
285,2149.154951,0.9993438639
286,2139.98412,0.9993527957
287,2015.255005,0.9993614549
288,1858.586784,0.9993694057
289,1686.56975,0.9993767164
290,1671.937371,0.9993840745
291,1798.117837,0.9993915284
292,1745.193349,0.9993993905
293,1825.179106,0.9994073193
294,1878.130729,0.9994155315
295,1839.230032,0.9994235388
296,1776.985406,0.9994314768
297,1762.239966,0.9994393657
298,1731.573509,0.9994468715
299,1581.346921,0.9994538758
300,1578.352833,0.9994609116
301,1533.824984,0.9994677635
302,1419.86903,0.9994743213
303,1519.392228,0.9994810368
304,1606.566168,0.999488244
305,1630.50896,0.9994958055
306,1643.374242,0.9995031779
307,1496.678068,0.9995100479
308,1448.491374,0.999516546
309,1390.521976,0.9995232051
310,1262.625268,0.999528953
311,1253.691197,0.9995347671
312,1164.949311,0.9995401034
313,1171.673599,0.9995455592
314,1172.599908,0.9995511859
315,1263.058239,0.9995570912
316,1236.86484,0.9995628506
317,1344.77576,0.9995692015
318,1144.735841,0.999574662
319,1104.592463,0.9995798682
320,1150.613331,0.9995852804
321,1124.404747,0.9995906438
322,1186.721521,0.9995964169
323,1216.573117,0.999602289
324,1106.038274,0.9996075125
325,1172.550281,0.9996132388
326,1221.942057,0.9996192063
327,1201.833406,0.9996251324
328,1149.04149,0.9996307874
329,1166.753336,0.999636397
330,1084.390305,0.9996417543
331,993.421941,0.9996465775
332,903.14714,0.9996509882
333,921.8606024,0.9996556996
334,979.716682,0.9996605119
335,954.353644,0.999665299
336,962.9239954,0.9996700563
337,909.6155186,0.9996745157
338,949.4951097,0.9996794672
339,877.2967125,0.9996838678
340,875.0257935,0.9996883729
341,816.2216768,0.9996924749
342,857.3723172,0.9996967593
343,794.435161,0.9997009398
344,847.8977382,0.9997051688
345,928.0727592,0.999710035
346,1011.867187,0.9997151872
347,1001.926956,0.9997203837
348,998.3762742,0.9997255333
349,1048.014225,0.9997308696
350,906.6182487,0.9997356404
351,869.5204815,0.9997402242
352,863.3219061,0.9997447672
353,837.0190635,0.9997491875
354,737.7401466,0.9997529998
355,665.2768073,0.9997565825
