freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.845725018e+11,0.835126487
1,714387744.6,0.8518984273
2,622727059.1,0.8811384056
3,221956489.9,0.8941657883
4,154699457.9,0.9050615942
5,71661578.67,0.9134737187
6,45955642.25,0.9183288465
7,23658299.82,0.9216614534
8,19167672.36,0.9248114982
9,16489956.95,0.9275214831
10,12570806.93,0.930030083
11,11526005.85,0.9321948848
12,8487032.701,0.9341874162
13,9994917.991,0.9368859409
14,7233257.588,0.9387539368
15,7275232.387,0.9408035761
16,6866023.813,0.9427379297
17,4611770.701,0.9443078768
18,4775339.082,0.9459895623
19,3927892.231,0.9473728106
20,4350995.964,0.9489561342
21,3431074.301,0.9504060806
22,2710104.385,0.9514877243
23,3133275.725,0.9527750427
24,2094298.861,0.9537092464
25,2091731.799,0.9547405217
26,2695914.658,0.956132967
27,2277984.668,0.957229329
28,2050851.136,0.9582404491
29,1980483.007,0.9593563655
30,2017005.622,0.9604691839
31,1381258.714,0.96131232
32,1330909.613,0.9620934762
33,1608583.38,0.9630753739
34,1491709.063,0.9640734836
35,1259006.696,0.9648419957
36,1165914.569,0.9656358011
37,807773.3309,0.9661762861
38,1031986.987,0.9669515928
39,1010008.192,0.967686675
40,1102411.333,0.9684501855
41,968555.8944,0.9692233162
42,762016.1667,0.9698136904
43,806588.8528,0.9704954073
44,697920.8846,0.9710607016
45,801901.3798,0.9717008036
46,641179.5976,0.9722577722
47,668238.0634,0.9728304013
48,696547.3432,0.973468172
49,644917.3258,0.9740435284
50,614081.5169,0.974649043
51,572324.2524,0.9751932279
52,613530.4348,0.9757549869
53,528386.758,0.9762884074
54,497939.9164,0.9767618652
55,468139.3461,0.977278427
56,436054.4985,0.9777186356
57,425012.9253,0.9781676539
58,451864.3616,0.9786503444
59,403597.3261,0.9790862129
60,383460.5524,0.9795273423
61,350938.4509,0.9799269391
62,393221.639,0.9803792977
63,339836.7154,0.9807782212
64,343017.1211,0.9811687984
65,332383.4611,0.9815901867
66,312513.3265,0.9819570361
67,279236.7498,0.9823044905
68,308455.7197,0.982713648
69,286599.0259,0.9830635347
70,306118.8041,0.983465999
71,256383.8903,0.9837880271
72,275856.0662,0.9841766095
73,234699.0948,0.9844961962
74,208476.6982,0.9847800762
75,231168.2637,0.9851029959
76,217697.7394,0.985409654
77,218811.1171,0.9857281547
78,242088.5277,0.9860663289
79,202031.0807,0.9863604046
80,202645.5439,0.9866696475
81,204237.5557,0.9869693325
82,195295.1043,0.9872765284
83,201835.182,0.9875750576
84,185085.994,0.9878661948
85,176318.1062,0.9881497494
86,173707.0244,0.9884270659
87,134441.7525,0.9886448532
88,138473.753,0.9888577936
89,143223.5346,0.9891099819
90,142740.2331,0.9893412122
91,123919.1988,0.9895506815
92,140848.37,0.9897904208
93,113554.6362,0.9899850361
94,119657.9062,0.9901985393
95,115415.9496,0.9903949898
96,118419.7187,0.9906035035
97,111960.924,0.9908111587
98,105612.0397,0.9909996001
99,104534.9785,0.9911971637
100,105189.0739,0.9913848504
101,92335.1992,0.9915647767
102,96396.26661,0.9917469587
103,91853.56226,0.9919151641
104,87139.53721,0.9920870118
105,89478.09492,0.992256119
106,82984.71636,0.9924256178
107,92423.37074,0.9926078858
108,78575.06687,0.9927609988
109,75223.31966,0.9929119957
110,80280.13281,0.9930740855
111,79103.59367,0.9932412285
112,68839.58395,0.9933826435
113,67200.09011,0.9935230571
114,58691.21293,0.9936512032
115,64930.80944,0.9937883996
116,58682.47265,0.9939117046
117,57019.91012,0.9940348629
118,55300.43181,0.9941569039
119,53087.84938,0.9942746851
120,45249.45047,0.9943745449
121,48083.894,0.9944784021
122,48331.94541,0.9945879013
123,41939.27646,0.9946893175
124,48195.12215,0.994795678
125,47275.26414,0.9949077778
126,48771.68958,0.9950159832
127,43221.74677,0.9951194859
128,44750.85091,0.995227701
129,40301.63609,0.9953208993
130,37002.18158,0.9954121143
131,39796.90778,0.9955064812
132,33643.0183,0.995591785
133,35854.08116,0.9956805906
134,35124.5463,0.9957630537
135,33805.87336,0.9958503577
136,35049.03599,0.9959379922
137,29207.97928,0.9960127364
138,29193.72734,0.9960867587
139,31259.46145,0.996164918
140,27950.22207,0.9962397245
141,26228.37713,0.9963068437
142,23070.53688,0.9963675069
143,24358.45962,0.9964318425
144,23085.57016,0.9964936292
145,26291.06474,0.9965658469
146,26212.08388,0.9966356937
147,23724.28567,0.9966991898
148,23933.49709,0.9967660554
149,21981.86383,0.9968269524
