freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.342945355e+11,0.8911660041
1,1396454256,0.9140900329
2,330744517.3,0.9249489592
3,344616188.1,0.9390919062
4,131379694.7,0.9455620471
5,76626950.98,0.9518515422
6,66128008,0.9567365154
7,43751926.11,0.9610458742
8,31704049.46,0.9646890239
9,19291731.55,0.9669058595
10,15484850.13,0.969066538
11,16128085.04,0.971184592
12,9708026.032,0.9727782502
13,7446801.262,0.974184077
14,7089317.861,0.9754642285
15,3921342.126,0.976236696
16,3594007.289,0.9769446816
17,3396909.761,0.9777532491
18,3893180.451,0.9787118989
19,3564259.443,0.9795895559
20,2828618.582,0.9803092871
21,3012548.462,0.9811994526
22,1854129.319,0.9817168845
23,1597044.932,0.9821756803
24,1432465.502,0.9826224688
25,1652345.417,0.9831920877
26,1471608.861,0.9837235584
27,1939835.113,0.9843763625
28,1844845.638,0.9850123427
29,1693563.667,0.9856795749
30,1437657.759,0.9862341848
31,1284971.321,0.9867826271
32,1146673.008,0.9872532184
33,738318.8794,0.9875683424
34,714565.612,0.9879026538
35,480873.7012,0.988107897
36,511803.8498,0.9883515466
37,532400.3946,0.9886006315
38,472518.5603,0.9888488494
39,493375.8442,0.9890999246
40,475804.3454,0.9893303417
41,455929.671,0.9895848143
42,552245.1859,0.9898839788
43,444415.2751,0.9901466157
44,390414.9577,0.9903677264
45,334695.5436,0.9905545334
46,270765.3856,0.9907189929
47,286570.2445,0.9908907
48,258913.024,0.9910564612
49,237084.3519,0.9912043552
50,184786.4543,0.9913317594
51,194917.2794,0.9914613488
52,242999.1212,0.9916169216
53,207564.6432,0.9917634379
54,215347.8576,0.9919066105
55,181092.1222,0.9920463315
56,174063.0687,0.9921691996
57,208471.5287,0.9923232006
58,172649.9426,0.9924521568
59,155976.1051,0.9925699391
60,153839.8178,0.9926936845
61,161948.259,0.9928226229
62,152244.4331,0.992945085
63,130246.5841,0.9930519906
64,137649.7218,0.9931615832
65,124976.3476,0.9932723695
66,176169.0124,0.993416968
67,218215.8947,0.9936068249
68,284014.048,0.9938702472
69,207383.7558,0.9940472753
70,166459.1171,0.9942002994
71,134441.3184,0.9943183725
72,110543.5704,0.9944272527
73,125944.4797,0.9945471671
74,116010.2853,0.994657623
75,112117.3046,0.994767133
76,128931.6653,0.9948941246
77,122549.1009,0.9950188532
78,104268.295,0.9951206967
79,90563.69468,0.9952128711
80,74960.16433,0.995292856
81,87921.71045,0.995383063
82,69447.3669,0.9954594457
83,62823.24903,0.9955244175
84,61520.47359,0.9955920817
85,66641.49029,0.9956670193
86,71872.30304,0.9957472489
87,59749.91315,0.9958149274
88,78624.06009,0.9958994671
89,67294.4372,0.9959823194
90,64474.72376,0.9960553497
91,64846.85074,0.996131995
92,61444.31871,0.996205123
93,52692.28737,0.9962682673
94,50020.32862,0.9963306731
