freq_radius,radial_mean_power,cumulative_energy_fraction
0,6.452400683e+11,0.9269312846
1,914477126.8,0.9374409538
2,239668983.7,0.9429497668
3,84213551.93,0.9453693368
4,97887655.42,0.9487442715
5,79343764.81,0.9533035803
6,29859862.77,0.9548478264
7,27506555.46,0.9567445483
8,13475766.9,0.9578286443
9,19899707.06,0.9594295322
10,16930022.01,0.961083369
11,11316584.54,0.9621238198
12,10057296.46,0.9632796591
13,6275288.196,0.9641090279
14,8176716.447,0.965142712
15,6011857.542,0.9659718105
16,5642608.149,0.9667499856
17,4639852.341,0.9675231794
18,4534469.163,0.9683048682
19,3825587.941,0.9689643543
20,4476169.841,0.9697617143
21,3180989.595,0.9704197523
22,4551519.882,0.9713089976
23,3179681.547,0.9719484936
24,2672459.168,0.9725320474
25,2323037.612,0.9730926973
26,2762631.115,0.9737911898
27,2083321.823,0.9742820145
28,2231664.233,0.9748206121
29,1388988.136,0.9752037243
30,1497477.725,0.9756081553
31,1705991.321,0.976117916
32,1830690.274,0.9766438982
33,1643180.811,0.9771348908
34,1285951.067,0.977556088
35,1169816.307,0.9779056363
36,1429905.474,0.9783822006
37,1078547.623,0.9787354654
38,1008068.651,0.9791061942
39,1139828.636,0.9795122797
40,875814.7152,0.9798092072
41,951188.1155,0.9801808806
42,1295433.125,0.9806721788
43,911331.3059,0.9810492254
44,1038104.708,0.9814608264
45,1122440.786,0.9818994162
46,933757.8707,0.9822964726
47,862412.8769,0.9826582358
48,1033900.04,0.9831216393
49,673556.6016,0.9834157927
50,526443.3578,0.9836699
51,522759.5911,0.9839132175
52,512742.633,0.9841430334
53,548714.3025,0.9844141968
54,389872.5612,0.9845956622
55,420654.968,0.9848228788
56,342374.4563,0.9849920732
57,326830.8516,0.9851610985
58,331632.1532,0.9853345125
59,314000.9294,0.9855005114
60,306960.3087,0.9856733713
61,304808.3605,0.985843268
62,271443.9134,0.9859961275
63,284876.2216,0.9861598251
64,323377.7565,0.9863400721
65,256400.6945,0.9864991937
66,296959.924,0.986669835
67,342700.851,0.9868785758
68,250074.4605,0.9870409563
69,263351.2554,0.9871983382
70,233068.3026,0.9873483369
71,246591.2095,0.9874999538
72,205350.8719,0.9876415541
73,287524.5365,0.9878332086
74,239490.0139,0.9879928449
75,231624.5358,0.9881512312
76,209003.4532,0.9882953501
77,174836.8664,0.988419928
78,214412.0404,0.9885665443
79,152170.5582,0.9886749716
80,145480.3184,0.9887836476
81,148474.3592,0.9888902944
82,145748.9027,0.9890025211
83,139962.8897,0.9891038585
84,128386.51,0.9892027162
85,135341.837,0.9893092626
86,115801.5893,0.9893997607
87,120083.3408,0.9894949851
88,116210.9836,0.9895824642
89,116996.2238,0.9896833081
90,112007.0287,0.989772128
91,122481.7814,0.9898734772
92,100045.9074,0.9899568364
93,104519.0239,0.9900445232
94,109269.9054,0.9901399632
95,114087.6739,0.9902350221
96,122176.2634,0.9903403308
97,133156.5498,0.9904612251
98,113611.9051,0.9905604576
99,114945.8289,0.9906667997
100,107006.3026,0.9907602626
101,92819.13843,0.990848801
102,88684.57119,0.9909308475
103,87625.75525,0.9910093969
104,90274.72024,0.9910965457
105,88964.81652,0.9911788515
106,95666.79979,0.9912745041
107,102857.9882,0.9913738005
108,93128.57307,0.9914626341
109,85482.86684,0.9915466306
110,89894.65835,0.9916354788
111,91863.59155,0.991730496
112,84406.42341,0.9918153749
113,86579.09206,0.9919039311
114,69744.56325,0.9919784746
115,75637.05735,0.9920567082
116,87364.14541,0.9921465694
117,78766.65798,0.9922298505
118,75625.91367,0.9923115491
119,72446.72321,0.9923902296
120,69076.14688,0.9924648525
121,72716.22765,0.9925417364
122,72381.98069,0.9926220102
123,66968.65037,0.9927012832
124,70239.69346,0.992777163
125,62861.63234,0.9928501295
126,68892.47308,0.9929249498
127,60791.04474,0.9929962115
128,66956.06197,0.9930754696
129,63620.37984,0.9931474888
130,58833.51993,0.9932184842
131,60932.20736,0.9932892111
132,62374.13312,0.9933666296
133,66404.87084,0.993447143
134,55590.81066,0.993511031
135,61312.7833,0.9935885414
136,50983.14214,0.9936509425
137,53789.30794,0.9937183237
138,53002.82825,0.9937841106
139,59644.11572,0.9938571123
140,61896.49934,0.993938206
141,59649.95555,0.9940129288
142,58616.47009,0.9940883779
143,53623.75405,0.9941577086
144,56999.08649,0.994232386
145,47214.88037,0.9942958724
146,44414.8084,0.9943538073
147,46661.41554,0.9944149407
148,42382.94725,0.9944729042
149,45051.68792,0.9945339997
150,44349.63379,0.994594398
151,45306.95883,0.9946542776
152,36413.89233,0.9947053331
153,52785.57731,0.9947772201
154,40387.60912,0.9948352396
155,38019.49253,0.9948876725
156,39138.61724,0.9949425484
157,37447.14537,0.9949974197
158,38157.00956,0.9950500422
159,38293.10978,0.9951050528
160,35076.97495,0.9951556449
161,38163.12272,0.9952135389
162,35354.07941,0.9952655464
163,39657.02916,0.9953222885
164,42726.76458,0.9953861236
165,38678.23441,0.9954434656
166,36809.43943,0.9955005752
167,36308.39123,0.9955541952
168,35305.41438,0.995606131
169,31751.62879,0.9956561233
170,32265.05811,0.9957059969
171,32747.55388,0.9957568045
172,32001.16857,0.9958057186
173,29963.91261,0.9958535849
174,29631.50829,0.9959007498
175,27722.12939,0.9959437605
176,31069.37804,0.9959933928
177,27865.14415,0.9960367855
178,25723.04099,0.9960793552
179,28091.96528,0.9961251996
180,27126.90714,0.996168378
181,28940.65358,0.9962159401
182,31945.47197,0.9962695417
183,26174.70442,0.9963137614
184,24940.4603,0.9963537462
185,25843.03285,0.9963971085
186,26016.17423,0.9964419573
187,24973.98699,0.996484005
188,25788.91606,0.9965278692
189,26050.25631,0.9965715793
190,19398.33153,0.9966047968
191,20774.87584,0.9966414458
192,23189.23256,0.9966806218
193,19816.14902,0.9967161489
194,26922.43656,0.9967624053
195,21700.64531,0.9968013111
196,22164.28994,0.996841048
197,21347.91101,0.9968785853
198,21357.30865,0.9969172437
199,20125.40661,0.9969528626
200,21477.96002,0.9969928501
201,20213.15274,0.9970287406
202,21024.34064,0.9970661922
203,20374.20351,0.9971050613
204,20630.83499,0.9971426418
205,18928.48033,0.9971785353
206,19287.67156,0.9972135583
207,17860.14105,0.9972470154
208,14305.52496,0.9972742247
209,16010.41892,0.9973042168
210,17211.18542,0.9973366561
211,17741.38452,0.9973710122
212,18202.80437,0.997405948
213,16672.87191,0.9974381391
214,15463.59326,0.9974679954
215,17455.41792,0.9975011959
216,15590.38685,0.9975321928
217,15971.25157,0.9975637635
218,17405.23025,0.9975976686
219,13648.0045,0.9976248037
220,12964.27334,0.9976505794
221,14835.42158,0.9976803311
222,12424.37374,0.9977057473
223,14303.32739,0.997734021
224,11877.78761,0.9977584555
225,12293.70359,0.9977831099
226,13152.85574,0.9978100164
227,12941.22019,0.9978363411
228,11880.14324,0.9978611219
229,11899.0664,0.9978866943
230,10349.0162,0.9979075081
231,11946.57933,0.9979322215
232,11057.80777,0.997955287
233,12340.03541,0.9979813816
234,12402.50585,0.9980083209
235,10922.66544,0.998030979
236,10843.00934,0.9980540325
237,10988.58821,0.998078027
238,9951.351646,0.9980987845
239,11457.49591,0.9981240663
240,10025.30752,0.9981451508
241,10974.36215,0.998169871
242,9306.258193,0.9981905663
243,10808.5931,0.9982140436
244,9580.998515,0.9982354049
245,10427.88218,0.9982577556
246,8995.452852,0.9982786385
247,8880.331955,0.9982983356
248,8398.868006,0.9983167718
249,10633.81405,0.9983406638
250,8300.780252,0.9983591708
251,8775.05226,0.9983793403
252,9060.083964,0.9983999047
253,7794.537302,0.998417731
254,8937.890195,0.9984384802
255,8508.243508,0.9984583298
256,8457.246102,0.9984777203
257,9009.966648,0.9984983262
258,7945.336509,0.9985172278
259,7658.96644,0.9985350521
260,8438.174314,0.9985549322
261,7025.244161,0.9985714835
262,7354.066745,0.9985888517
263,8143.200744,0.998608224
264,7535.357315,0.9986259771
265,7261.341798,0.9986437522
266,7854.216105,0.9986625725
267,7394.915434,0.9986802496
268,7253.475557,0.9986980889
269,7152.218475,0.9987153092
270,7816.153671,0.9987342628
271,6227.034126,0.9987497207
272,8469.580409,0.9987707455
273,7231.542527,0.9987884892
274,6887.944694,0.998805192
275,6382.833471,0.9988214035
276,6975.620026,0.9988386796
277,6816.351269,0.9988559138
278,6657.219493,0.9988725161
279,5640.822619,0.9988866809
280,6376.619715,0.9989030231
281,5541.83272,0.9989169075
282,5742.590572,0.9989315588
283,5834.512461,0.9989464111
284,5328.013699,0.9989603109
285,5459.642518,0.9989744286
286,5984.540694,0.998989594
287,4923.490219,0.9990024385
288,6147.886547,0.9990184065
289,5026.989301,0.9990316365
290,5027.496992,0.99904507
291,5864.383538,0.9990598299
292,5170.240254,0.9990739717
293,4829.4711,0.9990867096
294,5331.744891,0.9991008642
295,4292.533315,0.9991122106
296,5043.162843,0.9991258889
297,4148.721644,0.999137165
298,4218.759333,0.9991482679
299,4309.46889,0.9991598572
300,4584.117443,0.9991722641
301,4818.237311,0.9991853323
302,3971.957535,0.9991964704
303,4406.852645,0.9992082962
304,4145.489765,0.9992195874
305,4088.165276,0.9992310984
306,4827.541239,0.9992442473
307,3646.165429,0.9992544089
308,3506.549641,0.9992639598
309,3896.105723,0.9992752882
310,3273.851869,0.999284337
311,3850.038062,0.9992951775
312,3831.062317,0.9993058324
313,3231.579336,0.9993149686
314,3179.379963,0.9993242313
315,3697.902774,0.9993347284
316,3214.271983,0.9993438156
317,3370.677037,0.9993534807
318,3173.747786,0.9993626722
319,3246.637771,0.999371963
320,3003.694791,0.9993805412
321,3640.093264,0.9993910834
322,2893.142297,0.9993996285
323,3054.012799,0.9994085786
324,3455.315406,0.9994184863
325,2832.296281,0.9994268843
326,2621.867253,0.9994346583
327,3728.680404,0.9994458213
328,2494.002734,0.9994532735
329,3449.176434,0.999463342
330,2971.449423,0.9994722551
331,2374.590399,0.999479255
332,2569.205998,0.9994868729
333,2611.5455,0.9994949764
334,2312.660307,0.9995018735
335,2607.693172,0.9995098153
336,2465.253944,0.99951721
337,2369.996742,0.9995242644
338,2243.742902,0.9995313686
339,2341.225291,0.9995384988
340,2120.443998,0.9995451273
341,2379.140161,0.9995523867
342,2430.044714,0.9995597595
343,2133.54697,0.999566576
344,2488.133372,0.9995741108
345,2593.471174,0.999582367
346,1860.759022,0.9995881195
347,1994.676841,0.9995944006
348,2010.183919,0.999600696
349,1787.998046,0.9996062236
350,1918.77692,0.9996123539
351,2131.629629,0.9996191766
352,2141.193033,0.9996260175
353,2239.882713,0.9996331995
354,1536.550215,0.9996380204
355,1592.471532,0.9996432272
356,1877.990867,0.9996491625
357,1541.360146,0.9996542464
358,1980.860957,0.9996605865
359,1489.679613,0.999665346
360,1561.479476,0.9996705322
361,1561.996865,0.9996755316
362,1522.798603,0.9996805718
363,1492.129203,0.9996853734
364,1602.375801,0.9996907507
365,1276.878138,0.9996949843
366,1434.797031,0.9996997333
367,1444.494096,0.9997044811
368,1805.358878,0.9997104877
369,1266.167154,0.9997147659
370,1370.207275,0.9997193325
371,1237.951188,0.9997234442
372,1191.833096,0.9997274369
373,1261.538471,0.9997316849
374,1313.100377,0.9997362122
375,1142.121782,0.9997400384
376,1322.259041,0.9997444908
377,1190.215049,0.9997485944
378,1271.96818,0.9997528995
379,1196.808054,0.9997570258
380,1194.491377,0.9997610343
381,1345.469816,0.9997657505
382,1419.134363,0.9997706841
383,1148.382991,0.9997746434
384,1413.699976,0.99977955
385,1182.519081,0.9997836475
386,1160.510177,0.9997877553
387,1170.460437,0.9997917908
388,1031.929919,0.9997954198
389,1062.288345,0.9997991739
390,865.4970595,0.9998021977
391,937.8905118,0.9998055499
392,1001.078184,0.9998090301
393,837.7833076,0.9998120245
394,985.7813701,0.9998156045
395,856.6213928,0.9998186072
396,856.5148809,0.9998216931
397,981.4302224,0.9998251333
398,835.4488671,0.9998282249
399,942.2772015,0.999831609
400,956.6223001,0.9998350392
401,794.0423014,0.9998379593
402,895.0652571,0.9998411636
403,973.583153,0.9998447553
404,711.040002,0.9998473212
405,984.8734769,0.9998508979
406,808.7676713,0.9998539233
407,775.0884904,0.9998567293
408,710.78236,0.9998593841
409,823.6929223,0.9998623707
410,663.444673,0.9998648335
411,714.5097142,0.9998675187
412,726.0410312,0.9998701543
413,569.5437811,0.9998721589
414,660.5541059,0.9998744401
415,772.9581902,0.9998771784
416,620.9272013,0.9998792693
417,733.6939801,0.9998817251
418,728.6971411,0.9998841265
419,574.3208489,0.9998860736
420,636.8432539,0.9998881961
421,664.0500304,0.9998903749
422,524.631643,0.9998921039
423,615.4634521,0.9998940914
424,543.6172143,0.9998958517
425,660.9712566,0.9998979919
426,543.0913317,0.9998997161
427,527.0455862,0.9999014212
428,504.3540784,0.9999030282
429,475.0176715,0.9999045254
430,605.349426,0.9999064003
431,691.499868,0.999908546
432,502.8198061,0.9999101829
433,625.5597432,0.9999121132
