freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.343552098e+11,0.9064828029
1,413683808.7,0.9133895419
2,230678239.8,0.9210922093
3,104988562.9,0.9254743521
4,116111907,0.9312900593
5,59237342.47,0.9362351025
6,64834258.66,0.9411061412
7,21831456.89,0.9432930894
8,19481678.19,0.9455699106
9,13736721.17,0.9471753194
10,8238615.024,0.9483444894
11,12824245.58,0.950057367
12,5699445.826,0.9510089292
13,4670756.079,0.9519057167
14,3006000.56,0.9524577767
15,11459788.9,0.9547537264
16,16568425.28,0.9580731831
17,13360532,0.9613076021
18,4634426.446,0.9624682267
19,5365180.138,0.9638118579
20,4926035.407,0.9650866335
21,3147329.454,0.9660324769
22,2628772.94,0.9667785932
23,4403202.588,0.9680650975
24,4117939.214,0.9693713828
25,2327430.834,0.9701874024
26,1710820.819,0.970815796
27,2025526.633,0.9715090563
28,1746500.754,0.9721213963
29,1417309.846,0.9726893076
30,1332369.339,0.9732120612
31,1484107.318,0.9738562945
32,1229875.093,0.974369635
33,1606917.735,0.9750671789
34,1098652.215,0.9755899476
35,914652.1095,0.9759869872
36,1341903.812,0.9766367037
37,2011839.103,0.9775939918
38,1699653.69,0.9785020526
39,729318.3469,0.9788795234
40,778128.5157,0.9792627696
41,913802.0752,0.9797814927
42,714633.1675,0.9801752255
43,453628.2895,0.9804478765
44,353899.2271,0.980651723
45,526095.3227,0.980950363
46,440637.4956,0.9812225627
47,442399.9353,0.9814921581
48,480269.9917,0.9818048773
49,443866.7066,0.9820864825
50,497243.4747,0.9824351592
51,408804.5613,0.9827115829
52,338705.9906,0.9829321252
53,313395.4305,0.9831571165
54,537595.1765,0.9835206253
55,551282.2865,0.9839532152
56,452490.7673,0.9842780651
57,222971.6307,0.9844455851
58,230463.2767,0.9846206575
59,370993.0226,0.9849055809
60,292489.7304,0.9851448635
61,256134.7882,0.9853522664
62,249161.8744,0.985556103
63,275181.0866,0.98578582
64,312666.5094,0.986038999
65,255771.7292,0.9862695945
66,209402.1915,0.9864444002
67,251951.6115,0.9866673451
68,255810.1182,0.9869086526
69,221840.4412,0.9871012492
70,161761.6414,0.9872524896
71,211629.8304,0.9874415216
72,218321.0038,0.9876602228
73,179329.8438,0.987833877
74,140634.4792,0.9879700604
75,138503.4297,0.9881076489
76,140813.39,0.9882487075
77,126089.1971,0.9883792266
78,118746.3227,0.9884971885
79,109781.0638,0.9886108265
80,110058.7597,0.9887302645
81,111442.039,0.9888465522
82,132339.0657,0.9889945882
83,122684.1951,0.989123631
84,110593.6688,0.9892473423
85,104674.5383,0.9893670539
86,129588.2787,0.9895141764
87,132042.1224,0.9896662893
88,112307.5728,0.9897891053
89,104617.8604,0.9899201054
90,110600.8662,0.9900475179
91,107419.7373,0.9901766461
92,98939.07696,0.9902964057
93,117858.725,0.9904400503
94,117326.5361,0.9905889227
95,122779.2156,0.9907375394
96,81509.95119,0.9908396043
97,85107.17459,0.9909518572
98,111531.0112,0.9910933759
99,101853.8728,0.9912302679
100,98746.95955,0.9913555652
101,84776.1067,0.9914730431
102,85660.87195,0.9915881716
103,92787.43612,0.9917090054
104,93353.31301,0.9918399276
105,92782.95282,0.9919646282
106,86932.10632,0.9920908993
107,91810.88594,0.9922196585
108,97660.55469,0.9923549909
109,85095.21426,0.9924764627
110,78891.57886,0.9925897376
111,117806.4128,0.992766755
112,134569.0175,0.9929633433
113,102350.6695,0.9931154279
114,63861.81553,0.9932145861
115,75157.46167,0.9933275187
116,115879.4763,0.9935006733
117,103356.7339,0.9936594297
118,78470.03027,0.9937825802
119,60553.08917,0.9938781174
120,65799.08309,0.9939813822
121,59778.86978,0.9940732028
122,56513.39227,0.9941642534
123,56341.18658,0.9942611409
124,61913.36415,0.9943583075
125,55596.9964,0.9944520588
126,59473.50223,0.9945458927
127,49705.05904,0.9946305385
128,52670.62824,0.9947211139
129,77327.3774,0.9948482808
130,70150.65975,0.9949712582
131,56719.26187,0.9950669019
132,44823.70075,0.9951477251
133,45746.98142,0.9952283037
134,47274.76945,0.9953072322
135,46306.65073,0.9953922756
136,44278.72098,0.9954710072
137,37644.63119,0.9955395141
138,35117.30302,0.9956028353
139,29801.68102,0.9956558254
140,36431.17742,0.9957251652
141,37095.97289,0.9957926736
142,35898.96198,0.9958598017
143,39862.84786,0.9959346748
144,34423.19614,0.9960001928
145,28200.35395,0.9960552792
146,29344.7834,0.9961108865
147,29683.45875,0.9961673833
148,29839.53263,0.9962266681
149,32502.40955,0.9962907008
150,29145.84405,0.9963483641
151,31711.51847,0.9964092504
152,32920.14514,0.9964763046
153,37784.31405,0.9965510586
154,37470.07081,0.9966292572
155,35960.31544,0.9967013031
156,31206.89569,0.9967648677
157,31165.60998,0.9968312099
158,30366.61331,0.9968920489
159,23404.48509,0.9969408932
160,22026.42447,0.9969870454
161,21439.4418,0.9970342943
162,20550.40153,0.9970782115
163,21371.50157,0.9971226346
164,18299.23885,0.9971623521
165,19073.78501,0.9972034321
166,18058.70699,0.997244135
167,17040.8234,0.9972806943
168,17923.99761,0.9973189988
169,20043.18286,0.9973648437
170,19371.43374,0.9974083437
171,18093.77441,0.9974491256
172,15434.2651,0.9974833978
173,15256.29509,0.9975188031
174,18612.55132,0.9975618419
175,19232.68726,0.9976051908
176,15605.69075,0.997641407
177,13538.82949,0.9976720354
178,12244.07498,0.9977014724
179,11950.1883,0.9977298038
180,13442.89631,0.9977608885
181,16841.52114,0.9978010974
182,18143.14641,0.9978453226
183,14813.13622,0.997881678
