freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.298726847e+11,0.7892939162
1,831730978.7,0.8121406569
2,543624005,0.842006171
3,172480796.2,0.8538508183
4,162010255.7,0.8672015521
5,65645308.05,0.8762175763
6,53986101.73,0.8828908027
7,43809177.16,0.8901111439
8,31834104.73,0.8962322802
9,14702456.74,0.8990593031
10,13785874.29,0.9022781077
11,10604194.68,0.9046083928
12,10671689.26,0.9075397892
13,11030419.13,0.911024215
14,5943729.362,0.9128201602
15,7211774.292,0.9151973549
16,6008682.698,0.9171779782
17,5891648.121,0.9195246167
18,4766646.143,0.921488635
19,4556526.642,0.9233660771
20,5065410.813,0.9255227672
21,3261352.741,0.9271353115
22,2693131.635,0.928392927
23,2624596.712,0.929654586
24,2237482.233,0.9308223487
25,2717277.205,0.932389802
26,2307066.612,0.9337839991
27,2840780.172,0.9353836782
28,2397620.09,0.9367667382
29,1901756.653,0.9380204785
30,1942409.67,0.9392743414
31,1719416.754,0.9405023344
32,2065556.845,0.9419207991
33,1567001.681,0.9430399385
34,2354672.212,0.9448833262
35,1931814.049,0.9462630115
36,1904858.32,0.9477804184
37,1671632.225,0.9490890788
38,1751870.968,0.9506289822
39,1265107.243,0.9517062667
40,1657762.296,0.9530496058
41,1318021.504,0.9542805625
42,1266957.275,0.9554290262
43,1071196.326,0.9564883115
44,1075007.097,0.9575070713
45,996108.7132,0.9584373799
46,1259949.835,0.9597179294
47,956917.6556,0.9606773495
48,847116.9841,0.9615848552
49,836354.5264,0.9624578575
50,688041.2986,0.9632516467
51,720682.6179,0.9640533994
52,608839.3705,0.9647056413
53,695990.9684,0.9655277201
54,537884.237,0.9661261113
55,490277.497,0.9667590785
56,686481.9159,0.9675699255
57,520464.5699,0.9682132722
58,525921.3003,0.9688705872
59,478591.712,0.9694753211
60,485702.357,0.9701290651
61,496856.2252,0.9707909978
62,524935.9407,0.9714975492
63,469173.414,0.9721419332
64,476640.6076,0.9727769339
65,413311.425,0.9733900074
66,397061.4082,0.9739353495
67,364837.7332,0.9744664993
68,431904.5207,0.9751368121
69,430682.9977,0.9757519925
70,352818.2323,0.9762947182
71,288524.1166,0.9767187294
72,331726.742,0.9772654596
73,279711.0007,0.9777110942
74,307223.5052,0.9782005617
75,290221.0944,0.978674899
76,282531.5909,0.9791405491
77,274319.22,0.9796077345
78,267913.4243,0.9800456122
79,260956.2896,0.9804900396
80,201195.0214,0.9808492691
81,205698.9395,0.9812024144
82,197861.3536,0.9815665617
83,198679.9824,0.9819103856
